archetype,archetype_name,n,share,period_2024_share,period_2026_share,junior_share_3level,mid_share_3level,senior_share_3level,entry_share_final,associate_share_final,mid_senior_share_final,director_share_final,unknown_share_final,mean_description_length,mean_yoe
0,Requirements / Boilerplate,929,0.2023083623693379,0.4122712594187298,0.5877287405812702,0.1765339074273412,0.0,0.5069967707212056,0.1765339074273412,0.0,0.4983853606027987,0.0086114101184068,0.3164693218514531,5454.752421959096,5.382402707275804
3,Frontend / Web,866,0.188588850174216,0.6963048498845266,0.3036951501154734,0.0635103926096997,0.0,0.5138568129330254,0.0635103926096997,0.0,0.5127020785219399,0.0011547344110854,0.4226327944572748,4081.5427251732094,5.768488745980707
1,Cross-functional / Delivery,737,0.1604965156794425,0.1153324287652645,0.8846675712347354,0.2157394843962008,0.0,0.4151967435549525,0.2157394843962008,0.0,0.4138398914518317,0.0013568521031207,0.3690637720488466,4554.074626865671,4.736585365853658
9,Backend / Data Platform,564,0.1228222996515679,0.299645390070922,0.700354609929078,0.0726950354609929,0.0,0.427304964539007,0.0726950354609929,0.0,0.4237588652482269,0.0035460992907801,0.5,3557.505319148936,5.698162729658793
7,Mobile / iOS,497,0.1082317073170731,0.4245472837022133,0.5754527162977867,0.1267605633802817,0.0,0.4325955734406438,0.1267605633802817,0.0,0.4325955734406438,0.0,0.4406438631790744,3331.195171026157,5.347058823529411
2,Backend / API,323,0.0703397212543554,0.5727554179566563,0.4272445820433436,0.1021671826625387,0.0,0.5201238390092879,0.1021671826625387,0.0,0.5170278637770898,0.0030959752321981,0.3777089783281733,3688.566563467493,5.556179775280899
5,Generic Workflow / Admin,221,0.0481271777003484,0.4751131221719457,0.5248868778280543,0.085972850678733,0.0,0.4660633484162896,0.085972850678733,0.0,0.4615384615384615,0.004524886877828,0.4479638009049774,3159.7285067873304,6.511450381679389
11,Requirements / Compliance,104,0.0226480836236933,0.6634615384615384,0.3365384615384615,0.0961538461538461,0.0,0.3076923076923077,0.0961538461538461,0.0,0.3076923076923077,0.0,0.5961538461538461,4008.923076923077,10.92537313432836
13,DevOps / Tooling,95,0.0206881533101045,0.631578947368421,0.3684210526315789,0.1789473684210526,0.0,0.4842105263157895,0.1789473684210526,0.0,0.4842105263157895,0.0,0.3368421052631579,4820.957894736842,4.680851063829787
6,AI / LLM workflows,75,0.0163327526132404,0.8133333333333334,0.1866666666666666,0.04,0.0,0.4,0.04,0.0,0.4,0.0,0.56,4369.04,4.109375
14,Embedded / Systems,51,0.0111062717770034,0.9019607843137256,0.0980392156862745,0.0,0.0,0.7647058823529411,0.0,0.0,0.7647058823529411,0.0,0.2352941176470588,3910.117647058824,4.583333333333333
12,DevOps / Infra,47,0.0102351916376306,0.9361702127659576,0.0638297872340425,0.0,0.0,0.7446808510638298,0.0,0.0,0.7446808510638298,0.0,0.2553191489361702,5556.021276595745,5.8
4,Frontend / Angular,30,0.0065331010452961,0.9,0.1,0.0,0.0,0.1333333333333333,0.0,0.0,0.1333333333333333,0.0,0.8666666666666667,2842.6666666666665,7.555555555555555
8,Embedded / Firmware,27,0.0058797909407665,0.8148148148148148,0.1851851851851851,0.0,0.0,0.5925925925925926,0.0,0.0,0.5925925925925926,0.0,0.4074074074074074,7789.777777777777,3.571428571428572
10,Data Engineering / ETL,26,0.0056620209059233,0.8461538461538461,0.1538461538461538,0.0,0.0,0.3076923076923077,0.0,0.0,0.3076923076923077,0.0,0.6923076923076923,6908.269230769231,5.2727272727272725
