uid,source,year_period,seniority_3level,company_name_canonical,is_aggregator,text_source
arshkon_3887719171,kaggle_arshkon,2024,senior,Johnson Controls,False,llm
arshkon_3905256219,kaggle_arshkon,2024,senior,Donnelley Financial Solutions (DFIN),False,llm
arshkon_3900955416,kaggle_arshkon,2024,unknown,Envision Technology Solutions,False,llm
arshkon_3902357582,kaggle_arshkon,2024,unknown,"Navitas Partners, LLC",False,llm
arshkon_3848960304,kaggle_arshkon,2024,senior,Symbolica AI,False,llm
arshkon_3905369048,kaggle_arshkon,2024,unknown,CGI,False,llm
arshkon_3906220930,kaggle_arshkon,2024,senior,Apex Systems,True,llm
arshkon_3905212439,kaggle_arshkon,2024,senior,"Platinum Enterprise Solutions, Inc.",False,llm
arshkon_3905834120,kaggle_arshkon,2024,unknown,CNA Search,False,llm
arshkon_3901944603,kaggle_arshkon,2024,unknown,Deloitte,False,llm
arshkon_3906074305,kaggle_arshkon,2024,senior,Anblicks,False,llm
arshkon_3905252795,kaggle_arshkon,2024,unknown,Radiansys Inc.,False,llm
arshkon_3886826295,kaggle_arshkon,2024,senior,CodeMonk,False,llm
arshkon_3894611005,kaggle_arshkon,2024,senior,Jobs via eFinancialCareers,True,llm
arshkon_3886458575,kaggle_arshkon,2024,senior,Function Health,False,llm
arshkon_3891074304,kaggle_arshkon,2024,unknown,Ledgent Technology,False,llm
arshkon_3904071561,kaggle_arshkon,2024,unknown,Kaynes,False,llm
arshkon_3906096029,kaggle_arshkon,2024,unknown,"Take2 Consulting, LLC",False,llm
arshkon_3905846666,kaggle_arshkon,2024,senior,Dell Technologies,False,llm
arshkon_3902370355,kaggle_arshkon,2024,unknown,Piper Companies,False,llm
arshkon_3898157607,kaggle_arshkon,2024,unknown,Robert Half,True,llm
arshkon_3899513973,kaggle_arshkon,2024,unknown,OtB Tech LLC,False,llm
arshkon_3905868785,kaggle_arshkon,2024,senior,Elastify,False,llm
arshkon_3903423985,kaggle_arshkon,2024,senior,"V-Soft Consulting Group, Inc.",False,llm
arshkon_3902350727,kaggle_arshkon,2024,unknown,Compunnel Inc.,False,llm
arshkon_3901692461,kaggle_arshkon,2024,junior,NESC Staffing,False,llm
arshkon_3884996004,kaggle_arshkon,2024,unknown,Amazon Web Services (AWS),False,llm
arshkon_3895208319,kaggle_arshkon,2024,senior,Digital Prospectors,False,llm
arshkon_3904998597,kaggle_arshkon,2024,senior,CDK Global,False,llm
arshkon_3898166198,kaggle_arshkon,2024,unknown,ScaleneWorks People Solutions LLP,False,llm
arshkon_3888822744,kaggle_arshkon,2024,senior,"GENESYS Consulting Services, Inc.",False,llm
arshkon_3906257719,kaggle_arshkon,2024,senior,SPECTRAFORCE,False,llm
arshkon_3904724953,kaggle_arshkon,2024,unknown,Amazon Lab126,False,llm
arshkon_3900959739,kaggle_arshkon,2024,senior,Oracle,False,llm
arshkon_3905265912,kaggle_arshkon,2024,senior,Cloud Destinations,False,llm
arshkon_3903877728,kaggle_arshkon,2024,unknown,Adobe,False,llm
arshkon_3901933927,kaggle_arshkon,2024,unknown,Derex Technologies Inc,False,llm
arshkon_3891079345,kaggle_arshkon,2024,unknown,Perfict,False,llm
arshkon_3886854491,kaggle_arshkon,2024,senior,Collins Aerospace,False,llm
arshkon_3904369093,kaggle_arshkon,2024,unknown,Motorola Solutions,False,llm
arshkon_3889767506,kaggle_arshkon,2024,senior,Lumen Resources,False,llm
arshkon_3901960538,kaggle_arshkon,2024,senior,"American Public Education, Inc. (APEI)",False,llm
arshkon_3900066695,kaggle_arshkon,2024,unknown,Cross Platform Developer,False,llm
arshkon_3902357940,kaggle_arshkon,2024,unknown,Libsys Inc,False,llm
arshkon_3901370757,kaggle_arshkon,2024,senior,Photon,False,llm
arshkon_3905686990,kaggle_arshkon,2024,senior,SAIC,False,llm
arshkon_3904507517,kaggle_arshkon,2024,unknown,Innova Solutions,False,llm
arshkon_3894569005,kaggle_arshkon,2024,senior,RemoteWorker US,False,llm
arshkon_3903812167,kaggle_arshkon,2024,unknown,State Street,False,llm
arshkon_3898177716,kaggle_arshkon,2024,senior,Apex Systems,True,llm
arshkon_3899526564,kaggle_arshkon,2024,unknown,Centraprise,False,llm
arshkon_3905305866,kaggle_arshkon,2024,senior,ModMed,False,llm
arshkon_3891085569,kaggle_arshkon,2024,unknown,Highwire,False,llm
arshkon_3904953091,kaggle_arshkon,2024,senior,The Depository Trust & Clearing Corporation,True,llm
arshkon_3895523928,kaggle_arshkon,2024,unknown,"Cleo Consulting, Inc.",False,llm
arshkon_3904919641,kaggle_arshkon,2024,senior,Barrington James,False,llm
arshkon_3904940796,kaggle_arshkon,2024,unknown,CPC - Colder Products Company,False,llm
arshkon_3878383329,kaggle_arshkon,2024,unknown,VDart,False,llm
arshkon_3901641562,kaggle_arshkon,2024,junior,eBay,False,llm
arshkon_3894923365,kaggle_arshkon,2024,senior,Intellibus,False,llm
arshkon_3906230606,kaggle_arshkon,2024,unknown,Prolec Energy,False,llm
arshkon_3900965038,kaggle_arshkon,2024,unknown,Oracle,False,llm
arshkon_3904391096,kaggle_arshkon,2024,unknown,Western Alliance Bank,False,llm
arshkon_3902860960,kaggle_arshkon,2024,senior,Oracle,False,llm
arshkon_3901979241,kaggle_arshkon,2024,unknown,Sayari,False,llm
arshkon_3904950528,kaggle_arshkon,2024,senior,ITTConnect,True,llm
arshkon_3899532634,kaggle_arshkon,2024,unknown,Vestaf LLC,False,llm
arshkon_3901349521,kaggle_arshkon,2024,unknown,"LanceSoft, Inc.",False,llm
arshkon_3902305200,kaggle_arshkon,2024,unknown,TekJobs,False,llm
arshkon_3899538892,kaggle_arshkon,2024,senior,The Focus Group,False,llm
arshkon_3899516945,kaggle_arshkon,2024,unknown,Babylist,False,llm
arshkon_3898161254,kaggle_arshkon,2024,unknown,"Yoh, A Day & Zimmermann Company",False,llm
arshkon_3901374652,kaggle_arshkon,2024,unknown,Covert Alert,False,llm
arshkon_3901353392,kaggle_arshkon,2024,senior,SVK Technology Solutions Inc,False,llm
arshkon_3898172336,kaggle_arshkon,2024,unknown,Advantis Global is becoming INSPYR Solutions,True,llm
arshkon_3901938960,kaggle_arshkon,2024,senior,Eliassen Group,False,llm
arshkon_3903876857,kaggle_arshkon,2024,unknown,Fidelity Investments,False,llm
arshkon_3901346484,kaggle_arshkon,2024,senior,CBTS,False,llm
arshkon_3903488791,kaggle_arshkon,2024,unknown,AAM - American Axle & Manufacturing,False,llm
arshkon_3904409346,kaggle_arshkon,2024,unknown,GoodRx,False,llm
arshkon_3904412929,kaggle_arshkon,2024,junior,SparksGlo,False,llm
arshkon_3903824615,kaggle_arshkon,2024,senior,Fidelity Investments,False,llm
arshkon_3904388530,kaggle_arshkon,2024,senior,"BAE Systems, Inc.",False,llm
arshkon_3902347170,kaggle_arshkon,2024,unknown,Stealth Startup,False,llm
arshkon_3899541023,kaggle_arshkon,2024,senior,Venturi,False,llm
arshkon_3901979758,kaggle_arshkon,2024,unknown,Red Oak Technologies,False,llm
arshkon_3899530902,kaggle_arshkon,2024,unknown,Rockwoods Inc,False,llm
arshkon_3886895728,kaggle_arshkon,2024,junior,Tech Consulting,False,llm
arshkon_3887102462,kaggle_arshkon,2024,senior,Selby Jennings,False,llm
arshkon_3902837341,kaggle_arshkon,2024,unknown,National Alzheimer's Coordinating Center,False,llm
arshkon_3900091279,kaggle_arshkon,2024,senior,LogicMonitor,False,llm
arshkon_3888972238,kaggle_arshkon,2024,senior,Procore Technologies,False,llm
arshkon_3901932022,kaggle_arshkon,2024,unknown,HTC Global Services,False,llm
arshkon_3894569112,kaggle_arshkon,2024,senior,Internet2,False,llm
arshkon_3905682636,kaggle_arshkon,2024,unknown,ABB,False,llm
arshkon_3902397585,kaggle_arshkon,2024,unknown,"TSR Consulting Services, Inc.",False,llm
arshkon_3906224960,kaggle_arshkon,2024,junior,Rangam,False,llm
arshkon_3891091655,kaggle_arshkon,2024,senior,Experis,True,llm
arshkon_3905864529,kaggle_arshkon,2024,unknown,Cloudflare,False,llm
arshkon_3904394223,kaggle_arshkon,2024,senior,OpenGov Inc.,False,llm
arshkon_3905878056,kaggle_arshkon,2024,senior,"Self Esteem Brands, LLC",False,llm
arshkon_3901955906,kaggle_arshkon,2024,senior,"3Core Systems, Inc",False,llm
arshkon_3905285589,kaggle_arshkon,2024,unknown,Novo Nordisk,False,llm
arshkon_3890895278,kaggle_arshkon,2024,senior,Renesas Electronics,False,llm
arshkon_3884437721,kaggle_arshkon,2024,unknown,H10 Capital,False,llm
arshkon_3904509950,kaggle_arshkon,2024,unknown,Intel,False,llm
arshkon_3905335257,kaggle_arshkon,2024,unknown,Better Debt Solutions,False,llm
arshkon_3905692227,kaggle_arshkon,2024,unknown,Eli Lilly and Company,False,llm
arshkon_3895815321,kaggle_arshkon,2024,unknown,Interview Kickstart,False,llm
arshkon_3894859846,kaggle_arshkon,2024,senior,"Core Techs, Inc",False,llm
arshkon_3904945289,kaggle_arshkon,2024,unknown,Actalent,True,llm
arshkon_3863610227,kaggle_arshkon,2024,unknown,Qentelli,False,llm
arshkon_3901673426,kaggle_arshkon,2024,junior,Freddie Mac,False,llm
arshkon_3904950108,kaggle_arshkon,2024,unknown,Triwave Solutions Inc,True,llm
arshkon_3904569002,kaggle_arshkon,2024,senior,Amazon,False,llm
arshkon_3905342276,kaggle_arshkon,2024,unknown,Navy Federal Credit Union,False,llm
arshkon_3900078864,kaggle_arshkon,2024,senior,Honeywell,False,llm
arshkon_3904392522,kaggle_arshkon,2024,senior,Synopsys Inc,False,llm
arshkon_3891285588,kaggle_arshkon,2024,unknown,myGwork - LGBTQ+ Business Community,False,llm
arshkon_3901170140,kaggle_arshkon,2024,senior,Info Services,False,llm
arshkon_3899529688,kaggle_arshkon,2024,senior,Epsilon,False,llm
arshkon_3900959273,kaggle_arshkon,2024,unknown,Russell Tobin,False,llm
