company_name_canonical,n_arshkon,n_scraped,n_total
Google,15,757,772
JPMorgan Chase & Co.,12,657,669
Microsoft,19,386,405
Amazon,31,335,366
Amazon Web Services (AWS),12,339,351
Booz Allen Hamilton,9,303,312
Wells Fargo,16,288,304
Capital One,52,223,275
Motion Recruitment,40,229,269
Actalent,23,238,261
Anduril Industries,4,255,259
Leidos,13,245,258
hackajob,10,216,226
Apex Systems,52,173,225
General Motors,14,182,196
Uber,6,187,193
Tata Consultancy Services,39,131,170
Qualcomm,5,164,169
TikTok,14,150,164
Insight Global,25,121,146
"BAE Systems, Inc.",14,128,142
Adobe,9,127,136
TEKsystems,23,110,133
Capgemini,4,121,125
ByteDance,3,118,121
myGwork - LGBTQ+ Business Community,12,107,119
Raytheon,3,115,118
Northrop Grumman,14,103,117
Piper Companies,16,99,115
Randstad Digital Americas,7,100,107
Jobot,12,92,104
Robert Half,20,81,101
BLUE ORIGIN,7,86,93
CGI,8,85,93
Boeing,8,84,92
CACI International Inc,10,82,92
Akkodis,25,67,92
LinkedIn,4,81,85
Cisco,5,80,85
Experis,26,58,84
Deloitte,22,59,81
DataAnnotation,8,71,79
Synechron,15,63,78
ICE,26,51,77
General Dynamics Information Technology,3,73,76
Fidelity Investments,29,46,75
Meta,4,69,73
The Walt Disney Company,5,67,72
Visa,5,67,72
Esri,3,66,69
New York Technology Partners,3,65,68
General Dynamics Mission Systems,5,63,68
Oracle,19,46,65
Cognizant,8,55,63
Palo Alto Networks,13,50,63
Compunnel Inc.,26,37,63
Ford Motor Company,14,48,62
Honeywell,11,49,60
Collins Aerospace,3,51,54
Brooksource,5,48,53
Goldman Sachs,6,47,53
Infosys,5,47,52
Lorven Technologies Inc.,3,47,50
Eliassen Group,12,37,49
BCforward,8,39,47
Open Systems Technologies,31,15,46
System One,5,40,45
Cloudflare,7,38,45
Dexian,7,38,45
Talent Groups,15,30,45
Stealth Startup,3,41,44
EPITEC,11,33,44
Smart IT Frame LLC,6,37,43
Goliath Partners,5,37,42
Harnham,6,35,41
Aditi Consulting,8,33,41
Ledgent Technology,9,32,41
Virtusa,4,36,40
Workday,4,36,40
Ampstek,6,34,40
Raas Infotek,7,32,39
BioSpace,3,35,38
Horizontal Talent,4,33,37
U.S. Bank,4,33,37
Centraprise,14,23,37
Fanatics,3,33,36
"Mission Technologies, a division of HII",4,32,36
Netflix,3,32,35
SAIC,10,25,35
Equifax,4,30,34
NLB Services,9,25,34
Docusign,3,30,33
Jobs via eFinancialCareers,3,30,33
CrowdStrike,4,29,33
Intel,4,29,33
Mindlance,5,28,33
WHOOP,3,29,32
"Yoh, A Day & Zimmermann Company",3,29,32
Collabera,14,18,32
Matlen Silver,5,26,31
AT&T,8,23,31
