term,count_a,count_b,log_odds,z_score,winner,feature_type,comparison,corpus_a,corpus_b,category,winner_corpus
hourly,59,65,1.7194756956606634,9.888150178182695,A,unigram,T10_04_junior_2026_vs_senior_2026,junior_2026,senior_2026,noise,junior_2026
attainment,36,18,2.454802643249339,8.860420301651281,A,unigram,T10_04_junior_2026_vs_senior_2026,junior_2026,senior_2026,noise,junior_2026
javascript,222,824,0.6077999943070571,8.563486193875223,A,unigram,T10_04_junior_2026_vs_senior_2026,junior_2026,senior_2026,tech_stack,junior_2026
cisco's,33,13,2.672985753696487,8.561717501683265,A,unigram,T10_04_junior_2026_vs_senior_2026,junior_2026,senior_2026,noise,junior_2026
reactjs,64,112,1.2882555678758436,8.542726544413764,A,unigram,T10_04_junior_2026_vs_senior_2026,junior_2026,senior_2026,tech_stack,junior_2026
coursework,33,10,2.90922640844252,8.538633735233262,A,unigram,T10_04_junior_2026_vs_senior_2026,junior_2026,senior_2026,noise,junior_2026
pursuing,32,19,2.295842836669605,8.231305249661885,A,unigram,T10_04_junior_2026_vs_senior_2026,junior_2026,senior_2026,noise,junior_2026
proprietary,53,100,1.2184263279171965,7.462467682116193,A,unigram,T10_04_junior_2026_vs_senior_2026,junior_2026,senior_2026,noise,junior_2026
observability,28,971,-0.9722612171954488,-7.455420241180489,B,unigram,T10_04_junior_2026_vs_senior_2026,junior_2026,senior_2026,tech_stack,senior_2026
pst,25,12,2.4921265526946517,7.401152205198907,A,unigram,T10_04_junior_2026_vs_senior_2026,junior_2026,senior_2026,noise,junior_2026
extensions,30,32,1.7491135090363397,7.116550752995285,A,unigram,T10_04_junior_2026_vs_senior_2026,junior_2026,senior_2026,noise,junior_2026
automatically,29,31,1.7470793343018043,6.992468987703572,A,unigram,T10_04_junior_2026_vs_senior_2026,junior_2026,senior_2026,noise,junior_2026
correcting,27,2,4.043063489910019,6.655448683609682,A,unigram,T10_04_junior_2026_vs_senior_2026,junior_2026,senior_2026,noise,junior_2026
logical,47,99,1.1168691362444152,6.5777960587855375,A,unigram,T10_04_junior_2026_vs_senior_2026,junior_2026,senior_2026,noise,junior_2026
desire,52,120,1.0332576376825289,6.508588388612102,A,unigram,T10_04_junior_2026_vs_senior_2026,junior_2026,senior_2026,noise,junior_2026
evaluator,25,2,3.9895110663137974,6.474167106629201,A,unigram,T10_04_junior_2026_vs_senior_2026,junior_2026,senior_2026,noise,junior_2026
hypothesize,25,2,3.9895110663137974,6.474167106629201,A,unigram,T10_04_junior_2026_vs_senior_2026,junior_2026,senior_2026,noise,junior_2026
rationales,25,2,3.9895110663137974,6.474167106629201,A,unigram,T10_04_junior_2026_vs_senior_2026,junior_2026,senior_2026,noise,junior_2026
netherlands,26,1,4.444656128706055,5.966337558758617,A,unigram,T10_04_junior_2026_vs_senior_2026,junior_2026,senior_2026,noise,junior_2026
currently,79,258,0.7196193752295512,5.926511594090597,A,unigram,T10_04_junior_2026_vs_senior_2026,junior_2026,senior_2026,noise,junior_2026
consent,26,38,1.4549030135324434,5.923684723224698,A,unigram,T10_04_junior_2026_vs_senior_2026,junior_2026,senior_2026,noise,junior_2026
unsupervised,17,12,2.1346601695612053,5.86485946361298,A,unigram,T10_04_junior_2026_vs_senior_2026,junior_2026,senior_2026,noise,junior_2026
accelerating,37,78,1.1159459038848754,5.832292571880801,A,unigram,T10_04_junior_2026_vs_senior_2026,junior_2026,senior_2026,noise,junior_2026
experiments,42,101,0.9954528367857067,5.676946158014963,A,unigram,T10_04_junior_2026_vs_senior_2026,junior_2026,senior_2026,noise,junior_2026
benchmarking,27,47,1.292497212322977,5.561022168120453,A,unigram,T10_04_junior_2026_vs_senior_2026,junior_2026,senior_2026,noise,junior_2026
cgi's,14,4,2.9610769022808956,5.548452318246728,A,unigram,T10_04_junior_2026_vs_senior_2026,junior_2026,senior_2026,noise,junior_2026
terraform,35,761,-0.7283353366451806,-5.540520563338569,B,unigram,T10_04_junior_2026_vs_senior_2026,junior_2026,senior_2026,tech_stack,senior_2026
clients,226,1105,0.36793734096556463,5.456658348273539,A,unigram,T10_04_junior_2026_vs_senior_2026,junior_2026,senior_2026,noise,junior_2026
exercising,13,5,2.6942953923446176,5.374324157851184,A,unigram,T10_04_junior_2026_vs_senior_2026,junior_2026,senior_2026,noise,junior_2026
