representation,group,rank,uid,source,period,seniority_3level,company_name_canonical,description_cleaned,cosine_distance
embedding,2024-01|junior,1,asaniczka_5157ef33f8fbba32,kaggle_asaniczka,2024-01,junior,Intellectt Inc,": | 4g/5g ( )/tier | , especially c/c++, unix/linux, scripting perl, , , 4g/5g phy, , , pdcp, , s1-mme, s1-u x2 protocols 5g en-dc ; specifically understand 3gpp : : | ' 1-2 ' experience.",0.754895806312561
embedding,2024-01|junior,2,asaniczka_148ff196086f2ec3,kaggle_asaniczka,2024-01,junior,Accroid Inc,": : : 2+ : , : | 2+ java/j2ee, , orm , , & , relational , sql : db2,",0.6289531588554382
embedding,2024-01|junior,3,asaniczka_570c683bdcbfd470,kaggle_asaniczka,2024-01,junior,iTech Solutions,", , ca. backend completed/will us. asap.",0.6221222877502441
embedding,2024-01|junior,4,asaniczka_0c12a692d316183c,kaggle_asaniczka,2024-01,junior,Acclaim Technical Services,"ts/sci polygraph | divison va. | designing environment. , , modifying programs. designing customizing optimizing efficiency. plan. providing systems. modifying existing errors, allow , improve performance. procedures, , ",0.6161502599716187
embedding,2024-01|junior,5,asaniczka_f020847a9ef75376,kaggle_asaniczka,2024-01,junior,Renesas Electronics,"| switches arun vemuri, , akio , gopalan expect , switches, adjacent , , schematic , bom , layout, , challenging projects. | benchmarking collecting waveforms gain describing elegantly problems. designing pcbs involve ac",0.6037791967391968
embedding,2024-01|mid,1,asaniczka_2d9c48852081671a,kaggle_asaniczka,2024-01,mid,"Liberty Personnel Services, Inc.",": | vpn ( ) vpn requires clearance. , vpn, virtualization linux. role. | #associate #mid-senior",0.6011965274810791
embedding,2024-01|mid,2,asaniczka_04e73ec4a2ccea9f,kaggle_asaniczka,2024-01,mid,Cypress HCM,"| ai/ml leveraging ai offerings. , workflows, , tools.- ai offerings , nlu, ai , , , , generative ai upcoming capabilities. capabilities include algorithms llms. feedback continually improve capabilities, , interoperabil",0.4060201644897461
embedding,2024-01|mid,3,asaniczka_8192a89f5c143258,kaggle_asaniczka,2024-01,mid,The Select Group,sql procedures | sql sets: queries millions sql / queries / procedures / triggers / classes triggers | * regression ’ | § api | tibco used : | sql queries millions sql | maintain roadmap & | regression delivering,0.3883609175682068
embedding,2024-01|mid,4,asaniczka_0d1fee02e15d9034,kaggle_asaniczka,2024-01,mid,"Aerometals, Inc.","| : $ , - $85, demonstrate : day-to-day duties nonconformance ( ) , including potentially ( ) actions ( ) distribute nonconformance ( ) employees. communicate clarify , necessary. communicate interested parties. (mrb) me",0.386572003364563
embedding,2024-01|mid,5,asaniczka_d78a8f4e97e9de82,kaggle_asaniczka,2024-01,mid,Northrop Grumman,"| / | ' ' | | following, including, : performs , , , , supportability systems. performed include , , , , , , disposal. ensures requirements acknowledge , , constraints. performs , , , requirements translate requirements ",0.3500981330871582
embedding,2024-01|senior,1,asaniczka_94576b3023bc9ef6,kaggle_asaniczka,2024-01,senior,Ekodus,"- ( ) duration - 6+ | - - | , javascript jquery (8+ )",0.936448335647583
embedding,2024-01|senior,2,asaniczka_2fa9a2ddbec28be2,kaggle_asaniczka,2024-01,senior,Incorporan Inc,": | | xamarin.andorid & c# fundamentals worked | involving 7.1 version. | , foreground | , receivers | & schedulers.",0.9287087917327881
embedding,2024-01|senior,3,asaniczka_c81755dcbeba7b2d,kaggle_asaniczka,2024-01,senior,ClickJobs.io,": | (c# 6+, vue.js)",0.9280503988265991
embedding,2024-01|senior,4,asaniczka_30ed718f9e13053a,kaggle_asaniczka,2024-01,senior,EdgeGlobal LLC,"| xamarin.andorid c# fundamentals worked | involving 7.1 version. | , foreground | , receivers | & schedulers.",0.9157785773277283
embedding,2024-01|senior,5,asaniczka_6d0f6cf3d9aca948,kaggle_asaniczka,2024-01,senior,Accroid Inc,| 6+ | 5+ ',0.9005467295646667
embedding,2024-01|unknown,1,asaniczka_9513469e81418fcd,kaggle_asaniczka,2024-01,unknown,VolunteerMatch,currently websites buttons website update immediately theses errors website buttons buttom there. thank advance.once gotton emails disrespect ' questions ' bother me.,0.9621759057044983
embedding,2024-01|unknown,2,asaniczka_a5bc240d06cfac80,kaggle_asaniczka,2024-01,unknown,Steneral Consulting,"title- ( ) | 5+ ( , , ) |",0.9531002044677734
embedding,2024-01|unknown,3,asaniczka_449deedc3a4eb538,kaggle_asaniczka,2024-01,unknown,Avid Technology Professionals,"windows. , continually updating imposed",0.9223656058311462
embedding,2024-01|unknown,4,asaniczka_7ad6a2f02ba0b609,kaggle_asaniczka,2024-01,unknown,iTech Solutions,"- 5-8 | : , api",0.919814944267273
embedding,2024-01|unknown,5,asaniczka_f1af3ddaab2d405b,kaggle_asaniczka,2024-01,unknown,Tech Mahindra,: : | - - - - selenium/ - debugging,0.9094350337982178
embedding,2024-04|junior,1,arshkon_3903472527,kaggle_arshkon,2024-04,junior,Hyster-Yale Group,| 0-5%,0.8728406429290771
embedding,2024-04|junior,2,arshkon_3904358918,kaggle_arshkon,2024-04,junior,LexisNexis Risk Solutions,,0.8556388020515442
embedding,2024-04|junior,3,arshkon_3895814058,kaggle_arshkon,2024-04,junior,Lexmark,,0.8556388020515442
embedding,2024-04|junior,4,arshkon_3902762474,kaggle_arshkon,2024-04,junior,Amazon,qualifications | 1+ non-internship qualifications | bachelor',0.6190648078918457
embedding,2024-04|junior,5,arshkon_3902761493,kaggle_arshkon,2024-04,junior,Amazon,qualifications | 1+ non-internship qualifications | bachelor',0.6190648078918457
embedding,2024-04|mid,1,arshkon_3902922986,kaggle_arshkon,2024-04,mid,Run A Better Set (RABS),"’ team. ’ , services. ’ , , , maintain, , , emotive, services. ’ plenty. ’ team. existing , update improve incorporate user requests, products. ’ , , lead. essential. htmlsass / cssjavascriptvue.js reactpythondjangodocke",0.6031144857406616
embedding,2024-04|mid,2,arshkon_3900078900,kaggle_arshkon,2024-04,mid,Tata Consultancy Services,"atleast years.associate hadoop concepts.associate scripting.associate atleast scala.associate hadoop hdfs.associate minimum spark.associate configurations tuning.extensive knowledge.extensive oozie, sqoop hadoop utilitie",0.44036704301834106
embedding,2024-04|mid,3,arshkon_3899528149,kaggle_arshkon,2024-04,mid,Merican Inc,": ( , jboss eap, , , nodejs, aws, ) : , / in-depth , j2ee, , jboss eap, tomcat, , node.js hosting troubleshooting , , uat, on-site, on-call 7x24x365 , needed communicate , , developers. java/j2ee , hands-on troubleshooti",0.43691861629486084
embedding,2024-04|mid,4,arshkon_3905334285,kaggle_arshkon,2024-04,mid,Deutsche Bank,"| : technology-application : cloud-ready, service-orientated continue server-side user (ui) development. (gcp), of. databases endscontribute applicationsfocus service-oriented architecturesoperate processensure leveragin",0.43408358097076416
embedding,2024-04|mid,5,arshkon_3905240549,kaggle_arshkon,2024-04,mid,BEPC Inc. - Business Excellence Professional Consulting,"applies , assignments. include , participating , assess specification, , interactions. makes decisions. troubleshooting determine responsibilitieslearns , policies procedures, follows practices.normally receives detailed",0.3792099356651306
embedding,2024-04|senior,1,arshkon_3904513113,kaggle_arshkon,2024-04,senior,Open Systems Technologies,maximo ( ) firm#39; ( ),0.9308280944824219
embedding,2024-04|senior,2,arshkon_3901980816,kaggle_arshkon,2024-04,senior,Deep Voodoo,,0.8602023720741272
embedding,2024-04|senior,3,arshkon_3902350282,kaggle_arshkon,2024-04,senior,ESB Technologies,,0.8602023720741272
embedding,2024-04|senior,4,arshkon_3901379416,kaggle_arshkon,2024-04,senior,Nascent Technologies Inc.,,0.8602023720741272
embedding,2024-04|senior,5,arshkon_3903447794,kaggle_arshkon,2024-04,senior,Bravens Inc.,,0.8602023720741272
embedding,2024-04|unknown,1,arshkon_3901633263,kaggle_arshkon,2024-04,unknown,Teamware Solutions a division of Quantum Leap Consulting Pvt. Ltd,": apexlocation: , ( )duration: : - 10+ ( ) - - - exp. , , soql - -",0.9091272354125977
embedding,2024-04|unknown,2,arshkon_3894298670,kaggle_arshkon,2024-04,unknown,Mastech Digital,,0.8653782606124878
embedding,2024-04|unknown,3,arshkon_3902368153,kaggle_arshkon,2024-04,unknown,Zentek Infosoft,,0.8653782606124878
embedding,2024-04|unknown,4,arshkon_3900082230,kaggle_arshkon,2024-04,unknown,Tata Consultancy Services,,0.8653782606124878
embedding,2024-04|unknown,5,arshkon_3904942293,kaggle_arshkon,2024-04,unknown,Vallum Associates,,0.8653782606124878
embedding,2026-03|junior,1,linkedin_li-4392149040,scraped,2026-03,junior,SynergisticIT,,0.8477741479873657
embedding,2026-03|junior,2,linkedin_li-4389025615,scraped,2026-03,junior,Lockheed Martin,,0.8477741479873657
embedding,2026-03|junior,3,linkedin_li-4390422514,scraped,2026-03,junior,SynergisticIT,,0.8477741479873657
embedding,2026-03|junior,4,linkedin_li-4388226915,scraped,2026-03,junior,SynergisticIT,,0.8477741479873657
embedding,2026-03|junior,5,linkedin_li-4382694547,scraped,2026-03,junior,ByteDance,"browser focuses browser framework. browser widely used , providing , applications. , browser , useful. delivering ui rendering , keeping cross-platform compatibility. , framework. * closely cross-platform framework. * , ",0.6152966022491455
embedding,2026-03|mid,1,linkedin_li-4379280625,scraped,2026-03,mid,Amazon Web Services (AWS),"' c/c\ \ , ' firmware execution asic-based ml chips. , ' closely co-develop firmware enables chips. | * / co-design * c/c\ \ , , debug, * * maintained, improved , documented, , reused * , , ** qualifications** | * \ non-",0.4892762303352356
embedding,2026-03|mid,2,linkedin_li-4392278065,scraped,2026-03,mid,Boeing,"motivated technically heavily regulated possess unwavering compliance. , intricacies documentation, assessing translate requirements , actionable instructions teammates. challenging rewarding, on-the-floor observations, ",0.39737510681152344
embedding,2026-03|mid,3,linkedin_li-4362234084,scraped,2026-03,mid,PENNYMAC,"** typical ** ’ , forward-thinking capabilities aws windows/linux environments. , ’ , , stack. ’ closely ci/cd , embed , infrastructure-as-code. * , , aws. * architecting maintaining windows/linux , ensuring platforms. *",0.33162033557891846
embedding,2026-03|mid,4,linkedin_li-4377961883,scraped,2026-03,mid,Goldman Sachs,"pwm delivering next-gen increasing business. build-out. problems alongside contributions field. fast-paced, , adapting robust ever-changing environment. pwm cutting-edge in-house complimented leveraging open-source bring",0.31748974323272705
embedding,2026-03|mid,5,linkedin_li-4379044215,scraped,2026-03,mid,Esri,"enjoys software. visualizes automates workflows. modelbuilder capabilities modeling. fast-paced , problems modelbuilder ’ , arcgis pro. ** ** | * next workflow-based diagramming user arcgis allows sequences efficiently *",0.31396913528442383
embedding,2026-03|senior,1,linkedin_li-4378228088,scraped,2026-03,senior,Adobe,,0.8618313670158386
embedding,2026-03|senior,2,linkedin_li-4371733488,scraped,2026-03,senior,Transamerica,,0.8618313670158386
embedding,2026-03|senior,3,linkedin_li-4381332011,scraped,2026-03,senior,Metropolitan Transportation Authority,,0.8618313670158386
embedding,2026-03|senior,4,linkedin_li-4381304924,scraped,2026-03,senior,Pacific Northwest National Laboratory,,0.8618313670158386
embedding,2026-03|senior,5,linkedin_li-4386644755,scraped,2026-03,senior,7AI,,0.8618313670158386
embedding,2026-03|unknown,1,linkedin_li-4387534584,scraped,2026-03,unknown,AIT Global,** : (angularjs) ** haves:** | * \ * hands-on expeience * angularjs ( \.x) ( angular) * and/or * / ** haves:** | * center/cx,0.8897411227226257
embedding,2026-03|unknown,2,linkedin_li-4392002772,scraped,2026-03,unknown,Deloitte,,0.8627359867095947
embedding,2026-03|unknown,3,linkedin_li-4377940556,scraped,2026-03,unknown,Transamerica,,0.8627359867095947
embedding,2026-03|unknown,4,linkedin_li-4390882729,scraped,2026-03,unknown,BD,,0.8627359867095947
embedding,2026-03|unknown,5,linkedin_li-4307557162,scraped,2026-03,unknown,Tier4 Group,,0.8627359867095947
embedding,2026-04|junior,1,linkedin_li-4375342566,scraped,2026-04,junior,TikTok,"video-on-demand (vod) algorithm optimizing users. collaborates vod , algorithmic end-to-end , including , uploading, , , playback, * streaming-related algorithms improve user experience. examples include preloading, bitr",0.6407666206359863
embedding,2026-04|junior,2,linkedin_li-4394993551,scraped,2026-04,junior,Addison Group,"** :** ** \& :** | * automate, * powershell scripting * understand * automate deployments azure. * ** haves** | * implementing * yaml * ai-assisted , : ai-based",0.5828851461410522
embedding,2026-04|junior,3,linkedin_li-4397373047,scraped,2026-04,junior,Stripe,", ' to. didn' exist ago ' users. outsized increased completely , you. ** ** * api products. ’ api-first , first-hand contribute , , thousands globe. * , oftentimes , liaise internally legal/compliance externally develope",0.5161948204040527
embedding,2026-04|junior,4,linkedin_li-4339085481,scraped,2026-04,junior,ByteDance,"** ** e-commerce recommendation recommendation users. runs weeks. ** dates:** | * 11th, * , * 26th, * , * , ** :** | * cutting-edge algorithms, retrieval recommendation algorithms; * participate large-scale ( ) e-commerc",0.4976770281791687
embedding,2026-04|junior,5,linkedin_li-4304863555,scraped,2026-04,junior,TikTok,"algorithm state-of-the-art , multimodality algorithms users behaviors violate regulations. onboarding \ graduation resume. * objectives improve strategy. * , , scale. * understand propose data-driven strategies. * state-",0.4846689701080322
embedding,2026-04|mid,1,linkedin_li-4343494230,scraped,2026-04,mid,BlackRock,", , , , , , computation, consumption owns operates underpinning business. , , , data-centric consume ; artifacts ; users. arrives , validated quality. * \ post-university full-stack * fundamentals—algorithms, , , paradig",0.5106622576713562
embedding,2026-04|mid,2,linkedin_li-4394252015,scraped,2026-04,mid,Lockheed Martin,"' next (ngg) opir (nmos) maintains , cohesive ngg ( ) providing inter-organizational nmos promotes training. nmos day-to-day execution , , involve , procedures, , , and/or rehearsal execute ngg operations. , staffing/hir",0.4039827585220337
embedding,2026-04|mid,3,linkedin_li-4382229681,scraped,2026-04,mid,Tanium,"** ( - part-time )** full-stack , maintain best-of-breed team. , , , , , iterating feedback input. full-stack requires backend skills. *** follows ’ currently requires , week.*** ** ' ** | * maintain ' alongside * , feed",0.2674241065979004
embedding,2026-04|mid,4,linkedin_li-4395361964,scraped,2026-04,mid,L3Harris Technologies,"mission-critical , service-based systems. disciplines, , , contribute proposal planning. including requirements , , , , , test. provides day-to-day ensuring high-quality , , objectives. real-time utilizing sip-based pjsi",0.24415135383605957
embedding,2026-04|mid,5,linkedin_li-4394312604,scraped,2026-04,mid,General Atomics Aeronautical Systems,"ga-asi, , , and/or modify enterprise-wide –user, , correlate ( ) **duties \& :** | * c\ \ x86 systems. * petalinux * , , , documentation standards. * evaluate environment. * communicate , users, lifecycle. * contribute d",0.24351078271865845
embedding,2026-04|senior,1,linkedin_li-4397166636,scraped,2026-04,senior,Fearless,,0.8618748188018799
embedding,2026-04|senior,2,linkedin_li-4394999690,scraped,2026-04,senior,Vast,"artificial-gravity human-rated stations. * % * willingness and/or weekends * unassisted items , , “ ” 22 c.f.r. * \.62 eligible deemed licensing. , , lawful ( holders), asylees granted, pending.",0.8043469786643982
embedding,2026-04|senior,3,linkedin_li-4142307143,scraped,2026-04,senior,Rivian,", ml inference , , develops algorithms self-driving defining vehicles. enthusiasm establishing state-of-art ml inference ; optimizing inference performance. ** ** | * workload gpu * latency inference pre- post-processing",0.6992028951644897
embedding,2026-04|senior,4,linkedin_li-4397359579,scraped,2026-04,senior,New York Technology Partners,"** : eng.** ** : ** ** :** | * **scala-spark** | ** ** | * ** ** * ingestion , etl bricks. * ** ** configuration | ** ** | ** ** | * scala-spark",0.6616991758346558
embedding,2026-04|senior,5,linkedin_li-4337232390,scraped,2026-04,senior,Comtech Telecommunications Corp.,"** summary** , microprocessors, (fpga) system-on-a-chip ( ) environments. ** ** | * , , , debug linux-based fpga ; including: * : / yocto / u-boot / devicetree * ( ) * userspace fpga (c\ \ ) * firmware microcontrollers (",0.6531521081924438
embedding,2026-04|unknown,1,linkedin_li-4393867978,scraped,2026-04,unknown,Skybeyo,% %,0.8865034580230713
embedding,2026-04|unknown,2,linkedin_li-4356150628,scraped,2026-04,unknown,Walmart,,0.8663577437400818
embedding,2026-04|unknown,3,linkedin_li-4374027371,scraped,2026-04,unknown,S&P Global,,0.8663577437400818
embedding,2026-04|unknown,4,linkedin_li-4352297290,scraped,2026-04,unknown,Anuvu,,0.8663577437400818
embedding,2026-04|unknown,5,linkedin_li-4395391009,scraped,2026-04,unknown,TD,,0.8663577437400818
