title_norm,n,category
ai engineer,166,ai_engineering
artificial intelligence engineer,129,ai_engineering
senior ai engineer,86,ai_engineering
generative ai engineer,40,ai_engineering
lead ai engineer,34,ai_engineering
applied ai engineer,27,ai_engineering
principal ai engineer,23,ai_engineering
agentic ai engineer,17,ai_engineering
founding ai engineer,15,ai_engineering
staff ai engineer,13,ai_engineering
mlops engineer,17,ml_infrastructure
machine learning platform engineer,4,ml_infrastructure
senior ai/machine learning platform engineer,2,ml_infrastructure
staff software engineer machine learning platform,2,ml_infrastructure
machine learning engineer (mlops),2,ml_infrastructure
machine learning engineer | mlops & scalable systems,2,ml_infrastructure
staff mlops engineer,2,ml_infrastructure
senior software engineer machine learning platform (michelangelo),2,ml_infrastructure
senior machine learning platform engineer,2,ml_infrastructure
principal machine learning engineer machine learning platform engineering,1,ml_infrastructure
data engineer,550,data_engineering
senior data engineer,398,data_engineering
lead data engineer,82,data_engineering
staff data engineer,35,data_engineering
data engineer 2,28,data_engineering
data engineer 3,25,data_engineering
principal data engineer,25,data_engineering
data platform engineer,20,data_engineering
aws data engineer,18,data_engineering
data engineer senior,14,data_engineering
platform engineer,31,platform_engineering
data platform engineer,20,platform_engineering
ai platform engineer,20,platform_engineering
senior platform engineer,20,platform_engineering
cloud platform engineer,13,platform_engineering
senior cloud platform engineer,11,platform_engineering
staff platform engineer,10,platform_engineering
senior ai platform engineer,8,platform_engineering
devops platform engineer,5,platform_engineering
senior data platform engineer,5,platform_engineering
site reliability engineer,124,reliability_engineering
senior site reliability engineer,107,reliability_engineering
reliability engineer,51,reliability_engineering
senior reliability engineer,27,reliability_engineering
lead site reliability engineer,16,reliability_engineering
site reliability engineer 2,13,reliability_engineering
staff site reliability engineer,12,reliability_engineering
site reliability engineer (site reliability engineer),10,reliability_engineering
principal site reliability engineer,9,reliability_engineering
site reliability engineer 3,8,reliability_engineering
devsecops engineer,57,security_engineering
senior devsecops engineer,24,security_engineering
ai security engineer,11,security_engineering
senior software security engineer full stack,4,security_engineering
lead devsecops engineer,3,security_engineering
senior software engineer - application security,2,security_engineering
devsecops engineer senior,2,security_engineering
principal ai security engineer,2,security_engineering
devsecops engineer 2,2,security_engineering
senior ai security engineer,2,security_engineering
cloud engineer,144,cloud_engineering
senior cloud engineer,51,cloud_engineering
cloud infrastructure engineer,25,cloud_engineering
azure cloud engineer,19,cloud_engineering
aws cloud engineer,14,cloud_engineering
principal cloud engineer,10,cloud_engineering
senior azure cloud engineer,10,cloud_engineering
staff cloud engineer,7,cloud_engineering
cloud engineer i,6,cloud_engineering
senior cloud infrastructure engineer,6,cloud_engineering
full stack engineer,315,frontend_fullstack
full stack developer,167,frontend_fullstack
senior full stack engineer,102,frontend_fullstack
full stack software engineer,98,frontend_fullstack
frontend developer,88,frontend_fullstack
java full stack developer,66,frontend_fullstack
senior full stack developer,50,frontend_fullstack
senior software engineer full stack,43,frontend_fullstack
senior full stack software engineer,37,frontend_fullstack
frontend engineer,30,frontend_fullstack
senior backend engineer,71,backend
backend engineer,44,backend
backend developer,38,backend
senior software engineer backend,33,backend
java backend developer,27,backend
backend software engineer,25,backend
software engineer backend,23,backend
senior software engineer - backend,23,backend
software engineer - backend,20,backend
staff software engineer - backend,14,backend
mobile engineer,46,mobile
senior ios engineer,18,mobile
android engineer,16,mobile
senior android engineer,16,mobile
ios engineer,13,mobile
senior mobile engineer,12,mobile
staff ios engineer,8,mobile
staff android engineer,7,mobile
hvac mobile engineer,6,mobile
react native engineer,4,mobile
embedded software engineer,144,embedded_firmware
senior embedded software engineer,86,embedded_firmware
principal embedded software engineer,19,embedded_firmware
staff embedded software engineer,17,embedded_firmware
firmware engineer,15,embedded_firmware
senior firmware engineer,13,embedded_firmware
embedded software engineer - viasat government,6,embedded_firmware
lead embedded software engineer,5,embedded_firmware
embedded software engineer 2,5,embedded_firmware
senior embedded software development engineer,4,embedded_firmware
test engineer,165,qa_testing
quality assurance engineer,146,qa_testing
quality assurance automation engineer,57,qa_testing
senior quality assurance engineer,53,qa_testing
automation engineer,51,qa_testing
senior test engineer,41,qa_testing
software test engineer,31,qa_testing
mobile apps test automation engineer,30,qa_testing
test engineer 2,27,qa_testing
test automation engineer,23,qa_testing
machine learning research engineer,5,data_science
ai research engineer,5,data_science
senior data scientist full stack,2,data_science
data scientist / machine learning engineer,2,data_science
senior machine learning research engineer,2,data_science
data scientist (or ai engineer) - hybrid,1,data_science
staff ai research engineer,1,data_science
data scientist/ ai/machine learning engineer [python experience],1,data_science
data engineer (data scientist 3),1,data_science
data scientist - ai / python developer,1,data_science
software engineer 3 - blockchain,2,blockchain_crypto
lead software engineer - blockchain (public or permissioned blockchain platforms),2,blockchain_crypto
senior full stack engineer - web3,1,blockchain_crypto
staff full stack engineer - web3,1,blockchain_crypto
software engineer - smart contract bridge,1,blockchain_crypto
staff software engineer web3,1,blockchain_crypto
lead software engineer - machine learning / blockchain,1,blockchain_crypto
lead software engineer - blockchain developer,1,blockchain_crypto
software engineer google cloud web3,1,blockchain_crypto
staff backend engineer - blockchain,1,blockchain_crypto
c++ robotics engineer/ software engineer i,1,robotics
