title_norm,n,category
ai engineer,183,ai_engineering
artificial intelligence engineer,109,ai_engineering
senior ai engineer,89,ai_engineering
generative ai engineer,35,ai_engineering
applied ai engineer,28,ai_engineering
principal ai engineer,23,ai_engineering
lead ai engineer,22,ai_engineering
agentic ai engineer,20,ai_engineering
staff ai engineer,14,ai_engineering
founding ai engineer,14,ai_engineering
mlops engineer,19,ml_infrastructure
machine learning platform engineer,4,ml_infrastructure
machine learning engineer | mlops & scalable systems,2,ml_infrastructure
senior ai/machine learning platform engineer,2,ml_infrastructure
staff mlops engineer,2,ml_infrastructure
senior machine learning platform engineer,2,ml_infrastructure
machine learning engineer (mlops),2,ml_infrastructure
senior mlops / devops engineer,2,ml_infrastructure
devops/mlops engineer,2,ml_infrastructure
senior machine learning engineer mlops,1,ml_infrastructure
data engineer,518,data_engineering
senior data engineer,361,data_engineering
lead data engineer,71,data_engineering
data engineer 2,25,data_engineering
staff data engineer,23,data_engineering
data engineer 3,23,data_engineering
data platform engineer,22,data_engineering
principal data engineer,18,data_engineering
azure data engineer,18,data_engineering
aws data engineer,17,data_engineering
platform engineer,27,platform_engineering
data platform engineer,22,platform_engineering
senior platform engineer,17,platform_engineering
ai platform engineer,16,platform_engineering
cloud platform engineer,12,platform_engineering
senior cloud platform engineer,10,platform_engineering
staff platform engineer,9,platform_engineering
senior ai platform engineer,9,platform_engineering
senior data platform engineer,7,platform_engineering
devops platform engineer,5,platform_engineering
site reliability engineer,114,reliability_engineering
senior site reliability engineer,88,reliability_engineering
reliability engineer,43,reliability_engineering
senior reliability engineer,25,reliability_engineering
site reliability engineer (site reliability engineer),12,reliability_engineering
staff site reliability engineer,12,reliability_engineering
site reliability engineer 2,9,reliability_engineering
lead site reliability engineer,7,reliability_engineering
principal site reliability engineer,6,reliability_engineering
site reliability engineer with autosys,5,reliability_engineering
devsecops engineer,50,security_engineering
senior devsecops engineer,20,security_engineering
ai security engineer,9,security_engineering
lead devsecops engineer,3,security_engineering
principal devsecops engineer,2,security_engineering
senior ai security engineer,2,security_engineering
devsecops engineer senior,2,security_engineering
principal ai security engineer,2,security_engineering
devsecops engineer with security clearance,2,security_engineering
senior devsecops software engineer,2,security_engineering
cloud engineer,112,cloud_engineering
senior cloud engineer,50,cloud_engineering
cloud infrastructure engineer,23,cloud_engineering
azure cloud engineer,18,cloud_engineering
aws cloud engineer,16,cloud_engineering
senior azure cloud engineer,11,cloud_engineering
principal cloud engineer,9,cloud_engineering
senior cloud infrastructure engineer,6,cloud_engineering
staff cloud engineer,6,cloud_engineering
network cloud engineer,5,cloud_engineering
full stack engineer,287,frontend_fullstack
full stack developer,136,frontend_fullstack
senior full stack engineer,91,frontend_fullstack
java full stack developer,90,frontend_fullstack
frontend developer,79,frontend_fullstack
full stack software engineer,76,frontend_fullstack
senior full stack developer,47,frontend_fullstack
full stack java developer,37,frontend_fullstack
senior software engineer full stack,35,frontend_fullstack
frontend engineer,32,frontend_fullstack
senior backend engineer,69,backend
backend developer,37,backend
backend engineer,34,backend
senior software engineer backend,33,backend
java backend developer,29,backend
software engineer backend,22,backend
backend software engineer,20,backend
senior software engineer - backend,18,backend
software engineer - backend,14,backend
senior backend software engineer,10,backend
mobile engineer,25,mobile
senior android engineer,21,mobile
senior ios engineer,17,mobile
android engineer,13,mobile
ios engineer,13,mobile
senior mobile engineer,12,mobile
staff android engineer,6,mobile
staff ios engineer,4,mobile
react native engineer,4,mobile
hvac mobile engineer,4,mobile
embedded software engineer,118,embedded_firmware
senior embedded software engineer,73,embedded_firmware
staff embedded software engineer,14,embedded_firmware
principal embedded software engineer,11,embedded_firmware
firmware engineer,9,embedded_firmware
senior firmware engineer,8,embedded_firmware
embedded software engineer - viasat government,6,embedded_firmware
lead embedded software engineer,4,embedded_firmware
senior embedded firmware engineer,4,embedded_firmware
embedded software engineer 2,3,embedded_firmware
quality assurance engineer,151,qa_testing
test engineer,146,qa_testing
senior quality assurance engineer,57,qa_testing
quality assurance automation engineer,56,qa_testing
automation engineer,32,qa_testing
software development engineer in test (sdet),25,qa_testing
software test engineer,24,qa_testing
test engineer 2,24,qa_testing
senior test engineer,24,qa_testing
mobile apps test automation engineer,19,qa_testing
machine learning research engineer,4,data_science
ai research engineer,4,data_science
data scientist / machine learning engineer,2,data_science
machine learning engineer / data scientist (databricks & snowflake),2,data_science
senior data scientist full stack,2,data_science
senior software engineer/research scientist,1,data_science
senior staff ai research engineer,1,data_science
data scientist/machine learning engineer,1,data_science
machine learning engineer/data scientist,1,data_science
software engineer/research scientist,1,data_science
staff backend engineer - blockchain,1,blockchain_crypto
principal java engineer - digital assets (blockchain),1,blockchain_crypto
blockchain & ai software lead engineer (payments) vice president,1,blockchain_crypto
senior full stack engineer - web3,1,blockchain_crypto
staff full stack engineer - web3,1,blockchain_crypto
founding engineer (blockchain/backend),1,blockchain_crypto
lead principal blockchain scala software engineer,1,blockchain_crypto
staff software engineer web3,1,blockchain_crypto
c++ robotics engineer/ software engineer i,1,robotics
