title_norm,pooled_2024_n,scraped_n
c#/.net developer,120,1
manager devops - remote,60,0
senior systems engineer with security clearance,51,0
senior software engineer with security clearance,50,2
authentication services lead platform engineer (active directory sso aws),41,0
java architect,39,1
senior dotnet developer,31,2
automation tester,28,2
senior lead engineer- generative ai engineering (remote-eligible),27,0
senior java engineer,25,2
embedded engineer,23,2
lead software engineer full stack (reactjs nodejs python aws),19,0
database developer,19,2
manager software engineering full stack,17,1
senior software architect,17,2
senior lead platform engineer (iam),17,0
senior software engineer backend (golang),17,0
lead software engineer full stack (java python angular react),17,0
senior software engineer backend (go java),16,0
senior database developer,16,0
senior software engineer full stack (java/aws),16,0
senior test engineer with security clearance,15,0
senior php developer,15,2
systems engineer 3 with security clearance,15,0
senior manager software engineering full stack,15,1
php developer,14,0
lead application developer,14,0
drupal developer,14,0
senior software developer with security clearance,14,0
devops architect,13,0
senior software engineer backend (golang aws),13,0
lead software engineer backend (scala spark),12,0
senior software engineer (full stack/backend),12,0
automation engineer 3,12,2
lead platform engineer,12,1
lead salesforce developer,12,0
.net architect,12,1
senior principal systems engineer,12,2
embedded systems engineer,12,1
lead data engineer (finops),12,0
computer scientist,11,0
lead software engineer full stack (enterprise data),11,0
senior system test engineer,11,1
engineer systems 3,11,0
senior data engineer (hybrid),11,2
systems engineer 4,11,2
senior lead software engineer backend,11,0
software engineer 3 with security clearance,11,1
senior applications developer,10,0
senior software engineer full stack (java python),10,0
senior lead software engineer frontend,10,0
lead software engineer full stack (java python aws),10,1
mobile architect,10,0
lead software engineer full stack(javascript/java/aws),10,0
senior programmer,10,1
software engineering lead,10,0
technical systems engineer (electronic security),10,0
programmer analyst senior,10,1
