metric,asaniczka_2024_01,arshkon_2024_04,scraped_2026_03,scraped_2026_04,scraped_2026_pooled,within_2024_annualized,cross_period_annualized,acceleration_ratio
entry_native,0.0,0.2232868757259001,0.14022456069684305,0.12879774305555555,0.13663701838336142,0.8931475029036005,-0.045208621222194094,-0.05061719489246959
entry_final,0.005557230862016973,0.16895795975293884,0.13744075829383887,0.12263808139534883,0.13279333751639952,0.6536029155636874,-0.01886849855819443,-0.0288684430697829
entry_best,0.008131114216745013,0.03529411764705882,0.06340872374798061,0.032548179871520345,0.053719805061309155,0.10865201372125524,0.009613402129174086,0.08847882151394906
yoe_le2,0.094956729334527,0.15,0.17055720608743102,0.15668740279937793,0.1662026685654731,0.22017308266189195,0.00845356620807293,0.038395094013624814
ai_rate,0.017360961530177056,0.024506873879258817,0.24790055707990355,0.24691133720930233,0.2475899834578746,0.028583649396327043,0.11639118760623432,4.071949875693284
agentic_rate,4.3079309007883516e-05,0.0007969715082685794,0.07749230897148084,0.08621002906976744,0.0802293080828247,0.0030155687970427835,0.041442958212811895,13.742998751496872
median_len,2102.0,1784.0,3735.5,3743.0,3737.854685984827,-1272.0,1019.4024448616489,-0.8014170164006673
median_tech,2.0,2.0,3.0,2.0,2.6860418686897494,0.0,0.35793488801204315,
mean_tech,2.4886916813854305,2.565650527993624,2.751558992267398,2.685138081395349,2.730705607210085,0.3078353864327745,0.08611569350424035,0.27974592038347873
scope_rate,0.3151251453926679,0.3277545327754533,0.5181258834289515,0.5285247093023255,0.5213906793679767,0.050517549531141626,0.10102755474392523,1.9998506594554162
