uid,source,title,is_swe,is_swe_adjacent,is_control,swe_confidence,swe_classification_tier,swe_classification_llm,desc_preview
arshkon_3884442193,kaggle_arshkon,Dev/Research Engineer 2,False,True,False,0.7197732925415039,embedding_adjacent,NOT_SWE,"Summary

The main function of a research engineer is to research and investigate the design, functionality and maintenance of mechanical products, equipment, systems and processes. A typical research engineer has the ability to make engineering drawings, and read and interpret blueprints.

Job Respo"
arshkon_3887718476,kaggle_arshkon,"Staff Engineer, R&D",False,False,False,0.5871875882148743,unresolved,,"Description:

Mentor Worldwide LLC, a member of Johnson & Johnson’s Family of Companies, is recruiting for a Staff Engineer, R&D located in Irving, Texas or Raritan, NJ. 

Mentor Worldwide LLC is a leading supplier of medical products for the global aesthetic market. The company develops, manufactur"
arshkon_3901944489,kaggle_arshkon,Mean stack Developer,False,True,False,0.8258286714553833,embedding_adjacent,SWE,"ResponsibilitiesDevelop, test, and deploy fast and scalable web appsDesigning and maintenance of fully functional large relational and non-relational databasesTimely deployment of web apps on the cloudServer management and cloud-based infrastructureEstablishment and integration of development tools "
arshkon_3902341115,kaggle_arshkon,Project Geotechnical Engineer [28165],False,False,False,0.26576533913612366,unresolved,,"Benefits: Compensated work-related travel, mobile phone stipend, Sick and Paid Time off, 4% company- matching 401k, profit sharing and the possibility of company minority ownership.Job Description:Project Geotechnical Engineer at the company will work closely with engineering geologists, under the s"
arshkon_3903497399,kaggle_arshkon,Senior Cyber Security Engineer,False,True,False,0.82,regex,NOT_SWE,"The Cyber Security Engineer 3 is responsible for creating and documenting a secure computing environment that protects against unauthorized access modification or destruction.
What you will be doing:Operate as a trusted advisor on issues and trends; provide general consulting services leveraging exp"
arshkon_3906093678,kaggle_arshkon,Polymer Engineer,False,False,False,0.3009321093559265,unresolved,,"Hello,
Net2Source is a Global Workforce Solutions Company headquartered at NJ, USA with its branch offices in Asia Pacific Region. We are one of the fastest growing IT Consulting company across the USA and we are hiring  "" Material Engineer (Entry-Level) ""  for one of our clients. We offer a wide ga"
arshkon_3906228431,kaggle_arshkon,Senior Engineer,False,False,False,0.6487302780151367,unresolved,,"Title Senior EngineerCorporate Title Assistant Vice PresidentLocation Cary, NCWho we areIn short – an essential part of The Bank’s technology solution, developing applications for key business areas.Our Technologists drive Cloud, Cyber and business technology strategy while transforming it within a "
asaniczka_56c582fce8f318a4,kaggle_asaniczka,Manager Electrical Engineering 2 (RF) with Security Clearance,False,False,False,0.0,unresolved,,"At Northrop Grumman, our employees have incredible opportunities to work on revolutionary systems that impact people's lives around the world today, and for generations to come. Our pioneering and inventive spirit has enabled us to be at the forefront of many technological advancements in our nation"
asaniczka_bf6b2fc0780fcf3b,kaggle_asaniczka,Senior Mission Reliability Engineer,False,True,False,0.7023488283157349,embedding_adjacent,NOT_SWE,"Company Overview
A rocket company at the core, Relativity Space is on a mission to become the next great commercial launch company. Meeting the needs of a growing demand for space infrastructure, our rockets will revolutionize how we connect and communicate on Earth by getting satellites to space. W"
asaniczka_11c8e3c852ed7a3c,kaggle_asaniczka,Environmental Engineer/Scientist (EH&S Compliance Specialist),False,False,False,0.29038554430007935,unresolved,,"Join Yorke Engineering, LLC, an Environmental Consulting leader in California, while we implement Environmental Engineering and Compliance solutions for clients throughout California. Our mission is to solve environmental compliance problems for industrial and governmental/infrastructure facilities."
