uid,source,title,swe_confidence,swe_classification_tier,swe_classification_llm,desc_preview
arshkon_3901673632,kaggle_arshkon,Quality Assurance Automation Engineer,0.9,title_lookup_llm,SWE_ADJACENT,"Job Title: QA Automation EngineerType: W2 (Strictly No C2C and no sponsorship available)Location: Plano, TX (Hybrid)Duration: 12 Months Contract to HireHybrid Model: 3 Days onsite 2 days remote
Must have:- Business analyst experience
Skills:• Bachelor degree in Computer Science or related field and "
arshkon_3902362760,kaggle_arshkon,Reliability Engineer,0.9,title_lookup_llm,NOT_SWE,"Job Summary  The Fixed Equipment Engineer for Corpus Christi location provides technical expertise and recommendations for fixed equipment mechanical integrity, repairs, and reliability improvements. It also provides fixed equipment technical support to refinery operations and maintenance.    Minimu"
asaniczka_3faedae799afdd1b,kaggle_asaniczka,Lead Developer,0.9,title_lookup_llm,SWE,"Forge ahead with WSB. WSB was founded on the understanding that culture drives results and we’ve dedicated ourselves to the value of strong relationships, collaboration, and forward-thinking ideas. We’ve inspired each other to discover thoughtful and creative solutions that look beyond the needs of "
asaniczka_38248dbd92d81ad1,kaggle_asaniczka,Senior Lead Engineer- Generative AI Engineering (Remote-Eligible),0.9,title_lookup_llm,SWE,"Company Description
Jobs for Humanity is partnering with Capital One to build an inclusive and just employment ecosystem. Therefore, we prioritize individuals coming from the following communities: Refugee, Neurodivergent, Single Parent, Blind or Low Vision, Deaf or Hard of Hearing, Black, Hispanic,"
asaniczka_e02768ba63bb9e6d,kaggle_asaniczka,Sr. QA Engineer III,0.9,title_lookup_llm,SWE_ADJACENT,"Dice is the leading career destination for tech experts at every stage of their careers. Our client, Randstad Digital, is seeking the following. Apply via Dice today!
job summary:
Senior Quality Assurance Engineer
The Senior Quality Assurance Engineer tests Entuity's Network Analytics software solut"
asaniczka_195aaf2b55526446,kaggle_asaniczka,Senior Automation Engineer,0.9,title_lookup_llm,NOT_SWE,"Piper Companies is currently looking for a
Senior Automation Engineer
in the
Raleigh-Durham, NC
area. The
Senior Automation Engineer
will be joining a brand new
pharmaceutical manufacturing
facility and will be the expert supporter for the design and implementation of automation processes
.
The
Seni"
asaniczka_93dec4be54a2f97f,kaggle_asaniczka,Computer Scientist,0.9,title_lookup_llm,SWE,"Overview
Pacific Fusion is seeking exceptional computer scientists with interests in high performance computing, cloud infrastructure, and/or machine learning to join our dynamic team and help create the path to commercial fusion energy. As a Computer Scientist, you will play an essential role in ac"
asaniczka_16e550700aead152,kaggle_asaniczka,Senior QA Engineer,0.9,title_lookup_llm,SWE_ADJACENT,"About Fisker Inc.
California-based Fisker Inc. is revolutionizing the automotive industry by developing the most emotionally desirable and eco-friendly electric vehicles on Earth. Passionately driven by a vision of a clean future for all, the company is on a mission to become the No. 1 e-mobility se"
asaniczka_1cef79e6e1fa3aa2,kaggle_asaniczka,Senior Software QA Engineer,0.9,title_lookup_llm,SWE_ADJACENT,"Company Description
Cricut® makes smart cutting machines that work with an easy-to-use app, an ever-growing collection of materials, and crafting essentials to help you design and personalize almost anything — custom cards, unique apparel, everyday items, and so much more.
Let’s make.
Overview
We be"
asaniczka_2f03e21214e031f0,kaggle_asaniczka,Senior Embedded Engineer,0.9,title_lookup_llm,SWE,"General Roles and Responsibilities
Candidate has to work onsite from Day 1
at Peachtree City, GA.
Experience level:
10 + Years
Technical Skills required:
· Strong knowledge of
Linux Kernel, sub systems and device drivers
· Experience with Linux File systems
· Development experience with
Qualcomm/ i."
asaniczka_f9eb3d9e51b54a49,kaggle_asaniczka,Database Developer,0.9,title_lookup_llm,SWE,"20231211-0455-12-01
Active Top Secret Clearance with Poly Required
Salary Range: Up to $175K
**salary is commensurate with education and experience**
Job Summary
Seeking a talented FULL STACK DEVELOPER to join their Business Data Team. The successful candidate will be responsible for designing, deve"
asaniczka_b4b51c96ed21622f,kaggle_asaniczka,Mobile Architect,0.9,title_lookup_llm,SWE,"We are urgently hiring for Mobile Architect at Las Vegas, NV.
If you are interested in position please share your updated resume on
ankita@osoventuresinc.com
and contact me on
(262)525-5173.
Role: Mobile Architect
Location: Las Vegas, NV
Type of Hiring: FTE
Job Description
10+ years industry working"
asaniczka_1fdd998a1a8d9b9e,kaggle_asaniczka,Firmware Engineer,0.9,title_lookup_llm,SWE,"JD:
We are looking for candidates with experience in firmware development and hardware bring-up
to assist with the development of novel hardware and software systems.
Responsibilities
● Develop firmware and hardware systems that enable the integration of high-performance Microelectromechanical Syste"
asaniczka_2a12cebb063d516b,kaggle_asaniczka,Lead Programmer,0.9,title_lookup_llm,SWE,"Job Details
Description
Essential Functions (other duties may be assigned):
Design/modify, code, debug, test, and document moderately complex application systems.
Review program (ERP) problems, and correct/modify code based on company's evolving business rules.
Determine source data (input), process"
asaniczka_500b3f5cec5f3b0a,kaggle_asaniczka,Developer Senior,0.9,title_lookup_llm,SWE,"JOB TITLE & Employer Name:
Developer Senior for USAble Mutual Insurance Company
LOCATION:
Little Rock, AR
JOB DUTIES:
Develop and implement processes to ensure accurate and effective workflow distribution. Provide technical expertise of subsystems and any other performance related systems. Develop E"
asaniczka_cdda376c65719fbe,kaggle_asaniczka,Quality Assurance Engineer,0.9,title_lookup_llm,SWE_ADJACENT,"Candidates must have an active Secret clearance and verify, before applying, that you meet the minimum requirements of the position.
This position is contingent on contract award
Position:
Quality Assurance Engineer
Job Description
The contractor shall provide a Systems Engineering and Integration S"
asaniczka_bcdb38a302aff0dd,kaggle_asaniczka,Lead Quality Assurance Engineer,0.9,title_lookup_llm,SWE_ADJACENT,"Direct Hire This is NOT a C2C Position
Hybrid Position in Troy, MI
Job Description
Required Experience (Must Have)
Quality Assurance Experience (Minimum 5 years’ experience)
Experience in Data Testing and Quality Analysis
Any browser automated testing tool, such as Selenium or TestCafe
Ability to es"
asaniczka_9c5aebb24841c552,kaggle_asaniczka,Reliability Engineer Sr,0.9,title_lookup_llm,NOT_SWE,"Reliability Engineer Sr in GAC Savannah
Unique Skills
Good communication skills
Prefer experience training/mentoring
Education And Experience Requirements
Bachelor's Degree in Engineering, Reliability or technical discipline required or an equivalent combination of education and experience sufficien"
asaniczka_a155fb555257363c,kaggle_asaniczka,API Architect,0.9,title_lookup_llm,SWE,"API ArchitectFocused on API Platform Implementation on-prem and Cloud Strategic responsibility of VPC, Networking and Cross DC Connectivity with awareness of Proxy Design and Development. Expert at Developer portal UX and Data Supporting the UX for Apigee. Strong skills with Micro-services, Kubernet"
asaniczka_10fcd9e8c9dfeb0c,kaggle_asaniczka,Automation Tester,0.9,title_lookup_llm,SWE_ADJACENT,"Title: Automation Tester
Location: Charlotte, NC, or Dallas, TX (Hybrid)
Duration: 6+ months
Implementation Partner: Infosys
End Client: To be disclosed
Jd
Minimum Years of Experience: 6+ Years
SME in Commercial Lending specifically in Loan Origination domain for Middle Market and Large Customers.
M"
asaniczka_1654da5d2ca97c14,kaggle_asaniczka,Principal Software Design Engineer I,0.9,title_lookup_llm,SWE,"Please Note:
To conform with the United States Government Space Technology Export Regulations, the applicant must be a U.S. citizen, lawful permanent resident of the U.S., conditional resident, asylee or refugee (protected individuals as defined by 8 U.S.C. 1324b(a)(3)), or eligible to obtain the re"
asaniczka_a85f0bab56369ca3,kaggle_asaniczka,Senior Lead Engineer- Generative AI Engineering (Remote-Eligible),0.9,title_lookup_llm,SWE,"Company Description
Jobs for Humanity is partnering with Capital One to build an inclusive and just employment ecosystem. Therefore, we prioritize individuals coming from the following communities: Refugee, Neurodivergent, Single Parent, Blind or Low Vision, Deaf or Hard of Hearing, Black, Hispanic,"
asaniczka_ff4918bbbc0d60a8,kaggle_asaniczka,Senior DevSecOps Engineer,0.9,title_lookup_llm,SWE,"Position Summary
Odyssey Systems has an exciting new opportunity for a
Senior DevSecOps Engineer
supporting the Space Systems Command (SSC) Defensive Cyber Operations (DCO) programs in the United States Space Force. This position will support the program office as it requires advanced persistent cyb"
linkedin_li-4345660037,scraped,DevSecOps Engineer,0.9,title_lookup_llm,,"Location: Syracuse, United States of America
   

  

 Thales people architect solutions that are relied upon to deliver operational advantage at every decisive moment throughout the mission. Defence and armed forces customers rely on us to deliver the full range of defensive systems for land, sea, "
linkedin_li-4374542450,scraped,Senior Database Engineer,0.9,title_lookup_llm,SWE,"**The Company**
 PayPal has been revolutionizing commerce globally for more than 25 years. Creating innovative experiences that make moving money, selling, and shopping simple, personalized, and secure, PayPal empowers consumers and businesses in approximately 200 markets to join and thrive in the g"
linkedin_li-4377468931,scraped,Cloud Application Architect,0.9,title_lookup_llm,,"**Job Number: R0234611**
 Cloud Application Architect
   

  

**The Opportunity:**
 Are you looking for an opportunity to make a difference and help build a system that will have a positive impact on the intelligence community (IC)? Booz Allen is revolutionizing how software is developed and deploy"
linkedin_li-4379461891,scraped,Software Test Engineer,0.9,title_lookup_llm,SWE_ADJACENT,"The Software Test Engineer will provide technical leadership and cross-functional influence within a vibrant, high-performing R\&D team that is redefining the treatment of structural heart disease. The incumbent will lead the software test workstreams across a product and non-product ecosystems invo"
linkedin_li-4386101456,scraped,Systems Integration Engineer-Remote,0.9,title_lookup_llm,SWE,"Lensa is a career site that helps job seekers find great jobs in the US. We are not a staffing firm or agency. Lensa does not hire directly for these jobs, but promotes jobs on LinkedIn on behalf of its direct clients, recruitment ad agencies, and marketing partners. Lensa partners with DirectEmploy"
linkedin_li-4386975476,scraped,AI Solutions Engineer,0.9,title_lookup_llm,,"**About Pinterest**
 Millions of people around the world come to our platform to find creative ideas, dream about new possibilities and plan for memories that will last a lifetime. At Pinterest, we’re on a mission to bring everyone the inspiration to create a life they love, and that starts with the"
linkedin_li-4387091523,scraped,Artificial Intelligence Engineer,0.9,title_lookup_llm,,"**Job Title: AI/ML Lead Developer** 

**Location : Dallas, TX And Tampa, FL And Jersey City, NJ (Hybrid Onsite Role-3 Days Onsite per week)** 

**Duration : Fulltime** 

**Teams Meeting Interview** 

**Job Description:** 

  

**Note - should take BB (Berribot) test in 2 days of submission** 

  

 "
linkedin_li-4387994146,scraped,Machine Learning Operations Engineer,0.9,title_lookup_llm,,"**Summary:** 

 Under the direction of Information Services Leadership, the incumbent will be responsible for the full lifecycle management of machine learning models, including design, build, and maintenance of machine learning models. The MLOps Engineer will playan integral role in implementing ar"
linkedin_li-4388977492,scraped,Mobile Apps Test Automation Engineer,0.9,title_lookup_llm,,"JOB\_POSTING-3-80647-15
   

  

**Job Description**
**Role Summary/Purpose:**
 We are looking for a passionate and detail-oriented Mobile Apps Test Automation Engineer who can take ownership of mobile automation strategy, design, and execution for complex, high-performance applications in the Finan"
linkedin_li-4388979342,scraped,Mobile Apps Test Automation Engineer,0.9,title_lookup_llm,SWE_ADJACENT,"JOB\_POSTING-3-80647-5
   

  

**Job Description**
**Role Summary/Purpose:**
 We are looking for a passionate and detail-oriented Mobile Apps Test Automation Engineer who can take ownership of mobile automation strategy, design, and execution for complex, high-performance applications in the Financ"
