uid,firm,company_industry,title,first_match,excerpt
linkedin_li-4335254636,Gotion Inc.,Manufacturing,Machine Learning Engineer,(no agentic token),"Gotion Inc. is based in Silicon Valley, CA, currently building a Manufacturing facility in Manteno, IL and has R\&D centers in Ohio, China, Japan and Europe. We innovate in the next generation electric vehicle and energy storage technologie"
linkedin_li-4382344994,Axon,Software Development,Senior Machine Learning Engineer,LLMOps,"* Master’s Degree/PhD in Computer Science, Engineering, Electronics, Mathematics or an equivalent highly technical field. * Experience with LLMOps - evaluation, monitoring, quantization, teacher-learner, etc.). * Hands-on experience with fine-tuning large parameter models. * Familiarity with model encryption and privacy preserving AI techniques. ****Benefits That"
linkedin_li-4390363147,NTT DATA North America,IT Services and IT Consulting,ML Engineer,(no agentic token),"At NTT DATA, we know that with the right people on board, anything is possible. The quality, integrity, and commitment of our employees have been key factors in our company's growth and market presence. By hiring the best people and helping"
linkedin_li-4396323755,Tata Consultancy Services,IT Services and IT Consulting,Data Science Engineer,Generative AI,"**Job Description** * Strong expertise in Generative AI, NLP, ML * Proficiency in Python and libraries such as TensorFlow, PyTorch, Hugging Face, and scikit-learn. * Hands-on experience with Gen AI Frameworks and Agentic AI * Experience with prompt engineering and few-shot l"
linkedin_li-4396937848,Initi8 Recruitment,Software Development,AI Product Engineer,(no agentic token),"**Growth Product AI Engineer (Stealth AI \& Media)** **Location:** Los Angeles, CA **Comp:** $180k – $200k Base **The Mission: Crack the Code of AI \& Social Media** My client is a stealth startup backed by top-tier funding, focused on the"
linkedin_li-4398145862,Envision Technology Solutions,IT Services and IT Consulting,Azure AI Engineer,OpenAI,"d) JD : Design, build, and manage AI applications on Microsoft Azure, using Azure AI Foundry, Azure Machine Learning, Azure OpenAI Service, Azure AI Search (Knowledge Mining), and Cognitive Services. Integrate AI models into applications, services, and processes as APIs. Leverage SharePoint content for RAG and MCP integration—build pipeline"
linkedin_li-4393206043,Guidehouse,Business Consulting and Services,RPA Back End Developer,(no agentic token),**Job Family** SAAS/PAAS/Cloud Consulting **Travel Required** Up to 25% **Clearance Required** Ability to Obtain Secret **What You Will Do** Guidehouse is seeking an UiPath Developer to support the Defense Health Agency (DHA) by designing a
linkedin_li-4395344590,"Divit Technologies, Inc.",IT Services and IT Consulting,Full Stack Engineer,GenAI,"**Job Title:** Senior Full Stack Engineer (Full Stack \+ GenAI) **Employment Type:** W2 (Full-Time) **Company:** Divit Technologies (W2 only) **Location:** Dallas, TX (Hybrid) **Work Mode:** Hybrid **Job Summary** Divit Technologies is seeking a **Sen"
linkedin_li-4396840518,Flow,Real Estate,Senior/Staff Software Engineer- Application Platform,agentic,"**Responsibilities** * Build and maintain service frameworks and shared libraries * Drive AI adoption, championing AI tools, harnesses, and agentic software development, and establishing standards for APIs, background jobs, and event-driven systems. * Improve developer workflows (local development, testing, CI/CD, service scaffolding) * Partner with infrastructure"
linkedin_li-4387258938,Acadian Asset Management,Financial Services,"VP, Principal AI Engineer",agentic,"and delivering enterprise-grade AI platforms and solutions across the firm. This role owns the firm’s AI architecture end-to-end, spanning agentic systems, retrieval-augmented generation (RAG), model integration, evaluation, security, and operationalization. Operating as a hands-on architect, the Principal AI Engineer partners closely with investment tea"
linkedin_li-4393951657,Premera Blue Cross,Insurance,Software Development Engineer IV,OpenAI,"and delivering cloud‑based solutions * Hands‑on experience with Azure DevOps (Boards, Repos, Pipelines, Wiki) * Experience with Azure AI / OpenAI, including RAG patterns and prompt engineering * Strong observability and operational excellence mindset * Experience in healthcare or other highly regulated environments * Familiarity with Premera technologies (e.g., F"
linkedin_li-4205919655,Figure,Machinery Manufacturing,AI Training Infrastructure Engineer,(no agentic token),Figure is an AI robotics company developing autonomous general-purpose humanoid robots. The goal of the company is to ship humanoid robots with human level intelligence. Its robots are engineered to perform a variety of tasks in the home an
linkedin_li-4393044104,"Donato Technologies, Inc.",Software Development,AI/ML Engineer,AI Agent,"are programs. Testing and evaluating new programs. Working closely with other developers, UX designers, business and systems analysts.** ***AI Agent Engineer Designs and develops AI-driven agentic solutions, including autonomous workflows and Retrieval-Augmented Generation (RAG) systems, to enhance productivity, automate processes, and support intelligent decision-m"
linkedin_li-4379896695,Netflix,Entertainment Providers,Machine Learning Engineer (L4/L5) - Emerging Game Technologies,MLOps,"reators and reach player audiences in new ways. The Role We are looking for a Machine Learning Engineer with a focus on MLOps, deployment, and performance optimization to help bridge the gap between research and production in the gaming space. You will work cross-functionally with games technical directors, designers, and scientists to ensure"
linkedin_li-4389009763,SES Corporation,IT Services and IT Consulting,Azure Software Developer,LLM,"ications** * Experience with USAF Cloud One or Platform 1 * Knowledge of Zero Trust Architecture. Experience a plus. * Exposure to AI/ML or LLM-based systems through professional experience, projects, or coursework * Familiarity with one or more of the following: + Containers (Docker) + Kubernetes concepts + Cloud platforms (AWS, Azure, or GCP) + Experience con"
linkedin_li-4375155183,American Express,Financial Services,Senior AI Engineer I - Agentic AI,agentic,"s our commercial customers and card members expect. Within Amex Technology, we are building platforms, products, and governance that enable agentic AI systems to operate responsibly and at scale across the enterprise. Our focus is on agentic AI development: designing intelligent, adaptive systems that can plan, reason, and act across complex workflows wit"
linkedin_li-4398176703,Sidmans,Software Development,Agentic AI Engineer,Copilot,"PIs and services that orchestrate model inference, prompt flows, and agent/tool integrations. * Leverage AI coding assistants (e.g., GitHub Copilot, agentic IDEs) to accelerate delivery while maintaining quality. * Implement UI/UX experiences for AI-enabled features (explanations, feedback loops, human-in-the-loop controls). * Apply secure SDLC practices: code revi"
linkedin_li-4389310691,Equifax,Financial Services,Agentic AI Engineer,Generative AI,"ng, and deploying autonomous AI agents and multi-agent systems. You will bridge the gap between traditional software engineering and modern Generative AI, working to enable LLMs (Large Language Models) to interact with external tools, APIs, and data sources. * Equifax has a hybrid work schedule that allows for 2 days of remote work (Monday and Friday), with 3 da"
linkedin_li-4333340112,Reevo,Software Development,Builder - AI Engineer,LLM,"re Engineers at all levels (Junior, Senior, Staff, Senior Staff) who thrive as T-shaped individuals—bringing deep technical expertise in AI/LLM systems while possessing a broad range of skills that allow them to build production-ready AI applications. The ideal candidate is highly innovative, with a passion for solving complex AI challenges and creating intelli"
linkedin_li-4392342845,People In AI,"Technology, Information and Media and Software Development",AI Engineer,agentic,"ower AI adoption across 800\+ engineers. You’ll focus on building production-grade AI systems, not prototypes - developing reusable agentic capabilities and RAG pipelines that are embedded directly into enterprise products. This role combines hands-on engineering with cross-functional influence, working closely with multiple business units to standardize an"
linkedin_li-4395338754,"CERBERUS CAPITAL MANAGEMENT, L.P.","Financial Services, Venture Capital and Private Equity Principals, and Investment Management",AI Engineer,MLOps,"pid iteration are key to creating business value. * Leverage modern tools and methods: Use contemporary ML frameworks, cloud platforms, and MLOps best practices to build scalable, reusable solutions. * Communicate insights clearly: Distill complex technical findings into concise, actionable narratives for technical and business audiences alike. * Keep learning an"
linkedin_li-4396763811,Valdera,"Software Development, Chemical Raw Materials Manufacturing, and Internet Marketplace Platforms",AI Technical Lead,Retrieval-Augmented,"mplex chemical and supplier data. * **Engineer our Core Intelligence:** Develop and fine-tune sophisticated models—likely leveraging Retrieval-Augmented Generation (RAG)—that can accurately map the global chemical supply chain, understanding specifications, pricing, and availability with unparalleled precision. * **Pioneer Autonomous Agents:** Build and deploy a"
linkedin_li-4397399770,Eve,"Technology, Information and Internet",Product Engineer (Front-End Leaning),OpenAI,"lding Eve from the ground up. **AI-Native from day one:** We’re on the bleeding edge of AI, collaborating directly with teams at OpenAI and Anthropic to build best-in-class AI workflows tailored for legal work. **Explosive growth:** We are growing 2X revenue Quarter over Quarter. **About The Role** As a Product Engineer at Eve, you"
linkedin_li-4398086727,FUSTIS LLC,Staffing and Recruiting,AI Engineer with Strong AWS Experience,(no agentic token),"Title: AWS AI Engineer Location: Boston, MA Duration: 1 year This is Hybrid, 2 days in Boston and 3 days remote. Candidate must be local (MA, NH, RI) Eligibility: USC/GC only Our AI Engineering Team builds custom web applications with leadi"
linkedin_li-4386464801,The Home Depot,Consumer Services,Staff Machine Learning Engineer – Generative AI (Remote),GenAI,"hine Learning Engineer is responsible for joining cross-functional teams (product, design, Engineering, infrastructure) to build innovative GenAI application experiences and overall product lifecycle for a product that our users love. The engineering process is highly collaborative. Staff ML Engineers are expected to pair daily as they work through user stories a"
linkedin_li-4394247061,Nityo Infotech,Software Development,ML Engineer,MLOPS,"designing scalable ML pipelines, optimizing CV models for edge devices, and operationalizing AI solutions in production environments using MLOPS framework for Model Management. Candidate will work with clients to understand the issues they face, diagnose problems, design solutions and facilitate solution deployment on Google Cloud Platform cloud. **Requ"
linkedin_li-4383870252,Axon,Software Development,Principal Machine Learning Engineer,(no agentic token),"**Join Axon and be a Force for Good.** At Axon, we’re on a mission to Protect Life. We’re explorers, pursuing society’s most critical safety and justice issues with our ecosystem of devices and cloud software. Like our products, we work bet"
linkedin_li-4397556657,Synechron,Banking and Financial Services,GenAI Python Developer,GenAI,"**Role: GenAI Python Developer** **Location: Jersey City, NJ/Charlotte, NC** **We are** At Synechron, we believe in the power of digital to transform businesses for the better. Our global consulting firm combines creativity"
linkedin_li-4332256616,Hearst Health,Hospitals and Health Care,Senior Azure Cloud Engineer (.NET + AI Tools),Copilot,"ng role that blends deep Azure expertise, strong .NET development skills, and the ability to leverage modern AI-based tools (such as GitHub Copilot, Cursor, or AI pair programmers) to accelerate velocity, improve code quality, and drive innovation. You will serve as a technical leader, mentor, and collaborator—contributing to architectural patterns, syste"
linkedin_li-4392422443,Intellectt Inc,Software Development,Senior AI Engineer – Agentic AI & LLM Platforms,Agentic,"**Job Title: Lead AI Engineer – Agentic AI \& LLM Platforms** **Location: Alpharetta, GA (Onsite – 5 Days/Week)** **Experience: 10\+ Years** **Employment Type: Full-Time** **Role Overview** We are looking for a **Lead AI Engineer** with deep"
