uid,title,desc_snippet,swe_confidence,swe_classification_tier,source
arshkon_3894879350,Angular Developer,"Xenith Solutions is seeking an Angular Full Stack Developer with agile methodology experience to join our team in support of a Customs and Border Protection (CBP) contract in Northern VA (Ashburn, VA ",0.9,title_lookup_llm,kaggle_arshkon
linkedin_li-4392094775,Developer,"**About The Company**
 As an AI first company, our team excels across 3 specialized divisions. Our conversational AI division pioneers cutting edge customer engagement solutions. The publishing team f",0.9,title_lookup_llm,scraped
linkedin_li-4391793000,Programmer I,"**Job Requirements**
 The ideal candidate for the Programmer I position should possess strong technical skills and demonstrate the ability to collaborate effectively within a team environment. They mu",0.9,title_lookup_llm,scraped
linkedin_li-4388304447,Lead Automation Engineer,"**Please find details for this position below:**

 Client:
 
 Banking/Financial Industry
 

 Title:
 
**Automation Engineer / Lead Automation Engineer / Lead QA Automation Engineer** 

 Location:
 
 C",0.9,title_lookup_llm,scraped
asaniczka_4365322a88fe87bb,Software Design Engineer 3,"Our client, best-known software products based is seeking a software design engineer 3 to join their team. The ideal candidate will have Data Engineering , cloud technologies and Python or C## which w",0.9,title_lookup_llm,kaggle_asaniczka
linkedin_li-4385009729,Artificial Intelligence Engineer,"**AI Platform Engineer** 

 A technology focused role within a large, data-driven organization seeking an experienced engineer to build and scale modern AI, data, and application platforms. The positi",0.9,title_lookup_llm,scraped
asaniczka_7e7689f6c0381395,Senior QA Engineer,"Greetings From Photon,
We hope you are staying safe. We are hiring a
Senior QA Engineer
to join our Digital Engineering team.
Who are we?
For the past 20 years, we have powered many Digital Experience",0.9,title_lookup_llm,kaggle_asaniczka
arshkon_3904360804,Senior Quality Assurance Automation Engineer,"Role : Sr. QA Automation EngineerLocation : On-site (Chicago, IL)Job type : Fulltime / W2Pay : $110k-120k / Annum (Negotiable based on experience)
RESPONSIBILITIES :Use extensive Java, Selenium, Rest-",0.9,title_lookup_llm,kaggle_arshkon
linkedin_li-4392953471,Senior Test Engineer,"Skywater is seeking a Senior Test Engineer to design, configure, and optimize testing systems for complex drivetrain and powertrain components. This role focuses on hands-on mechanical testing, data a",0.9,title_lookup_llm,scraped
linkedin_li-4394246093,QA Automation Engineer,"Dice is the leading career destination for tech experts at every stage of their careers. Our client, Envision Technology Solutions, is seeking the following. Apply via Dice today!
   

  

**Job Title",0.9,title_lookup_llm,scraped
asaniczka_46a3d985207c92c1,Lead Automation Engineer,"Full benefits package with 15% annual bonus |Opportunity to lead a team of engineer and excel management career quickly
About Our Client
The family owned global manufacturer has recently acquire seven",0.9,title_lookup_llm,kaggle_asaniczka
asaniczka_937a60729f6d3d82,Senior MLOps Engineer,"Who is Recruiting from Scratch :
Recruiting from Scratch is a premier talent firm that focuses on placing the best product managers, software, and hardware talent at innovative companies. Our team is ",0.9,title_lookup_llm,kaggle_asaniczka
asaniczka_55ebaee786c61ff9,Firmware Engineer,"Job Title: UEFI Engineer
Location: Redmond, WA or Beaverton, OR (Onsite)
Full Time Role + Benefits + IPO Option
Requirements:
BS in Electrical Engineering, Computer Science/Engineering or equivalent, ",0.9,title_lookup_llm,kaggle_asaniczka
linkedin_li-4393813287,Senior Software Test Engineer,"Dice is the leading career destination for tech experts at every stage of their careers. Our client, Maxonic, Inc., is seeking the following. Apply via Dice today!
   

  

 Maxonic maintains a close ",0.9,title_lookup_llm,scraped
linkedin_li-4394999715,Developer,"Akkodis is seeking a
 **Developer** 
 for a
 **Contract** 
 with a client in
 **Princeton, NJ.** 
 The candidate will develop full‑stack applications by building scalable Java Spring Boot services and",0.9,title_lookup_llm,scraped
linkedin_li-4306142404,Sr. Developer,"At Barings, we are as invested in our associates as we are in our clients. We recognize those who work diligently for us and reward them for personal and professional integrity, communication skills, ",0.9,title_lookup_llm,scraped
asaniczka_71207ad9e69d3813,Sr. Test Engineer,"Job Title: Sr. Test Engineer
Location: Longmont, CO
Duration: 12 Months
Skills
C Programming Advanced
Description
Perform product testing and failure analysis to support new product development
Experi",0.9,title_lookup_llm,kaggle_asaniczka
asaniczka_441b785ff7c0ac38,Software Engineering Lead,"Department:
Technology
Employment Type:
Full Time
Location:
Salt Lake City, Utah
Compensation:
$120,000 - $140,000 / year
Description
Position Summary:
As the largest slush brand in the United States,",0.9,title_lookup_llm,kaggle_asaniczka
linkedin_li-4390360332,Test Engineer 3,"**Responsibilities**
 Kforce has a client that is seeking a Test Engineer in Pontiac, MI. Summary: The main function of a Test Engineer is to oversee the test development of automotive power electroni",0.9,title_lookup_llm,scraped
asaniczka_90ed9e3442d4622f,SR Computer Engineer,"Description
Dynetics, a wholly owned subsidiary of Leidos, is seeking a talented SR
Computer Engineer
to join a diverse team to create unique solutions for complex problems. With offices across the Un",0.9,title_lookup_llm,kaggle_asaniczka
arshkon_3899525628,Lead Automation Engineer,"Job Summary: As a Lead Test Automation Developer, you will collaborate with development, DevOps, product, and vendor teams to establish and execute test automation frameworks. Your role will focus on ",0.9,title_lookup_llm,kaggle_arshkon
linkedin_li-4387551016,QA Engineer,"Dice is the leading career destination for tech experts at every stage of their careers. Our client, Ztek Consulting, is seeking the following. Apply via Dice today!
   

  

**Position: QA Engineer**",0.9,title_lookup_llm,scraped
asaniczka_94d0cdb46e50ade7,Senior Firmware Engineer,"Position Summary
The Sr. Firmware Engineer is responsible for the design, development, and implementation of new products as well as engineering support for existing products. This individual performs",0.9,title_lookup_llm,kaggle_asaniczka
asaniczka_4677b917f05bf526,Azure Lead Engineer,"• Overall 10+ years of experience in Microsoft technology
• 5+ years of strong experience in Microsoft Azure, Azure Virtual Desktop, Azure Storage, Azure Networking, Azure Security, Azure Active Direc",0.9,title_lookup_llm,kaggle_asaniczka
