regex,uid,company,title,first_match,excerpt
canonical_broad,linkedin_li-4383126541,Fannie Mae,Advisor Software Engineer (AI/ML & AWS),OpenAI,"+ 2\+ years of experience in machine learning, data science, or AI engineering. + Hands-on experience with LLMs (e.g., OpenAI, Anthropic, Cohere) and prompt engineering. + Strong proficiency in Python and ML libraries (e.g., TensorFlow, PyTorch,"
canonical_broad,linkedin_li-4386943821,Moment,AI Engineer,AI tooling,on AI Agents and the applications of AI Agents. * Interested in keeping up with the quickly moving landscape of AI and AI tooling. * A product minded engineer that is willing to touch any part of the tech stack and use agents to self-serve. * Experi
canonical_broad,linkedin_li-4389744659,BlackRock,"Senior C++ Engineer, Aladdin Engineering - Trade Capture, VP",agentic,"ions for team productivity, efficiency, guiding and motivating others. * Leverage AI‑assisted tools (including LLMs and agentic workflows) to accelerate development, improve code quality, analyze production behavior, and support faster root‑cause"
canonical_broad,linkedin_li-4350463786,Credit Genie,"Staff Software Engineer, AI",MLOps,"t scale. * Collaborate with AI and ML Engineers to improve model deployment, monitoring, and experimentation workflows (MLOps/AIOps). * Drive technical excellence, setting high standards for code quality, system reliability, and performance. * M"
canonical_broad,linkedin_li-4397722017,JPMorgan Chase & Co.,Lead Data Engineer - Data Modeling,RAG,"ods and techniques, service health metrics (e.g., MTTD, MTTR), and post-incident reviews. * Applied use of LLMs/agents, RAG, anomaly detection, or automated runbooks to accelerate evidence collection, summarization, and action routing in revie"
canonical_broad,linkedin_li-4388559478,Remitly,Agentic Software Engineer,Agentic,"r vision to transform lives with trusted financial services that transcend borders. **About the Role:** As an Agentic Software Engineer, you orchestrate a fleet of AI agents to architect, build, and deploy production-grade systems, and n"
canonical_broad,linkedin_li-4379211414,SoFi,"Staff Software Engineer, Member AI Features",LLM,"ld the logic that powers spending management lifecycles—focusing on the complex workflows behind managing spending with LLM-powered workflows and automation. You will operate with a high degree of autonomy, owning meaningful backend components"
canonical_broad,linkedin_li-4373384689,"Safe-Guard Products International, LLC",AI/ML Engineer,GenAI,personal information should only be submitted via our official job platform.** **Job Title: AI/ML Engineer – Enterprise GenAI Platforms \& Employee Enablement** (hybrid- onsite Monday- Thursday) **Location:** US-GA-Atlanta (Sandy Spr
canonical_broad,linkedin_li-4381108781,Rockefeller Capital Management,AI Software Engineer,AI-powered,"ing .NET/C# deployed on Microsoft Azure, with occasional contributions to React (TypeScript) front ends * Contribute to AI-powered features including a text-to-SQL agent that enables financial advisors to query complex datasets using natural language"
canonical_broad,linkedin_li-4400289990,"Yoh, A Day & Zimmermann Company","DevOps Engineer/ Gen AI Developer  - Hybrid, Dallas, TX area - W2 Only",Gen AI,"please send the resume to : shashi.raj@yoh.com DevOps Engineer/ Gen AI Developer - Hybrid, Dallas, TX area - W2 Only ( No C2C is allowed) Hybrid, Dallas, TX area W2 Only * 8\+"
canonical_broad,linkedin_li-4397971855,"Arrowstreet Capital, Limited Partnership",Senior Software Engineer - Investment Data Systems,LLM,"k such as Ansible, Terraform, CloudFormation * Experience with CI/CD pipelines, with GitLab preferred * Experience with LLM (LLama), RAG implementation The base salary range for this position is $95,000 - $165,000 per year. Arrowst"
canonical_broad,linkedin_li-4374622506,GM Financial,Software Development Engineer III - GenAI,generative AI,"Why GM Financial Technology Innovation isn’t just a talking point at GM Financial, it’s how we operate. From generative AI and cloud-native technologies to peer-led learning and hackathons, our tech teams are building real solutions that make"
canonical_broad,linkedin_li-4399427170,Capital One,"Lead Software Engineer, Back End (Enterprise Platform Technology)",AI-powered,ing a major transformation within Capital One. Capital One’s marketing technology organization is building an AI-powered campaign orchestration platform that automates the full lifecycle of marketing campaigns — from natural language intake
canonical_broad,linkedin_li-4385526980,Wellington Management,"Lead Market Data Systems Engineer, Technology Data & Data Access",Copilot,"JavaScript. * Experience with Linux and Windows operating systems. * Experience leveraging AI productivity tools (e.g., Copilot, Claude) to improve efficiency and operational outcomes. * Hands-on experience building, deploying, and operating appli"
canonical_broad,linkedin_li-4382348807,IntraFi,Software Engineer,generative AI,"by participating in an on-call rotation to support live systems and ensure consistent service availability. * Leverage generative AI tools to improve coding efficiency, assist with documentation, and support research or troubleshooting efforts where ap"
canonical_broad,linkedin_li-4388560798,Moody's,Data Engineer-Data Platform & Analytics,AI-powered,ds-on experience using AI tools to streamline workflows and enhance operational efficiency. Proven ability to implement AI-powered solutions to solve business challenges. Demonstrates a growing awareness of AI risk management and a commitment to resp
canonical_broad,linkedin_li-4390381139,Capital One,Lead AI Engineer (MLX),AI-powered,"a cross-functional team of engineers, research scientists, technical program managers, and product managers to deliver AI-powered products that change how our associates work and how our customers interact with Capital One. * Design, develop, test,"
canonical_broad,linkedin_li-4367170196,JPMorgan Chase & Co.,Software Engineer III - iOS Mobile Engineer,AI-powered,"unit tests (XCTest), UI tests (XCUITest), and automated test suites to ensure code quality and reliability. * Leverages AI-powered development tools and code automation platforms to enhance productivity, code quality, and development efficiency. * Id"
canonical_broad,linkedin_li-4389470546,PNC,Software Engineer Lead - Core AI,GenAI,", NLP, and Automation Engineering Lead the design and development of NLP modules, conversational AI capabilities, and GenAI-powered automation using Python and Java to support core AI product initiatives. Drive experimentation and re"
canonical_broad,linkedin_li-4397620721,KPMG US,"Senior Associate, Data Engineering",AI-assisted,"hitects, analysts and create technical design and propose solution approaches to meet business requirements. * Leverage AI-assisted development tools to improve quality and accelerate delivery * Assist project managers in creating effective and achiev"
strict_v9like,linkedin_li-4400016035,KPMG US,AI Engineer- Associate,generative AI,"Audit Technology Alliance organization. Responsibilities: * Implement, test and deploy features for generative AI products; write clean, high-quality code under the guidance of senior team members * Work closely with the team to inte"
strict_v9like,linkedin_li-4315979319,Aspida,Lead AI Engineer,LLM,", and deliver early wins. * Deliver AI-driven features across web, mobile, and enterprise platforms. * Build and deploy LLM-powered applications, RAG pipelines, and scalable APIs connecting model intelligence with real-world user experiences."
strict_v9like,linkedin_li-4400260348,Capital One,Distinguished Data Engineer - Enterprise Data Technology,agentic,"icks,Snowflake,AWS data pipeline. * Provide technical leadership for the design, development, testing and deployment of agentic workflows across Capital One.This position requires a combination of strategic thinking, technical expertise in AI,ML a"
strict_v9like,linkedin_li-4349798868,Charles Schwab,Senior Software Engineer - AI Engineering & Operations,Generative AI,"ial planning. As part of Schwab's AI Engineering \& Operations team, you will be building the next generation Generative AI solutions that shape the future of technology at Schwab. In this role, you will contribute to the development and deplo"
strict_v9like,linkedin_li-4385292440,GM Financial,Site Reliability Engineer II,generative AI,"ation drives everything we do. We’re not just adopting technology — we’re shaping the future of software delivery. From generative AI and cloud-native platforms to advanced release engineering practices, our teams are redefining how financial technology"
strict_v9like,linkedin_li-4379516112,Capital One,Sr. Lead AI Engineer,foundation model,"our customers interact with Capital One. * Design, develop, test, deploy, and support AI software components including foundation model training, large language model inference, similarity search, guardrails, model evaluation, experimentation, governance,"
strict_v9like,linkedin_li-4385778604,ICE,Senior Front End Developer,Claude,"scaling and resilience, maintain our own bespoke CMS platform, and actively use AI-assisted development tools including Claude Code and Cursor. We’re looking for a Senior Front-End Engineer who is equally at home writing production-grad"
strict_v9like,linkedin_li-4387258938,Acadian Asset Management,"VP, Principal AI Engineer",agentic,"rprise-grade AI platforms and solutions across the firm. This role owns the firm’s AI architecture end-to-end, spanning agentic systems, retrieval-augmented generation (RAG), model integration, evaluation, security, and operationalization."
