uid,title,company_name_canonical,period,seniority_3level,yoe_min_years_llm,metro_area,desc_excerpt,thread,ai_match
linkedin_li-4387538523,Sr. ML Engineer/MLOps | Need local to TX only | Who are authorized work without Sponsorship | C2C | W2 | C2H,TEKEngineersInc,2026-03,senior,,Dallas-Fort Worth Metro,"Dice is the leading career destination for tech experts at every stage of their careers. Our client, TEKEngineersInc, is seeking the following. Apply via Dice today!
   

  

 Role: Sr. ML Engineer/MLOps
   

  

 Location: Dallas, TX (Hybrid-Need local to TX)
   

  

 Duration: Long term
   

  

 Visa: Who are authorized work without Sponsorship
   

  

 Technical Skills and Qualifications:
   

  

 Strong foundation in machine learning and deep learning algorithms.
   

  

 Proficiency in",1a_applied_ai_title_senior_2026,
linkedin_li-4396672037,Staff Machine Learning Engineer,Oscar,2026-04,senior,7,Austin Metro,"* Design and deliver state-of-the-art Generative AI systems and experiences that set the standard for quality, engagement, and trust in a human-centered product domain.
* Mentor and elevate engineers at all levels through technical guidance, code and design reviews, and thought partnership, raising the bar for engineering excellence.
* Collaborate deeply with cross-functional partners across product, research, design, and engineering to ship and scale first-of-their-kind AI products.
* Shape dir",1a_applied_ai_title_senior_2026,
linkedin_li-4402141844,Senior Machine Learning Engineer- Credit Karma,Intuit,2026-04,senior,7,San Francisco Bay Area,"**Overview**
 Intuit Credit Karma is looking for a results-oriented and skilled Machine Learning Engineer to join
   

  

 our team, focusing on building and deploying the infrastructure, services, and SDKs enabling
   

  

 Credit Karma’s Data Science teams to prototype, deploy, score, and monitor predictive models
   

  

 at scale. The ideal candidate will have expertise in MLOps, big data technologies, software
   

  

 development, data engineering, deep learning ML frameworks, and is d",1a_applied_ai_title_senior_2026,
linkedin_li-4400534867,Senior Generative AI Engineer (.NET Focus),Hudson IT and Manpower,2026-04,senior,,Chicago Metro,"**Job Overview:**

 We are seeking a highly skilled
 **Senior Generative AI Engineer** 
 with a strong background in
 **.NET technologies** 
 and
 **AI/ML** 
 . The ideal candidate will have hands-on experience building and deploying
 **Generative AI solutions** 
 , working with
 **LLMs** 
 , and designing scalable applications using modern architectures.
 

  

**Employment Type:**

 W2 Only
 

**Work Authorization:**

 US Citizens Only
 

  

**Key Responsibilities:**

* Develop and deploy Gen",1a_applied_ai_title_senior_2026,
linkedin_li-4397825151,Senior AI Engineer,National Vision Inc.,2026-04,senior,4,Atlanta Metro,"**Company Description**
 At National Vision we believe everyone deserves to see their best to live their best. We help people by making quality eye care and eyewear more affordable and accessible. National Vision is one of the largest optical retail companies in the United States with over 1,200 stores. We operate four retail brands: America’s Best Contacts \& Eyeglasses, Eyeglass World, and Vista Optical inside select Fred Meyer stores and on select military bases. We offer an innovative cultur",1a_applied_ai_title_senior_2026,
linkedin_li-4400752652,Staff Machine Learning Engineer – On-Device AI/ML,Qualcomm,2026-04,senior,2,,"**Company**
 Qualcomm Technologies, Inc.
   

  

**Job Area**
 Engineering Group, Engineering Group \> Machine Learning Engineering
   

  

**General Summary**
 Qualcomm AI Hub is the platform for on-device AI — enabling developers to easily integrate, optimize, profile, and deploy ML models on Qualcomm devices. Qualcomm AI Hub Workbench lets developers compile trained PyTorch or ONNX models into deployable artifacts targeting a variety of runtimes — Lite RT, ONNX Runtime (ORT), or Qualcomm AI",1a_applied_ai_title_senior_2026,
linkedin_li-4392342845,AI Engineer,People In AI,2026-03,senior,,San Diego Metro,"**Job Title:** 
 Senior AI Engineer
 

**Compensation:** 
 $175,000 - $190,000 base salary
 

**Location:** 
 Full-time onsite
 

  

  

**About the Role:** 

 This is a high-impact opportunity to join a central AI Enablement team responsible for shaping how AI is built, deployed, and scaled across a large global engineering organization. Operating as a “hub” within a hub-and-spoke model, this team defines the platforms, frameworks, and standards that power AI adoption across 800\+ engineers.
 ",1a_applied_ai_title_senior_2026,
linkedin_li-4388670462,"Principal Machine Learning Engineer I *** Hybrid in Raleigh, NC",hackajob,2026-03,senior,,Raleigh-Durham-Chapel Hill,"***hackajob** 
 is collaborating with
 **LexisNexis** 
 to connect them with exceptional professionals for this role.*
* About our Team

 LexisNexis Legal \& Professional, which serves customers in more than 150 countries with 11,800 employees worldwide, is part of RELX, a global provider of information-based analytics and decision tools for professional and business customers. Our company has been a long-time leader in deploying AI and advanced technologies to the legal market to improve produc",1a_applied_ai_title_senior_2026,
linkedin_li-4390545239,"Service Delivery Center, AI & Data, Machine Learning Engineer (MLE) - Senior - Tampa",Ernst & Young,2026-03,senior,8,Tampa Bay Metro,"Location: Tampa
   

  

 At EY, we’re all in to shape your future with confidence.
   

  

 We’ll help you succeed in a globally connected powerhouse of diverse teams and take your career wherever you want it to go. Join EY and help to build a better working world.
   

  

**Senior Machine Learning Engineer**
**EY is the only professional services firm with a separate business unit (“FSO”) that is dedicated to the financial services marketplace. Our FSO teams have been at the forefront of eve",1a_applied_ai_title_senior_2026,
linkedin_li-4367635023,"Senior AI Engineer, Agent Workflows",Govini,2026-04,senior,5,Pittsburgh Metro,"**Company Description**
 Govini transforms Defense Acquisition from an outdated manual process to a software-driven strategic advantage for the United States. Our flagship product, Ark, supports Supply Chain, Science \& Technology, Production, Sustainment, Logistics, and Modernization teams with AI-enabled Applications and best-in-class data to more rapidly imagine, develop, and field the capabilities we need. Today, the national security community and every branch of the military rely on Govini",1a_applied_ai_title_senior_2026,
