uid,company,company_industry,title,excerpt
linkedin_li-4392488498,Jeeva AI,Software Development,"Sr. AI Backend Engineer (Agentic Platform) (Onsite, South San Francisco 94080)","Hands-on experience with Retrieval-Augmented Generation (RAG) and Agentic RAG frameworks. * Familiarity with agent-based frameworks (e.g., OpenAI Gym, LangChain, Rasa, Ray RLLib, etc.). * Experience in reinforcement learning, supervised learning, and unsupervised learning to enhance agent capabilities. * Proficiency in NLP techniques and frame"
linkedin_li-4382483610,Zip,Software Development,"Software Engineer, AI Product (Mid-Senior level)","ears, Zip has created a new category and developed the leading solution in this $50B\+ TAM space. Today, the world’s leading companies like OpenAI, Snowflake, Anthropic, Coinbase, and JPMorgan Chase rely on Zip to manage billions of dollars in spend. We have a world-class team coming from category-defining companies like Airbnb, Meta,"
linkedin_li-4400274619,DataVisor,Software Development,"Software Engineer, Artificial Intelligence","entic Flow \& AI Application Development Build agentic flows and AI applications by leveraging state-of-the-art, out-of-the-box LLMs (e.g., OpenAI, Anthropic, Google) to enable natural language interaction, intelligent rule merging, and automated fraud strategy recommendations. * AI Agent Workflow Ownership Own and extend the internal AI agent"
linkedin_li-4401117365,TechSpace Solutions Inc,Software Development,Senior Agentic Platform Engineer,"eGraph, Command, and Persistence) and LangChain. * Multi-LLM Mastery: Expert implementation of frontier models (including Anthropic Claude, OpenAI GPT, and Llama) and the Model Context Protocol (MCP) for standardized tool-calling and context injection across model providers. * TigerGraph \& GSQL Specialist (5\+ years): Expert-level proficiency"
linkedin_li-4388666761,TrueFoundry,Software Development,Senior Staff Software Engineer,"**The Problem We're Solving** Companies are moving beyond simple chatbots to production agentic systems. These systems route between OpenAI, Anthropic, Google, and self-hosted models. They integrate dozens of tools via protocols like MCP. They orchestrate multi-agent workflows where agents coordinate with other agents. The infrastruc"
linkedin_li-4393042399,I2U Systems,Software Development,Sr Backend Engineer--Local to CA,"g EKS or GKE * Infrastructure-as-code familiarity with Terraform, Pulumi, or CloudFormation * Experience integrating LLM APIs such as Azure OpenAI, OpenAI, Anthropic, Vertex AI, or Bedrock into applications * Experience with prompt engineering, token management, and error handling for LLM-enabled applications * Experience with data manipulation"
linkedin_li-4393478876,Insight Global,Software Development,Ai Software Engineer,"f RAG system components: vector databases, embeddings, retrieval strategies, and prompt engineering * Familiarity with major LLM providers (OpenAI, Anthropic, Google, Meta, etc.) and understanding of their trade-offs in terms of performance, cost, latency, and capabilities **Roles and Responsibilities** * Design and develop AI agents and aut"
linkedin_li-4393509071,"AGI, Inc.","Technology, Information and Internet",ML Platform & Infrastructure Engineer,"le day. Why AGI, Inc. We’re a stealth team of elite founders and AI researchers, with backgrounds spanning **Stanford, OpenAI, and DeepMind** . We’re industry leaders in mobile and computer-use agents, bringing these capabilities to consumer scale. Grounded in years of agent research, our AI is designed with tru"
linkedin_li-4382794949,Kai,Computer and Network Security,"Senior Software Engineer, AI Platform",". You need to raise the bar without creating friction **Preferred Qualifications** * Experience working with LLM provider APIs (Anthropic, OpenAI, Azure OpenAI) — understanding token limits, prompt design, structured output parsing, and retry patterns * Experience with structured logging (structlog), observability tools (OpenTelemetry, Prometh"
linkedin_li-4356783257,Palo Alto Networks,Computer and Network Security,"Senior IT Software Engineer, GTM & CX Products","ta structures, algorithms, and design patterns. * Experience building production applications with LLM APIs (e.g., Google Vertex AI/Gemini, OpenAI, Anthropic). * Familiarity with Large Language Models (LLMs), vector embeddings, semantic search, and similarity-based retrieval patterns. * Understanding of prompt engineering best practices and LLM"
