uid,title,company,yoe_extracted_y,kitchen_sink_score,aspiration_ratio,hedge_count,firm_count,scope_count,n_distinct_tech,ai_count,yoe_scope_mismatch_combined,snippet
linkedin_li-4384257974,Software Engineer- Sr. Consultant (GenAI/Cloud),Visa,2.0,123,2.0,2,0,3,41,5,0,"Visa is a world leader in payments and technology, with over 259 billion payments transactions flowing safely between consumers, merchants, financial institutions, and government entities in more than 200 countries and territories each year. Our mission is to connect the world through the most innovative, convenient, reliable, and secure payments network, enabling individuals, businesses, and economies to thrive while driven by a common purpose – to uplift everyone, everywhere by being the best way to pay and be paid.   Make an impact with a purpose-driven industry leader. Join us today and experience Life at Visa.  **Job Description**   Visa’s Technology Organization is a community of probl"
linkedin_li-4393014250,Staff Software Engineer- Sr. Consultant (AI Agent/ Agentic Focus),Visa,2.0,123,2.0,2,0,3,41,5,0,"Visa is a world leader in payments and technology, with over 259 billion payments transactions flowing safely between consumers, merchants, financial institutions, and government entities in more than 200 countries and territories each year. Our mission is to connect the world through the most innovative, convenient, reliable, and secure payments network, enabling individuals, businesses, and economies to thrive while driven by a common purpose – to uplift everyone, everywhere by being the best way to pay and be paid.   Make an impact with a purpose-driven industry leader. Join us today and experience Life at Visa.  **Job Description**   Visa’s Technology Organization is a community of probl"
linkedin_li-4395309456,AI Engineer,InterImage,,105,4.0,4,0,3,35,2,0,"**Overview**  We have an immediate need for an Artificial Intelligence (AI) Engineer to support TO-005, Report Authoring and Dissemination (RAD). This role will work closely with system and software engineers to design, prototype, and integrate AI-driven capabilities into the existing RAD architecture—while also contributing to the design of next-generation architecture built for scalability and large data processing.   This is a transformative opportunity to build systems from the ground up that augment human intelligence, streamline workflows, and enable data-driven decision-making across enterprise environments handling high-volume, complex datasets.  **Key Responsibilities**  AI Solution"
linkedin_li-4391655917,AI Platform Engineer Sr (API expert),Jobs via Dice,,116,1.0,1,0,4,29,5,0,"**Job Description**  The Lockheed Martin Artificial Intelligence Center (LAIC) is seeking a Platform-focused AI Engineer to drive the development of our internal AI Factory. As an AI Platform Engineer, your primary product is the platform itself. You will be responsible for building the robust back-end services, intuitive front-end interfaces, and seamless API contracts that enable AI/ML practitioners to deploy GenAI and MLOps workloads at scale.   We are looking for a ""Force Multiplier""-an engineer who not only builds AI platforms but effectively leverages AI tools and autonomous agents to accelerate their own development lifecycle and improve code quality.  * API-First Development: Design,"
linkedin_li-4394653467,AI Platform Engineer Sr (API expert),Lockheed Martin,,112,1.0,1,0,4,28,5,0,"**Basic Qualifications** | * Education: Bachelor’s Degree in Engineering, Computer Science, or related technical discipline. * Full-Stack Development: Proven experience with both Back-End frameworks (FastAPI, Flask, Gin, or Spring Boot) and Front-End frameworks (React, Angular, or Next.js). * API Mastery: Advanced knowledge of RESTful API design principles, including versioning, authentication (OAuth2/OIDC), and documentation (OpenAPI/Swagger). * AI Tooling Proficiency: Demonstrated ability to use AI-assisted development tools and agents to increase engineering velocity and maintain high-quality codebases. * Cloud-Native Foundation: Hands-on experience deploying and managing containerized se"
linkedin_li-4392952394,Senior Full Stack Engineer,CVS Health,2.0,82,4.0,4,1,2,41,4,0,"We’re building a world of health around every individual — shaping a more connected, convenient and compassionate health experience. At CVS Health®, you’ll be surrounded by passionate colleagues who care deeply, innovate with purpose, hold ourselves accountable and prioritize safety and quality in everything we do. Join us and be part of something bigger – helping to simplify health care one person, one family and one community at a time.  **Position Summary**  At CVS Health, we are committed to delivering an exceptional developer experience across our digital engineering organization. We are building a Developer Experience (DevEx) Tooling \& Automation team and are seeking a hands-on Senior"
linkedin_li-4390671959,"Software Engineer - Hybrid/Bellevue, WA",Brook Health,2.0,84,3.0,3,0,4,21,2,0,"Job Type   Full-time  **Description** **About Brook Inc**  Brook Health delivers care beyond the walls of the doctor’s office. Brook provides people living with chronic conditions a highly personalized experience enhanced by AI and powered by mobile apps, connected devices, and a team of health coaches and clinicians. We help people achieve their long-term health goals by supporting smart, daily decisions and partnering with their primary care physicians.   Our product suite includes continuous remote monitoring, population health management tools, and a CDC-approved diabetes prevention program.   Brook has an intentional, user-centric culture with high expectations for delivering better hea"
linkedin_li-4384335950,Senior AI Solutions and Platform Engineer,Xylem,,99,1.0,1,0,3,33,4,0,"Xylem is a Fortune 500 global water solutions company dedicated to advancing sustainable impact and empowering the people who make water work every day. As a leading water technology company with 23,000 employees operating in over 150 countries, Xylem is at the forefront of addressing the world's most critical water challenges. We invite passionate individuals to join our team, dedicated to exceeding customer expectations through innovative and sustainable solutions.  **POD Technical Leadership** ****You Are Accountable For:**** * Technical decisions and implementation quality within the POD * Ensuring engineering velocity, code quality, and adherence to platform and architectural standards "
linkedin_li-4394393444,Software Engineer Principal,PNC,,72,4.0,4,0,4,18,0,0,"R213126  **Job Profile** **Position Overview**  At PNC, our people are our greatest differentiator and competitive advantage in the markets we serve. We are all united in delivering the best experience for our customers. We work together each day to foster an inclusive workplace culture where all of our employees feel respected, valued and have an opportunity to contribute to the company’s success. As a Software Engineer Principal within PNC's C\&IB organization, you will be based in Pittsburgh, PA or Dallas, TX.   As a Software Engineering Principal you will play a critical technical leadership role in designing, building, and evolving large-scale, business critical platforms. This role is "
linkedin_li-4392496940,Platform Infrastructure Engineer,SAP,2.0,88,2.0,2,0,4,22,3,0,"**We help the world run better**  At SAP, we keep it simple: you bring your best to us, and we'll bring out the best in you. We're builders touching over 20 industries and 80% of global commerce, and we need your unique talents to help shape what's next. The work is challenging – but it matters. You'll find a place where you can be yourself, prioritize your wellbeing, and truly belong. What's in it for you? Constant learning, skill growth, great benefits, and a team that wants you to grow and succeed.  **About The Role**  SAP helps the world run better. We enable organizations to operate with purpose and agility, turning complexity into opportunity. Join us and help build the platforms that "
linkedin_li-4374627347,Site Reliability Engineer,Priceline,2.0,76,3.0,3,0,4,19,2,0,"**Site Reliability Engineer** As Priceline caters to the global market, enhancing performance of highly scalable, high performance web-based products continues to be a main focus. We strive to build infrastructure and eliminate manual work through automation. Practices such as limiting time spent on operational work and proactive identification of potential outages factor into iterative improvement that is key to both product quality and interesting and dynamic day-to-day work. **In This Role You Will Get To** * Actively participate in deploying and supporting applications in our Cloud and Kubernetes environments. * Collaborate with development teams to support and evolve our cloud‑native ar"
linkedin_li-4388324416,AI Engineer,Blank Metal,2.0,76,3.0,3,1,4,19,6,0,"**About Blank Metal**  Blank Metal is an AI-native engineering company that partners with enterprises to deliver production AI fast. We blend strategic insight with hands-on execution, shipping high-impact systems that turn AI initiatives into measurable business results.   We're builders, not theorists. Our team of seasoned engineers, designers, and strategists work across industries to create AI applications that actually get used and make a difference.  **The Role**  You're an experienced engineer who ships production AI features with confidence. You understand how to integrate LLM APIs and AI services into robust applications, architect scalable AI-powered systems, and deliver high-impac"
linkedin_li-4395357569,Full Stack Engineer,Altimetrik,,64,4.0,4,1,4,16,0,0,"**Job Title: Senior / Lead Full Stack Engineer (Java \+ React)**   **Location:**   Austin, TX or Charlotte, NC (Hybrid)  **Role Overview**    We are seeking a  **Senior / Lead Full Stack Engineer**   with strong expertise in  **Java (backend) and React (frontend)**   to design, build, and scale modern, high-performance applications. This role requires a hands-on engineer who can operate at both  **system design and implementation levels**   , drive technical decisions, and mentor junior engineers.   You will work in a fast-paced, collaborative environment, contributing to architecture, development, and delivery of scalable, cloud-native solutions.  **Key Responsibilities**   * Design, develo"
