company,posting_count,share_of_source,mean_yoe,mean_desc_len,entry_share_senfinal,entry_share_yoe,aggregator_share,mode_industry,source
Amazon,142,0.007832754150808098,3.8333333333333335,4524.211267605634,0.035211267605633804,0.057971014492753624,0.0,,kaggle_asaniczka
Syrinx Consulting,133,0.007336311986320261,6.189873417721519,2045.6466165413533,0.0,0.05063291139240506,0.0,,kaggle_asaniczka
"Syms Strategic Group, LLC (SSG)",118,0.006508908378840532,,2931.1949152542375,0.0,,0.0,,kaggle_asaniczka
Latitude Inc,108,0.005957305973854046,3.870967741935484,1920.148148148148,0.1574074074074074,0.3064516129032258,0.0,,kaggle_asaniczka
Kforce Inc,99,0.005460863809366208,4.779411764705882,3306.40404040404,0.030303030303030304,0.19117647058823528,1.0,,kaggle_asaniczka
BLUE ORIGIN,99,0.005460863809366208,5.373493975903615,7268.19191919192,0.020202020202020204,0.14457831325301204,0.0,,kaggle_asaniczka
Amazon Web Services (AWS),97,0.005350543328368912,3.5520833333333335,5149.670103092783,0.0,0.03125,0.0,,kaggle_asaniczka
CyberCoders,95,0.005240222847371615,5.090909090909091,3141.3473684210526,0.0,0.0,1.0,,kaggle_asaniczka
Palo Alto Networks,86,0.004743780682883778,5.357142857142857,5769.779069767442,0.011627906976744186,0.023809523809523808,0.0,,kaggle_asaniczka
Lockheed Martin,86,0.004743780682883778,5.818181818181818,2307.0581395348836,0.0,0.0,0.0,,kaggle_asaniczka
Intellectt Inc,86,0.004743780682883778,6.0754716981132075,1604.9302325581396,0.03488372093023256,0.11320754716981132,0.0,,kaggle_asaniczka
Motion Recruitment,84,0.0046334602018864805,4.442622950819672,1636.3809523809523,0.011904761904761904,0.14754098360655737,1.0,,kaggle_asaniczka
Discover Financial Services,80,0.004412819239891886,4.45,5062.675,0.0,0.05,0.0,,kaggle_asaniczka
Jobs via Dice,1711,0.041853183630537416,4.9013409961685825,5207.977206312098,0.02396259497369959,0.19923371647509577,1.0,Software Development,scraped
Google,757,0.018517159560676108,2.754691689008043,4767.603698811096,0.009247027741083224,0.5241286863270778,0.0,"Information Services and Technology, Information and Internet",scraped
JPMorgan Chase & Co.,657,0.016071035444338445,5.12453531598513,5819.563165905632,0.0,0.04460966542750929,0.0,Financial Services,scraped
Microsoft,386,0.00944203908906338,3.683646112600536,6428.79792746114,0.0025906735751295338,0.38605898123324395,0.012953367875647668,Software Development,scraped
Amazon Web Services (AWS),339,0.008292360754384678,3.776758409785933,6846.961651917404,0.0,0.07339449541284404,0.0,IT Services and IT Consulting,scraped
Amazon,335,0.00819451578973117,3.3746031746031746,5631.331343283582,0.04776119402985075,0.1492063492063492,0.03582089552238806,Software Development,scraped
Booz Allen Hamilton,303,0.007411756072503119,4.0375,5634.270627062706,0.006600660066006601,0.30833333333333335,0.0,Software Development,scraped
Wells Fargo,288,0.00704483745505247,3.7103174603174605,5888.552083333333,0.0,0.2777777777777778,0.0,"Financial Services, Investment Management, and Banking",scraped
Anduril Industries,255,0.006237616496661041,4.878571428571429,8356.219607843137,0.00784313725490196,0.12857142857142856,0.0,Defense and Space Manufacturing,scraped
Leidos,245,0.005993004085027274,7.082051282051282,7433.244897959184,0.11428571428571428,0.2153846153846154,0.04081632653061224,IT Services and IT Consulting,scraped
Actalent,238,0.0058217753968836375,4.535483870967742,4840.605042016807,0.008403361344537815,0.2129032258064516,1.0,Business Consulting and Services,scraped
Walmart,233,0.005699469191066755,2.1545064377682404,8725.02575107296,0.0,0.7381974248927039,0.0,Retail,scraped
Haystack,232,0.005675007949903378,5.346153846153846,2012.4870689655172,0.021551724137931036,0.14835164835164835,0.0,"Technology, Information and Internet",scraped
Motion Recruitment,229,0.005601624226413248,4.97972972972973,2311.192139737991,0.008733624454148471,0.10810810810810811,1.0,Staffing and Recruiting,scraped
Capital One,223,0.005454856779432989,4.2242152466367715,6540.017937219731,0.0,0.10762331838565023,0.008968609865470852,Financial Services,scraped
hackajob,216,0.005283628091289352,5.421686746987952,5945.1712962962965,0.018518518518518517,0.12048192771084337,0.0,Software Development,scraped
NVIDIA,188,0.004598713338714806,6.392592592592592,4125.659574468085,0.010638297872340425,0.06666666666666667,0.0,Computer Hardware Manufacturing,scraped
Uber,187,0.00457425209755143,4.483221476510067,3613.8342245989306,0.016042780748663103,0.20134228187919462,0.0,Internet Marketplace Platforms,scraped
General Motors,182,0.004451945891734547,5.284722222222222,7201.7032967032965,0.054945054945054944,0.1111111111111111,0.016483516483516484,"Motor Vehicle Manufacturing, Appliances, Electrical, and Electronics Manufacturing, and IT Services and IT Consulting",scraped
Peraton,181,0.00442748465057117,5.859259259259259,5879.712707182321,0.06629834254143646,0.18518518518518517,0.0,Civil Engineering,scraped
