uid,source,period,title,company_name_canonical,seniority_final,yoe_extracted,text_source,text_len,tech_count,ai_count,soft_skill_count,scope_count,management_strong_count,management_broad_count,education_level,requirement_breadth,credential_stack_depth,tech_density,scope_density,excerpt
linkedin_li-4367640223,scraped,2026-04,Senior Software Engineer (Java),HireRight,mid-senior,7.0,llm,1534,20,4,0,2,0,0,none,27,4,13.03780964797914,1.303780964797914,"\& expertise tn. , , , maintain backend microservices platform. extensively \& high-performance layers, , , closely cross-functional including , , qa, management. * , , high-performance, * microservices architectures * event-driven architec"
asaniczka_5ec2bb67281018c0,kaggle_asaniczka,2024-01,Sr Principal Software Engineer,Allegiant,mid-senior,9.0,llm,3136,18,0,3,3,1,1,none,26,5,5.739795918367347,0.9566326530612245,"summary , full-stack , , maintainable systems. end-to-end, collaborating definitions , architecting implementing , ensuring deployment. closely facilitate necessary participate methodologies. participate , discussions activities. ’ comforta"
asaniczka_be89666c60802c1e,kaggle_asaniczka,2024-01,Sr Principal Software Engineer,Allegiant,mid-senior,9.0,llm,2881,18,0,3,3,1,1,none,26,5,6.24783061437001,1.0413051023950017,", full-stack , , maintainable systems. end-to-end, collaborating definitions , architecting implementing , ensuring deployment. closely facilitate necessary participate methodologies. participate , discussions activities. ’ comfortable inde"
linkedin_li-4379037398,scraped,2026-03,Full Stack Developer with Cloud and DevOps Experience,Guidehouse,unknown,,llm,1685,24,0,0,1,0,0,none,25,2,14.243323442136498,0.5934718100890207,"** ** | ** ** obtain \& (nlm) (occs) projects. involves modernizing , enabling interoperability , , hands-on python/django, ( ), node.js (express/nestjs), javascript , angular, aws, , selenium-based , mature practices. ** ** * , , maintain "
linkedin_li-4388701059,scraped,2026-03,Lead Full Stack Developer,Wells Fargo,mid-senior,4.0,llm,1041,23,0,0,1,0,0,none,25,3,22.094140249759846,0.9606147934678194,"- \& (gplt)/working ( ) gplt provides , enterprise-wide capabilities enabling terms , , , , , cost. rewrite requires hands-on end-to-end modernization. application. ** , ** * including companywide * participant companywide large-scale disci"
linkedin_li-4393030938,scraped,2026-04,Java Full Stack Engineer - React,LTM,unknown,5.0,llm,1852,16,6,0,1,0,1,none,24,4,8.639308855291576,0.5399568034557235,"** : ** ** : , , ** full-stack ai next ai-powered user challenges. entire — front-end robust back-end cutting-edge ai systems. designing, , high-impact ai-driven , , influencing * full-stack ai : , , end-to-end leveraging ( , next.js), fast"
linkedin_li-4389708542,scraped,2026-03,Java Full stack Engineer,ApTask,unknown,7.0,llm,1679,15,6,0,1,0,1,none,23,4,8.933889219773675,0.5955926146515783,": | ** ** : , , ** full-stack ai next ai-powered user challenges. entire — front-end robust back-end cutting-edge ai systems. ** ** * full-stack ai : , , end-to-end leveraging ( , next.js), fastapi ( ), , (llms) core. * ai : multi-step , , "
asaniczka_ce85c940df870c26,kaggle_asaniczka,2024-01,Principal Software Engineer I - SRE (Observability),GEICO,mid-senior,4.0,llm,1390,20,0,1,1,0,0,none,23,4,14.388489208633093,0.7194244604316546,"high-performance, , zero-downtime platforms. , co-creating , improve, existing identify problems. friction-less maintain highest availability. thrives succeeds delivering high-quality hyper-growth quickly. execution roadmap increase deliver"
linkedin_li-4371559617,scraped,2026-03,"AI Lead Engineer, Client Technology - SVP",Citigroup,mid-senior,10.0,llm,2323,12,7,1,1,0,0,none,22,5,5.165733964700818,0.4304778303917348,"** summary/position ** pragmatic ai , , ai multifaceted involves ai , actions, executing tasks minimal , contributing generative ai possess ai , agent-based , , practices. * generative ai : , , , including , , , execution modules. contribut"
linkedin_li-4394653467,scraped,2026-04,AI Platform Engineer Sr (API expert),Lockheed Martin,mid-senior,,llm,1857,14,5,1,2,0,1,none,22,4,7.539041464728056,1.0770059235325795,"** qualifications** | * : bachelor’ , , discipline. * full-stack : back-end (fastapi, flask, , ) front-end ( , angular, next.js) * api : restful api , including versioning, authentication (oauth2/oidc), documentation (openapi/swagger) * ai "
linkedin_li-4308091121,scraped,2026-03,Senior Data Engineer,LINQX,mid-senior,2.0,llm,1584,19,0,0,2,0,3,none,22,3,11.994949494949495,1.2626262626262625,"** summary:** , , operates cloud-scale ai, , ml, business. , , , , cost-efficient aws/azure. implements , , , layers. , collaborating , , governance. ** / ** * end-to-end (e.g., , , “ ” ); coordinate dependencies systems. * ; , estimate , ,"
linkedin_li-4375634245,scraped,2026-04,Sr Software Engineer,Baylor Genetics,mid-senior,6.0,llm,1524,20,0,0,1,0,1,none,22,3,13.123359580052494,0.6561679790026247,"** summary** , , maintain end-to-end backend demands front-end backend , , practices. hands-on thrives problems, , leveraging , kubernetes, c#, , databases including sql, postgresql, nosql systems. measured cohesive, end-to-end , backend, l"
arshkon_3895240684,kaggle_arshkon,2024-04,Senior Software Engineer - MFT,Equifax,mid-senior,5.0,llm,1141,20,0,0,1,0,1,none,22,3,17.5284837861525,0.8764241893076249,"mft searching , , mft platform. , cutting-edge cloud-based ’ , , operate stack. , , , , maintain, improve software. (serverless , microservices , ci/cd, infrastructure-as-code, ) existing , , toolset. participate roadmap discussions require"
linkedin_li-4391861751,scraped,2026-03,Full Stack Developer,"Eccalon, LLC",unknown,3.0,llm,2450,12,3,3,2,0,3,none,21,5,4.8979591836734695,0.8163265306122449,"** ** ** : full-time** ** : ** ** ** , , , , programs. end-to-end— front-ends next.js node.js/python aws-hosted — llm ai-assisted capabilities. closely cross-functional including , ux/ui , security-conscious, compliance-driven environment. "
linkedin_li-4384950903,scraped,2026-04,Staff Machine Learning Engineer,GEICO,mid-senior,5.0,llm,2259,12,7,0,1,0,0,none,21,4,5.3120849933598935,0.4426737494466578,"generative ai enhances enterprise. hands-on , , ml —designing , robust data/feature , production-grade mlops measurable outcomes. alongside , , , , ai-powered capabilities automate workflows, improve decision-making, user experience. contri"
arshkon_3900948764,kaggle_arshkon,2024-04,Full stack developer (SQL/NoSQL/Bigquery),Harvey Nash,unknown,5.0,llm,1508,19,0,0,1,0,0,none,21,3,12.59946949602122,0.6631299734748011,") , , ( - , , ) : summary: bigdata roadmap solution. harnesses bigdata country.at , taking next – segmentation, statistical , governance, , more. comfortable ambiguous kickass , us.job responsibilitiesdesign, , , , maintain desktop-based fr"
linkedin_li-4396015409,scraped,2026-04,Software Engineer,Equifax,unknown,5.0,llm,1060,18,0,0,1,1,0,none,21,4,16.9811320754717,0.9433962264150944,"** ** hands-on projects. ** ’ ** | * , , operate , * , , , , maintain, improve software. * (server-less , microservices , ci/cd, infrastructure-as-code, ) * existing , , toolset. * participate roadmap discussions requirements reality. * deb"
asaniczka_0edc6e37de275146,kaggle_asaniczka,2024-01,Fullstack Software Developer,Virtual Enterprise Architects,unknown,,llm,1041,20,0,0,0,0,0,bs,21,2,19.21229586935639,0.0,"vea ’ network-based threats malicious actors. crafting, , recommending , , environment. strategizing facilitate , practices. : | methodologies threats automate manual specializations include user , microservices, , architectures, databases "
