metric,full_corpus_2024,full_corpus_2026,full_corpus_delta,returning_cohort_2024,returning_cohort_2026,returning_cohort_delta,retention_ratio,unit,verdict,note
H_a: AI-strict prevalence,0.010318331503841932,0.10755345676015624,0.09723512525631431,0.00967477859641289,0.09331247241946483,0.08363769382305195,0.86,pp,robust,"V1 ai_strict pattern, all-SWE raw share"
H_b: J3 entry share (pooled baseline),0.0914587226558206,0.14192384574130953,0.050465123085488936,0.09129433440810686,0.15300261096605744,0.06170827655795058,1.22,pp,robust,yoe<=2 labeled; full uses pooled-2024
H_b-alt: J3 entry share (arshkon-only baseline),0.13006707494896472,0.14192384574130953,0.011856770792344817,0.13201616524472384,0.15300261096605744,0.020986445721333596,1.77,pp,robust,arshkon-only 2024 baseline (Gate 1 senior primary frame)
H_c: S4 senior share (pooled baseline),0.7079806529625151,0.6318073228999074,-0.07617333006260774,0.7070474435743896,0.6241079199303743,-0.08293952364401536,1.09,pp,robust,yoe>=5 labeled; pooled-2024 baseline
H_c-alt: S4 senior share (arshkon-only baseline),0.6512102653834937,0.6318073228999074,-0.019402942483586316,0.6546924113156714,0.6241079199303743,-0.030584491385297063,1.58,pp,robust,arshkon-only 2024; senior co-primary frame
H_d-J3: Breadth residualized (J3),-1.4691298381555316,0.09419951727905362,1.5633293554345853,-1.2670963764433727,-0.1739116813572334,1.0931846950861392,0.70,items,partially_robust,"T11 length-residualized breadth, J3"
H_d-S4: Breadth residualized (S4),-0.4163979382499634,2.1830776885923866,2.59947562684235,-0.5112320284339706,2.041710047442415,2.552942075876386,0.98,items,robust,"T11 length-residualized breadth, S4"
H_e-J3: Credential stack >=5 (J3),0.4284855769230769,0.5991068361387839,0.17062125921570698,0.4530776992936428,0.6177474402730375,0.16466974097939474,0.97,pp,robust,"T11 credential_stack_depth >=5 share, J3"
H_e-S4: Credential stack >=5 (S4),0.5258132132598401,0.6594644648506829,0.1336512515908428,0.532899022801303,0.670199414307628,0.137300391506325,1.03,pp,robust,"T11 credential_stack_depth >=5 share, S4"
H_f: T13 requirements-section share,0.23796848947380606,0.21259422249781393,-0.025374266975992127,0.23138295256778652,0.19772940591696475,-0.033653546650821764,1.33,pp,robust,T13 classifier requirements-section share (below-noise aggregate)
H_g: Description length median (raw chars),3598.0,4842.0,1244.0,3886.0,5162.0,1276.0,1.03,chars,robust,raw description_length median
H_h: Scope term prevalence (V1 binary),0.35486278814489575,0.5874395922060154,0.23257680406111964,0.3529061546476148,0.5770048541741887,0.22409869952657385,0.96,pp,robust,V1 scope pattern binary share
H_h-alt: Scope kitchen-sink prevalence,0.5066081229418222,0.7348235761414039,0.2282154531995817,0.49996278931309074,0.7320174910739359,0.23205470176084514,1.02,pp,robust,T22 scope_kitchen_sink binary share
H_i: CI/CD tech at S4,0.1985094324974769,0.4047380199089436,0.20622858741146669,0.1968729641693811,0.3995258680797657,0.2026529039103846,0.98,pp,robust,CI/CD tech matrix column at S4 yoe>=5
H_j: AI-oriented senior cluster share (T21),0.010537870472008782,0.11239265028959457,0.10185477981758578,0.010712966383450314,0.10248991758723479,0.09177695120378447,0.90,pp,robust,T21 AI-oriented cluster share among senior postings
