uid,company,title,seniority_final,yoe_min_years_llm,delta_req_share,req_share_2024_ref,req_share_2026,tech_kw_hits,loose_kw_hits,benefit_kw_hits,classification,desc_excerpt
linkedin_li-4390294263,Shoolin Inc,Reliability Engineer,unknown,,-1.0,1.0,0.0,0,0,0,d_other,"**Job Title: Reliability Engineer**   **Location:**   Concord, NC    **Position Overview**    We are seeking an experienced  **Reliability Engineer**   to support equipment reliability, performance monitoring, and continuous improvement initiatives within a regulated pharmaceutical manufacturing environment. This role will focus on enhancing asset performance, reducing downtime, and ensuring compliance with quality and regulatory standards.    **Key Responsibilities**   * Lead equipment reliability programs, including KPI development, performance trending, and data analysis * Evaluate equipmen"
linkedin_li-4397318690,Capgemini,Java Full Stack Developer,unknown,,-0.9851834936153486,0.9851834936153486,0.0,6,0,6,a_tech_req_migration_to_resp,"Choosing Capgemini means choosing a company where you will be empowered to shape your career in the way you’d like, where you’ll be supported and inspired by a collaborative community of colleagues around the world, and where you’ll be able to reimagine what’s possible. Join us and help the world’s leading organizations unlock the value of technology and build a more sustainable, more inclusive world.           Location           The job is located at Jersey City, NJ (Hybrid) This job requires onsite participation.          **About The Job You Are Considering**  We are looking for an experienc"
linkedin_li-4395994241,Capgemini,Java Full Stack Developer,unknown,9,-0.9851834936153486,0.9851834936153486,0.0,10,0,11,a_tech_req_migration_to_resp,"* **Job Title : Full Stack Developer** * **Type : FTE ( No C2C or Subcontractor)** * **Mode : Hybrid** * **Location : Westlake TX** * **Visa : No Sponsorship available.**      **Job Description :**   * 9 years experience as a successful full stack software engineer delivering software using agile development practices * Object Oriented development experience with Java * Exposure to coding in more than one programming language * Our full stack engineers work across a range of client middle tier messaging caching and database technologies including Java, Spring boot, Angular, TypeScript ,JavaScr"
linkedin_li-4393908010,Capgemini,Java Full Stack Developer,unknown,5,-0.9851834936153486,0.9851834936153486,0.0,17,0,6,a_tech_req_migration_to_resp,"Choosing Capgemini means choosing a company where you will be empowered to shape your career in the way you’d like, where you’ll be supported and inspired by a collaborative community of colleagues around the world, and where you’ll be able to reimagine what’s possible. Join us and help the world’s leading organizations unlock the value of technology and build a more sustainable, more inclusive world.           Job Role          **Job Title: Java Fullstack Developer (Angular)** **Location: Westlake, TX** **Duration: Full-Time** **Job Summary**  Hands on engineer specializing in Angular, TypeSc"
linkedin_li-4400798628,PRIMUS Global Services Inc,"Backend Engineer Node.js, AWS, Microservices",unknown,,-0.9153924566768603,0.9153924566768603,0.0,13,0,0,a_tech_req_migration_to_resp,"Dice is the leading career destination for tech experts at every stage of their careers. Our client, PRIMUS Global Services Inc., is seeking the following. Apply via Dice today!          **Backend Engineer Node.js, AWS, Microservices 68188**  We have an immediate need for a Senior Backend Engineer Node.js, AWS, Microservices with our client. This role focuses on designing, developing, and maintaining scalable backend systems and RESTful APIs using Node.js in a cloud-based microservices architecture.           The ideal candidate will have strong hands-on experience with Node.js, JavaScript, an"
linkedin_li-4402741668,PRIMUS Global Services Inc,Java React Developer Microservices & Cloud Native,unknown,,-0.9153924566768603,0.9153924566768603,0.0,19,0,0,a_tech_req_migration_to_resp,"Dice is the leading career destination for tech experts at every stage of their careers. Our client, PRIMUS Global Services Inc., is seeking the following. Apply via Dice today!          **Java React Developer Microservices \& Cloud Native**  We have an immediate need for a Java React Developer with our client. This role focuses on building scalable microservices, modern front-end applications, and cloud-native systems while supporting enterprise-level digital initiatives.           The developer will work across distributed systems, event-driven architectures, and CI/CD pipelines to deliver h"
linkedin_li-4393077345,PRIMUS Global Services Inc,"IOS Developer - Sunnyvale, CA - 68017",unknown,,-0.9153924566768603,0.9153924566768603,0.0,2,0,0,d_other,"Dice is the leading career destination for tech experts at every stage of their careers. Our client, PRIMUS Global Services Inc., is seeking the following. Apply via Dice today!          **iOS Developer Swift / SwiftUI (Onsite Opportunity) - 68017** **Pay Rate:$40 - $45/hr**  We are hiring a skilled iOS Developer based in Sunnyvale, CA, for an onsite role focused on building high-performance, modern mobile applications. This is an excellent opportunity to work on cutting-edge iOS development projects in a collaborative and fast-paced environment.           In this role, you will design, develo"
linkedin_li-4395917441,PRIMUS Global Services Inc,Golang Engineer - 68105,unknown,,-0.9153924566768603,0.9153924566768603,0.0,8,0,0,a_tech_req_migration_to_resp,"Dice is the leading career destination for tech experts at every stage of their careers. Our client, PRIMUS Global Services Inc., is seeking the following. Apply via Dice today!          **Role: Go Lang Engineer** **Location: Ausitn, TX ONSITE**  We have an immediate opportunity for a Golang Engineer with experience in building data-centric or streaming solutions to join our team. In this role, you will design and develop large-scale real-time and batch data streaming platforms, along with APIs that provide foundational services for these systems. You will play a key part in shaping platform t"
linkedin_li-4391919616,PRIMUS Global Services Inc,"Java Developer , Full Stack, Angular",unknown,,-0.9153924566768603,0.9153924566768603,0.0,7,0,0,a_tech_req_migration_to_resp,"Dice is the leading career destination for tech experts at every stage of their careers. Our client, PRIMUS Global Services Inc., is seeking the following. Apply via Dice today!           Java Developer Full Stack, Angular JPC - 67966           We have an immediate need for a Java Developer with Full Stack and Angular framework experience for our client. This role requires strong experience across both backend and frontend development, with an even split between Java and Angular. The position will focus on building and maintaining high-priority, highly-available enterprise applications while c"
linkedin_li-4394747632,PRIMUS Global Services Inc,Java Full Stack AI developer - 67986,unknown,,-0.9153924566768603,0.9153924566768603,0.0,22,0,0,a_tech_req_migration_to_resp,"Dice is the leading career destination for tech experts at every stage of their careers. Our client, PRIMUS Global Services Inc., is seeking the following. Apply via Dice today!          **Java Full Stack / Modern AI Application Developer** **Tampa, FL or NYC, NY**  We have an immediate opportunity for Full Stack / Modern Application Developers (B2 / B3\) to join a high-impact engagement focused on building scalable, cloud-native applications. This role requires strong expertise in modern application architecture, microservices-based development, and full stack engineering. The ideal candidate"
