period,source,n,technology,rate
2024,kaggle_arshkon,4691,python,0.32594329567256447
2024,kaggle_arshkon,4691,java,0.28927733958644214
2024,kaggle_arshkon,4691,javascript,0.24962694521424003
2024,kaggle_arshkon,4691,typescript,0.10253677254316777
2024,kaggle_arshkon,4691,go_lang,0.12023022809635472
2024,kaggle_arshkon,4691,rust,0.011937753144318908
2024,kaggle_arshkon,4691,c_plus_plus,0.10999786825836709
2024,kaggle_arshkon,4691,c_lang,0.08036665956086123
2024,kaggle_arshkon,4691,c_sharp,0.12150927307610318
2024,kaggle_arshkon,4691,ruby,0.024728202941803452
2024,kaggle_arshkon,4691,kotlin,0.0211042421658495
2024,kaggle_arshkon,4691,swift,0.01833297804306118
2024,kaggle_arshkon,4691,scala,0.04050309102536773
2024,kaggle_arshkon,4691,php,0.024301854615220636
2024,kaggle_arshkon,4691,r_lang,0.005329354082285227
2024,kaggle_arshkon,4691,sql,0.27840545725858024
2024,kaggle_arshkon,4691,bash,0.038158175229162226
2024,kaggle_arshkon,4691,perl,0.014069494777232999
2024,kaggle_arshkon,4691,elixir,0.00042634832658281814
2024,kaggle_arshkon,4691,objective_c,0.010445534001279046
2024,kaggle_arshkon,4691,react,0.1522063525900661
2024,kaggle_arshkon,4691,angular,0.10957151993178427
2024,kaggle_arshkon,4691,vue,0.024088680451929228
2024,kaggle_arshkon,4691,nextjs,0.009806011511404818
2024,kaggle_arshkon,4691,nuxt,0.0006395224898742272
2024,kaggle_arshkon,4691,svelte,0.0010658708164570454
2024,kaggle_arshkon,4691,ember,0.0012790449797484545
2024,kaggle_arshkon,4691,jquery,0.02792581539117459
2024,kaggle_arshkon,4691,nodejs,0.09123854188872309
2024,kaggle_arshkon,4691,express,0.02302280963547218
2024,kaggle_arshkon,4691,django,0.01620123641014709
2024,kaggle_arshkon,4691,flask,0.012790449797484544
2024,kaggle_arshkon,4691,fastapi,0.004476657429119591
2024,kaggle_arshkon,4691,spring,0.09933916009379663
