,python,java,javascript,typescript,go_lang,rust,c_plus_plus,c_lang,c_sharp,ruby,kotlin,swift,scala,php,r_lang,sql,bash,perl,elixir,objective_c,react,angular,vue,nextjs,nuxt,svelte,ember,jquery,nodejs,express,django,flask,fastapi,spring,dot_net,rails,laravel,graphql,rest_api,aws,azure,gcp,cloudflare,heroku,digital_ocean,kubernetes,docker,terraform,ansible,helm,argocd,puppet,chef,jenkins,github_actions,circleci,gitlab_ci,buildkite,travis_ci,postgresql,mysql,mongodb,redis,cassandra,dynamodb,snowflake,bigquery,oracle_db,sqlite,sql_server,kafka,spark,airflow,dbt,databricks,elasticsearch,flink,hadoop,beam,tensorflow,pytorch,scikit_learn,pandas,numpy,jupyter,mlflow,xgboost,keras,langchain,llamaindex,rag,vector_database,pinecone,weaviate,chroma,hugging_face,openai_api,claude_api,anthropic,gemini,prompt_engineering,fine_tuning,mcp,llm,ai_agent,copilot,cursor_tool,chatgpt,claude_tool,codex,tabnine,gpt_model,jest,pytest,selenium,cypress,playwright,junit,mocha,datadog,new_relic,pagerduty,grafana,prometheus,splunk,sentry,agile,scrum,tdd,bdd,ddd,microservices,ci_cd,event_driven,serverless
python,1.0,0.09294765,-0.009690096,0.020281332,0.16224484,0.090330265,0.16777776,0.08853261,-0.023919262,0.082083315,-0.051926203,-0.047799036,0.1270676,0.00919768,0.080338314,0.096671805,0.23058707,0.09540651,-0.0012798012,-0.033270404,-0.02749878,-0.073355824,0.0068138205,-0.01930489,-0.008163147,0.0025222811,0.0038762835,-0.07179328,0.019398918,-0.005213565,0.1345215,0.12517065,0.14794621,-0.10057949,-0.10286847,-0.016063638,-0.018150514,-0.015345181,-0.044975426,0.22299848,0.12511347,0.17842154,-0.0014422659,-0.005042641,0.00978781,0.17682403,0.18128908,0.17800686,0.14538462,0.06726627,0.06146273,0.06697044,0.059758343,0.07794201,0.07435311,0.032662988,0.11296295,0.016522314,0.016837277,0.08897934,0.046380945,0.025288122,0.04966484,0.022005584,0.040179253,0.13862278,0.090821214,-0.027519606,-0.0066391225,-0.05524358,0.06498398,0.18005407,0.16465704,0.09592539,0.12615797,0.074221686,0.054509427,0.10513415,0.025737008,0.15701178,0.17204376,0.11384204,0.12895994,0.10942863,0.05833446,0.07653278,0.038798735,0.047280878,0.13619095,0.07635207,0.15630552,0.043122545,0.06938225,0.05074712,0.034496758,0.08928073,0.027304793,0.009793035,0.051282164,0.04042904,0.120075054,0.09629203,0.07887092,0.20712475,0.1443718,0.030803114,0.030994143,0.018873256,0.026923629,0.022394357,-0.005514801,0.020567501,-0.04540782,0.079761826,0.0009785714,-0.007617915,-0.007524697,-0.033177804,-0.013088905,0.072255574,0.02855204,0.0072118463,0.11019014,0.10778611,0.042831376,0.004057988,-0.018701602,-0.03474994,-0.04038059,-0.015784413,-0.028567487,-0.005142982,0.14866024,0.024858406,0.044637013
java,0.09294765,1.0,0.17505388,0.03055083,0.09663626,0.03119363,0.07385498,0.019718777,0.07086912,0.05628828,0.14057162,0.028252605,0.17243116,0.027372107,0.007619766,0.13853255,-0.009799041,0.06057708,-0.0112428935,0.038177777,0.091369204,0.19640377,0.04642746,-0.035271395,0.0045351237,-0.00782206,0.017428398,0.035568535,0.07238569,0.0053651826,-0.02677358,-0.017143412,-0.042192414,0.4553708,-0.026073202,-0.011866404,-0.008935061,0.030899376,0.16955522,0.15878063,0.05036194,0.09660192,-0.01499343,0.002749943,-0.009244159,0.14045799,0.14407855,-0.0063230735,-0.0003834639,0.022087416,-0.009450245,0.008536677,0.02248223,0.1834649,0.009135885,0.019048676,0.05014491,-0.0056333994,0.020024039,0.08635243,0.11867628,0.14084505,0.06532252,0.12034717,0.069332615,0.0009939771,0.020094771,0.067191646,0.006563288,0.017057652,0.21780199,0.06978708,-0.008904858,-0.040453114,-0.031894155,0.074806675,0.069246404,0.089190155,0.015911171,-0.017083006,-0.033758383,-0.009806432,-0.022093847,-0.01655287,0.014082758,-0.010779665,-0.0056479727,0.00097098865,-0.017877521,-0.008200651,-0.040142585,-0.012084326,-0.016642397,-0.0078994995,-0.017261174,-0.02227793,-0.011621501,-0.011459396,-0.02013856,0.00029959396,0.0017252186,-0.031354137,-0.008057065,-0.03407486,-0.03433744,0.040475264,0.010065047,0.01181769,0.0036945161,-0.008988556,-0.0064382628,-0.023531888,0.009197204,-8.510728e-05,0.13030376,0.03916735,0.03032093,0.21305408,0.01098141,0.022989297,0.018525604,-0.003880748,0.025507824,0.015045886,0.067256436,-0.020451812,0.19915311,0.1069826,0.116126835,0.103238605,0.029493824,0.2765236,0.13865776,0.10198235,0.027118089
javascript,-0.009690096,0.17505388,1.0,0.34550297,0.041851524,0.0040687253,-0.06704753,-0.037267808,0.16458638,0.08653201,0.013019993,0.01724016,-0.03115945,0.14394724,-0.004708516,0.12929524,-0.04584618,-5.280408e-05,0.0113125155,0.023128755,0.4976848,0.3270518,0.24550606,0.24870062,0.042570204,0.05950963,0.06898629,0.21933569,0.4444273,0.09138231,0.06628318,0.04576249,0.03407474,0.12258185,0.16761123,0.06091889,0.065946765,0.14972787,0.21083653,0.09554477,0.050062355,0.026730428,0.027707763,0.0281627,0.01800226,0.031305768,0.10648772,-0.036546275,-0.04192314,-0.01431321,-0.027052145,-0.022803813,-0.0023892678,0.060039986,0.024029614,0.020811846,0.028500455,-0.007409351,0.0033827643,0.1439175,0.13060436,0.11936044,0.05891971,0.0047064107,0.056352906,-0.06116476,-0.02062938,0.016831337,0.022378301,0.11343426,0.0007359822,-0.074464165,-0.061888304,-0.047546122,-0.066382304,0.033185035,-0.03462966,-0.036816534,-0.015922867,-0.056686822,-0.07198325,-0.034007713,-0.024974426,-0.02708949,-0.0017621416,-0.033674087,-0.01946925,-0.021022875,-0.0019780898,-0.0017331829,-0.020122588,-0.008485913,-0.0009359772,0.0053104586,-0.0024449374,-0.022187335,0.004024522,0.013934099,0.020785537,0.01813391,0.013788011,-0.026290907,0.0014826042,0.0018575158,0.005741148,0.056725606,0.05749505,0.0040061055,0.051383507,0.021467956,0.01517424,0.0015132002,0.16151252,0.01720647,0.0561509,0.12196228,0.09229184,0.07584457,0.08686562,0.002005203,0.025599461,0.007460984,-0.02964265,-0.036713034,0.0002830219,0.016743507,0.16594191,0.11327085,0.08436789,0.026276447,0.032178372,0.119728595,0.09687974,0.048077002,0.07225156
typescript,0.020281332,0.03055083,0.34550297,1.0,0.075555176,0.042200457,-0.064584136,-0.026732177,0.021020142,0.039822318,0.021682557,0.022783592,-0.0397878,-0.00028976906,-0.011740482,-0.016101187,-0.007636291,-0.0068566334,0.015171763,0.003810166,0.3643989,0.1534432,0.10594567,0.21109746,0.014333575,0.046250854,0.014073122,-0.0012777596,0.2706871,0.06466166,0.035979178,0.025339274,0.061192576,0.021311902,0.008849025,0.036893535,0.0041175075,0.1668792,0.09827361,0.10106246,-0.012222677,0.015629737,0.045447096,0.020033773,0.0021125986,0.066777185,0.10283045,0.018466251,-0.0065380116,0.021287944,0.0064480407,0.0031110053,-0.015838997,0.009646662,0.034513645,0.017223494,0.05747788,0.014333904,-0.0073746815,0.1582811,0.042949103,0.058661293,0.06820935,-0.0120421965,0.04914629,-0.042680006,-0.02504269,-0.008106169,0.010790257,-0.014337651,0.0055225906,-0.054065216,-0.033024076,-0.034165006,-0.05657885,0.060748342,-0.02278928,-0.012741447,-0.0053349887,-0.043227457,-0.05428921,-0.026642608,-0.002089816,-0.00843037,0.016719522,-0.028193804,-0.011741005,-0.009698216,0.01961726,0.009744427,0.017423412,-0.00583398,0.006562197,0.0086866245,-0.004057794,-0.0072665885,0.008634034,0.023579005,0.045249175,0.015559638,0.033977065,-0.015078673,0.026213264,0.052732836,0.06265203,0.04055229,0.07332547,0.009100685,0.06940406,0.041402884,0.0046410477,0.008185894,0.15146326,0.014250625,0.0053746277,0.10625135,0.09888682,0.018185783,0.03539735,0.009048218,0.0036821766,0.0036177773,-0.005375979,-0.0033189568,-0.00722761,0.037447605,0.054221965,0.028013134,0.021098785,-0.0020373454,0.019559711,0.05128475,0.06345393,0.067802556,0.055302355
go_lang,0.16224484,0.09663626,0.041851524,0.075555176,1.0,0.19338536,0.06547938,0.036869556,-0.002789761,0.08217117,0.016427835,0.0070178085,0.049019568,0.0069128517,-0.016856303,-0.045449235,0.06512978,0.0018037681,0.024986953,-0.0054635974,0.041913155,-0.03186635,0.0075751985,0.024198929,-0.0037410648,0.003427509,0.0068254177,-0.031140186,0.060572788,0.027443651,0.0098453965,-0.0025853051,0.0002793206,-0.03962991,-0.038766496,0.030298922,-0.007327212,0.027028915,-0.02310604,0.10782413,0.029077457,0.12596884,0.061101742,0.005986616,0.0066437265,0.20397148,0.11554503,0.11506372,0.060297277,0.08227102,0.09589291,0.034961715,0.043853436,0.008077661,0.04726155,0.049332216,0.029420605,0.03210365,0.00441336,0.07325262,0.038935527,0.013214326,0.07674328,0.018895103,0.02611023,-0.008835292,0.010192208,-0.0069131097,-0.0056251665,-0.048535325,0.059374843,0.020420479,0.015221315,-0.0021616057,-0.026440455,0.05764391,0.054806944,0.011170129,0.012848337,-0.0052903565,9.436951e-05,-0.008984934,-0.008983186,-0.012266673,-0.0017750973,0.006705338,0.005284393,-0.0075872215,0.010487372,0.018172765,0.011914786,0.023003466,0.0074131633,0.01236339,0.011608393,0.0048410897,0.009059208,-0.0054319156,0.025075614,0.008859837,0.0075177597,0.017758692,0.01411026,0.048797946,0.05617563,0.0059335893,0.03486148,0.006374149,0.022505952,0.007226112,-0.0042467047,0.010400862,-0.018905655,-0.0019542854,-0.024602853,-0.0043142685,0.0010997218,-0.026701352,0.0059482222,0.087905996,0.021296427,0.024057131,0.10964454,0.12022298,0.0134505145,0.017963948,-0.03627632,-0.030791324,-0.0066976487,-0.014870004,0.010720837,0.05860554,0.039636593,0.03475335,0.011808521
rust,0.090330265,0.03119363,0.0040687253,0.042200457,0.19338536,1.0,0.19964384,0.13579027,-0.0077200276,0.008264886,0.01746769,0.008347122,0.0059315558,-0.008097418,-0.00843908,-0.052634552,-0.0013284832,-0.0022554775,0.01962421,-0.005271214,0.009461135,-0.034878314,-0.00012216569,-0.0052370145,0.0003582055,0.015481401,-0.006843991,-0.021648865,0.007455915,-0.004115233,-0.014811225,-0.008939308,-0.0017071258,-0.038832683,-0.04085972,-0.0009619329,-0.0067009893,0.010759053,-0.038141966,-0.011404747,-0.024450567,0.007990388,0.095388435,0.0007851861,0.009017925,0.06564614,0.0354964,0.0060132616,0.004676754,0.022625249,0.021596003,-0.0035693806,-0.0054178336,-0.020025937,0.014412515,0.0071039298,0.012178263,0.013921236,-0.0020624092,0.02751303,-0.0011331309,0.0016407208,0.033821482,0.0059193084,-0.0072601456,-0.0055098534,-0.0066270865,-0.0114089465,-0.00015266865,-0.033736672,0.020299023,0.0071381507,0.0011692519,-0.0062674023,-0.013556705,0.010254634,0.03590097,-0.0099975085,0.010870243,-0.0011467142,0.0108900685,-0.0023801702,-0.0035777928,-0.007441348,0.0032882742,0.0027468207,-0.0066530057,-0.0010949968,0.0048932433,0.015326785,0.01850325,0.05161777,0.015780017,0.011419246,0.043728877,0.022350004,-0.0057828384,-0.0040562716,0.022582391,-0.0022437028,0.0034448633,0.013265575,0.003910906,0.044563603,0.01040299,-0.0047744834,0.01070493,0.00049095036,0.02113396,0.020035304,-0.0017559957,0.023575231,-0.0120618455,-0.0024762165,-0.023709442,-0.0122357225,-0.007900479,-0.023917403,-0.006880194,0.0059060114,-0.0056946008,-1.7816103e-05,0.03352696,0.025707318,-0.011427979,0.02700889,-0.03946589,-0.027777983,-0.009676117,-0.011179761,-0.010489453,-0.013742009,0.003343701,0.0044369046,0.0041712807
c_plus_plus,0.16777776,0.07385498,-0.06704753,-0.064584136,0.06547938,0.19964384,1.0,0.49423677,0.11681054,0.010481352,-0.01589224,0.008140076,0.00047129518,-0.006054443,0.0025938812,-0.12873206,0.0063843047,0.09065632,-0.0074463584,0.031525623,-0.10715654,-0.0822277,-0.036166783,-0.055305693,-0.008589594,-0.013221857,0.0026333742,-0.036462594,-0.06957407,0.0019437068,-0.033344805,-0.027016152,-0.0410353,-0.0883504,-0.051661503,-0.026039703,-0.021547884,-0.05137921,-0.10549385,-0.14797346,-0.10481251,-0.065445244,0.005062003,-0.013231278,-0.00521132,-0.05425254,-0.032198664,-0.093415074,-0.037228107,-0.023668755,-0.031402484,-0.014859299,-0.021318922,-0.033656456,-0.058958046,-0.0023491746,0.0026072946,-0.0013743516,0.004649707,-0.05655693,-0.034416646,-0.036782537,-0.022293283,-0.00030464111,-0.04411518,-0.0587417,-0.036434203,-0.023088152,-0.00029038152,-0.0615566,-0.05945742,-0.042398434,-0.048250314,-0.046831585,-0.05521237,-0.024823723,-0.0017936799,-0.013144199,0.0028726996,0.052906778,0.063436024,-0.0053724437,-0.013214499,0.0023077172,-0.0064587276,-0.00223333,-0.0027509583,0.012101117,-0.046412658,-0.016653836,-0.05762486,3.33164e-05,-0.02634763,-0.020688852,0.0048691626,-0.0065877778,-0.008784931,-0.010320455,-0.03395098,-0.02296637,-0.050181836,-0.015894037,-0.038607847,-0.05506348,-0.073090985,-0.032055184,-0.028372824,-0.016653836,-0.025451612,-0.01717333,0.00040776827,-0.013453557,-0.043611225,-0.0019235201,-0.0440804,-0.03620996,-0.04293279,-0.041247167,-0.01429614,-0.045691397,-0.025856921,-0.012427548,-0.036681473,-0.041121647,-0.041040346,-0.016236305,-0.028202398,-0.015129669,-0.014864414,-0.020528385,-0.02072618,-0.088476226,-0.08627695,-0.052105956,-0.05604137
c_lang,0.08853261,0.019718777,-0.037267808,-0.026732177,0.036869556,0.13579027,0.49423677,1.0,0.04807061,0.0156114325,0.026737768,0.10636342,-0.017878687,0.0006929998,0.005812827,-0.0959297,0.023579728,0.05583663,0.0058494504,0.19661911,-0.06289228,-0.056844268,-0.030722782,-0.03393551,-0.0064489394,-0.011735037,-0.0057669105,-0.018078402,-0.041175768,0.012783818,-0.02453147,-0.020696884,-0.024793662,-0.044591222,-0.04140458,-0.0122130215,-0.014175338,-0.028351516,-0.06770644,-0.11663851,-0.08856409,-0.07224538,0.015758397,-0.005359773,-0.0034298736,-0.05216912,-0.03979292,-0.059549272,-0.01849412,-0.019804692,-0.016189052,-0.008499509,-0.012868948,-0.019258728,-0.03691481,-0.013790533,0.012215543,-0.001950667,-0.0044455635,-0.031650428,-0.023253411,-0.03227418,-0.028758356,-0.021081133,-0.02904858,-0.044109505,-0.030075004,-0.014974264,0.0136834765,-0.0408963,-0.045400344,-0.03813733,-0.035579216,-0.029282792,-0.03754096,-0.016762095,-0.009713854,-0.010957541,0.00086385227,0.004836869,-0.001125494,-0.014787997,-0.014685269,-0.010568407,0.004400084,-0.015602847,-0.009563902,0.008423924,-0.033623777,-0.012453494,-0.046508323,-0.011273321,-0.01873816,-0.012707061,-0.00801453,-0.018690962,-0.00876888,-0.0061134147,-0.014645327,-0.008722059,-0.036530007,-0.021707272,-0.023683375,-0.04599055,-0.048888847,0.0016077756,-0.020468017,0.0014073681,-0.01830022,-0.006217759,-0.0036979227,-0.0077689528,-0.020388722,-0.00013272767,-0.027074443,-0.017320074,-0.024547132,-0.021472525,-0.0024769127,-0.02258714,-0.01449176,-0.0067862244,-0.019237688,-0.020564573,-0.022428464,-0.0075998455,-0.0120175965,-2.5479012e-06,-0.018155187,-0.0029090915,-0.009016453,-0.07011237,-0.04619887,-0.031967085,-0.03848648
c_sharp,-0.023919262,0.07086912,0.16458638,0.021020142,-0.002789761,-0.0077200276,0.11681054,0.04807061,1.0,0.021010809,-0.0091021145,0.007839142,-0.005688381,0.030509397,-0.00041134882,0.215848,-0.028290179,0.019358538,-0.00935774,0.0053219427,0.07047666,0.16906244,0.05354431,-0.019862862,0.0028508187,-2.3893073e-05,0.022749826,0.12961014,0.0035954744,-0.016557593,-0.02633468,-0.018996038,-0.03369916,-0.05981207,0.5833016,-0.014303344,-0.0076719234,-0.00074378133,0.070982695,-0.03315728,0.14383884,-0.036220133,-0.013212319,0.0029954496,-0.00035828294,-0.021437656,0.0049805143,-0.047044918,-0.036415827,-0.024212644,-0.019990357,-0.0073662484,-0.0016473152,-0.0110773295,-0.004766089,-0.0040297545,-0.016757179,-0.007176727,0.0096700955,-0.0023186426,0.015516675,0.011037776,-0.007360116,-0.014733931,-0.0075508775,-0.043681826,-0.030478152,0.007096807,0.030134264,0.3021035,-0.02233594,-0.05035081,-0.04936363,-0.03452482,-0.0369509,-0.009043449,-0.016005099,-0.029279776,-0.009591825,-0.034004945,-0.04217501,-0.023348605,-0.027889052,-0.025202358,-0.008720961,-0.016545322,-0.012633857,-0.005129989,-0.029788207,-0.015784627,-0.036464166,-0.014604171,-0.018980142,-0.013892783,-0.010918443,-0.015663069,-0.00039527594,-0.0037704837,-0.021545699,-0.0053850836,-0.017740067,-0.033496015,-0.016817562,-0.05056545,-0.04371059,0.03555112,-0.00022451323,-0.005062083,-0.0020807497,-0.003797992,0.024161734,-0.009180031,-0.013505581,-0.010423355,0.0423357,0.009659256,-0.007077039,-0.007415967,-0.005973008,-0.019183513,0.00037858434,-0.010840087,-0.028483853,-0.03278925,-0.014054254,-0.012817733,0.11862893,0.09790161,0.05020277,0.03359767,0.04617759,0.045724906,0.023592247,0.022201627,0.036935866
ruby,0.082083315,0.05628828,0.08653201,0.039822318,0.08217117,0.008264886,0.010481352,0.0156114325,0.021010809,1.0,0.0028937203,0.014619972,0.017260157,0.09396918,0.0029447277,-0.002239302,0.09682894,0.13595538,0.034142766,0.032780398,0.050077457,0.02489596,0.042982057,0.009305625,0.0105970455,-0.0042605055,0.026131753,0.0064810957,0.050226398,0.02130612,0.043456417,0.012307689,-0.01727868,-0.0029540749,0.0016423896,0.5187721,0.01690824,0.042087115,0.003406242,0.06324289,0.0033114413,0.030911958,0.01633985,0.05056938,0.010013408,0.05965574,0.059197817,0.053905558,0.08360956,0.017197859,0.0098726405,0.09960156,0.13423835,0.048847098,0.0055179102,0.07745864,0.03110702,0.01908118,0.035239223,0.06391833,0.07079485,0.03804241,0.02732375,0.0045203045,-0.0011732416,-0.011681049,0.0014378182,-0.005995502,0.008792384,-0.015535037,0.0034518708,-0.017459156,-0.011756614,-0.012063164,-0.019146327,0.031756636,-0.0046882113,0.024183525,-0.009943805,-0.010441825,-0.01853097,-0.012530787,-0.004453389,-0.002087287,0.0046939207,-0.013205805,-0.00013912181,-0.007595733,-0.013346128,-0.012031293,-0.021213472,-0.008757052,-0.007702128,-0.0009722424,-0.006644423,-0.008456007,-0.005409641,-0.003794499,0.0016520267,0.011393225,-0.009285871,-0.0075251586,-0.006175441,-0.015101262,-0.009157398,2.4074081e-05,0.015124372,-0.004128465,0.007850059,0.0007101249,-0.0016426719,-0.0073539927,-0.002866856,-0.0009673337,0.015591105,0.017048424,0.0051089134,0.0011360062,0.00059787056,0.030749908,0.056514982,0.017033884,0.022078156,0.02459526,0.025257932,0.013529665,0.028453004,0.011453644,0.026027802,0.016961018,0.0055406117,-0.00914804,0.033504423,0.0025834397,-0.006433648
