topic_a,topic_b,jaccard_top10,terms_a,terms_b,primary_topic_name,raw_topic_name
3,7,0.6666666666666666,front-end | angular | javascript | html | user | back-end | typescript | c# | node.js | html5,front-end | angular | javascript | backend | html | user | restful | typescript | back-end | c#,AI/LLM workflows,AI/LLM workflows
11,3,0.5384615384615384,requirements | and/or | including | procedures | documentation | specifications | include | existing | duties | written,requirements | documentation | and/or | duties | procedures | minimum | maintain | bachelor | specifications | written,Requirements / Boilerplate,Requirements / Boilerplate
6,1,0.3333333333333333,ai/ml | generative | workflows | llms | llm | including | genai | pytorch | hands-on | algorithms,backend | workflows | ai/ml | llms | llm | generative | e.g. | real-world | improve | familiarity,AI/LLM workflows,AI/LLM workflows
12,9,0.3333333333333333,ci/cd | kubernetes | scripting | maintain | configuration | hands-on | automate | observability | containerization | deployments,ci/cd | kubernetes | hands-on | maintain | careers. following. | following. | careers. | microservices | e.g. | scripting,DevOps/Infra,Backend/API
0,2,0.25,- | - - | qualifications - | - familiarity | - maintain | - proficiency | - bachelor | - expertise | requirements - | skills. -,- | - - | qualifications - | - bachelor | capitalone.com. | - 2+ | positions | - 3+ | bachelor - | questions capitalone.com.,Requirements / Boilerplate,Backend/API
4,5,0.1111111111111111,/ | / / | angular / | mandatory | haves | - / | / javascript | angular | pcf | hands-on,/ | / / | duration | contribution | fulltime | interviews | currently / | javascript / | exactly | 5+,Frontend/Web,Frontend/Web
8,8,0.1111111111111111,qualifications | c++ | c# | minimum | algorithms | bachelor | qualifications bachelor | minimum qualifications | non-internship | include,include | qualifications... outlined | qualifications... | pto | qualifications position. | outlined | classification length | qualifications. | length employment. | minimum,Embedded/Firmware,Requirements / Boilerplate
5,4,0.0,problems | user | improve | users | understand | bring | comfortable | closely | quickly | end-to-end,8+ | considered. | x.12 | citizenship | 8+ c# | c# | position. | paced | performs | possess qualify,Generic Workflow / Admin,Security / Clearance
2,6,0.0,backend | typescript | node.js | maintain backend | workflows | postgresql | restful | contribute | end-to-end | closely,non-internship | qualifications 3+ | 3+ | lowest | //www.amazon.jobs/en/disability/us. | status. //www.amazon.jobs/en/disability/us. | highest market. | locations qualifications | dependent sign-on | sign-on and/or,Backend/API,Requirements / Boilerplate
1,12,0.0,cross-functional | ensuring | maintain | problem-solving | including | expertise | designing | proficiency | implementing | effectively,discipline | insatiable impossible. | thrives bringing | impossible. history. | way. thrives | eligible | insatiable | impossible. | inventive - | - moon.,Cross-functional / Delivery,Other / Mixed
7,0,0.0,ios | kotlin | objective-c | swiftui | xcode | user | cross-platform | flutter | sdks | high-quality,gender | applicants | orientation | sex | orientation gender | eligible | reasonable | law. | employer. | sex orientation,Mobile/iOS,Other / Mixed
10,10,0.0,etl | governance | ingestion | pyspark | datasets | query | load | redshift | airflow | hadoop,desired | lawfully admitted | admitted granted | admitted | applicant notice | lawfully | requirements | granted | spaceflight | granted asylum.,Data Engineering / ETL,Requirements / Boilerplate
9,11,0.0,microservices | databases | nosql | kafka | nosql databases | relational | gcp | scala | relational databases | including,swe | swe similar | required. | off-the-shelf | similar | requirements | substituted | polygraph | similar complexity | discipline,Backend/API,Requirements / Boilerplate
13,13,0.0,e.g. | familiarity | e.g. kubernetes | familiarity e.g. | databases e.g. | ci/cd e.g. | proficiency | e.g. e.g. | containerization e.g. | proficiency e.g.,dependent | vary depending | eligible | life. | contribution | depending | vary | spending | reasonable | following,DevOps/Infra,Other / Mixed
14,14,0.0,firmware | real-time | protocols | debugging | c/c | rtos | systems. | i2c | uart | oscilloscopes,posted | posted posted | 2+ | workplace. applicants | workplace. | extent | 3+ | capitalone.com | part-time | accommodations. questions,Embedded/Firmware,Backend/API
