source,company_industry,n
kaggle_arshkon,IT Services and IT Consulting,1213
kaggle_arshkon,Software Development,789
kaggle_arshkon,Financial Services,473
kaggle_arshkon,Staffing and Recruiting,274
kaggle_arshkon,Information Services,156
kaggle_arshkon,Information Technology & Services,126
kaggle_arshkon,"Technology, Information and Internet",123
kaggle_arshkon,Defense and Space Manufacturing,121
kaggle_arshkon,Banking,92
kaggle_arshkon,"Technology, Information and Media",85
kaggle_arshkon,Hospitals and Health Care,79
kaggle_arshkon,Retail,75
kaggle_arshkon,Motor Vehicle Manufacturing,65
kaggle_arshkon,Insurance,64
kaggle_arshkon,Business Consulting and Services,63
kaggle_arshkon,Computer and Network Security,57
kaggle_arshkon,"Appliances, Electrical, and Electronics Manufacturing",53
kaggle_arshkon,Entertainment Providers,50
kaggle_arshkon,Manufacturing,47
kaggle_arshkon,Telecommunications,47
kaggle_arshkon,Semiconductor Manufacturing,42
kaggle_arshkon,Medical Equipment Manufacturing,41
kaggle_arshkon,Pharmaceutical Manufacturing,37
kaggle_arshkon,Accounting,34
kaggle_arshkon,Advertising Services,30
kaggle_arshkon,Airlines and Aviation,26
kaggle_arshkon,Computer Hardware Manufacturing,25
kaggle_arshkon,Aviation and Aerospace Component Manufacturing,25
kaggle_arshkon,Industrial Machinery Manufacturing,23
kaggle_arshkon,Biotechnology Research,23
kaggle_arshkon,Government Administration,22
kaggle_arshkon,Engineering Services,22
kaggle_arshkon,Higher Education,22
kaggle_arshkon,Human Resources Services,21
kaggle_arshkon,Utilities,18
kaggle_arshkon,Consumer Services,17
kaggle_arshkon,Oil and Gas,15
kaggle_arshkon,Automation Machinery Manufacturing,14
kaggle_arshkon,Investment Banking,14
kaggle_arshkon,Broadcast Media Production and Distribution,13
kaggle_arshkon,IT System Custom Software Development,12
kaggle_arshkon,Computer Games,12
kaggle_arshkon,Internet Marketplace Platforms,12
kaggle_arshkon,"Transportation, Logistics, Supply Chain and Storage",11
kaggle_arshkon,Computers and Electronics Manufacturing,11
kaggle_arshkon,Real Estate,11
kaggle_arshkon,Machinery Manufacturing,11
kaggle_arshkon,Health and Human Services,10
kaggle_arshkon,Hospitality,10
kaggle_arshkon,Wellness and Fitness Services,10
kaggle_arshkon,Environmental Services,9
kaggle_arshkon,Wireless Services,9
kaggle_arshkon,Construction,9
kaggle_arshkon,Education Administration Programs,9
kaggle_arshkon,Investment Management,8
kaggle_arshkon,Food and Beverage Services,8
kaggle_arshkon,Gambling Facilities and Casinos,8
kaggle_arshkon,Chemical Manufacturing,8
kaggle_arshkon,Law Practice,7
kaggle_arshkon,Services for Renewable Energy,7
kaggle_arshkon,Capital Markets,6
kaggle_arshkon,Public Safety,6
kaggle_arshkon,Government Relations Services,6
kaggle_arshkon,Research Services,6
kaggle_arshkon,Renewable Energy Semiconductor Manufacturing,6
kaggle_arshkon,Marketing Services,6
kaggle_arshkon,Truck Transportation,6
kaggle_arshkon,Defense & Space,5
kaggle_arshkon,Retail Apparel and Fashion,5
kaggle_arshkon,Wholesale Building Materials,5
kaggle_arshkon,Automotive,5
kaggle_arshkon,Mining,5
kaggle_arshkon,Non-profit Organizations,5
kaggle_arshkon,Design Services,5
kaggle_arshkon,"Electric Power Transmission, Control, and Distribution",5
kaggle_arshkon,Civil Engineering,4
kaggle_arshkon,Food and Beverage Manufacturing,4
kaggle_arshkon,Computer Networking Products,4
kaggle_arshkon,Data Security Software Products,4
kaggle_arshkon,E-Learning Providers,4
