term,count_a,count_b,z_score,log_odds_ratio,company_count,direction,category,comparison,ngram
duties,454,743,9.291344804308231,0.5005459495980977,690,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
skillsexperience,84,0,9.17390472841802,3.3060457796126883,70,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
include,750,1443,9.138384868343689,0.3693138328756955,1060,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
skillsstrong,78,1,9.017112353032378,3.1752656443004614,68,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
interpersonal,357,547,8.989944502606257,0.5544697143106863,631,A_heavy,soft_skill,primary_arshkon_vs_scraped_fulltext,unigram
j2ee,103,68,8.84043862433585,1.2526398042053177,122,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
preferably,358,557,8.82923720336188,0.5418817396648139,658,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
etc.experience,70,1,8.558990021341844,3.161350282204337,58,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
systemsexperience,73,0,8.552085491168619,3.3060154897051497,53,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
developmentexperience,69,1,8.499957912500268,3.159400108364796,54,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
plusexperience,69,0,8.314453371507712,3.306004475438101,48,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
spring,749,1525,8.106938479540537,0.32375182327049323,717,A_heavy,tech_stack,primary_arshkon_vs_scraped_fulltext,unigram
wordpress,67,29,8.072587678144815,1.593422601721315,38,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
utilizing,333,542,8.016165113756482,0.5048710127046094,556,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
css,371,630,7.957651488118216,0.4702673749365136,662,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
according,110,101,7.786132020352574,0.9792519299008005,163,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
skills.ability,60,0,7.753209628761991,3.305979693814546,54,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
website,117,115,7.695962979882119,0.9225067595291394,112,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
experience.experience,53,2,7.637462352943165,2.9621870947884936,46,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
abreast,106,100,7.518491429349858,0.9566750229232763,157,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
scrum,362,633,7.510731473884461,0.4463697255053969,574,A_heavy,method,primary_arshkon_vs_scraped_fulltext,unigram
updated,141,165,7.431132705950354,0.7772545737638099,236,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
laravel,59,28,7.416948987959193,1.52036609107002,36,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
unix,134,154,7.352031965851676,0.7922804828314831,200,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
skillsexcellent,53,0,7.286874738663201,3.3059604196753387,49,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
visualforce,56,27,7.197564811745756,1.5077259660181195,45,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
plus.experience,48,1,7.145574817228473,3.1015014749375194,35,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
tasks,716,1523,7.136984418133198,0.2887071710147655,1258,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
rdbms,137,167,7.074387112013438,0.7433013723733675,183,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
scala,225,348,7.050538793601415,0.5465708923157191,298,A_heavy,tech_stack,primary_arshkon_vs_scraped_fulltext,unigram
technologiesexperience,49,0,7.006481222922267,3.305949406060991,39,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
mainframe,135,165,7.006138326632703,0.7410895343502615,89,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
pcf,46,17,6.8917634515482735,1.716573704237753,38,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
competent,59,36,6.887168360128368,1.3171709421045517,52,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
asp.net,153,204,6.873454320848749,0.6689286773304657,228,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
skills.strong,47,0,6.86199074539071,3.3059438993027683,36,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
toolsexperience,44,1,6.856304778237771,3.084855179236282,39,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
effectively,868,1953,6.7273579867423035,0.24412959112539756,1532,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
verbal,559,1160,6.698281118667395,0.3083380641000266,1122,A_heavy,soft_skill,primary_arshkon_vs_scraped_fulltext,unigram
installing,53,30,6.692143324330551,1.3783683063424785,63,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
xml,140,185,6.633696698098752,0.6763379148687916,243,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
gender,46,21,6.6097922506608855,1.551210164416288,43,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
systems.experience,43,0,6.5634771858775185,3.305932885884216,32,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
problem-solving,952,2192,6.552768389465276,0.22591552027229156,1895,A_heavy,soft_skill,primary_arshkon_vs_scraped_fulltext,unigram
nodejs,124,159,6.4270792243189705,0.7012593321551552,193,A_heavy,tech_stack,primary_arshkon_vs_scraped_fulltext,unigram
angular,612,1315,6.426408806053973,0.28055974706289977,798,A_heavy,tech_stack,primary_arshkon_vs_scraped_fulltext,unigram
assure,57,40,6.4158760060104765,1.2022404639013367,72,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
environmentexperience,41,0,6.409010117504275,3.3059273792238884,36,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
experiencestrong,41,0,6.409010117504275,3.3059273792238884,39,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
c#,653,1422,6.405595229176437,0.26993335082595227,983,A_heavy,tech_stack,primary_arshkon_vs_scraped_fulltext,unigram
jdbc,50,30,6.376925528763666,1.3308869501279794,67,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
specifications,446,904,6.313767181388118,0.32707716942517173,795,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
experience5+,39,0,6.250728113913047,3.3059218725961923,26,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
servicesexperience,39,0,6.250728113913047,3.3059218725961923,31,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
following,728,1639,6.146958871948423,0.2435410818281465,1104,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
rest,620,1359,6.129479670802128,0.2647016605107817,1099,A_heavy,tech_stack,primary_arshkon_vs_scraped_fulltext,unigram
environment.experience,37,0,6.088333644993103,3.305916366001128,35,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
up-to-date,122,165,6.049418536462121,0.6570883504303557,222,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
skillsbachelor,36,0,6.005490312092881,3.3059136127158304,32,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
salesforce.com,34,12,5.968641528437135,1.751851699558049,28,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
pythonexperience,35,0,5.921488372208145,3.3059108594386934,29,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
fieldexperience,34,0,5.836277797826309,3.30590810616971,33,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
qualificationsbachelor,34,0,5.836277797826309,3.30590810616971,31,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
java/j2ee,66,64,5.830389393131362,0.9336862255647294,86,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
shell,217,384,5.701873902497258,0.4365025831797782,391,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
powershell,217,385,5.677586892435723,0.4343886482493815,390,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
preferred.experience,32,0,5.662011703333045,3.3059025996562212,24,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
skills.excellent,32,0,5.662011703333045,3.3059025996562212,27,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
providing,552,1220,5.649009539765893,0.25807276297330084,996,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
ssis,72,78,5.640854160568095,0.8413564404353444,95,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
and/or,1318,3294,5.615907376487373,0.1616316057813627,1806,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
json,185,315,5.593684175545259,0.467835532653206,360,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
skills.experience,31,0,5.57283595063755,3.3058998464117124,29,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
field.proven,31,0,5.57283595063755,3.3058998464117124,29,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
practices.experience,31,0,5.57283595063755,3.3058998464117124,27,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
puppet,78,92,5.490073727847189,0.7705808444390225,118,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
preferredexperience,30,0,5.482210126794631,3.3058970931753624,25,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
applications.experience,30,0,5.482210126794631,3.3058970931753624,26,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
frameworksexperience,27,1,5.447798283188704,2.967499994588353,24,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
documenting,135,210,5.420206795763536,0.5417410484863723,272,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
descriptionthis,29,0,5.390061089959476,3.3058943399471676,27,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
participating,202,363,5.362043849134766,0.42398349626119014,362,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
development.strong,26,1,5.352481228382281,2.956554217720388,23,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
architectureexperience,28,0,5.296309334828918,3.30589158672713,21,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
workflows,245,4106,-24.16942880968789,-0.9937671380585478,1736,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
familiarity,761,5939,-21.44831269370528,-0.6253648456988907,2656,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
hands-on,732,5368,-19.492367219312925,-0.5887974382250052,2503,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
agentic,10,1627,-17.950654458885577,-1.4265399015332187,499,B_heavy,ai_tool,primary_arshkon_vs_scraped_fulltext,unigram
environments.,142,2244,-17.60312698250023,-0.9690091925283122,1157,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
contribute,479,3778,-17.196699449794146,-0.6302594943090085,1912,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
agents,18,1369,-16.170627706654276,-1.357262238683651,505,B_heavy,ai_tool,primary_arshkon_vs_scraped_fulltext,unigram
observability,168,2125,-16.092549888762857,-0.8728253087463811,1003,B_heavy,sys_design,primary_arshkon_vs_scraped_fulltext,unigram
ml,387,3111,-15.792178827536882,-0.6407365805374416,792,B_heavy,ai_domain,primary_arshkon_vs_scraped_fulltext,unigram
e.g.,974,5558,-15.579447367602365,-0.43386791500600363,1977,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
backend,809,4805,-15.172182162926363,-0.4592082481281219,1777,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
systems.,569,3752,-14.895001393793653,-0.5240630569939899,1752,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
agent,20,1139,-14.571911260214833,-1.3159354023149126,416,B_heavy,ai_tool,primary_arshkon_vs_scraped_fulltext,unigram
ai/ml,132,1595,-13.723369840957924,-0.8512498557909476,662,B_heavy,ai_domain,primary_arshkon_vs_scraped_fulltext,unigram
workflows.,44,1123,-13.549931152556045,-1.1360485732950298,709,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
proficiency,813,4404,-12.947545544216458,-0.39954222123815075,2330,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
u.s.,437,2844,-12.800319369326782,-0.515563315315446,570,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
rag,17,886,-12.791551957354473,-1.3009668539823842,437,B_heavy,ai_tool,primary_arshkon_vs_scraped_fulltext,unigram
demonstrated,355,2471,-12.656988147244082,-0.5562659726174246,1289,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
ci/cd,1036,5146,-12.26775351204174,-0.3421815868582625,2319,B_heavy,tech_stack,primary_arshkon_vs_scraped_fulltext,unigram
real-time,268,2022,-12.18068538076479,-0.60369023103374,938,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
operate,129,1367,-12.07989407991417,-0.7873964713374999,810,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
llm,76,1092,-11.973931528286567,-0.9285773248313305,551,B_heavy,ai_tool,primary_arshkon_vs_scraped_fulltext,unigram
llms,69,1040,-11.833557660342846,-0.9487184590692967,564,B_heavy,ai_tool,primary_arshkon_vs_scraped_fulltext,unigram
end-to-end,287,2046,-11.738475127230243,-0.5703376190627836,1215,B_heavy,org_scope,primary_arshkon_vs_scraped_fulltext,unigram
cloud-native,91,1111,-11.490036346682333,-0.8557620024275865,657,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
governance,182,1539,-11.446426673340138,-0.6682674833192159,762,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
real-world,51,894,-11.360503271633076,-1.0087516657732412,500,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
scale.,57,909,-11.216875731286427,-0.9717238328300848,514,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
large-scale,287,1960,-11.087649813673265,-0.5445378187522811,906,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
platforms.,124,1214,-10.987020657382885,-0.7468690078291926,784,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
claude,1,594,-10.955948757414452,-1.472307806883431,297,B_heavy,ai_tool,primary_arshkon_vs_scraped_fulltext,unigram
ai-assisted,1,564,-10.673278473571763,-1.4713224860813368,315,B_heavy,ai_domain,primary_arshkon_vs_scraped_fulltext,unigram
production-grade,17,637,-10.610268088307372,-1.2355206180478149,442,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
ai-driven,25,668,-10.507200033978103,-1.1491223652444074,419,B_heavy,ai_domain,primary_arshkon_vs_scraped_fulltext,unigram
high-impact,15,602,-10.368981185236809,-1.2505057720781894,409,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
high-performance,123,1135,-10.315562720739257,-0.7156086466900353,712,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
copilot,10,554,-10.145008186483032,-1.3109655360500865,328,B_heavy,ai_tool,primary_arshkon_vs_scraped_fulltext,unigram
ai-powered,21,591,-9.943024063121,-1.1637468502416182,353,B_heavy,ai_domain,primary_arshkon_vs_scraped_fulltext,unigram
improve,871,4023,-9.451236389904599,-0.2923304965743938,2133,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
translate,297,1784,-9.334975143899108,-0.46504563999928816,1268,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
genai,28,558,-9.197033258156926,-1.0554228241120054,220,B_heavy,ai_domain,primary_arshkon_vs_scraped_fulltext,unigram
architectures,381,2104,-9.163965160588406,-0.4112203190644985,1300,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
frontend,365,2025,-9.044345181224141,-0.41419993075180717,948,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
similar,581,2847,-8.892357110872355,-0.3322440554077257,1696,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
solutions.,531,2654,-8.880709814155232,-0.34550186610999134,1531,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
qualifications,1685,6828,-8.792808382995497,-0.20137169271802335,2592,B_heavy,credential,primary_arshkon_vs_scraped_fulltext,unigram
mission-critical,54,647,-8.708106045448192,-0.8466376724149418,377,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
practices.,311,1761,-8.654512093119639,-0.42731168567273947,1130,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
pipelines.,79,762,-8.639462045367484,-0.7388180445767452,581,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
comfortable,191,1250,-8.518212428544711,-0.5182471259405723,924,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
langchain,11,409,-8.495368241290983,-1.23359122403971,276,B_heavy,ai_tool,primary_arshkon_vs_scraped_fulltext,unigram
experience.,580,2787,-8.491485962890424,-0.3189683580343292,1458,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
generative,116,902,-8.301498152728923,-0.6205381037622608,384,B_heavy,ai_domain,primary_arshkon_vs_scraped_fulltext,unigram
workloads,57,620,-8.21852866583304,-0.7999195162759136,375,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
openai,19,427,-8.204256858892045,-1.0959275514012266,271,B_heavy,ai_tool,primary_arshkon_vs_scraped_fulltext,unigram
teams.,271,1528,-8.017085011754395,-0.424474256773256,1017,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
maintain,1770,6961,-8.000598410908783,-0.17996735587302126,3168,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
regulated,62,625,-7.986996429592157,-0.7616033414589154,421,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
event-driven,64,628,-7.90690350144239,-0.7476861004810562,439,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
reliability.,64,622,-7.833148712375721,-0.7426838901088599,469,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
execution,295,1593,-7.732220163178315,-0.39639979397961067,985,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
polygraph,27,430,-7.70958791256126,-0.9708365248004514,103,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
eligible,62,599,-7.664904617886232,-0.7395713329875448,247,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
mcp,3,300,-7.627345310300393,-1.3867843826536443,179,B_heavy,ai_tool,primary_arshkon_vs_scraped_fulltext,unigram
full-stack,252,1406,-7.587143127562835,-0.41761712859190414,793,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
ambiguous,34,456,-7.582749484260422,-0.8981122828560606,340,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
architectures.,41,490,-7.57057304980218,-0.8453409836221297,383,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
latency,79,668,-7.5354000042271085,-0.6677495273510372,430,B_heavy,sys_design,primary_arshkon_vs_scraped_fulltext,unigram
experimentation,33,447,-7.52974051749991,-0.9024977815613049,254,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
integrating,309,1626,-7.528617753469667,-0.37940433800957507,1147,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
cursor,0,275,-7.4820901098636785,-1.4902216474395065,189,B_heavy,ai_tool,primary_arshkon_vs_scraped_fulltext,unigram
gpu,44,497,-7.467758053701739,-0.8183324732077351,176,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
standards.,149,966,-7.420511112048462,-0.512329511700802,715,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
measurable,18,358,-7.363036685531226,-1.0545713598422193,252,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
participate,625,2797,-7.34660724972125,-0.2701778938756041,1659,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
enabling,88,692,-7.325404413618768,-0.6268593724092018,530,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
patterns.,37,451,-7.312893643170623,-0.8545707452371882,333,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
multi-agent,4,277,-7.243719881556405,-1.3441007100672913,158,B_heavy,ai_tool,primary_arshkon_vs_scraped_fulltext,unigram
production-ready,20,353,-7.146013268922304,-1.0109560382866034,283,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
long-term,115,796,-7.139548906065656,-0.5520714632081036,594,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
thrives,18,337,-7.064611555018541,-1.032887584897133,277,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
retrieval-augmented,7,276,-7.010121547222982,-1.2464390885621857,204,B_heavy,ai_tool,primary_arshkon_vs_scraped_fulltext,unigram
retrieval,56,520,-7.001346100911696,-0.7185891469318255,293,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
impact.,17,326,-6.979787071853144,-1.0415713932511128,243,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
langgraph,0,238,-6.960419803713353,-1.4901885972887143,149,B_heavy,ai_tool,primary_arshkon_vs_scraped_fulltext,unigram
actions,137,872,-6.925606553949912,-0.5009134567605518,671,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
tools.,189,1084,-6.893606574086834,-0.4352871677741579,816,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
guardrails,6,261,-6.8646675121969505,-1.2668405425839833,179,B_heavy,ai_tool,primary_arshkon_vs_scraped_fulltext,unigram
robust,436,2036,-6.8621225745704235,-0.2992453570865159,1291,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
foundational,62,535,-6.823596490220135,-0.6788860228691629,378,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
datasets,113,757,-6.768258642394212,-0.5322810129369353,502,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
fundamentals,147,900,-6.7628324332025445,-0.47668642215306445,682,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
layers,53,488,-6.752721215663961,-0.7140582428614435,392,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
containerized,82,615,-6.680528576933223,-0.5994802556442975,431,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
accessibility,91,653,-6.657763442972898,-0.57352327851277,312,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
onboarding,38,408,-6.630532175510647,-0.7933396144197911,250,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
flows,83,612,-6.5809889454871495,-0.5895305759784026,463,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
automation.,61,511,-6.552897942435122,-0.6624646193202359,398,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
ts/sci,93,653,-6.54275045203093,-0.5605792788567969,180,B_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
verbal_written,284,478,7.096678539911347,0.48030612735857137,551,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,bigram
java_j2ee,64,42,7.00033021381758,1.260375047377842,83,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,bigram
azure_devops,289,516,6.528782721255991,0.4322234577209718,473,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,bigram
rest_api,147,203,6.527658719678131,0.6427734254087261,266,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,bigram
day-to-day_tasks,41,16,6.456271738609918,1.677341703110331,51,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,bigram
net_net,68,61,6.223553054782802,1.0014456728809336,92,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,bigram
effectively_communicate,103,125,6.181237286103311,0.7498181084152229,186,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,bigram
azure_azure,232,413,5.877421633945672,0.43456854778431087,284,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,bigram
skillsability_independently,34,0,5.84138307921387,3.308799947803722,31,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,bigram
javascript_jquery,41,24,5.834958958930253,1.3539055937987605,55,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,bigram
html_css,213,374,5.758271074490026,0.44572142731115694,424,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,bigram
understand_requirements,214,378,5.716753364702407,0.4408801119450114,476,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,bigram
j2ee_spring,28,8,5.572538150281565,1.9130326747755628,30,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,bigram
powershell_scripting,49,40,5.559960543094283,1.079850477081516,71,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,bigram
c#_sql,53,49,5.397719716299864,0.9762963055863416,77,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,bigram
rdbms_nosql,53,50,5.331885386534753,0.9594658676337016,28,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,bigram
spring_spring,167,287,5.272426968442225,0.46314966949180825,206,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,bigram
bachelor_field.proven,26,0,5.1081067587576205,3.3087775609393333,24,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,bigram
directory_azure,28,14,5.051572501730733,1.4814200863246274,31,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,bigram
cross-functional_understand,53,56,4.945265198890443,0.8650276117981548,101,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,bigram
azure_directory,29,19,4.714916881131369,1.261648727625575,35,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,bigram
css_javascript,92,140,4.623570277416582,0.5626337264771575,181,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,bigram
