wave,analysis_category,binding_constraint,severity
Wave 2-3,Text/requirements analysis,"description_core_llm: 0% coverage for scraped. Must use description_core (rule-based, ~44% accuracy) or raw description for cross-period text comparison.",HIGH
Wave 2-3,Seniority stratification,Entry-level: 830 arshkon + 3255 scraped. Asaniczka contributes only 130 (imputed). No native entry-level baseline from Jan 2024.,HIGH
Wave 2-3,Geographic analysis,metro_area: 61-77% coverage. ~25% of SWE posts lack metro assignment.,MEDIUM
Wave 2-3,Company-level analysis,company_industry: 0% for asaniczka. Cross-period industry analysis limited to arshkon vs scraped.,HIGH
Wave 2-3,Skills/requirements,"skills_raw: 1.3% arshkon, 0% scraped. Only asaniczka has structured skills. Must extract from description text.",HIGH
Wave 2-3,Company size,company_size: Only arshkon (99%). Not available for asaniczka or scraped LinkedIn.,HIGH
Wave 2-3,Remote work,is_remote: 0% true in 2024 sources (data artifact). is_remote_inferred exists but cross-period comparison invalid.,HIGH
Wave 2-3,YOE extraction,yoe_extracted: 61-72% coverage. Well-distributed but ~30% missing per source.,LOW
Wave 2-3,Ghost/inflation detection,ghost_job_risk: 100% coverage but very conservative (519 non-low). ghost_assessment_llm: 0% (no budget). Limited to rule-based.,MEDIUM
Wave 2-3,LLM classification,"seniority_llm, swe_classification_llm, ghost_assessment_llm: ALL NULL. No LLM classification budget allocated.",MEDIUM
