group,uid,company,source,cosine_to_group_centroid,seniority_final,text_snippet
2024|junior,arshkon_3902811000,Falcon Placement Services,kaggle_arshkon,0.3668421506881714,entry,implementation googlejob jr location onsite term c2cstrong exp.python android developmentautomation experienceselenium expdebugging exp
2024|junior,arshkon_3903472527,Hyster-Yale Group,kaggle_arshkon,0.3731899857521057,entry,intern required
2024|junior,arshkon_3885869218,Anarchy Labs,kaggle_arshkon,0.42141473293304443,entry,position copious large gpu clusters expected come crazy try potentially write papers contribute full-stack synthesis frameworks qualifications contributions well-used open-source projects.pursuing recently graduated top-tier bs/ms/phd progr
2024|junior,asaniczka_b13a0579644dda57,Latitude Inc,kaggle_asaniczka,0.4460691213607788,entry,responsibilities software c++ rtos linux cross-platform controlling analytical instrumentation high-speed communication channels real-time digital i/o follow including participation requirements specification activities reviews creating cor
2024|junior,arshkon_3904501087,Koddi,kaggle_arshkon,0.47016388177871704,entry,cohort program intensive week program includes aspects bringbachelors degree successful completion relevant bootcamp courseworkgraduation/completion date later outstanding communication interpersonal abilitiesexcellent analytical problem-so
2024|junior,arshkon_3895814058,Lexmark,kaggle_arshkon,0.4821721911430359,entry,student position software
2024|junior,asaniczka_816fa1fee0dee411,Fortuna Health,kaggle_asaniczka,0.48671290278434753,entry,looking huge role shaping direction company duty mostly entail fast-paced however likely wear number different hats iterate including customer looking mindset philosophy fundamentally masses looking motivated consumer-first deeply exploring
2024|junior,arshkon_3904981902,Corpay,kaggle_arshkon,0.48954033851623535,entry,global services headquartered invite week paid summer internship program juniors seniors researching including use porting coldfusion application screens react.documenting presenting implementing screens.implementing application demonstrate
2024|junior,asaniczka_30e934de8f69588b,Hoshizaki America,kaggle_asaniczka,0.49797236919403076,entry,supervision assists layout evaluation related systems performs assembly activities conducts routine analyses and/or tests pertaining analyses completes required documentation provide recommendations write reports builds prototypes performs 
2024|junior,asaniczka_faa31d08c495fa64,KLA,kaggle_asaniczka,0.4992103576660156,entry,description/preferred qualifications responsibilities role characterize capabilities hybrid cpu/gpu systems qualifications c++ required familiarity i/o technologies trade-offs distributed gpu/cuda minimum qualifications
2024|junior,asaniczka_cde211be4d44b5c1,1st10,kaggle_asaniczka,0.49937278032302856,entry,foundational elements intersection open-source llms llama etc sample technologies involved include cloud-based capabilities llm software upon internally externally leveraging immediate user feedback active twitter appeal face challenges sca
2024|junior,asaniczka_9533f25e610b917e,"The Dignify Solutions, LLC",kaggle_asaniczka,0.5011926293373108,entry,developing maintaining software java apis participating stages implementation java software implementation web-based jsp javascript mvc depth object-oriented methodologies database sql
2024|junior,asaniczka_500485d6947883d0,Visionyle Solutions,kaggle_asaniczka,0.5092017650604248,entry,junior required yrs description mandatory sql oops must c# c++ expertise secondary c-dac
2024|junior,arshkon_3902362760,CTS Complete Technical Services,kaggle_arshkon,0.511186957359314,entry,summary corpus christi location provides expertise recommendations repairs improvements provides refinery minimum qualifications bachelor degree required entry minimum related minimum related familiarity relevant standards codes related pip
2024|junior,asaniczka_9512bf73c8058606,Lactation Innovations LLC,kaggle_asaniczka,0.5225133299827576,entry,remote offer.the software maintaining developing software used candidate developing software sql databases user would valuable
2024|senior,asaniczka_6d0f6cf3d9aca948,Accroid Inc,kaggle_asaniczka,0.0559094101190567,mid-senior,hybrid months cth
2024|senior,asaniczka_6980e66feadf21fe,CrowdDoing,kaggle_asaniczka,0.12360047549009323,mid-senior,nature counter needed nature counter
2024|senior,asaniczka_2e17e8bb5d5f6bb5,Zortech Solutions,kaggle_asaniczka,0.15200185775756836,mid-senior,android duration months required kotlin customer facing external
2024|senior,asaniczka_9864da4943f2d969,Sapear Inc,kaggle_asaniczka,0.19444991648197174,mid-senior,position systems type description electromechanical surgery exp
2024|senior,asaniczka_94576b3023bc9ef6,Ekodus,kaggle_asaniczka,0.2026740312576294,mid-senior,java hybrid duration months must us candidate description java javascript jquery
2024|senior,asaniczka_87c3adb40dea01b5,Clover,kaggle_asaniczka,0.21151137351989746,mid-senior,android example treat respect prioritize else role eligible performed
