period_group,technology,label,category,ai_rows,non_ai_rows,rate_among_ai_tool_or_llm,rate_among_non_ai,lift_pp,lift_ratio
2024,python,Python,language,497,22323,0.6277665995975855,0.3166689065089818,31.109769308860376,1.982406818901811
2024,pytorch,PyTorch,ai_ml,497,22323,0.2535211267605634,0.009317744030820231,24.420338272974316,27.208423618634882
2024,tensorflow,TensorFlow,ai_ml,497,22323,0.22535211267605634,0.010885633651390942,21.44664790246654,20.701790992870805
2024,azure,Azure,cloud,497,22323,0.29979879275653926,0.19190968955785512,10.788910319868414,1.562186846569614
2024,api_design,API design,practice,497,22323,0.22132796780684105,0.1283877615015903,9.294020630525077,1.7239023814906187
2024,gcp,GCP,cloud,497,22323,0.15492957746478872,0.06706087891412445,8.786869855066428,2.3102825369047952
2024,mlops,MLOps,ai_ml,497,22323,0.09054325955734406,0.003807731935671729,8.673552762167233,23.778790389395194
2024,aws,AWS,cloud,497,22323,0.3319919517102616,0.25605877346234823,7.593317824791335,1.2965458953863138
2024,scikit_learn,scikit-learn,ai_ml,497,22323,0.06639839034205232,0.004524481476504054,6.187390886554827,14.675359085204295
2024,scala,Scala,language,497,22323,0.096579476861167,0.03951081843838194,5.706865842278506,2.44438056912906
2024,observability,Observability,practice,497,22323,0.0744466800804829,0.017425973211485913,5.702070686899699,4.272167710633983
2024,kubernetes,Kubernetes,cloud,497,22323,0.17303822937625754,0.12910451104242263,4.393371833383491,1.340295764873767
2024,airflow,Airflow,data,497,22323,0.052313883299798795,0.016574833131747527,3.573905016805127,3.156223829463266
2024,nextjs,Next.js,framework,497,22323,0.056338028169014086,0.02369753169376876,3.2640496475245326,2.3773795894459386
2024,ci_cd,CI/CD,devops,497,22323,0.18108651911468812,0.15342919858441967,2.7657320530268454,1.1802611288166958
2024,docker,Docker,cloud,497,22323,0.1448692152917505,0.12193701563409937,2.293219965765114,1.1880659415715453
2024,fastapi,FastAPI,framework,497,22323,0.02414486921529175,0.0016574833131747526,2.2487385902117,14.567186905215072
2024,hadoop,Hadoop,data,497,22323,0.04426559356136821,0.025041437082829368,1.9224156478538839,1.7676938194461942
2024,numpy,NumPy,ai_ml,497,22323,0.02414486921529175,0.005554808941450522,1.8590060273841227,4.346660608814175
2024,pandas,Pandas,ai_ml,497,22323,0.02414486921529175,0.006853917484209111,1.7290951731082638,3.5227837613918807
2024,rust,Rust,language,497,22323,0.028169014084507043,0.012991085427585898,1.5177928656921145,2.168334142787761
