uid,source,period,seniority_final,company_name_canonical,clean_text_source,fk_grade_clean,reading_ease_clean,gunning_fog_clean,avg_sentence_length_clean,type_token_ratio_1000c_clean,lexicon_count_clean,syllable_count_clean,char_count_clean,fk_grade_raw,reading_ease_raw,gunning_fog_raw,avg_sentence_length_raw,type_token_ratio_1000c_raw,lexicon_count_raw,syllable_count_raw,char_count_raw
asaniczka_029f3122fd2072fc,kaggle_asaniczka,2024-01,entry,Intuitive,llm,19.372945736434115,7.226705426356602,23.249612403100777,28.666666666666668,0.9523809523809523,258.0,520.0,1829.0,15.739042674253202,23.958843764817487,19.558255097202466,23.433333333333334,1.0,703.0,1322.0,4756.0
asaniczka_03b6b3364597da4a,kaggle_asaniczka,2024-01,associate,PricewaterhouseCoopers,llm,16.475847750865054,16.534437050838477,19.964972052169287,22.23076923076923,0.9583333333333334,289.0,573.0,2038.0,16.495237590531712,18.293233822057374,19.556992286404054,23.296296296296298,1.0,629.0,1226.0,4347.0
asaniczka_04e73ec4a2ccea9f,kaggle_asaniczka,2024-01,associate,Cypress HCM,llm,15.3333536194747,13.500683856502263,19.465598975016018,15.928571428571429,0.875,223.0,467.0,1698.0,14.855793103448278,16.101850574712643,18.94528735632184,15.466666666666667,0.875,232.0,480.0,1753.0
asaniczka_065ecef43e62e758,kaggle_asaniczka,2024-01,entry,"Nationwide Technical & Executive Search, Inc.",llm,21.374459459459462,-3.2640765765765707,24.873873873873876,30.833333333333332,0.8333333333333334,185.0,391.0,1389.0,20.828273527420446,-0.5780094786729535,24.568991198375087,30.142857142857142,0.8666666666666667,211.0,441.0,1560.0
asaniczka_08afe5a3fa4e8c09,kaggle_asaniczka,2024-01,entry,HCLTech,llm,12.872716627634663,33.8138524590164,17.13536299765808,17.428571428571427,0.8846153846153846,122.0,224.0,843.0,14.886087514024684,26.787791312710397,19.098509376502644,21.58823529411765,0.8846153846153846,367.0,686.0,2476.0
asaniczka_097cc1561dbab8b9,kaggle_asaniczka,2024-01,entry,The Hershey Company,llm,16.018031135531135,20.741552197802207,18.477289377289377,22.75,0.9047619047619048,273.0,526.0,1976.0,16.50294117647059,17.116568627450988,18.949019607843137,22.666666666666668,0.9411764705882353,340.0,670.0,2453.0
asaniczka_0a4fea2bc2249ae1,kaggle_asaniczka,2024-01,director,Goldman Sachs,llm,15.950800668151448,20.689229955456597,19.40316258351893,22.45,0.9375,449.0,867.0,3060.0,15.840064226757612,21.420163751691945,19.71666976299796,22.414634146341463,1.0,919.0,1767.0,6270.0
asaniczka_0c0d75b27da8f0ee,kaggle_asaniczka,2024-01,entry,BLUE ORIGIN,llm,16.094924963553726,18.931875482377166,19.783860732355716,22.043478260869566,0.9411764705882353,507.0,992.0,3546.0,15.263604401607683,23.651413548210883,19.016786982479413,21.346938775510203,0.9285714285714286,1046.0,1997.0,7085.0
asaniczka_0c12a692d316183c,kaggle_asaniczka,2024-01,entry,Acclaim Technical Services,llm,15.872137305699486,9.913525474956856,20.319343696027637,16.083333333333332,0.8421052631578947,193.0,412.0,1416.0,18.02570089649552,6.298105813637619,22.389622385221408,22.72222222222222,0.8888888888888888,409.0,858.0,2915.0
asaniczka_0c98df9033ade4a5,kaggle_asaniczka,2024-01,entry,"LanceSoft, Inc.",llm,17.875000000000004,2.530000000000058,22.0,20.0,0.8461538461538461,320.0,696.0,2444.0,17.314707659498847,5.60407499555717,21.443824417984715,19.470588235294116,0.84,331.0,710.0,2506.0
