uid,source,period,title,desc_200,swe_confidence,swe_classification_tier,is_swe,is_swe_adjacent,is_control,manual_label
asaniczka_d6eaa22111e65884,kaggle_asaniczka,2024-01,Staff Engineer,"Role
As a Staff Engineer (also known as CAD Engineer, Design Engineer), your primary role will be to utilize your expertise in CAD software, particularly AutoCAD, to create and modify detailed technic",0.6487302780151367,unresolved,False,False,False,not_swe
asaniczka_8d49358cbdc91f97,kaggle_asaniczka,2024-01,Mechanical Engineer III,"This is Jahera and I'm a recruiter at Intellectt, Inc. Please find the job description and reach out to me with an updated copy of your resume. You can send it to jahera@intellectt.com or call me at +",1.0,regex,False,False,True,not_swe
asaniczka_c8b290379a386057,kaggle_asaniczka,2024-01,Sr. Project Engineer - Industrial Concrete,"This position serves as a support for operations on the jobs in which they are involved. Responsibilities range from participation in an initial project set up and buyout, cost spread/estimate familia",0.29844942688941956,unresolved,False,False,False,not_swe
asaniczka_429d6f4b3f69236a,kaggle_asaniczka,2024-01,CAPEX Engineer,Movement Search & Delivery www.movementsearch.com is working with a global manufacturing client south of Dallas/FTW. This is a hands-on project role with a facility that has a CAPEX budject planned fo,0.5464938879013062,unresolved,False,False,False,not_swe
asaniczka_d337b88dd4d253a2,kaggle_asaniczka,2024-01,Network Engineer (NY/NJ/CT/PA),"Honest Networks is hiring a Network Engineer to join our rapidly expanding team. The hours for this full-time position would be 8am-4pm from Tuesday-Saturday.
Primary Responsibilities
Responding quick",0.636320948600769,unresolved,False,False,False,adjacent
linkedin_li-4387752524,scraped,2026-03,Supplier Quality Engineer,"**Job Summary:** 

 The Supplier Quality Engineer is responsible for providing the technical interface with suppliers in order to ensure the highest quality of parts and products are received by Teled",0.5517788529396057,unresolved,False,False,False,adjacent
arshkon_3889418845,kaggle_arshkon,2024-04,Desktop Engineer,"Dice is the leading career destination for tech experts at every stage of their careers. Our client, Akkodis, is seeking the following. Apply via Dice today!

Akkodis is seeking a Desktop Engineer for",0.5532416701316833,unresolved,False,False,False,adjacent
linkedin_li-4378627600,scraped,2026-03,Senior Engineer - Payments Modernization,"**Job Description:**
 At Bank of America, we are guided by a common purpose to help make financial lives better through the power of every connection. We do this by driving Responsible Growth and deli",0.4752357602119446,unresolved,False,False,False,adjacent
asaniczka_78b342b7ad0bbbbd,kaggle_asaniczka,2024-01,Substation Engineering Manager,"Possess and maintain broad and in-depth knowledge of principles, practices, procedures, and standards related to utility power distribution, transmission, substation systems, specific expertise for su",0.0,unresolved,False,False,False,not_swe
asaniczka_bce36d06c4c4d2fc,kaggle_asaniczka,2024-01,Outside Plant Engineer - Remote,Vero Networks is a dynamic and innovative telecommunications company dedicated to delivering high-speed fiber-optic internet services to communities across the country. We are on a mission to connect ,0.46626079082489014,unresolved,False,False,False,adjacent
asaniczka_749e4b56549996fa,kaggle_asaniczka,2024-01,Principal Electrical Engineer with Security Clearance,"R-00124016 Description Dynetics, a wholly owned subsidiary of Leidos, is seeking a talented Principal Electrical Engineer to join a diverse team to create unique solutions for complex problems. With o",0.532162606716156,unresolved,False,False,True,not_swe
asaniczka_5000a5e3ce7494eb,kaggle_asaniczka,2024-01,Salesforce Architect/Senior Developer,"Position: Salesforce Architect/Senior Developer
Location: Princeton, NJ
Duration: 11 Months
Remote: Till Covid eases up.
Must have 8+ years of experience in salesforce ecosystem with at least 1 Lightn",0.5602895021438599,unresolved,False,False,False,positive
asaniczka_fc997b209d327c3d,kaggle_asaniczka,2024-01,Sr Hardware Engineer,"Marmon Foodservice Technologies, Inc.
Come join a team where People make the difference! As a part of Marmon Holdings, Inc., a highly decentralized organization, we rely heavily on people with the apt",0.6092159152030945,unresolved,False,False,False,adjacent
asaniczka_d4f76eb18487b215,kaggle_asaniczka,2024-01,Senior Application Developer I - Collecting Resumes Only,"Job Title: Senior Application Developer I
Reports To:
VP, IT
FLSA Status:
Full Time - Salaried, Exempt
Location:
Cincinnati, OH; Hybrid schedule
Who Is Pep
pep started with 7 employees, a borrowed con",0.8204055428504944,embedding_adjacent,False,True,False,positive
asaniczka_c8e0415a0a45f4b2,kaggle_asaniczka,2024-01,Senior Bridge Engineer (Hybrid Opportunity),"Job Details
Description
Design solutions while designing your own career! At Fuss & O’Neill, you’ll have the opportunity to work on a wide range of projects while carving out a career for yourself. Ou",0.4003206193447113,unresolved,False,False,False,not_swe
