uid,source,period,title,desc_200,swe_confidence,swe_classification_tier,seniority_final,seniority_final_source
asaniczka_c4f72cd995b1fd42,kaggle_asaniczka,2024-01,Senior Lead Engineer- Generative AI Engineering (Remote-Eligible),"Job Description
Center 3 (19075), United States of America, McLean, Virginia
Senior Lead Engineer- Generative AI Engineering (Remote-Eligible)
Our mission at Capital One is to create trustworthy, reli",0.9,embedding_llm,mid-senior,title_keyword
asaniczka_c063809e40aa5701,kaggle_asaniczka,2024-01,Software Architect,"Want to learn more about this role and Jobot? Click our Jobot logo and follow our LinkedIn page!
Job details
A leading SaaS company specializing in compliance and reporting solutions is adding a new t",0.9,embedding_llm,mid-senior,title_keyword
asaniczka_51830dce4f66a523,kaggle_asaniczka,2024-01,Systems Integration Engineer II,"Overview
IDEMIA is the global leader in identity and security. Our mission is to create a safe and simple future where identity verification is indisputable, and only you can assert your identity. We ",0.9,embedding_llm,associate,native_backfill
asaniczka_5a7f3912e053664e,kaggle_asaniczka,2024-01,. NET Developer,"* Are you an
EXPERIENCED
.NET Developer?
* Do you enjoy
developing, maintaining, and enhancing
data migration solutions?
* Are you looking to join a
global company
where
YOUR
contributions
MAKE A DIFF",0.9,embedding_llm,associate,native_backfill
asaniczka_ccf18c624055b726,kaggle_asaniczka,2024-01,ReactJS Developer,"KAYGEN is an emerging leader in providing top talent for technology based staffing services. We specialize in providing high-volume contingent staffing, direct hire staffing and project based solution",0.9,embedding_llm,mid-senior,native_backfill
asaniczka_a48e15501800b629,kaggle_asaniczka,2024-01,Senior Firmware Engineer,"Precision Neuroscience is building a direct connection between the human brain and computers, to benefit the hundreds of millions of people worldwide suffering from neurological conditions. Establishe",0.9,embedding_llm,mid-senior,title_keyword
asaniczka_29675744419f0e02,kaggle_asaniczka,2024-01,Principal Firmware Engineer,"This role is for a client of Recruiting from Scratch.
Who is Recruiting from Scratch :
Recruiting from Scratch is a premier talent firm that focuses on placing the best product managers, software, and",0.9,embedding_llm,mid-senior,title_keyword
asaniczka_4fe40a1e71249ca5,kaggle_asaniczka,2024-01,Sr. Test Engineer,"Title
Sr. Test Engineer
KBR is seeking a
Sr. Test Engineer
to join our team at the Naval Air Station's (NAS), Integrated Warfare Test & Evaluation Division (IWED) in
Patuxent River, MD.
In this role, ",0.9,embedding_llm,mid-senior,title_keyword
asaniczka_04d68d7826fd6753,kaggle_asaniczka,2024-01,Software Design Engineer,"To Apply for this Job Click Here
Were looking for a Senior Software Design Engineer. Must be familiar with industry software development standards and with the capabilities of related Department of De",0.9,embedding_llm,mid-senior,native_backfill
linkedin_li-4388537278,scraped,2026-03,DevSecOps Engineer,"**Overview**
   

  

 **Job Summary**
   

  

 Galapagos Federal Systems LLC is seeking a motivated and highly qualified DevSecOps Engineer to support the integration of development, security, and o",0.9,embedding_llm,mid-senior,native_backfill
asaniczka_52efbd09d4823000,kaggle_asaniczka,2024-01,Software Test Engineer,"Hiring for the position of Software Test Engineer with one of our clients.
Summary:
We are seeking a skilled and detail-oriented Software Test Engineer with a strong background in software testing of ",0.9,embedding_llm,associate,native_backfill
asaniczka_33cccc6e0c163f1a,kaggle_asaniczka,2024-01,Principal Firmware Engineer,"This role is for a client of Recruiting from Scratch.
Who is Recruiting from Scratch :
Recruiting from Scratch is a premier talent firm that focuses on placing the best product managers, software, and",0.9,embedding_llm,mid-senior,title_keyword
asaniczka_57eef739ea1c44ed,kaggle_asaniczka,2024-01,Automation Engineer,"Automation Engineer II (DCS/EMS/BAS)
Hopewell, NJ (on-site)
6 month initial contract (potential to extend)
Pay rate range: $50/hr-$55/hr
Assist the Engineering team in the IO Check, Systems Integratio",0.9,embedding_llm,associate,native_backfill
asaniczka_3068aa4e6c941c3e,kaggle_asaniczka,2024-01,Software Architect,"Abbott is a global healthcare leader that helps people live more fully at all stages of life. Our portfolio of life-changing technologies spans the spectrum of healthcare, with leading businesses and ",0.9,embedding_llm,mid-senior,title_keyword
arshkon_3891286990,kaggle_arshkon,2024-04,Automation Engineer,"Why Patients Need You

Pfizer’s purpose is to deliver breakthroughs that change patients’ lives. Research and Development is at the heart of fulfilling Pfizer’s purpose as we work to translate advance",0.9,embedding_llm,entry,native_backfill
asaniczka_00b8216ac3aed06d,kaggle_asaniczka,2024-01,Senior Developer,"Position Summary:
The primary role of this developer is to provide coding, support and sustainment of new and existing applications, support of 3rd party applications and integrations (API and EDI) as",0.9,embedding_llm,mid-senior,title_keyword
linkedin_li-4388181652,scraped,2026-03,QA Automation,"Dice is the leading career destination for tech experts at every stage of their careers. Our client, Ampcus Inc, is seeking the following. Apply via Dice today!
   

  

**Title : QA Automation - Inte",0.9,embedding_llm,mid-senior,native_backfill
linkedin_li-4388306166,scraped,2026-03,Software Engineering Senior Manager,"**About This Role**
 The COO Technology group provides technology services for the Chief Operating Office. This includes operations, control executives, strategic execution, business continuity and re",0.9,embedding_llm,mid-senior,title_keyword
asaniczka_f51e42fad19052bb,kaggle_asaniczka,2024-01,Sr Application Development Manager,"We are the premier provider of comprehensive clinical quantitative urine drug testing, medication monitoring and support services nationwide. Serving hundreds of clients in a variety of medical specia",0.9,embedding_llm,mid-senior,title_keyword
