metric_group,metric,definition,denominator,effect_measure,arshkon_value,asaniczka_value,scraped_value,arshkon_denominator,asaniczka_denominator,scraped_denominator,within_2024_effect,cross_period_effect,within_2024_cohen_h,cross_period_cohen_h,calibration_ratio_abs,within_2024_cohen_d,cross_period_cohen_d,label,category
core,ai_keyword_prevalence,Any selected AI tool/domain tech-matrix column; excludes generic numpy/pandas/scipy/sklearn.,mid-senior LinkedIn SWE rows,percentage-point difference; cohen_h also reported,0.05426356589147287,0.03553299492385787,0.2577218968882765,2064,11426,17418,-0.018730570967614997,0.20345833099680366,-0.09093754355117761,0.5947299130687597,10.862366734499522,,,,
core,org_scope_language_prevalence,LLM-cleaned text regex: (?:cross[- ]functional|stakeholders?|end[- ]to[- ]end|ownership|own(?:s|ing)? (?:the |technical |project |product |feature |features |service |services |system |systems |roadmap)|drive (?:technical|project|product|cross[- ]functional)|collaborate with (?:cross[- ]functional|product|design|stakeholders?)),mid-senior LinkedIn SWE rows,percentage-point difference; cohen_h also reported,0.4028114396509937,0.34096216721158334,0.5876170142880605,2063,10705,6089,-0.06184927243941035,0.18480557463706676,-0.12807662595430358,0.3717658894048501,2.9879991687551146,,,,
core,description_length_mean,Mean raw description_length.,mid-senior LinkedIn SWE rows,character difference; cohen_d also reported,3719.720445736434,4198.377559950989,5454.185382937191,2064,11426,17418,478.6571142145549,1734.464937200757,,,3.6236063054173986,0.22860360542932626,0.7596454840949579,,
core,tech_count_mean,Mean count of true indicators across all 148 shared tech-matrix columns.,mid-senior LinkedIn SWE rows,count difference,5.932170542635659,5.579905478732715,7.729015960500631,2064,11426,17418,-0.3522650639029443,1.7968454178649722,,,5.100833440468673,,,,
top20_tech_stack,python,Shared tech-matrix indicator `python`.,mid-senior LinkedIn SWE rows,percentage-point difference; cohen_h also reported,0.311046511627907,0.35874321722387537,0.5006889424733035,2064,11426,17418,0.04769670559596839,0.18964243084539656,0.1011211742009428,0.38891246976085014,3.976006906049844,,,Python,language
top20_tech_stack,aws,Shared tech-matrix indicator `aws`.,mid-senior LinkedIn SWE rows,percentage-point difference; cohen_h also reported,0.30474806201550386,0.28023805356205145,0.38454472384889193,2064,11426,17418,-0.024510008453452414,0.07979666183338807,-0.05388969204062222,0.16816544017032675,3.255676634503491,,,AWS,cloud
top20_tech_stack,java,Shared tech-matrix indicator `java`.,mid-senior LinkedIn SWE rows,percentage-point difference; cohen_h also reported,0.30959302325581395,0.30255557500437597,0.3193248363761626,2064,11426,17418,-0.007037448251437983,0.009731813120348654,-0.015270447258853626,0.020960749849025184,1.38286105597439,,,Java,language
top20_tech_stack,sql,Shared tech-matrix indicator `sql`.,mid-senior LinkedIn SWE rows,percentage-point difference; cohen_h also reported,0.2911821705426357,0.2852266760021005,0.2475025835342749,2064,11426,17418,-0.005955494540535178,-0.043679587008360776,-0.013149070340459312,-0.09853435831896729,7.334334153286891,,,SQL,data
top20_tech_stack,ci_cd,Shared tech-matrix indicator `ci_cd`.,mid-senior LinkedIn SWE rows,percentage-point difference; cohen_h also reported,0.23594961240310078,0.15298442149483635,0.36404868526811346,2064,11426,17418,-0.08296519090826443,0.12809907286501268,-0.2107108375573894,0.2809928720291224,1.544009860793948,,,CI/CD,devops
top20_tech_stack,azure,Shared tech-matrix indicator `azure`.,mid-senior LinkedIn SWE rows,percentage-point difference; cohen_h also reported,0.25,0.2194993873621565,0.25789413250660237,2064,11426,17418,-0.03050061263784351,0.00789413250660237,-0.07199600897463243,0.018136757651084467,0.25881881784917843,,,Azure,cloud
