definition,side,definition_text,denominator_definition,period_year,source_group,archetype_name,denominator_rows,numerator_rows,share
J1,junior,seniority_final = 'entry',all rows,2026,scraped_2026,Product Backend Engineering,1883,90,0.04779607010090282
J1,junior,seniority_final = 'entry',all rows,2026,scraped_2026,AI LLM Platforms,2160,106,0.049074074074074076
J1,junior,seniority_final = 'entry',all rows,2026,scraped_2026,Enterprise Application Support,2269,116,0.05112384310268841
J1,junior,seniority_final = 'entry',all rows,2026,scraped_2026,Cloud DevOps Infrastructure,1974,42,0.02127659574468085
J1,junior,seniority_final = 'entry',all rows,2026,scraped_2026,Java Dotnet Web Services,1696,78,0.045990566037735846
J1,junior,seniority_final = 'entry',all rows,2026,scraped_2026,Embedded Firmware Systems,967,51,0.052740434332988625
J1,junior,seniority_final = 'entry',all rows,2026,scraped_2026,Defense Clearance Systems,914,56,0.061269146608315096
J1,junior,seniority_final = 'entry',all rows,2026,scraped_2026,Large Employer Data Platforms,517,62,0.11992263056092843
J1,junior,seniority_final = 'entry',all rows,2024,pooled_2024,Java Dotnet Web Services,4221,84,0.01990049751243781
J1,junior,seniority_final = 'entry',all rows,2024,pooled_2024,Enterprise Application Support,7239,140,0.01933968780218262
J1,junior,seniority_final = 'entry',all rows,2024,pooled_2024,Product Backend Engineering,1475,20,0.013559322033898305
J1,junior,seniority_final = 'entry',all rows,2024,pooled_2024,AI LLM Platforms,664,18,0.02710843373493976
J1,junior,seniority_final = 'entry',all rows,2024,pooled_2024,Embedded Firmware Systems,1600,30,0.01875
J1,junior,seniority_final = 'entry',all rows,2024,pooled_2024,Defense Clearance Systems,2867,35,0.012207882804325079
J1,junior,seniority_final = 'entry',all rows,2024,pooled_2024,Cloud DevOps Infrastructure,2133,22,0.010314111579934365
J1,junior,seniority_final = 'entry',all rows,2024,pooled_2024,Large Employer Data Platforms,1162,14,0.012048192771084338
J2,junior,"seniority_final IN ('entry','associate')",all rows,2024,pooled_2024,Java Dotnet Web Services,4221,89,0.021085050935797205
J2,junior,"seniority_final IN ('entry','associate')",all rows,2024,pooled_2024,Enterprise Application Support,7239,156,0.02154993783671778
J2,junior,"seniority_final IN ('entry','associate')",all rows,2024,pooled_2024,Product Backend Engineering,1475,23,0.015593220338983051
J2,junior,"seniority_final IN ('entry','associate')",all rows,2024,pooled_2024,AI LLM Platforms,664,19,0.0286144578313253
J2,junior,"seniority_final IN ('entry','associate')",all rows,2024,pooled_2024,Embedded Firmware Systems,1600,31,0.019375
J2,junior,"seniority_final IN ('entry','associate')",all rows,2024,pooled_2024,Defense Clearance Systems,2867,45,0.01569584931984653
J2,junior,"seniority_final IN ('entry','associate')",all rows,2024,pooled_2024,Cloud DevOps Infrastructure,2133,24,0.011251758087201125
J2,junior,"seniority_final IN ('entry','associate')",all rows,2024,pooled_2024,Large Employer Data Platforms,1162,15,0.012908777969018933
J2,junior,"seniority_final IN ('entry','associate')",all rows,2026,scraped_2026,Product Backend Engineering,1883,93,0.04938927243759957
J2,junior,"seniority_final IN ('entry','associate')",all rows,2026,scraped_2026,AI LLM Platforms,2160,110,0.05092592592592592
J2,junior,"seniority_final IN ('entry','associate')",all rows,2026,scraped_2026,Enterprise Application Support,2269,131,0.05773468488320846
J2,junior,"seniority_final IN ('entry','associate')",all rows,2026,scraped_2026,Cloud DevOps Infrastructure,1974,47,0.023809523809523808
J2,junior,"seniority_final IN ('entry','associate')",all rows,2026,scraped_2026,Java Dotnet Web Services,1696,90,0.05306603773584906
J2,junior,"seniority_final IN ('entry','associate')",all rows,2026,scraped_2026,Embedded Firmware Systems,967,53,0.05480868665977249
J2,junior,"seniority_final IN ('entry','associate')",all rows,2026,scraped_2026,Defense Clearance Systems,914,64,0.0700218818380744
J2,junior,"seniority_final IN ('entry','associate')",all rows,2026,scraped_2026,Large Employer Data Platforms,517,64,0.12379110251450677
J3,junior,yoe_extracted <= 2,YOE-known rows,2024,pooled_2024,Java Dotnet Web Services,2680,268,0.1
J3,junior,yoe_extracted <= 2,YOE-known rows,2024,pooled_2024,Enterprise Application Support,5253,688,0.13097277746049876
J3,junior,yoe_extracted <= 2,YOE-known rows,2024,pooled_2024,Product Backend Engineering,953,115,0.12067156348373557
J3,junior,yoe_extracted <= 2,YOE-known rows,2024,pooled_2024,AI LLM Platforms,384,54,0.140625
J3,junior,yoe_extracted <= 2,YOE-known rows,2024,pooled_2024,Embedded Firmware Systems,1135,127,0.11189427312775331
J3,junior,yoe_extracted <= 2,YOE-known rows,2024,pooled_2024,Defense Clearance Systems,2360,214,0.09067796610169492
J3,junior,yoe_extracted <= 2,YOE-known rows,2024,pooled_2024,Cloud DevOps Infrastructure,1366,118,0.08638360175695461
J3,junior,yoe_extracted <= 2,YOE-known rows,2024,pooled_2024,Large Employer Data Platforms,755,85,0.11258278145695365
J3,junior,yoe_extracted <= 2,YOE-known rows,2026,scraped_2026,Product Backend Engineering,1236,173,0.13996763754045308
J3,junior,yoe_extracted <= 2,YOE-known rows,2026,scraped_2026,AI LLM Platforms,1381,219,0.15858073859522084
J3,junior,yoe_extracted <= 2,YOE-known rows,2026,scraped_2026,Enterprise Application Support,1613,315,0.19528828270303783
J3,junior,yoe_extracted <= 2,YOE-known rows,2026,scraped_2026,Cloud DevOps Infrastructure,1343,125,0.09307520476545049
J3,junior,yoe_extracted <= 2,YOE-known rows,2026,scraped_2026,Java Dotnet Web Services,1081,157,0.1452358926919519
J3,junior,yoe_extracted <= 2,YOE-known rows,2026,scraped_2026,Embedded Firmware Systems,709,142,0.2002820874471086
J3,junior,yoe_extracted <= 2,YOE-known rows,2026,scraped_2026,Defense Clearance Systems,623,155,0.24879614767255218
J3,junior,yoe_extracted <= 2,YOE-known rows,2026,scraped_2026,Large Employer Data Platforms,434,161,0.3709677419354839
J4,junior,yoe_extracted <= 3,YOE-known rows,2026,scraped_2026,Product Backend Engineering,1236,369,0.29854368932038833
J4,junior,yoe_extracted <= 3,YOE-known rows,2026,scraped_2026,AI LLM Platforms,1381,504,0.36495293265749457
J4,junior,yoe_extracted <= 3,YOE-known rows,2026,scraped_2026,Enterprise Application Support,1613,586,0.3632982021078735
J4,junior,yoe_extracted <= 3,YOE-known rows,2026,scraped_2026,Cloud DevOps Infrastructure,1343,332,0.24720774385703648
J4,junior,yoe_extracted <= 3,YOE-known rows,2026,scraped_2026,Java Dotnet Web Services,1081,302,0.2793709528214616
J4,junior,yoe_extracted <= 3,YOE-known rows,2026,scraped_2026,Embedded Firmware Systems,709,291,0.4104372355430183
