category,uid,source,period,company_name_canonical,matched_terms,excerpt
ai,asaniczka_356935bb96a9e3d1,kaggle_asaniczka,2024-01,Covestro,,"improve r& tailor-made aesthetically attractive intuitively , workflows, and/or virtualization entities, , , customers. interdisciplinary , incumbent coordinates , , r& digitally. tasks : high-impact full-stack , selecting maintain transact"
ai,asaniczka_17fb4480bf103cc6,kaggle_asaniczka,2024-01,Intellectt Inc,agent,": ( ) duration : 4+ : | (dcxe) team. scrum delivering front-end ’ agents. currently omnichannel ’ means ( , , , , …) prefer us. front-end bby platform. collaboratively maximizing stakeholders. : | contribute omnichannel bby ’ platform. 10+ "
ai,arshkon_3900978298,kaggle_arshkon,2024-04,Checchi Capital Advisers,,", , internally facing objectives. requires , self-directed , willingness motivation contribute ’ needs.primary - maintain - analyze robust - mappings disparate sets - existing - - , - , seamlessly stackabilities - - ingest, validate sets - "
ai,asaniczka_660d187f7eda3cab,kaggle_asaniczka,2024-01,Digital Republic Talent,fine_tuning,", , generative ai improve , efficiencies use-cases, | selecting needed (ml , governance, instances, , , ), analyse pre-process necessary, , choosing , fine-tuning and/or pre-training , proofs | demonstrable hands-on generative ai , mainly ,"
ai,arshkon_3901625867,kaggle_arshkon,2024-04,Morgan King Technology,llm,": closely founding adopters top-tier ai-driven product.design, , maintain backend , including server-side , databases, , needs.work hand-in-hand user-facing elements.engage entire , debugging, high-quality, code. requirements: wearing hats."
ai,asaniczka_6719c6e9953789df,kaggle_asaniczka,2024-01,ASK Consulting,,"duration: : | , , debug, modify , including data/etl pipelines. collaboratively , , components. quickly minimum viable duties: | troubleshooting issues. team. communicate geographically teams. participate critique others. robust , scala , h"
ai,asaniczka_0a7680bd9be7e5d1,kaggle_asaniczka,2024-01,Pinecone,pinecone,", ui/ux ’ console. , frictionless user , ml scientists. example include maintaining, extending console. include recommendations , pinecone. exciting, ! | ; designing website & user interactions proficiency | , , mockups user proficiency nod"
ai,asaniczka_9cfb08477f2825c7,kaggle_asaniczka,2024-01,Selby Jennings,,", designing implementing , spanning code. encourages delving internals open-source capabilities. emphasizes , researchers, , gain practice. : | * maintain large-scale * * functionality open-source * , researchers, * deepen qualifications: |"
ai,asaniczka_cdae132709cc81e8,kaggle_asaniczka,2024-01,Lirio,agent,"summary , , models/agents makes framework. platform. duties | ’ ( %) customizations state-of-the-art ( ) reinforcement ( ) algorithms ’ requirements ( %) experiments feasibility prototypes ( %) , retrieve, manipulate ( %) algorithms ( %) mo"
ai,asaniczka_91ab9a52caa945d1,kaggle_asaniczka,2024-01,ManTech,,"include, : | , , , ( ) environment. , coordinate, platform. configuration functionality systems. , , , servers, workstations, (lustre, ) maintain backup capabilities systems. maintain procedures, , instructions. , , maintain ( tensorflow, p"
ai,arshkon_3895251457,kaggle_arshkon,2024-04,NAVEX,,"summary: designing , embracing delivering line. , , , amazingly , balancing priorities. : production-ready codemaintain refine librarycreate membersoptimize scalabilityresearch , , used problemsprovide mentorship membersparticipate , , mana"
ai,asaniczka_a87670ccc49b2db0,kaggle_asaniczka,2024-01,DApp360 Workforce,fine_tuning,": | aws; terraform/terragrunt; kubernetes, argocd; ; actions; : | maintain nodes efficiently nodes understand blockchain-specific fine-tuning troubleshooting, , increase eliminate qualifications bring | 3+ experience. , worked , ci/cd. reli"
ai,asaniczka_5e901338ace0aa6e,kaggle_asaniczka,2024-01,Luxoft USA Inc,,"roject : sets , pipelining etl sets. used sets manipulation. require development. minimal direction. requires coordinate systems. : include ( ) sets. c++ (i.e. ) requires , solutioning problems communicating effectively. mandatory : > ( ) f"
ai,asaniczka_f4d54ff7d77c5e20,kaggle_asaniczka,2024-01,LyondellBasell,,"& | emphasis delivering , , , collaboratively , , smes ( , , , ) providing workflows delivering problems collaboratively , , , , exception , , adhered necessary algorithm ml domains including , , preventing downtime, , forecasting, , , , ex"
ai,asaniczka_cb3bac76d7cec31e,kaggle_asaniczka,2024-01,PlanHub,,"& , requires full-stack , , , javascript, , html, xml, xslt, json, third-party , , , databases angular, laravel, , jquery, , , mysql aws cloud. tasks include , prototyping , re-architecting functionality address , , , , , , code. | end-to-e"
ai,asaniczka_8a0fe00dd9d04ed5,kaggle_asaniczka,2024-01,Algo Capital Group,,"c++/python , implementing algorithms strategies. researchers, , industry. : | , , maintain algorithms c++ python. closely researchers understand requirements translate high-performance real-time systems. identify cutting-edge improve strate"
ai,asaniczka_bd2aafd692e55cef,kaggle_asaniczka,2024-01,Lawrence Harvey,,"ai : | high-performing (convolutional ) models. defining requirements, , labeling product. tunning hyper-parameters performance. improve ai/ml finding improve , deployment. , experimentation, , , verification/validation, ai/ml field. ai : |"
ai,asaniczka_806bdf14a6d10d2a,kaggle_asaniczka,2024-01,NuTechs,fine_tuning,"self-starter ( , , , ) focused. important us. ( ) maintaining virtualized servers azure. servers. additional include backups patching , servers desktop/laptop computers. , duties windows-based user , , , backing desk. (rmm) , currently mana"
ai,arshkon_3887907452,kaggle_arshkon,2024-04,"Niantic, Inc.",,"’ seeks researchers user generative ai capabilities , geo-based, productionizing models. capabilities platforms. maintain generative ai models.develop workflows.optimize utilization minimize latency inference.implement maintain alerting ai "
ai,arshkon_3905654103,kaggle_arshkon,2024-04,Teladoc Health,,"red-hot enjoy expertise ’ trailblazing , fascinating approaches ml happiness members. currently ’ approaches lstms, vaes, doc2vec, bandits, reinforcement learning. , behavior-change , reducing costs. , personalize updates recommendations, c"
ai,asaniczka_4dd7d68d8ca3d8e0,kaggle_asaniczka,2024-01,RemoteWorker US,llm,", ai maintain sdks , fine-tune, ai scale. : | world-class ai researchers api services. , , well-managed sdks large-language (llms) proprietary ( ) , real-time , , , governance automation. application-specific llms experience. users ai capab"
ai,asaniczka_d0aafdb4246a9f61,kaggle_asaniczka,2024-01,Vantage Point Consulting Inc.,,"team. , , maintaining applications. cross-functional , , data-driven requirements. : | - , , maintain data-driven language. - cross-functional data-driven - , , well-documented code. - debug functionality. - participate feedback. - etl work"
