uid,source,period,title,company_name_canonical,matched_terms,excerpt
asaniczka_06d88f0b141c14b0,kaggle_asaniczka,2024-01,Principal AI Engineer,Figure,llm,"generative ai, llms, , , automate, operates. ’ | generative ai , automate, , , llm trained proprietary data. algorithms datasets, analyzing performance. analyze ml , , outcomes. identify leveraging ai improve processes. functionally ai outc"
asaniczka_fd8a8ce198e5a464,kaggle_asaniczka,2024-01,Senior Lead Engineer- Generative AI Engineering (Remote-Eligible),Capital One,fine_tuning,"ecosystem. , prioritize following : , , , , , , , , , , lgbtq, impacted individuals. located. : : - generative ai (remote-eligible) : , , : , , , human-in-the-loop ai better. , bring banking. , uniquely positioned ai businesses. world-class"
asaniczka_4d7f2edbdc59e1c4,kaggle_asaniczka,2024-01,Machine Learning Engineer - Large Language Models,Kiewit,llm,"helps , , ai projects. , , prioritize , , visualizations. areas. end. include , , , modelling, space. , , maintenance. snowflake. projects. predictions applications. in-person trainings engineers. / , , , , , ; demonstrated models. ( ’ ) di"
arshkon_3905291267,kaggle_arshkon,2024-04,Full Stack Engineer,Agility Partners,fine_tuning,"maintain , networked , systems. , fine-tuning made. :modify existing errors, improve performance.design , predict measure consequences design.consult evaluate , specifications requirements problems.advise , , system.develop procedures. :4+ "
asaniczka_65b95e1cc823ad89,kaggle_asaniczka,2024-01,AI Systems Engineer,VARITE INC,llm,"( ) inviting ai (llms) team. involves leveraging llm front-end back-end contribute research. llms enthusiastic full-stack development. : | specifically llm , encompassing front-end back-end aspects. collaboratively cross-functional translat"
asaniczka_5abba1ec0e132990,kaggle_asaniczka,2024-01,SR. Data Platform Engineer in IL,NextRow Digital,llm,": duration: | cloud. clients. next element. recommend capabilities stakeholders. teams. technology. standards. leveraging , , ml pipelines. , applications. qualifications | , , gcp aws objectives. gcp aws , ensuring reliability. gcp aws, pr"
arshkon_3901965328,kaggle_arshkon,2024-04,Full Stack Engineer,CSS Tec,llm,"in-house , ' assume delivering , ai-generated users user experiences. , ensuring remains , , allow development. expertise integrating third-party , including authentication , user experience. additionally, ' , llms, fostering ai editorial e"
asaniczka_a40cade3c87a3f8e,kaggle_asaniczka,2024-01,AI Systems Engineer,eTeam,llm,": inviting ai (llms) team. involves leveraging llm front-end back-end contribute research. llms enthusiastic full-stack development. : | - specifically llm , encompassing front-end back-end aspects. - collaboratively cross-functional transl"
asaniczka_63abc68c4c24f906,kaggle_asaniczka,2024-01,"Distinguished Engineer, Generative AI Systems (Remote-Eligible)",Capital One,llm,"ecosystem. , prioritize following : , , , , , , , , , , lgbtq, impacted individuals. located. : : , generative ai (remote-eligible)** ** :** , , , human-inclusive ai better. allowed real-time, , , accessible. , ai customers. bringing ai cap"
arshkon_3895521599,kaggle_arshkon,2024-04,Mission Software Engineer - Fury / CCA (Generalist),Anduril Industries,agent,", deploys, integrates, extends, ' mission-critical capabilities customers. closest end-users, scenarios end-to-end winning capabilities , high-performance, multi-mission (aav) , cca ( ), intrusion, & , counter-unmanned systems. , problems i"
