title_normalized,count_2024,count_2026
software engineer,1791,3974
data engineer,612,1323
devops engineer,211,656
machine learning engineer,147,441
full stack engineer,133,407
ai engineer,17,392
site reliability engineer,154,325
test engineer,243,323
embedded software engineer,194,318
software developer,252,272
cloud engineer,87,270
full stack developer,116,259
software development engineer,80,241
systems engineer,638,230
java developer,239,177
system engineer,231,162
quality assurance engineer,99,149
ai/ml engineer,1,148
java software engineer,56,146
android developer,65,137
artificial intelligence engineer,20,135
application engineer,159,133
. software engineer,147,125
backend engineer,45,124
developer,142,116
full stack software engineer,32,115
java full stack developer,38,113
devsecops engineer,44,105
reliability engineer,102,95
software test engineer,51,93
qa engineer,55,88
servicenow developer,71,84
", software engineer",69,83
frontend developer,66,79
ios developer,39,76
web developer,62,76
software engineer in test,32,74
automation engineer,224,71
platform engineer,49,70
ai software engineer,2,66
full stack java developer,23,65
. data engineer,43,64
database engineer,40,63
product engineer,126,61
"software engineer, full stack",99,58
"software engineer, backend",19,58
software engineer - backend,22,57
founding engineer,5,57
infrastructure engineer,71,57
qa automation engineer,25,55
frontend engineer,33,53
mobile engineer,11,52
salesforce developer,126,51
"(usa) , software engineer",19,49
software development engineer in test,13,48
android engineer,13,48
full-stack engineer,14,47
software engineer intern,12,47
ios engineer,7,46
angular developer,37,46
flight software engineer,9,45
data platform engineer,9,45
associate software engineer,6,44
applied ai engineer,1,42
backend software engineer,16,42
cloud infrastructure engineer,12,41
software engineer - java,8,40
software engineer - full stack,18,39
generative ai engineer,10,39
field application engineer,11,38
.net full stack developer,14,38
java fullstack developer,16,38
software quality engineer,23,38
"software engineer, platform",2,38
ml engineer,13,37
software development engineer in test (sdet),8,37
java backend developer,13,37
react developer,37,36
firmware engineer,98,35
"software engineer, infrastructure",5,35
azure cloud engineer,24,35
test automation engineer,26,35
fullstack engineer,10,35
full stack software developer,8,34
back end developer,29,34
quality assurance automation engineer,28,34
python developer,99,34
cloud platform engineer,4,32
full-stack software engineer,9,32
software engineer - level,4,32
ai platform engineer,1,32
"software engineer,",7,31
robotics software engineer,17,31
power systems engineer,15,30
"software engineer, product",1,30
front end developer,27,30
aws devops engineer,6,29
ai developer,2,29
aws data engineer,11,28
cloud software engineer,16,27
"software engineer, frontend",3,27
azure devops engineer,18,26
mobile application developer,13,26
"software engineer, android",44,26
cloud data engineer,12,25
aws cloud engineer,9,25
. devops engineer,14,25
react native developer,13,25
"software engineer, machine learning",7,25
software engineer - frontend,13,24
mobile developer,20,24
golang developer,22,23
mlops engineer,12,23
site reliability engineer (sre),6,23
agentic ai engineer,1,23
"software engineer, data platform",4,23
"software engineer, fullstack",1,23
backend developer,10,22
c++ developer,25,22
java full stack engineer,5,21
software engineer - fullstack,5,21
ai data engineer,1,21
gen ai engineer,1,21
full-stack developer,10,21
software engineer -,14,21
systems integration engineer,12,21
"vice president, full-stack engineer",1,21
software engineer (backend),6,21
systems software engineer,13,21
forward deployed software engineer,2,20
cloud devops engineer,13,20
"software engineer, ios",9,20
software engineer - ios,1,20
fullstack software engineer,8,19
founding software engineer,12,19
azure data engineer,22,19
big data engineer,14,19
ui developer,20,19
software engineering manager,41,19
databricks data engineer,1,18
frontend software engineer,16,18
.net developer,151,18
systems test engineer,18,18
power system engineer,10,18
. full stack engineer,6,18
advanced software engineer,7,18
software developer in test (sdet),1,18
"devops engineer,",3,17
systems operations engineer,1,17
it software engineer,5,17
programmer,24,17
software systems engineer,10,17
fullstack developer,13,17
software qa engineer,8,17
specialty software engineer,2,17
software engineer (full stack),6,17
software engineer (onsite),15,17
"software engineer, ai",2,17
software engineer - ai,2,16
full stack .net developer,16,16
software engineer with security clearance,77,16
ai security engineer,1,16
front end engineer,13,16
software quality assurance engineer,11,16
test development engineer,8,16
ml ops engineer,6,15
ai/ml developer,2,15
python software engineer,6,15
automation test,6,14
api developer,6,14
automation test engineer,8,14
software engineer - infrastructure,3,14
cloud developer,6,14
.net software engineer,8,14
devops,6,14
cyber software engineer,2,14
/ software engineer,7,13
software engineer - android,5,13
"software engineer, applied ai",1,13
.net fullstack developer,1,13
c++ software engineer,12,13
software design engineer,23,13
java backend engineer,5,13
. salesforce developer,14,13
network systems engineer,6,13
front end software engineer,2,13
mobile software engineer,5,13
data engineer intern,3,13
big data developer,8,13
ios software engineer,5,13
ai/ml software engineer,1,13
. full stack developer,4,12
(usa) software engineer,7,12
. software developer,19,12
application software engineer,1,12
"software engineer, data",3,12
"software engineer, observability",1,12
java engineer,37,12
software engineer - python,3,12
android software engineer,5,12
