uid,year,title,snippet
asaniczka_5373e563b352a658,2024,"Senior Tools/Systems Engineer, WWE 2K","Need Agoura Hills studio California seeking Senior Tools/Systems Engineer high bar code quality passion clean efficient design. role, work closely DevOps design, develop, maintain high-quality tools pipelines efficiently build code data across multiple platforms. | Improve design"
asaniczka_687866d1a5ef0461,2024,QA Engineer,"QA Engineer- 100% on-site- relocation offered Responsibilities: | Develop detailed, well-structured test plans, test cases, acceptance criteria. Collaborate development team estimate, prioritize, plan, coordinate testing activities solutions. Identify, document, track bugs compre"
asaniczka_acf893486c786afc,2024,Software V & V Engineer,Software V & V Engineer Software V & V Engineer assists software quality assurance efforts related new product development product modifications Research Development group. position responsible ensuring new products effectively efficiently verified validated prior release shipmen
asaniczka_fcb3285e2aea6b02,2024,Jr. ServiceNow Developer/System Programer I,"Junior ServiceNow Developer equivalent System Programmer Konica Minolta key member Quality System Support (QSS) team responsible strategic development, integration maintenance Solution Support Division's (SSD) Operations Systems providing advanced technical support KMBS products "
linkedin_li-4390916126,2026,Sr Software Engineer/Frontend,"Design build core UI features like prompt management, dashboards, analytics tools. Develop responsive, intuitive interfaces using React, TypeScript, HTML, CSS, JavaScript. Collaborate backend APIs DevOps ensure seamless, scalable systems. Lead frontend projects concept launch, ow"
asaniczka_1e6774834f121952,2024,"Senior Software Engineer, Artificial Intelligence","Key Responsibilities: | Design, develop, optimize AI algorithms models enhance product's capabilities performance. Collaborate cross-functional teams integrate AI functionalities into software applications platforms. Analyze preprocess large data sets ensure data quality, relevan"
linkedin_li-4387022922,2026,Product Engineer V - Supplier QA Engineer,"**Job Title:** Product Engineer V - Supplier QA Engineer **Pay Range:** $85\.00 - $99\.42/hourly **Contract Length:** 12 months (chances conversion/extension) **Location:** Tualatin, **The Group You’ll Part Of** position Supplier Engineering technology group (SET), within US Glob"
linkedin_li-4336943354,2026,Sr. Site Reliability Engineer - Observability,"You’ll helping build common infrastructure well help improve reliability, quality services overall observability patterns. Along team, you’ll ensure aspects shared product spaces plan address any opportunities exception reporting, capacity planning, monitoring alerting, backups, "
linkedin_li-4391221709,2026,Founding Engineer,"**About ** venture backed, seed-stage, AI native govtech company mission improve quality software government networks. build tools services help government defense teams navigate Authority Operate (ATO) process faster better outcomes. We’re small, technical founding team based Te"
asaniczka_e5cf668a891806cb,2024,Lead Data Engineer,"Role We’re looking Lead Data Engineer join Data Quality & Infrastructure (DQ&I) team. Join us shaping culture data everyone’s fingertips, quickly intuitively. currently support 100TB data warehouse used hundreds people make mission-critical decisions products business. We’ll lean"
asaniczka_e881e00e58ecbc36,2024,Junior Data Engineer,"Data & Analytics Data analytics excellence delivered diverse collaborative global community, heart community hub team enables others: ’s Data Analytics team, significant investment into cloud technologies tools; combined expansive scope shortage ambition momentum, Data Analytics "
