uid,year,title,snippet
linkedin_li-4376255593,2026,Software Engineer (Typescript),"Want learn role ? Click logo follow LinkedIn page! Job details: Job hosted by: Christina Finster fit? Easy Apply clicking ""Easy Apply"" button sending us resume. Salary: $180,000 - $220,000 per year **A bit us:** client seed-stage tech startup. Headquartered Seattle, WA, U Distric"
linkedin_li-4315976534,2026,"Senior/Staff Full Stack Engineer, Finance","We’re looking seasoned Senior/Staff Full Stack Engineer join Finance Pod, builds maintains complex systems power advisor payments Fora. pod owns end-to-end advisor payment system experience (covering booking data ingestion, commission collection, payouts), expanding quickly into "
linkedin_li-4391908656,2026,Data Engineer,"global leader, specializes design, installation, service, maintenance cutting-edge fire alarm systems, critical communications, video surveillance, access control, advanced AV technologies. mission bring clarity transformation safety, security, communication integral technology r"
linkedin_li-4324492205,2026,Software Engineer,"**Company Overview** brings agreements life. 1\.5 million customers billion people 180 countries use solutions accelerate process business simplify people’s lives. intelligent agreement management, unleashes business-critical data trapped inside documents. now, disconnected busin"
asaniczka_edb98b7c5ff3e491,2024,Sr. Software Engineer,"Job Summary: | Design develop database software Linux / Open-Source platform. specific technical project product responsibility. doing: | Design implement database-driven data storage, reports exports. Design develop Time Series Databases (with focus Patroni raft, HA Proxy, Postg"
linkedin_li-4392396554,2026,Junior Software Engineer,"seeking **Junior** **Software Engineer** support Submarine Maintenance Monitoring Information System (SMMIS). SMMIS web application used US Navy Submarine Performance Monitoring Teams track report daily activities supporting fleet. handles inspection test point data, equipment de"
linkedin_li-4391535266,2026,"Software Engineer, Analytics Platform","transforming transportation mission build autonomous robotaxis ground up—delivering safer, cleaner, reliable, enjoyable future all. Analytics Platform, established late 2024 part Data Infrastructure team, redefining data analysis metrics infrastructure enable machine learning, da"
asaniczka_a7c8e1dbf633b858,2024,Sr. Software Engineer - Mobile,"Great communicator work fellow team members stakeholders Loves stay top cutting-edge technology Likes mix heads-down development work well collaborating teammates Passionate coding, excited idea working mobile technologies devices | Play major part enhancing evolving current mobi"
linkedin_li-4387148658,2026,"Associate Director, AI Application Engineer","Responsibilities: | * Lead team engineers tasked design, development, deployment AI-enabled applications using .NET Core, C#, Python, modern frameworks * Define technical vision roadmaps, actively engage technology initiatives; integrate solutions Azure, Google Cloud, enterprise "
asaniczka_08633c1a76d4cd71,2024,"Senior Software Engineer, Android","Senior Software Engineer, Android Android Software Engineer, you’ll opportunity forefront driving major transformation within . , iOS Android platforms recognized opportunity reach customers unique, personal engaging ways. Nothing limits explore exciting ways take advantage full "
linkedin_li-4380995481,2026,"Staff Software Engineer, Offload","Docker, make app development easier developers focus matters. remote-first team spans globe, united passion innovation great developer experiences. 20 million monthly users 20 billion image pulls, Docker #1 tool building, sharing, running apps—trusted startups Fortune 100s alike."
asaniczka_ad9307eed8b071b7,2024,Senior Embedded Systems Engineer,"Basic Qualifications Bachelor’s degree Systems Engineering, related Science, Engineering Mathematics field. Agile experience preferred, plus minimum 8 years relevant experience; Master's degree plus minimum 6 years relevant experience. CLEARANCE REQUIREMENTS: Department Defense S"
asaniczka_4ffe74aa858d02fa,2024,ServiceNow Developer,"ServiceNow ITOM Lead Consultant . role requires close partnership collaboration Business Stakeholders Subject Matter Experts. Essential Job Duties include working complex ServiceNow ITSM deployments including Incident, Problem, Change, Service Catalogue, Knowledge modules integra"
linkedin_li-4335617151,2026,xPL OSM Application Engineer–Structural,"Position Description: Design structural systems (including analysis, connection design, detailing) offsite manufactured modular building components. Provide oversight offsite manufactured elements meet structural integrity, safety, compliance standards optimizing transport, assem"
arshkon_3895544446,2024,"Principal Engineer, Backend (EMR)","Hims seek experienced Principal Software Engineer help build fast, reliable, frictionless telemedicine end-user experience. role focus software connects patients medical providers. software allows Clinicians communicate patients, see medical history any relevant information make "
asaniczka_8c3ce76991084e69,2024,Building Automation Systems Engineer,"Primary Responsibilities | role Building Automation Systems Engineer, we'll count to: Perform complex assignments exercising judgment evaluation, selection modification standard engineering techniques procedures Coordinate workload design development construction document phases "
linkedin_li-4396567858,2026,Pega Senior Software Engineer,"**Why ** looking more? Find here. , we're financial services leader -we're global trailblazer committed driving innovation, empowering communities, helping customers succeed. believe meaningful career much job - finding elements help thrive, one place. Living Well Life means supp"
linkedin_li-4390786640,2026,Software Engineer + Customer Success,"**We’re looking key engineer wants first line response customers. technical software role requires customer support acumen technical ability across VLSI/software development.** **Who Are** want first line response customers. want bridge gap customer support software development, "
linkedin_li-4383864686,2026,Principal Flight Software Engineer I,"conform United States Government Space Technology Export Regulations, applicant must U.S. citizen, lawful permanent resident U.S., conditional resident, asylee refugee (protected individuals defined 8 U.S.C. 1324b(a)(3\)), eligible obtain required authorizations U.S. Department S"
asaniczka_bc19c79d96bfcd48,2024,"Senior Backend Engineer, Cloud Infrastructure Startup","Client | client building software empowers users create secure multi cloud resources. fundamentally reimaginationing developers, devops, security teams own, manage, secure multi cloud resources. founding member team, you’ll build, own, shape products help reduce pain cloud-first "
asaniczka_220e386af5753b91,2024,"Senior Software Engineer, Android","Locations: VA - McLean, United States America, McLean, VirginiaSenior Software Engineer, Android Android Software Engineer | , you’ll opportunity forefront driving major transformation within . , iOS Android platforms recognized opportunity reach customers unique, personal engagi"
linkedin_li-4387550003,2026,Actively looking for a Data Engineer with Google Cloud Platform.,"Dice leading career destination tech experts every stage careers. client, , seeking following. Apply via Dice today! **Job Summary:** seeking highly skilled motivated Delivery Module Lead Software Development domain, strong emphasis Google Cloud Platform Data Engineering. ideal c"
linkedin_li-4378449117,2026,"Staff AI Engineer, Commercial Technology","**About ** mission keep world adventurous forever. goes emissions-free Electric Adventure Vehicles build, curious, courageous souls seek attract. company, constantly challenge what’s possible, never simply accepting always done. reframe old problems, seek new solutions operate co"
asaniczka_8ace1e159cf3da8d,2024,"Technical Lead, Software Engineering","technical leader Engineering organization, drive execution, provide technical leadership, people development, recruiting top-level talent well hands-on development work. Responsibilities | Drive great execution, work team set clear goals, deliver Help recruit, inspire, develop hi"
linkedin_li-4379487930,2026,Sustaining Product Engineer - Electrical,"**General Duties \& Responsibilities** * Identify R\&D, Manufacturing Engineering, Production, Quality teams established manufacturing capabilities, efficient production methods, quality risks, cost impacts result modification improvements product designs. * Coordinate Purchasing"
linkedin_li-4390805314,2026,Site Reliability Engineer - Remote US,"Lensa career site helps job seekers find great jobs US. staffing firm agency. Lensa hire directly jobs, promotes jobs LinkedIn behalf direct clients, recruitment ad agencies, marketing partners. Lensa partners DirectEmployers promote job . Clicking ""Apply Now"" ""Read more"" Lensa r"
arshkon_3902368612,2024,Front-End Web Application Developer @ US Remote,Front-End Web Application DeveloperLocation : US (Remote)Min exp : 9+ Years Job description:-SummaryThe Front-End Web Application Developer possesses high technical aptitude toimplement front-end design changes requested product owners design teamsand serves SME developers implem
asaniczka_2357d91f34431be7,2024,Full Stack Engineer,"seeking motivated forward-thinking experienced full-stack engineer join expanding team. contribute developing solutions address diverse requirements healthcare technology space. position, engage various projects, playing pivotal role ensuring final outcomes align relevant busines"
asaniczka_be871e4fbd7e915a,2024,Staff Software Engineer - Hybrid Opportunity with Security Clearance,"ENSCO, Inc. seeking DevOps Platform Engineer (AWS) support Space Force customer. SWAFS program migrating legacy capabilities into AWS cloud, continuously adding new capabilities legacy applications users. DevOps AWS/Cloud Engineer assist migrating legacy tools cloud delivering ne"
linkedin_li-4286386742,2026,Software Engineer (Technical Leadership) - Machine Learning,"seeking talented principal engineers join teams building cutting-edge products connect billions people around world. member team, oversee complex technical problems, build new features, improve existing products across various platforms, including mobile devices web applications."
arshkon_3902360353,2024,Senior Backend Engineer,"Job Description:We seeking skilled motivated Senior Quant/Backend Engineer extensive experience building, maintaining, optimizing high-performance trading platforms. collaborate closely trading team, quants, engineers ensure seamless operation trading infrastructure. Responsibili"
asaniczka_4adcb7205914a1ce,2024,"Lead Software Engineer (Java, Node, Golang)","Lead Software Engineer (Java, Node, Golang) enjoy working technology field? looking Full Stack Software Engineers excited combining data emerging technologies. Lead Software Engineer , opportunity drive major transformation within company. Do: Lead team developers working range t"
linkedin_li-4397459491,2026,Lead Web Developer (Technical Lead),"Location: Fall River, MASchedule: Hybrid – In-office Tuesdays \& Thursdays RoleWe’re looking hands-on Lead Web Developer (Technical Lead) operates Senior Developer level—someone drives technical direction, owns architecture decisions, leads complex development efforts. traditiona"
linkedin_li-4391883661,2026,"Principal Staff Software Engineer, Regulatory Compliance","world’s largest professional network, built create economic opportunity every member global workforce. products help people make powerful connections, discover exciting opportunities, build necessary skills, gain valuable insights every day. We’re also committed providing transfo"
asaniczka_d7d288f7c4298956,2024,Application Engineer,"Application Engineer (AE) role integral part Sales Operations team. position entails communicating multiple entities; customers, suppliers, outside sales internal departments deliver superior level customer service technical support. AE must able respond technical sales based cus"
linkedin_li-4392968332,2026,Principal Cloud Engineer,"*Job Title:* Principal Cloud Engineer *Location:* Kennesaw, Georgia *Regular/Temporary:* Regular *Full/Part Time:* Full-Time *Job ID:* 296326 Location **(Primary Location Job Responsibilities)** Kennesaw campus located 1000 Chastain Road NW, Kennesaw, GA 30144\. Marietta campus l"
asaniczka_c7097eeba6dce743,2024,Lead Android Developer,"Title: Lead Android developer individual role accountable successful timely delivery projects aspects projects Client Platform domain, well demonstrate leadership qualities improve team performance. development role entails working within various Scrum Kanban teams multiple geogr"
asaniczka_8b1bc31eb6b476bd,2024,Senior System Engineer – Managed Services,"Senior System Engineer – Managed Services currently need Senior System Engineer – Managed Services. System Engineer primarily work projects, handle client discovery work, occasionally serve escalation point service desk. Senior System Engineer – Managed Services Responsibilities "
asaniczka_3a599292d1f2493e,2024,Sr. Backend Software Engineer - Trading & OMS,"seeking Senior Backend Engineer join Trading & OMS (Order Management System) | Team! We’re building scalable, tax-efficient trading & rebalancing platform wealth management firms sizes. platform target sophisticated rebalancing strategies across equities, mutual funds fixed incom"
linkedin_li-4369953816,2026,Senior Software Development Engineer - Big Data Backend,"** data collaboration platform choice world’s innovative companies. groundbreaking leader consumer privacy, data ethics, foundational identity, setting new standard building connected customer view unmatched clarity context protecting precious brand consumer trust. offers complet"
asaniczka_0ab446101f609b92,2024,"Principal Software Engineer, Data","Principal Engineer Data Platform team, responsible modernizing data platform practice. play critical role selecting implementing technology, use across CLEAR make data-driven decisions, build best-in-class product, enable future ML/AI use cases. work cross-functionally multiple e"
linkedin_li-4389828756,2026,"Software Engineer I, Backend (Purchasing Power)","Join Credit Engineering group partner Product Credit Risk solve complex challenges protect consumers overextending enabling consumers need us most. part team, focus designing implementing new features underwriting platform support partnered merchants users across wide number inte"
linkedin_li-4391605248,2026,Senior DevSecOps Engineer,"Job ID: 2610699-OTHLOC-969 **Location:** San Diego, CA, US **Date Posted:** 2026-03-26 **Category:** Software **Subcategory:** DevSecOps **Schedule:** Full-Time **Shift:** Day Job **Travel:** **Minimum Clearance Required:** Secret **Clearance Level Must Able Obtain:** Top Secret "
linkedin_li-4394608397,2026,Senior Software Engineer,****About Role:**** seeking Senior Software Engineer DTI (Digital Technology Innovation) line business strong software engineering fundamentals experience working modern AI technologies. role focuses designing building next-generation digital solutions leveraging artificial intel
linkedin_li-4391248526,2026,Data Engineer,"Dice leading career destination tech experts every stage careers. client, Robert Half, seeking following. Apply via Dice today! **Description** looking experienced Data Engineer join team Newtown Square, Pennsylvania. long-term contract position, play pivotal role designing imple"
linkedin_li-4363920779,2026,URGENT Backend AI Engineer-Legal Tech!,"Want learn role ? Click logo follow LinkedIn page! Job details: **URGENT Backend AI Engineer Opportunity-Tech Startup!** Job hosted by: Audrey Block fit? Easy Apply clicking ""Easy Apply"" button sending us resume. Salary: $120,000 - $160,000 per year **A bit us:** hiring backend e"
linkedin_li-4388964110,2026,Staff Software Engineer - AI/ML Platform,"**At , offer rewarding career ambitions met endless possibilities.** **Every day honor iconic brand offering quality coverage millions customers need us most. thrive relentless innovation exceed customers’ expectations making real impact company shared purpose.** **When join comp"
