year,seniority_op,tech_count_mean,tech_count_median,tech_count_std,soft_count_mean,soft_count_median,soft_count_std,scope_count_mean,scope_count_median,scope_count_std,edu_level_mean,edu_level_median,edu_level_std,mgmt_strong_any_mean,mgmt_strong_any_median,mgmt_strong_any_std,mgmt_broad_any_mean,mgmt_broad_any_median,mgmt_broad_any_std,ai_mention_mean,ai_mention_median,ai_mention_std,requirement_breadth_mean,requirement_breadth_median,requirement_breadth_std,credential_stack_depth_mean,credential_stack_depth_median,credential_stack_depth_std,tech_density_mean,tech_density_median,tech_density_std,scope_density_mean,scope_density_median,scope_density_std,n
2024,associate,4.714285714285714,5.0,2.009444139235804,2.7142857142857144,3.0,0.8722140304845953,0.9761904761904762,1.0,0.3794793667483416,2.5833333333333335,3.0,1.0203747638169702,0.15476190476190477,0.0,0.36384981739119404,0.9523809523809523,1.0,0.2142378986621612,0.75,1.0,0.4356134021636368,11.178571428571429,12.0,2.7161308159391586,5.583333333333333,6.0,1.0321148405951284,2.7521381472146556,2.955082742316785,1.232893145999217,0.5959291455659872,0.5910165484633569,0.34553833376022514,84
2024,director,5.278688524590164,4.0,4.658795078633473,3.377049180327869,3.0,1.2538465406663544,1.5737704918032787,2.0,1.2035920736617622,2.2295081967213113,3.0,1.4536556518303643,0.6229508196721312,1.0,0.48866943244656735,0.9836065573770492,1.0,0.12803687993289598,0.22950819672131148,0.0,0.42400639236340215,13.032786885245901,12.0,5.344677143709598,5.508196721311475,6.0,0.8489788144131775,2.2356455168546896,1.4456089627755693,2.032347142738448,0.6428611821073376,0.5411255411255411,0.5278463008315712,61
2024,entry,5.157676348547718,4.0,4.724937521083916,2.195020746887967,2.0,1.4257074631217677,0.7800829875518672,1.0,0.9339530643547909,1.5145228215767634,2.0,1.2685279692825087,0.34024896265560167,0.0,0.47477883036139695,0.8049792531120332,1.0,0.3970412704003283,0.16597510373443983,0.0,0.37283260235337967,10.149377593360995,9.0,5.794617619912107,4.261410788381743,4.0,1.3268558078089943,3.5546515235113865,2.827521206409048,3.5002194780818936,0.47859767001248027,0.3480682213713888,0.6353728955433329,241
2024,mid-senior,7.330738289866355,6.0,5.5419260381377695,2.3522771506422733,2.0,1.4633939561002933,1.0316595302971325,1.0,1.1336966008107232,1.7464642532762424,2.0,1.3593115514722818,0.5445698715453484,1.0,0.49804187677395784,0.885558583106267,1.0,0.3183672884875114,0.11223562994680161,0.0,0.31567661197011165,13.137407551576489,13.0,6.195276758471039,4.850525496302063,5.0,1.242355569884,4.600726993994957,3.6231884057971016,4.188565643254261,0.5327380139973552,0.4103405826836274,0.6331687424068273,7707
2024,missing,6.554802554411573,5.0,5.426606256324076,2.327903036621921,2.0,1.5176595295666555,1.052456666232243,1.0,1.1824383570169192,1.6076502020070376,2.0,1.318951316459254,0.5504365958555976,1.0,0.4974658540775791,0.8683044441548287,1.0,0.3381705020758326,0.1328033363742995,0.0,0.3393731211772585,12.296429036882575,11.0,6.354287219496305,4.71328033363743,5.0,1.3527528494221435,4.1944472490928915,3.142007528266256,4.193667444970172,0.553024949751561,0.4024954882272702,0.6769914816095997,15346
2024,unknown,5.297308575005216,4.0,4.763683727385024,2.0083455038597955,2.0,1.5211136595962143,0.8237012309618194,0.0,1.0233121144955515,1.3452952221990402,2.0,1.265763411227109,0.3920300438138953,0.0,0.4882542638239384,0.7711245566451075,1.0,0.4201527165511479,0.12664302107239725,0.0,0.3326073471415013,10.164615063634466,9.0,5.802342489275622,4.198622991863134,4.0,1.4644444119437476,4.264966965976679,3.0193236714975846,4.784254392202725,0.4711804288486559,0.0,0.6874858658452123,4793
2026,associate,9.266666666666667,9.0,6.383887764403894,2.566666666666667,3.0,1.165105688067746,1.0666666666666667,1.0,0.8683449709106095,1.6333333333333333,2.0,1.0661996103898193,0.36666666666666664,0.0,0.490132517853561,0.8666666666666667,1.0,0.3457459036417604,0.23333333333333334,0.0,0.4301830671520763,15.5,15.0,6.770880857481314,5.333333333333333,5.0,1.0283342182227606,4.658585017819204,3.9800671474984783,4.893211979179907,0.4553987344356168,0.4923687689350459,0.3308676429762196,30
2026,director,10.9609375,14.0,6.776990184777232,3.734375,4.0,1.1534568038835247,2.328125,2.0,1.2302574789721576,2.0078125,2.0,0.9348551932162888,0.90625,1.0,0.2926259066792319,0.984375,1.0,0.12450690143095285,0.78125,1.0,0.41502300476984283,20.5625,24.0,7.206460356245759,6.46875,7.0,0.8956368428837151,4.172530935194547,3.730524467851657,2.9812665469822894,0.911849800995367,0.6687505366700696,0.5919602383302045,128
2026,entry,6.612820512820512,5.0,5.3778886295330075,2.371794871794872,2.0,1.2574607616417897,1.2307692307692308,1.0,1.17299385073325,2.0025641025641026,2.0,1.1165930506981692,0.48717948717948717,0.0,0.5004776572828451,0.882051282051282,1.0,0.32296170781622974,0.43333333333333335,0.0,0.4961721513450262,12.54102564102564,12.0,6.024552077717483,4.858974358974359,5.0,1.091264201365309,3.5794483072249874,3.0883261272390365,2.681868714025841,0.6623507288976944,0.5589730643097104,0.6610092179779725,390
2026,mid-senior,8.673811486672163,7.0,6.062933060306269,2.9601538884308876,3.0,1.3763116402625446,1.8865072822203903,2.0,1.4269963984375207,1.5850508381423467,2.0,1.3920202535756239,0.642484198955757,1.0,0.4793343213824258,0.9296510030228085,1.0,0.2557694127845887,0.43088760648529817,0.0,0.49526849605653844,16.265457543281123,16.0,6.885292146456339,5.471558120362737,6.0,1.154955175902757,3.7880051596598987,3.1813361611876987,3.050194276525977,0.7814425785771304,0.6939625260235948,0.6416425611055621,3639
