uid,year,source,company_name_canonical,title,requirement_breadth,tech_count,soft_count,scope_count,text_len,snippet
linkedin_li-4390883729,2026,scraped,ClifyX,Java Full stack Engineer,58,49,3,3,4782,"**Position Title: : Java Full stack Engineer** **Location: Irving, Tx / Tampa, FL (Hybrid 3 days onsite)** **Duration: Fulltime** **Title: Java Full stack Engineer** **Location: Irving, Tx / Tampa, FL (Hybrid 3 days onsite)** **Required skill: Core Java, React, Spring boot** Join pioneering team Full-Stack AI Engineer forefront building next generation intelligent AI-powered products redefine user"
linkedin_li-4381304924,2026,scraped,Pacific Northwest National Laboratory,Senior Software Engineer III,57,43,5,5,14299,"**Overview** PNNL, core capabilities divided among major departments refer Directorates within Lab, focused specific area scientific research function, leadership team dedicated budget. Science \& Technology directorates include National Security, Earth Biological Sciences, Physical Computational Sciences, Energy Environment. addition, Environmental Molecular Sciences Laboratory, Department Energy"
linkedin_li-4393030938,2026,scraped,LTM,Java Full Stack Engineer - React,56,48,2,3,4232,"**Title: Java Full stack Engineer** **Required skill: Core Java, React, Spring boot** Join pioneering team Full-Stack AI Engineer forefront building next generation intelligent AI-powered products redefine user experiences solve complex business challenges. pivotal role empowers entire solution stack—from intuitive front-end interfaces robust back-end infrastructure cutting-edge agentic AI systems"
linkedin_li-4380635465,2026,scraped,Andiamo,Principal Staff Backend Engineer,56,48,3,3,3710,"seeking accomplished Principal Staff Backend Engineer lead design development scalable, secure, resilient enterprise systems. set technical direction, mentor engineers, architect platforms power mission-critical products. hands-on leadership role spans cloud infrastructure, distributed systems, data platforms, AI integration. * Architect Design: Define large scale distributed architectures reliabi"
linkedin_li-4384110033,2026,scraped,General Dynamics Information Technology,AI/ML Engineer,56,41,6,5,6805,"****Job Description:**** **Type Requisition:** Pipeline ****Clearance Level Must Currently Possess:**** None ****Clearance Level Must Able Obtain:**** None **Other** **Public Trust/Other Required:** ****Job Family:**** Data Science Data Engineering ****Skills:**** **Job Qualifications:** Cascading Style Sheets (CSS), Data Science, Machine Learning (ML), Machine Learning Algorithms ****Certificatio"
linkedin_li-4380626937,2026,scraped,Andiamo,Principal Staff Backend Engineer,56,48,3,3,3710,"seeking accomplished Principal Staff Backend Engineer lead design development scalable, secure, resilient enterprise systems. set technical direction, mentor engineers, architect platforms power mission-critical products. hands-on leadership role spans cloud infrastructure, distributed systems, data platforms, AI integration. * Architect Design: Define large scale distributed architectures reliabi"
linkedin_li-4381319519,2026,scraped,Pacific Northwest National Laboratory,Lead Software Engineer IV,54,40,4,6,16206,"**Overview** PNNL, core capabilities divided among major departments refer Directorates within Lab, focused specific area scientific research function, leadership team dedicated budget. Science \& Technology directorates include National Security, Earth Biological Sciences, Physical Computational Sciences, Energy Environment. addition, Environmental Molecular Sciences Laboratory, Department Energy"
linkedin_li-4393014250,2026,scraped,Visa,Staff Software Engineer- Sr. Consultant (AI Agent/ Agentic Focus),54,41,5,4,6067,"world leader payments technology, 259 billion payments transactions flowing safely consumers, merchants, financial institutions, government entities 200 countries territories year. mission connect world innovative, convenient, reliable, secure payments network, enabling individuals, businesses, economies thrive driven common purpose – uplift everyone, everywhere best way pay paid. Make impact purp"
linkedin_li-4389708542,2026,scraped,ApTask,Java Full stack Engineer,54,47,2,2,3836,"Title: | **Java Full stack Engineer **Required skill: Core Java, React, Spring boot** Join pioneering team Full-Stack AI Engineer forefront building next generation intelligent AI-powered products redefine user experiences solve complex business challenges. pivotal role empowers entire solution stack—from intuitive front-end interfaces robust back-end infrastructure cutting-edge agentic AI systems"
linkedin_li-4384257974,2026,scraped,Visa,Software Engineer- Sr. Consultant (GenAI/Cloud),54,41,5,4,6067,"world leader payments technology, 259 billion payments transactions flowing safely consumers, merchants, financial institutions, government entities 200 countries territories year. mission connect world innovative, convenient, reliable, secure payments network, enabling individuals, businesses, economies thrive driven common purpose – uplift everyone, everywhere best way pay paid. Make impact purp"
linkedin_li-4367640223,2026,scraped,HireRight,Senior Software Engineer (Java),54,45,3,2,3618,"seeking experienced Senior Java \& Python Developer expertise join growing engineering team Nashville TN. role, design, develop, maintain critical backend services microservices power platform. work extensively Java \& Python high-performance enterprise solutions data processing layers, lead technical initiatives, mentor junior developers, collaborate closely cross-functional teams including DevOp"
linkedin_li-4394246071,2026,scraped,Jobs via Dice,Full-Stack Agentic AI Developer (Remote plus travel),52,38,4,6,6446,"**Job Description** **Full-Stack Agentic AI Developer (Remote travel)** Product Ownership Responsibilities **Full-Stack Agentic AI Developer Position Summary** looking Full-Stack Agentic AI Developer build autonomous, goal-driven AI systems ship products solve real business problems. traditional developer role. ideal candidate blends deep technical fluency agentic frameworks AI-native development "
linkedin_li-4367461323,2026,scraped,JPMorgan Chase & Co.,Senior Lead Site Reliability Engineer,52,40,5,3,5855,"**Job Description** Elevate engineering prowess unprecedented levels joining team exceptionally gifted professionals position among top echelon site reliability AI-powered infrastructure automation. **Senior Lead Site Reliability Engineer** JPMorgan Chase within **Infrastructure Platforms Foundational Services (IPFS)** organization, work fellow stakeholders define non-functional requirements (NFRs"
linkedin_li-4393033214,2026,scraped,"Resolution Technologies, Inc.",Full-Stack Agentic AI Developer,52,38,4,6,5851,"**Full-Stack Agentic AI Developer (Remote travel)** Product Ownership Responsibilities **Full-Stack Agentic AI Developer Position Summary** looking Full-Stack Agentic AI Developer build autonomous, goal-driven AI systems ship products solve real business problems. traditional developer role. ideal candidate blends deep technical fluency agentic frameworks AI-native development tools product owner’"
linkedin_li-4392952394,2026,scraped,CVS Health,Senior Full Stack Engineer,50,41,3,2,4697,"We’re building world health around every individual — shaping connected, convenient compassionate health experience. ®, you’ll surrounded passionate colleagues care deeply, innovate purpose, hold accountable prioritize safety quality everything do. Join us part something bigger – helping simplify health care one person, one family one community time. **Position Summary** , committed delivering exc"
linkedin_li-4394687914,2026,scraped,Honeywell Aerospace Technologies,Senior Advanced Software Engineer - SRE with Database Administration,50,37,6,4,7956,"**Job Description** **Site Reliability Engineer** , play crucial role subject matter expert ensuring reliability, availability, performance systems services. work closely development operations teams implement best practices reliability engineering, automation, monitoring, driving improvements across infrastructure. report directly **SRE** **Engineering Manager,** you’ll work one **Phoenix, AZ** l"
linkedin_li-4393230533,2026,scraped,Honeywell Aerospace Technologies,Lead Site Reliability Engineer,50,38,6,3,7612,"**Job Description** Lead Site Reliability Engineer , play crucial role subject matter expert ensuring reliability, availability, performance systems services. work closely development operations teams implement best practices reliability engineering, automation, monitoring, driving improvements across infrastructure. report directly SRE Engineering Manager you’ll work Phoenix, AZ location Hybrid w"
linkedin_li-4393283956,2026,scraped,JPMorgan Chase & Co.,Software Engineer [Multiple Positions Available],50,44,2,1,4893,"**Description** **JOB DESCRIPTION** Duties: Participate application development, testing, operational stability, focus Kubernetes cluster management microservices architecture. Develop, debug, maintain code large corporate environment using modern programming languages including Python, Poetry, PySpark, Java, database querying languages including SQL GraphQL. Create frameworks Python using librari"
linkedin_li-4374332298,2026,scraped,"Solera Holdings, LLC.",Principal Software Engineer,50,40,3,3,4018,"We're looking pragmatic, hands-on Senior Data Engineer gets things done. spend significant time building data pipelines infrastructure helping elevate technical skills broader team. role ideal someone thrives modernizing legacy data systems, leverages AI-assisted development tools accelerate delivery, afraid roll sleeves architect implement scalable data solutions. balance individual contribution "
linkedin_li-4343778656,2026,scraped,ASML,Senior Software Development Engineer - AI,50,40,4,2,6217,"US brings together creative minds science technology develop lithography machines key producing faster, cheaper, energy-efficient microchips. design, develop, integrate, market service advanced machines, enable customers - world’s leading chipmakers - reduce size increase functionality microchips, turn leads smaller, powerful consumer electronics. headquarters Veldhoven, Netherlands, 18 office loc"
linkedin_li-4389995521,2026,scraped,Anduril Industries,Full Stack Software Engineer,50,39,4,3,3917,"looking talented full stack software engineer join growing team Anduril Labs Washington, DC. full stack software engineer Anduril Labs, help bring innovative, next-generation concepts life proof-of-concept development rapid prototyping using bleeding edge technologies. ideal candidate exceptional software development creative problem-solving skills, self-starter, quickly grasp complex concepts. fu"
linkedin_li-4385111815,2026,scraped,Honeywell,Senior Advanced Software Engineer - SRE with Database Administration,50,37,6,4,8350,"**Job Description** **Site Reliability Engineer** Aerospace Technologies, play crucial role subject matter expert ensuring reliability, availability, performance systems services. work closely development operations teams implement best practices reliability engineering, automation, monitoring, driving improvements across infrastructure. report directly **SRE** **Engineering Manager,** you’ll work"
linkedin_li-4389915419,2026,scraped,GCI Incorporated,Systems Engineer (TS/SCI with Poly Required),50,39,4,4,5206,"seeking hands-on Systems Engineer deep expertise across infrastructure, platforms, application ecosystem spanning cloud on-premises environments. GCI embodies excellence, integrity professionalism. employees supporting customers deliver unique, high-value mission solutions effectively leverage technological expertise valued workforce meet critical mission requirements areas Data Analytics Software"
linkedin_li-4369210984,2026,scraped,Hotwire Communications Ltd,Senior Software Engineer,49,41,2,2,2756,"**Senior Software Engineer** responsible designing, building, scaling enterprise-grade applications across web, API, cloud, AI platforms. role combines full-stack development expertise innovation AI-driven systems, automation, real-time digital experiences. Senior Software Engineer collaborates cross-functional teams, mentor developers, drives excellence modern software architecture. **Duties / Re"
linkedin_li-4380068174,2026,scraped,Charles River Associates,Associate Principal/Forensic AI Engineer (Forensic Services practice),48,34,5,5,9402,"**About ** CRA leading global consulting firm provides independent economic financial analysis behind litigation matters, guides businesses critical strategy operational issues become profitable, advises governments economic impact policies regulations. two main services – economic management consulting – delivered practice groups focus specific areas expertise industries. Click learn CRA help lau"
linkedin_li-4377629905,2026,scraped,"Solera Holdings, LLC.",Principal Software Engineer,48,36,4,4,3686,"Descripción de puesto **Lead Software Engineer / Westlake** **Who Are** Solera global leader data software services strives transform every touchpoint vehicle lifecycle into connected digital experience. addition, provide products services protect life’s important assets: homes digital identities. Today, Solera processes 300 million digital transactions annually approximately 235,000 partners cust"
linkedin_li-4377639342,2026,scraped,"Solera Holdings, LLC.",Principal Software Engineer,48,36,4,4,3664,"**Lead Software Engineer / Westlake** **Who Are** Solera global leader data software services strives transform every touchpoint vehicle lifecycle into connected digital experience. addition, provide products services protect life’s important assets: homes digital identities. Today, Solera processes 300 million digital transactions annually approximately 235,000 partners customers 90 countries. 6,"
linkedin_li-4380061404,2026,scraped,Charles River Associates,Associate Principal/Forensic AI Engineer (Forensic Services practice),48,34,5,5,9402,"**About ** CRA leading global consulting firm provides independent economic financial analysis behind litigation matters, guides businesses critical strategy operational issues become profitable, advises governments economic impact policies regulations. two main services – economic management consulting – delivered practice groups focus specific areas expertise industries. Click learn CRA help lau"
linkedin_li-4389304766,2026,scraped,Peraton,Junior Full Stack Software Engineer (DevSecOps),48,38,4,3,5623,"**About ** next-generation national security company drives missions consequence spanning globe extending farthest reaches galaxy. world's leading mission capability integrator transformative enterprise provider, deliver trusted, highly differentiated solutions technologies protect nation allies. operates critical nexus traditional nontraditional threats across domains: land, sea, space, air, cybe"
asaniczka_5ec2bb67281018c0,2024,kaggle_asaniczka,Allegiant,Sr Principal Software Engineer,48,33,6,6,8141,"Summary Senior Principal Software Engineer , full-stack engineer play key role delivery highly reliable, scalable, maintainable systems. drive projects end-to-end, collaborating product definitions Product Managers, architecting implementing technical solutions talented teams, ensuring continued success even deployment. position works closely others facilitate platform convergence necessary partic"
asaniczka_be89666c60802c1e,2024,kaggle_asaniczka,Allegiant,Sr Principal Software Engineer,48,33,6,6,7394,"Senior Principal Software Engineer , full-stack engineer play key role delivery highly reliable, scalable, maintainable systems. drive projects end-to-end, collaborating product definitions Product Managers, architecting implementing technical solutions talented teams, ensuring continued success even deployment. position works closely others facilitate platform convergence necessary participate ph"
linkedin_li-4393884135,2026,scraped,Peraton,Junior Full Stack Software Engineer (DevSecOps),48,38,4,3,5587,"**About ** next-generation national security company drives missions consequence spanning globe extending farthest reaches galaxy. world's leading mission capability integrator transformative enterprise provider, deliver trusted, highly differentiated solutions technologies protect nation allies. operates critical nexus traditional nontraditional threats across domains: land, sea, space, air, cybe"
linkedin_li-4374091114,2026,scraped,"Solera Holdings, LLC.",Principal Software Engineer,47,35,4,4,3886,"**Principal Engineer - Agentic AI** **Who Are** Solera global leader data software services strives transform every touchpoint vehicle lifecycle into connected digital experience. addition, provide products services protect life’s important assets: homes digital identities. Today, Solera processes 300 million digital transactions annually approximately 235,000 partners customers 90 countries. 6,50"
linkedin_li-4374903033,2026,scraped,Siemens Digital Industries Software,Software Engineer Advanced – Portal and UCP,47,36,6,1,9557,"leading global software company dedicated world computer aided design, 3D modeling simulation— helping innovative global manufacturers design better products, faster! resources large company, energy software start-up, fun together creating world class software portfolio. culture encourages creativity, welcomes fresh thinking, focuses growth, people, business, customers achieve full potential. **Po"
linkedin_li-4368822762,2026,scraped,JPMorgan Chase & Co.,Software Engineer III - AI/ML,47,36,5,3,3684,"**Job Description** **We exciting rewarding opportunity take software engineering career next level.** **Software Engineer III** JPMorgan Chase within **Risk Technology** organization, serve seasoned member agile team design deliver trusted market-leading technology products secure, stable, scalable way. responsible carrying critical technology solutions across multiple technical areas within vari"
linkedin_li-4391636615,2026,scraped,"Eccalon, LLC",Full Stack Developer,47,33,5,5,5858,"**Description** **Full Stack Developer** **Location: Hanover, MD- On-site** **Type: Full-time** **Clearance: Clearance Required** **Job Description** Eccalon seeking Full Stack Developer design, build, ship production software across portfolio DoD, Intelligence, enterprise programs. features end-to-end—from React front-ends Next.js applications Node.js/Python APIs AWS-hosted data stores—and active"
linkedin_li-4392961759,2026,scraped,Very,Lead Software Engineer,47,32,4,7,8512,"**About ** (Remote – North America) fully distributed technology firm led expert problem-solvers create efficient, scalable solutions move commercial, industrial, consumer products pilot production record time. believe real innovation happens grind — working shoulder shoulder clients building future. team thrives energy. we’re helping clients deliver business-critical outcomes, we’re refining craf"
