Topic,Words,Frequency,Class
-1,"database, azure, ensure, automation, implementation",1860,2024
0,"ai, machine, machine learning, models, ml",171,2024
1,"data engineer, data engineering, pipelines, data pipelines, etl",281,2024
2,"software engineer, existing, analysis, capabilities, financial",333,2024
3,"azure, devops, kubernetes, terraform, automation",304,2024
4,"mongo db, teach, hiring software, michigan, mongo",1,2024
5,"android, mobile, ios, native, app",133,2024
6,"flight, space, clearance, systems engineering, radar",71,2024
7,"spring, boot, spring boot, microservices, java developer",191,2024
8,"healthcare, laboratory, medical, patients, research",16,2024
9,"automation, qa, test automation, automated, test cases",132,2024
10,"manufacturing, equipment, sales, electrical, mechanical",138,2024
11,"hardware, phd, equivalent practical, experience software, display",40,2024
12,"embedded, firmware, embedded software, linux, hardware",70,2024
13,"amazon, golang, lambda, api, go",76,2024
14,"chatbots, javascript html, language python, python javascript, one programming",163,2024
15,"asset management, asset, candidate join, critical components, create deliver",3,2024
16,"net, aspnet, server, sql server, net developer",136,2024
18,"sre, reliability, site reliability, site, monitoring",53,2024
19,"risk, companywide, technology solutions, practices engineering, net",70,2024
20,"frontend, react, nodejs, css, typescript",71,2024
21,"easy apply, easy, job details, video, want learn",5,2024
22,"ranking, ecommerce, internship, machine, machine learning",12,2024
23,"responsibilities include, seattle, include, collaborating engineers, knowledge rest",2,2024
24,"ads, streaming, streaming data, ad, largescale",7,2024
25,"azure, azure data, databricks, data factory, factory",52,2024
26,"network, server, vmware, windows, storage",75,2024
27,"payment, apollo, pricing, expanding, mongodb",1,2024
29,"servicenow, itsm, mulesoft, servicenow platform, scripts",44,2024
31,"energy, transmission, grid, power systems, electrical",16,2024
32,"python developer, django, flask, experience python, python development",67,2024
33,"angular, frontend, web development, backend web, net",59,2024
34,"trading, traders, quantitative, financial, trading systems",26,2024
35,"app, merchants, commerce, cash, gift cards",16,2024
36,"audio, sports, gaming, video, online",10,2024
37,"react, reactjs, frontend, webpack, redux",62,2024
38,"autonomous, simulation, scenario, pythonexperience, autonomy",3,2024
39,"systems engineering, systems engineer, analysis, clearance, electrical",51,2024
40,"robot, robotics, manufacturing, perception, robotic",4,2024
41,"equipment, test equipment, test engineer, manufacturing, electrical",23,2024
42,"anduril, mission, endusers, software engineers, aircraft",5,2024
43,"salesforce, lightning, apex, visualforce, salesforce platform",45,2024
44,"gcp, google, google cloud, cloud platform, dataflow",31,2024
45,"people connect, relevant, connect, gender, equivalent",14,2024
46,"optical, cadence, fiber, network, digital design",3,2024
47,"vehicle, automotive, control, embedded, electrical",7,2024
48,"subscription, ios, subscriptions, peers, experimentation",1,2024
50,"reliability, maintenance, equipment, analysis, reliability engineer",16,2024
52,"open source, source, javascript java, open, typescript sql",47,2024
-1,"ai, ensure, azure, pipelines, global",6135,2026
0,"ai, models, ml, machine, machine learning",1504,2026
1,"pipelines, data engineer, data engineering, data pipelines, great",765,2026
2,"financial, banking, qualifications capabilities, capabilities, capabilities skills",665,2026
3,"azure, devops, kubernetes, terraform, automation",478,2026
4,"dice, via dice, dice leading, stage careers, leading career",693,2026
5,"mobile, android, ios, app, native",380,2026
6,"space, flight, aerospace, pay, candidate",336,2026
7,"spring, boot, spring boot, microservices, java spring",126,2026
8,"healthcare, clinical, patients, ai, medical",281,2026
9,"automation, qa, automated, test automation, selenium",153,2026
10,"manufacturing, sales, equipment, mechanical, electrical",141,2026
11,"product system, networking data, display, specific project, computing largescale",218,2026
12,"embedded, firmware, embedded software, hardware, linux",144,2026
13,"amazon, usd annually, usa, annually, years noninternship",114,2026
14,"chatbots, proficient, javascript html, language python, python javascript",24,2026
15,"financial, fintech, finance, banking, accommodations",171,2026
16,"net, aspnet, net core, server, sql server",37,2026
17,"jobs, site, find great, subject terms, career site",161,2026
18,"sre, reliability, site reliability, site, observability",107,2026
19,"risk, companywide, technology solutions, practices engineering, drug",84,2026
20,"frontend, react, typescript, nodejs, full stack",77,2026
21,"easy apply, easy, apply clicking, apply button, button",140,2026
22,"ecommerce, machine, machine learning, internship, intern",127,2026
23,"usa, computing, networking data, highlighting, state law",136,2026
24,"advertising, ads, ad, advertisers, machine",120,2026
25,"azure, azure data, databricks, data factory, factory",69,2026
26,"network, systems engineer, windows, server, vmware",46,2026
27,"merchants, payment, belonging, payments, consumers",114,2026
28,"inc, geographic, market, california, highest",111,2026
29,"servicenow, itsm, servicenow platform, modules, integrations",65,2026
30,"university, city, wisconsin, madison, write software",106,2026
31,"energy, grid, power systems, electric, renewable",89,2026
32,"django, flask, python developer, python django, api",26,2026
33,"angular, frontend, ui, using angular, responsive",33,2026
34,"trading, traders, market, markets, trading systems",66,2026
35,"commerce, sellers, ecommerce, hubs, live",74,2026
36,"audio, sports, gaming, media, game",79,2026
37,"react, frontend, reactjs, ui, typescript",25,2026
38,"autonomous, driver, vehicle, ml, vehicles",76,2026
39,"systems engineering, systems engineer, clearance, analysis, electrical",27,2026
40,"robotics, robotic, robots, robot, industrial",73,2026
41,"test engineer, equipment, manufacturing, test equipment, electrical",52,2026
42,"anduril, agency, military, personal information, personal",69,2026
43,"salesforce, lightning, apex, lightning web, web components",28,2026
44,"gcp, google, google cloud, cloud platform, gcp services",40,2026
45,"people connect, connect, gender, screens, way people",56,2026
46,"semiconductor, manufacturing, optical, hardware, equipment",63,2026
47,"vehicle, automotive, vehicles, embedded, employment",56,2026
48,"credit, pay, buy, spending, roles",61,2026
49,"lean, product engineering, organizational, accountability, engage",59,2026
50,"reliability, maintenance, reliability engineer, equipment, analysis",43,2026
51,"incentive, ai, sales, attainment, cybersecurity",56,2026
52,"booz allen, booz, open source, allen, source",4,2026
