bertopic_id,bertopic_terms,nmf_component,nmf_terms,jaccard
0,"data, data engineer, data engineering, snowflake, analytics",8,"data, data engineer, analytics, etl, data engineering",0.5
1,"spring, spring boot, boot, java, java spring",3,"web, developer, javascript, net, applications",0.15384615384615385
2,"net, aspnet, sql server, net developer, net core",3,"web, developer, javascript, net, applications",0.1111111111111111
3,"great, culture, want, fintech, company",0,"benefits, pay, range, employees, salary",0.1111111111111111
4,"martin, lockheed, lockheed martin, flight, aircraft",0,"benefits, pay, range, employees, salary",0.034482758620689655
5,"embedded, firmware, embedded software, embedded systems, rtos",7,"clearance, systems, security clearance, embedded, secret",0.07142857142857142
6,"project, software development, issues, business, develops",2,"project, technical, requirements, support, ability",0.15384615384615385
7,"manufacturing, sales, equipment, mechanical, drawings",2,"project, technical, requirements, support, ability",0.1111111111111111
8,"dice, careers client, following apply, experts stage, leading career",11,"dice, destination tech, stage careers, leading career, tech experts",0.5
9,"apply preferred, implement support, test implement, solutions fullstack, open source",1,"open source, years experience, open, degree years, source",0.15384615384615385
10,"vmware, network, windows, cisco, virtualization",9,"server infrastructure, server, policies procedures, years following, engineer requires",0.15384615384615385
11,"frontend, drupal, web, css, javascript",3,"web, developer, javascript, net, applications",0.2
12,"banking, financial, qualifications capabilities, capabilities skills, jpmorganchase",13,"qualifications capabilities, capabilities skills, chase, banking, financial",0.15384615384615385
13,"cyber, clearance, security, security clearance, cybersecurity",7,"clearance, systems, security clearance, embedded, secret",0.1111111111111111
14,"systems engineering, systems engineer, requirements, dod, clearance",7,"clearance, systems, security clearance, embedded, secret",0.2
15,"salesforce, lightning, salesforce developer, lightning web, developer",3,"web, developer, javascript, net, applications",0.07142857142857142
16,"clearance, tssci, swe, polygraph, hii",7,"clearance, systems, security clearance, embedded, secret",0.2
17,"systems engineering, bae, clearance, bae systems, navy",7,"clearance, systems, security clearance, embedded, secret",0.15384615384615385
18,"easy apply, easy, demonstrated experience, apply clicking, apply button",3,"web, developer, javascript, net, applications",0.034482758620689655
19,"power platform, trimble, cybersecurity, power, cryptography",12,"product, building, build, backend, end",0.034482758620689655
20,"healthcare, clinical, patients, patient, care",14,"wisconsin, university, madison, city, academic",0.15384615384615385
21,"advertising, ads, ad, disney, advertisers",0,"benefits, pay, range, employees, salary",0.0
22,"ai, agents, agentic, agent, workflows",12,"product, building, build, backend, end",0.07142857142857142
23,"simulator, dod, clearance, electrical, security clearance",7,"clearance, systems, security clearance, embedded, secret",0.30434782608695654
24,"azure, azure data, data factory, synapse, using azure",8,"data, data engineer, analytics, etl, data engineering",0.07142857142857142
25,"ai, ml, inference, models, machine",5,"ai, ml, machine learning, machine, models",0.36363636363636365
26,"energy, billions users, networking data, display leadership, project critical",6,"billions users, new problems, scale, billions, information retrieval",0.034482758620689655
27,"geographic market, geographic, highest geographic, outside california, lowest geographic",0,"benefits, pay, range, employees, salary",0.034482758620689655
