period,uid,source,title,matched_sub,context_200c
2024,asaniczka_15a000c76399940f,kaggle_asaniczka,System Engineer Level 3,coordinate,ements specifications documents requirements functional requirements allocation individual software coordinate items configuration ccb meetings reviews program reviews reviews require cross-discipline coordinat
2024,asaniczka_ef54377255b9ef1b,kaggle_asaniczka,Low Voltage Security Application Engineer,coordinate,ents warranty period duties responsibilities software installation debugging attend onsite meetings coordinate technician onsite systems produce timely detailed reports positive relationships clients and/or bac
2024,asaniczka_f3c1a8ad0c186292,kaggle_asaniczka,Senior Software Engineer,coordinate, rich robust interactions users interactions enable users context technology-streamlining providing coordinate communication requests authorization capabilities among multiple simultaneous users role designing 
2024,arshkon_3900955390,kaggle_arshkon,QA Lead Automation Engineer,coordinate,ended hours needed qa certifications different environments ensure timely qa deliverables deadlines coordinate execution external teams ensure required qualifications minimum qa roles frameworks proficiency had
2024,asaniczka_c1ffb14183ce5760,kaggle_asaniczka,Quality Assurance Automation Lead,coordinate,s analyze scope prepare execution sprint releases involve estimation documents analyze requirements coordinate multiple teams participate scrum meetings sure blocker dependency regression coordinate offshore qa
2024,arshkon_3903480322,kaggle_arshkon,Software Engineer,coordinate, implement industry standards facets software developmentoptimize database queries used development.coordinate internal company featurecollaborate qa creating fixes bugs featurecollaborate designers discuss fea
2024,asaniczka_daf8598210aa6b57,kaggle_asaniczka,Firmware Engineer,coordinates,ine measurement techniques tuning procedures fixtures use prepare documentation conducts activities coordinates activities appropriate including documentation develops expertise particular technology gives other
2024,arshkon_3906071697,kaggle_arshkon,Javascript Developer,coordinate,script standards nodejs developing sophisticated restful serverless consumed ensure robust maintain coordinate rest different layers responsibilities expertise reactjs node.js expertise ui reactjs expertise htm
2024,asaniczka_c142acc576b22766,kaggle_asaniczka,Systems Engineer (Engineer Systems 3) - 17032 with Security Clearance,coordinate,ef participating organizations sites participants sustainment includes limited troubleshoot outages coordinate various agencies maximize readiness minimize downtime notify program anomalies outages occur qualif
2024,asaniczka_27dd0ffa9121c397,kaggle_asaniczka,Systems Engineer Sr (Level 3),coordinated,ting efforts upgrade build-up efforts systems ahead schedule proposed budgets ensuring efforts stay coordinated problems resolved arise contribute developing systems including labs sils deployable systems system
2024,asaniczka_d65619cb865892fd,kaggle_asaniczka,Principal Software Engineer-SW Test Lead with Security Clearance,coordinate,ers missile software activity provide direction assign tasks must ability manage assigned deadlines coordinate systems mature update requirements testers coordinate script coordinate descriptions coordinate pro
2024,asaniczka_21b1ea52f0786c5a,kaggle_asaniczka,Senior Software Test Engineer,coordinate,minate authorized users position software verification validation including execution documentation coordinate organize efforts multiple solutions knowledgeable systems software bug tracking software release de
2024,asaniczka_a86b47dcc8b53114,kaggle_asaniczka,Database Developer,coordinate,ibilities minimum database postgresql pl/pgsql pl/sql scripting ability participate define software coordinate teams participate clients frequently postgresql migration additional verbal written interpersonal c
2024,asaniczka_8bab850fc594771c,kaggle_asaniczka,Clinical Systems Engineer,coordinate,logy used settings systems supporting specific assists software installation replacement supervises coordinate supports patches directly teams patch assess existing inventory mitigate reports management biomed 
2024,asaniczka_112a774da7a050a8,kaggle_asaniczka,"Infotainment /Telematics Software Developer (C, C++ on Embedded Linux)",coordinate,responsibilities software road covering v2v v2i v2p v2n features global coordinate verification/validation break requirements software requirements define interacting modules adhere 
2026,linkedin_li-4348443909,scraped,Lead Electrical Power Systems Engineer,coordinate,switches etc excellent communication provide reports succinct manner customers stakeholders provide coordinate tasks project/tender requirement responsibility areas expertise industrialize solutions studies imp
2026,linkedin_li-4337723539,scraped,Weapons Storage and Security System (WS3) - Systems Software Engineer,coordinate,equirements properly responsibilities implement software procedures standards including related nsa coordinate stakeholders identify software requirements including related vums vmcs mdns analyze assess softwar
2026,linkedin_li-4252871226,scraped,"Senior Ground Software Engineer, Space",coordinate,rent users customers multiple teams functionality analyze leveraged debugging issues cause failures coordinate next-steps end-users features balancing user constraints required qualifications industry ideally a
2026,linkedin_li-4393040574,scraped,Backend Software Engineer,coordinate,agement used etc external vendors companies write well-tested maintainable features bug fixes tests coordinate qa timely regression monitor respond alerts troubleshoot issues analyze existing systems propose im
2026,linkedin_li-4390681445,scraped,Field Application Engineer,coordinate,livering top-tier solutions systems system-level compatibility pushing boundaries technology manage coordinate enhancing interaction occasionally
2026,linkedin_li-4398773082,scraped,Software Engineer - Integrated Product Team Lead,coordinate,seeking software clearance role linthicum cross-disciplinary teams emd manage coordinate priorities track jira budgets schedules evms customer briefings requires bachelor active clearance 
2026,linkedin_li-4378020032,scraped,"Senior Software Engineer, Agent Orchestration",coordinate,foundations help teams improve agent significant ability behind agent role execution powers systems coordinate reasoning actions staying correct improve observability safeguards foundations help teams evaluate 
2026,linkedin_li-4401780197,scraped,Test Engineer,coordinate,peration perform cause teams track issues ensure documentation closure related iec nec requirements coordinate external labs activities needed ensure systems applicable regulatory standards cross-functional clo
2026,linkedin_li-4374604417,scraped,"Staff Software Engineer, Activate",coordinate, exceptional customer role hold define ensuring scalability cloud-deployed software systems closely coordinate areas influential demonstrated ability alignment among leads adaptable expertise technology-agnosti
2026,linkedin_li-4392031324,scraped,"Software Development Engineer, iOS",coordinate,ing open-minded ios software help technologies continuously improve listening focusing ios software coordinate cross-functionally integrating features maintaining creating ios without compromising compatibility
2026,linkedin_li-4390736910,scraped,Principal Software Engineer (Full-Stack),coordinates, implementing caching techniques application ability successfully multi-functional teams principals coordinates optimally boundaries geographies front-end frameworks like react.js object-oriented principles asyn
2026,linkedin_li-4401342907,scraped,Senior Systems Engineer,coordinate,ition assessing provide recommendations improvement provide writing documentation covering programs coordinate multiple stakeholders reduce tasking/action bring bachelor degree dod active doe clearance systems 
2026,linkedin_li-4373030469,scraped,"Digital Experience Lead Software Engineer (AEM, Full Stack)",coordinate,s unit/integration ci/cd dependency management documentation authors authoring governance lifecycle coordinate qa functional tests regression models contribute roadmap estimation management communicate trade-of
2026,linkedin_li-4400260345,scraped,Lead Software Engineer,coordinate, classifiers scoring flag udaap can-spam claims disclosures approval contribute multi-agent systems coordinate review audience campaign dispatch evaluation observability tooling llm outputs dataset benchmarks a
2026,linkedin_li-4365452172,scraped,Principal Software Engineer - ServiceNow (Remote),coordinate,lly understand domains functions participates collaborative meetings internal external stakeholders coordinate term activities areas ensures remains consistent company architectural roadmap existing software ar
