period,uid,source,title,matched_sub,context_200c
2024,asaniczka_bc01eadffc5f3d82,kaggle_asaniczka,Senior Machine Learning Engineer - NLP/LLM,hugging face,m contribute requirements degree phd artificial related llm expertise frameworks tensorflow pytorch hugging face large models including bert gpt-3 lamda techniques including tokenization stemming lemmatization na
2024,asaniczka_07711d543dd504b8,kaggle_asaniczka,Lead Machine Learning Engineer,huggingface,ops practices techniques related speech-to-text speech pretrained models large datasets familiarity huggingface hubs experiments track record activities technology
2024,asaniczka_e31d6043ed87d23c,kaggle_asaniczka,Senior Data Engineer,hugging face,oker lookml analyses sql rest apis written verbal communication bonus frameworks pytorch tensorflow hugging face sagemaker bonus highly valuable
2024,asaniczka_4cbad71b728481c1,kaggle_asaniczka,AI - Application Developer,huggingface,ware technologies cloud-native languages java c++ frameworks tensorflow pytorch scikit-learn models huggingface azure azure services azure functions azure azure azure cosmos terraform azure manager templates com
2024,asaniczka_3e74e2e3b10bc549,kaggle_asaniczka,Machine Learning Engineer,huggingface,eraging gpus accelerated demonstrated highly desired required perform include demonstrated academic huggingface transformers library demonstrated demonstrated front-end frameworks flask demonstrated creating mod
2024,asaniczka_3a524e9b1e0a4519,kaggle_asaniczka,Research Software Engineer II (Language and Intelligence),huggingface,computational required large models familiarity gpu environments frameworks libraries e.g deepspeed huggingface prior ai/ml and/or contributions open-source libraries written oral communication mid-senior
2024,asaniczka_4fca5838cb10bb07,kaggle_asaniczka,Machine Learning Engineer,hugging face,echnologies gcp services like kubeflow frameworks like tensorflow pytorch keras etc like spacy nltk hugging face etc terraform kubernetes visualization like matplotlib seaborn plotly etc
2024,asaniczka_251f1448023a1ea5,kaggle_asaniczka,Machine Learning Engineer 03-SE1220-2,huggingface, jenkins demonstrated leveraging gpus accelerated highly desired demonstrated demonstrated academic huggingface transformers library demonstrated demonstrated front-end frameworks flask demonstrated creating mod
2024,asaniczka_eb165b2f9297184e,kaggle_asaniczka,Founding ML Engineer/Scientist,huggingface, handling deployments managing backend nextjs tailwindcss backend fastapi postgresdb supabase azure huggingface pytorch
2024,arshkon_3905287203,kaggle_arshkon,Senior Machine Learning Engineer,huggingface,nes instructorexperience databases weaviate pineconeproficiency frameworks tensorflow pytorch keras huggingfaceexperience fine-tuning llms plusexperience kubernetesexperience serving technologies kserve vllm sky
2024,arshkon_3894616657,kaggle_arshkon,"Generative AI Engineer, Senior",hugging face,microservice computingability obtain clearancebachelor degree systems c++ rustexperience frameworks hugging face autogpt agentgptexperience gpu including cuda rapidsexperience technologies including kubernetesabi
2024,asaniczka_e4526fb0077bd58e,kaggle_asaniczka,Senior Azure AI/ML Engineer,huggingface,ing limited compute docker/containers kubernetes apis iaas frameworks frameworks tensorflow pytorch huggingface etc analytical problem-solving self-motivated individual thrives azure ai/ml
2024,asaniczka_9c912af3fbfc345f,kaggle_asaniczka,"Lead Machine Learning Engineer, Corporate Vice President",hugging face,ation techniques passionate technology transformations continuous improvement techniques spacy nltk hugging face algorithms software principles sql postgres redshift compute environments along cloud-native agile/
2024,asaniczka_1be466f33189eab7,kaggle_asaniczka,Sr Rust Engineer,huggingface,o-end ci/cd pipelines dependency management secrets uis solidjs tailwindcss accessibility usability huggingface rust java typescript treesitter unix pipelines serverless asts irs
2024,asaniczka_c44d3fda9e3ca7ed,kaggle_asaniczka,Lead Java Engineer (Hybrid),hugging face,ent apache flume flink tech esper wso2 flink frameworks libraries keras pytorch spacy nltk etc hubs hugging face tensorhub etc
2026,linkedin_li-4388285954,scraped,Machine Learning Engineer,hugging face,e preprocess datasets ai-driven hands-on llms gpt llama palm similar proficiency tensorflow pytorch hugging face libraries transformer architectures attention mechanisms reinforcement fine-tuning optimizing model
2026,linkedin_li-4360755718,scraped,"Senior Lead AI Engineer (AI Foundations, LLM Core and Agentic AI)",huggingface,guardrails evaluation experimentation governance observability etc broad technologies ultraclusters huggingface vectordbs nemo guardrails pytorch invent introduce state-of-the-art llm optimization techniques imp
2026,linkedin_li-4397563820,scraped,Staff Data Engineer,huggingface,ithms genai techniques e.g llm-as-a-judge frameworks e.g langfuse mlflow arize libraries frameworks huggingface linux familiarity ec2 etc following additional languages java rust and/or c# implementing algorithm
2026,linkedin_li-4393802929,scraped,AI Engineer (LLM & Autonomous Systems),hugging face,rieval-augmented rag pipelines databases implement frameworks task llm large models llms apis azure hugging face prompt context management techniques token cost efficiency architectures environments implement con
2026,linkedin_li-4398108474,scraped,Software Engineer,hugging face,ks rag pipelines workflows databases tool-calling frameworks need expertise ai/ml inference tooling hugging face transformers proficiency llm architectures quantization fine-tuning techniques rag pipelines embedd
2026,linkedin_li-4343340744,scraped,Lead Software Engineer - Full Stack/Generative AI/LLM,hugging face, hands-on large models llms generative familiarity ai/ml frameworks tensorflow pytorch scikit-learn hugging face distributed systems gcp azure expertise microservices restful apis database technologies relational
2026,linkedin_li-4391673809,scraped,AI/ML 1 Engineer With Poly,hugging face,ate requirements solutions workflows specifications proficiency ai/ml frameworks tensorflow pytorch hugging face expertise evaluation deployment hands-on like sagemaker ec2 developing full-stack software javascri
2026,linkedin_li-4380505566,scraped,Machine Learning Engineer,hugging face,laborative managing stakeholders hands-on implementing systems java scala similar languages pytorch hugging face related required large distributed frameworks/tools like apache beam apache even scio like gcp soft
2026,linkedin_li-4399057423,scraped,Principal Gen AI Engineer (Full Stack),hugging face,-scale ai/ml solutions including llms rag frameworks techniques ai/ml frameworks tensorflow pytorch hugging face langgraph similar deliver tracing frameworks llm observability solutions workflows feature evaluati
2026,linkedin_li-4361175676,scraped,"Lead AI Engineer (AI Foundations, LLM Core and Agentic AI)",huggingface,guardrails evaluation experimentation governance observability etc broad technologies ultraclusters huggingface vectordbs nemo guardrails pytorch invent introduce state-of-the-art llm optimization techniques imp
2026,linkedin_li-4393091822,scraped,"Staff Software Engineer , Anywhere Cloud - AI Systems & Runtimes",huggingface,a datasets gpu optimization familiarity cuda profiling gpu nsight systems contributions open-source huggingface transformers vllm etc role
2026,linkedin_li-4394213091,scraped,Senior AI Systems Engineer,hugging face,s workflows deployment ai-enabled bash similar scripting languages ai/ml frameworks tooling pytorch hugging face similar ecosystems proficiency mlops practices including ci/cd pipelines git-based workflows contai
2026,linkedin_li-4394736114,scraped,Staff AI Engineer,hugging face,on cross-functional distributed teams self-starter operate autonomously systems end end familiarity hugging face pytorch tensorflow frameworks associate-level solutions architect year determined role requirements
2026,linkedin_li-4392806242,scraped,AI Agent Engineer,hugging face,ewai autogpt required implementing rag architectures databases required proficiency ai/ml libraries hugging face azure required integrating llms apis governance lifecycle management evaluation required implementi
2026,linkedin_li-4343589536,scraped,Principal AI Engineer,huggingface,mpetitive services practical especially large models llms optimization evaluation analytics/ml nltk huggingface sql ci/cd pipelines containerization technologies like kubernetes mlflow similar lifecycle manageme
