period,uid,source,title,matched_sub,context_200c
2024,arshkon_3904730096,kaggle_arshkon,Senior Machine Learning Engineer,rag,ployments redundancy.collaborate cross-functional teams define implement genai principles including rag llm pipelines.implement maintain sre practices availability.stay date advancements technologies ai/
2024,arshkon_3901940123,kaggle_arshkon,Python Developer,rag,de.js multiple front-end languages libraries e.g html javascript node.js xml jquery must worked llm rag understand llm evaluation llm caching llm etc databases nosql familiarity restful serverless servic
2024,arshkon_3901908139,kaggle_arshkon,Senior Backend AI Engineer,rag,ls algorithmsyou proficient possess ability write codeyou foundational hands-on foundational models rag retrieval-augmented well-versed limitationsyou proficient designing apis frameworks like flask ensu
2024,arshkon_3904411087,kaggle_arshkon,Application Developer - AI – Information Services,rag,bric etc artificial architectures techniques generative tuning large models llm retrieval augmented rag etc implementing integrating ai-driven solutions utilizing rest apis hugging face jupyter notebooks
2024,arshkon_3895214821,kaggle_arshkon,Senior Product Engineer,rag,ing backend privacybuilding robust large clients emr claims structuring hie records parsingbuilding rag increase physician workflowsbuilding frameworks llm prompting fine-tuning rlhf evaluation requireme
2024,asaniczka_d9cd5e7579c799cb,kaggle_asaniczka,Data Engineer,rag,paced collaborative role define influence customer closely technologies techniques including llama2 rag fine-tuning genai use cases various domains customer ivr maintain upgrade software ensure meets sta
2024,arshkon_3887710459,kaggle_arshkon,"ML Engineer L5, LLM Application Frameworks, Machine Learning Platform",rag,approaches large-scale applicationsdesign implement tooling around productization generative models rag prompt management.design easy-to-use apis experienced practitioners non-experts systems dealing inf
2024,asaniczka_259f9b53dd21fad3,kaggle_asaniczka,Senior Data Engineer,rag,veloping models text classification completion summarization embeddings models embeddings databases rag retrieval optimization tradeoffs splitting familiarity benchmarks evaluation determining similarity
2024,arshkon_3905236643,kaggle_arshkon,Senior Machine Learning Engineer,rag,s recommendation models llm end to-end setting seeing models deployment driving ideation deployment rag currently large unstructured sets bachelors mathematics proficiency powerbi sql dataverse
2024,arshkon_3885816104,kaggle_arshkon,"Senior Machine Learning Engineer, Generative AI",rag,luations llms assessing efficiency alignment.integration technologies implement retrieval-augmented rag calling interpreter technologies capabilities large models.research stay abreast advancements parti
2024,asaniczka_8ae89f210fe4ff60,kaggle_asaniczka,"Senior Machine Learning Engineer, Generative AI",rag,rigorous evaluations llms assessing efficiency alignment technologies implement retrieval-augmented rag calling interpreter technologies capabilities large models stay abreast advancements particularly l
2024,arshkon_3902357940,kaggle_arshkon,Gen AI Engineer,rag,p abstracted services generative aidevelop sdks apis customers retrieval assistants recommendations rag orchestrations including prompt guardrails databases groundingstay up-to-date advancements operatio
2024,arshkon_3901388591,kaggle_arshkon,Senior Software Engineer - LLM services,rag,luations llms assessing efficiency alignment.integration technologies implement retrieval-augmented rag calling interpreter technologies capabilities large models.research stay abreast advancements parti
2024,arshkon_3904060936,kaggle_arshkon,Lead Machine Learning Engineer,rag,n frameworks expertise optimization techniques including fine-tuning deployment retrieval-augmented rag models enhanced proficient git trunk-based branching adopting ci/cd practices review frameworks sys
2024,arshkon_3904092471,kaggle_arshkon,Senior Machine Learning Engineer,rag,ironments.hands-on fine-tuning large models llms generative gai models.hands-on retrieval augmented rag indexing platform.strong familiarity higher-level trends llms open-source particularly ecosystem.fa
2026,linkedin_li-4392816007,scraped,AI Engineer,rag,tc statistical techniques large datasets state-of-the-art generative techniques retrieval augmented rag prompt embeddings implementation solutions leveraging azure services open-source llm models e.g hug
2026,linkedin_li-4401302987,scraped,Artificial Intelligence Engineer,rag,uously latency cost regulated consequential responsibilities architect production-grade llm systems rag pipelines multi-agent frameworks environments evaluation llm-driven features optimise latency cost 
2026,linkedin_li-4386464801,scraped,Staff Machine Learning Engineer – Generative AI (Remote),rag,enerative models embed capabilities directly software activities include prompt retrieval-augmented rag pipelines developing services role interact stakeholders teams teams ensure requirements effectivel
2026,linkedin_li-4396371238,scraped,Global Rates - AI Engineer - VP,rag,onsibilities production-ready generative techniques including large models llms retrieval-augmented rag frameworks solutions workflows operational efficiency systems autonomously conversational assistant
2026,linkedin_li-4397185781,scraped,Software Developer 2,rag,alifications minimum following ai/ml production-grade context langgraph crewai autogpt implementing rag architectures databases ai/ml libraries hugging face azure integrating llms apis governance lifecyc
2026,linkedin_li-4363911729,scraped,Sr. Software Development Engineer - Gen AI,rag,d principles software ability analyze software/algorithms identify improvements software frameworks rag systems bachelor degree mathematics related recommended qualifications familiarity large-scale perf
2026,linkedin_li-4337627704,scraped,Senior AI Engineer - APM Experiences,rag,s opentelemetry/datadog apm profilers logs/metrics pipelines exposure planning/agent frameworks use rag retrieval/indexing observability familiarity slo/sla practices
2026,linkedin_li-4385007921,scraped,Senior Generative AI Engineer – LLM & RAG,rag,s implement cutting-edge generative solutions various upon existing foundations retrieval augmented rag techniques accuracy context awareness systems refine large llm solutions leveraging expertise promp
2026,linkedin_li-4389777749,scraped,Software Engineer II - Data Platform,rag,ses rich metadata provide cataloging serve backbone tracing role enabling well-documented ready llm/rag-based consumption need succeed bachelor degree related relevant degree phd software craftsmanship p
2026,linkedin_li-4382087559,scraped,Sr. AI Engineer (ATL or MSP),rag,ulti-model routing fallbacks cost/latency trade-offs llm ensuring deterministic behaviors retrieval rag retrieval chunking metadata filtering leveraging vectors multi-tenant use cases observability appli
2026,linkedin_li-4400503694,scraped,Staff Software Development Engineer,rag,tials external services streams dmos activation database agentforce topics actions prompt templates rag crud/fls soql injection xss csrf encryption sfdx/sf cli actions ci/cd pipelines soql/sosl query opt
2026,linkedin_li-4403131304,scraped,Staff Software Engineer,rag,ckpoints exceptions cases judgment-dependent appropriate maintain vectorization retrieval-augmented rag pipelines relevant context prior regulatory client-specific parameters runtime backend services fas
2026,linkedin_li-4400038093,scraped,Senior Software Engineer,rag,utions e.g gcp azure workflow e.g jira git agent including hands-on llms prompt retrieval-augmented rag driving coordinated cross-functional teams stakeholders different locations around pragmatic mindse
2026,linkedin_li-4365880512,scraped,Software Development Engineer 30,rag, orientation ability demonstrate ownership fast-paced airflow practical tunning workflows langgraph rag dbs mcp
2026,linkedin_li-4387549006,scraped,Sr AI/ML Engineer 10+Exp,rag,h every inc seeking following today ml/ai location days onsite role designing developing optimizing rag responsibilities generative models llms application conversational fine-tuning adapting models spec
