period,uid,source,title,matched_sub,context_200c
2024,arshkon_3904092471,kaggle_arshkon,Senior Machine Learning Engineer,langchain,hands-on services including bigquery tensorflow automl.good developing large models llms preference langchain.experience genai frameworks open-source suitable environments.hands-on fine-tuning large models llm
2026,linkedin_li-4401427993,scraped,Full Stack AI Dev - NC,langchain,s consultation expected role specifically focuses designing productionizing genai end-to-end robust langchain/langgraph workflows high-quality rag pipelines microservices implementation mlops observability gov
2026,linkedin_li-4316769107,scraped,Principal AI Engineer,langchain,re expertise software systems languages rust java llm prompt database workflows hands-on frameworks langchain/langgraph agno evaluation harnesses microservices containerization kubernetes event-driven systems 
2026,linkedin_li-4395923458,scraped,GEN AI Engineer,langchain,ion must technical/functional mandatory exposure java/typescript hands-on llms genai frameworks e.g langchain-style agent frameworks use multi-agent coordination databases semantic microservices azure ai/ml tr
2026,linkedin_li-4394723905,scraped,Gen AI Engineer,langchain,mandatory exposure java/typescript hands-on llms genai frameworks e.g langchain-style agent frameworks use multi-agent coordination databases semantic microservices azure ai/ml tr
2026,linkedin_li-4389023245,scraped,Senior AI Backend Engineer,langchain, architectures planning/execution loops memory/state sandboxed hitl constraints frameworks/sdks sdk langchain/langgraph calling sandboxed runtimes familiarity kubernetes serverless stream feature looking requi
2026,linkedin_li-4393006740,scraped,"Lead Full Stack Engineer, Agentic AI",langchain,nsformation including adoption roadmaps governance bachelor services qualifications llms frameworks langchain/langgraph agent planner-executor rag systems databases e.g azure graphs prompt evaluation hosting i
2026,linkedin_li-4390377909,scraped,"Staff Engineer, Full-Stack",langchain,irements excellent problem-solving communication ai/ml desired requirement llms ai-driven toolchain langchain/langgraph highly desirable
2026,linkedin_li-4398094621,scraped,Python Developer - Project Delivery Senior Analyst,langchain,do/responsibilities orchestrate llm workflows langchain/langgraph including tool/function calling structured outputs error handling performance/cost tuning
2026,linkedin_li-4400655650,scraped,Developer,langchain,rize agent architectures prompt templates reasoning workflows iterative application backends python/langchain guardrails ci/cd containerization deployment practices required qualifications bachelor degree rela
2026,linkedin_li-4390679146,scraped,Data Engineer,langchain,luding sql etl expertise optimization solutions including scd types ai/llm rag databases frameworks langchain/llamaindex company consider applicants arrest conviction records accordance laws and/or clearance r
2026,linkedin_li-4390539356,scraped,"Service Delivery Center, AI&D, AI Engineer - Senior - Tampa",langchain,ty llm rag solutions requires hands-on frameworks prompt evaluation pipelines preferably google-adk langchain/langgraph databases candidates must bachelor degree software record delivering ai/ml participate mu
2026,linkedin_li-4388744880,scraped,Principal AI Engineer,langchain,ent ai/ml techniques including preprocessing feature train models pytorch hugging face scikit-learn langchain/langgraph ensure ai/ml solutions accuracy interpretability standards generative models methodologie
2026,linkedin_li-4377860613,scraped,Principal AI - Software Engineer,langchain,languages frameworks javascript java js node.js js genai llm models mcp rag frameworks like nga adk langchain/langgraph creating like gcp azure technologies like openstack terraform ansible llm observability e
2026,linkedin_li-4364915568,scraped,Full Stack Software Engineer (Growth),langchain, django/fastapi typescript data/infra postgresql redis docker/kubernetes ai/ml llm openai/anthropic langchain/langgraph databases frameworks bring full-stack backend systems e.g django flexibility dive areas n
2026,linkedin_li-4397379437,scraped,Senior Machine Learning Engineer,langchain,s kafka snowflake/s3 evaluation frameworks asr/wer mos task completion implement dialogue langgraph/langchain context protocol mcp establish practices versioning ci/cd models guardrails closely customer teams 
