source,period,seniority_final,is_aggregator,n,ai_tool_rate,ai_domain_rate,ai_general_rate,any_ai_rate,text_source
kaggle_arshkon,2024-04,mid-senior,False,5,0.4,0.0,0.0,0.4,raw_full
kaggle_arshkon,2024-04,unknown,False,7,0.14285714285714285,0.14285714285714285,0.0,0.2857142857142857,raw_full
kaggle_asaniczka,2024-01,director,False,5,0.0,0.0,0.0,0.0,raw_full
kaggle_asaniczka,2024-01,director,True,8,0.5,0.0,0.0,0.5,raw_full
kaggle_asaniczka,2024-01,entry,False,5,0.4,0.0,0.2,0.6,raw_full
kaggle_asaniczka,2024-01,entry,True,4,0.5,0.0,0.25,0.75,raw_full
kaggle_asaniczka,2024-01,mid-senior,False,1212,0.26732673267326734,0.038778877887788776,0.10066006600660066,0.34405940594059403,raw_full
kaggle_asaniczka,2024-01,mid-senior,True,526,0.1958174904942966,0.03612167300380228,0.06844106463878327,0.26045627376425856,raw_full
kaggle_asaniczka,2024-01,unknown,False,677,0.2614475627769572,0.019202363367799114,0.06794682422451995,0.3205317577548006,raw_full
kaggle_asaniczka,2024-01,unknown,True,118,0.15254237288135594,0.05084745762711865,0.05084745762711865,0.19491525423728814,raw_full
scraped,2026-03,director,False,102,0.3627450980392157,0.058823529411764705,0.6176470588235294,0.7156862745098039,raw_full
scraped,2026-03,director,True,5,0.4,0.0,0.2,0.4,raw_full
scraped,2026-03,entry,False,342,0.4473684210526316,0.14327485380116958,0.43859649122807015,0.6578947368421053,raw_full
scraped,2026-03,entry,True,99,0.43434343434343436,0.13131313131313133,0.3333333333333333,0.5454545454545454,raw_full
scraped,2026-03,mid-senior,False,5675,0.479647577092511,0.08581497797356828,0.49462555066079295,0.6697797356828193,raw_full
scraped,2026-03,mid-senior,True,732,0.37158469945355194,0.05327868852459016,0.41530054644808745,0.5819672131147541,raw_full
scraped,2026-03,unknown,False,7072,0.4131787330316742,0.06801470588235294,0.40695701357466063,0.5847002262443439,raw_full
scraped,2026-03,unknown,True,1790,0.2977653631284916,0.05027932960893855,0.3636871508379888,0.4782122905027933,raw_full
scraped,2026-04,director,False,105,0.5047619047619047,0.05714285714285714,0.5142857142857142,0.6285714285714286,raw_full
scraped,2026-04,director,True,1,0.0,0.0,0.0,0.0,raw_full
scraped,2026-04,entry,False,304,0.4375,0.13157894736842105,0.46710526315789475,0.6447368421052632,raw_full
scraped,2026-04,entry,True,12,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.25,raw_full
scraped,2026-04,mid-senior,False,5537,0.4840166154957558,0.08145204984648727,0.5183312262958281,0.6886400577930287,raw_full
scraped,2026-04,mid-senior,True,689,0.30914368650217705,0.04354136429608128,0.45863570391872277,0.555878084179971,raw_full
scraped,2026-04,unknown,False,6945,0.40475161987041036,0.06940244780417566,0.4195824334053276,0.5752339812814975,raw_full
scraped,2026-04,unknown,True,1776,0.30011261261261263,0.06418918918918919,0.38288288288288286,0.48367117117117114,raw_full
