domain,breadth_resid_mean_2024,breadth_resid_mean_2026,tech_count_mean_2024,tech_count_mean_2026,scope_density_mean_2024,scope_density_mean_2026,ai_binary_rate_2024,ai_binary_rate_2026,credential_stack_depth_mean_2024,credential_stack_depth_mean_2026,desc_length_mean_2024,desc_length_mean_2026,n_2024,n_2026,breadth_resid_mean_delta,tech_count_mean_delta,scope_density_mean_delta,ai_binary_rate_delta,credential_stack_depth_mean_delta,desc_length_mean_delta
ai_ml,0.18829121697144238,2.864995346106005,6.381031613976705,8.932556713672593,0.4439602434693493,0.5465943315130998,0.15141430948419302,0.4570815450643777,4.2961730449251245,4.995401594114041,2581.0965058236275,3158.291845493562,601,3262,2.6767041291345626,2.551525099695888,0.10263408804375046,0.3056672355801847,0.6992285491889163,577.1953396699346
cloud_devops,1.6339889393970763,3.5316758496860023,7.985457328740911,10.038169934640523,0.28821552637978637,0.40937137352762504,0.008036739380022962,0.1069281045751634,4.027171833141982,4.462745098039216,2227.5093761959433,2659.4635294117647,2613,3825,1.897686910288926,2.052712605899612,0.12115584714783867,0.09889136519514044,0.4355732648972337,431.9541532158214
generic_swe,-1.1768269641274045,0.8973181548746372,5.294117647058823,6.925412541254126,0.3181656394885753,0.41662548640008007,0.004201680672268907,0.08536853685368537,4.5718708536046,4.857205720572058,3091.9630694383018,3329.552475247525,4522,4545,2.0741451190020417,1.6312948941953023,0.09845984691150478,0.08116685618141646,0.2853348669674576,237.58940580922308
qa_test,-0.5029108949746586,0.9527401165494183,5.156410256410257,6.78391959798995,0.3701856243435458,0.4237038355377969,0.0,0.07035175879396985,3.7615384615384615,4.236180904522613,1731.0102564102565,2157.934673366834,390,398,1.4556510115240768,1.6275093415796933,0.0535182111942511,0.07035175879396985,0.4746424429841518,426.9244169565775
clearance_defense,-4.631635698002528,-2.94045530520587,2.475209497206704,4.008690614136732,0.2047898003396778,0.2773402361978088,0.00034916201117318437,0.011587485515643106,4.061801675977653,4.258980301274623,2522.873254189944,2635.0254924681344,2864,1726,1.691180392796658,1.5334811169300284,0.07255043585813098,0.011238323504469922,0.19717862529696983,112.15223827819045
dotnet_legacy,0.39092280305667637,1.927976512468598,6.289871944121071,7.8175675675675675,0.24396374529334802,0.35423158421784184,0.009313154831199068,0.08108108108108109,3.559953434225844,4.101351351351352,1535.0302677532013,1932.3412162162163,859,296,1.5370537094119214,1.5276956234464967,0.11026783892449382,0.07176792624988201,0.5413979171255079,397.31094846301494
intern_early,-2.692520019146797,-1.2683145160195897,2.9041533546325877,4.376225490196078,0.4238791066710969,0.5682682152314029,0.009584664536741214,0.06372549019607843,4.073482428115016,4.375,1826.091054313099,2097.9436274509803,626,816,1.4242055031272074,1.4720721355634905,0.144389108560306,0.05414082565933721,0.3015175718849843,271.85257313788134
backend,1.4449145500161102,2.924545297701816,7.4087018544935805,8.852243706676395,0.33405130004210737,0.5795494615768058,0.011174512601046125,0.13608172199927035,3.5389919163100334,4.1364465523531555,1620.9429386590584,2100.9306822327617,4206,5482,1.4796307476857056,1.4435418521828147,0.2454981615346984,0.12490720939822422,0.5974546360431221,479.98774357370326
process_scrum,1.681764735877206,2.7677533716033036,7.065134099616858,7.997093023255814,0.4242327928225288,0.48881949432358945,0.0019157088122605363,0.061046511627906974,4.580459770114943,4.8226744186046515,2231.6570881226053,2400.5668604651164,522,344,1.0859886357260975,0.9319589236389554,0.06458670150106066,0.059130802815646435,0.24221464848970875,168.90977234251113
data_eng,0.7211307924874889,1.1694998379655266,6.532277710109622,7.290780141843972,0.45166758442304267,0.5299465351218741,0.0060901339829476245,0.08226950354609928,4.098660170523751,4.375886524822695,2001.830694275274,2341.6468085106385,821,1410,0.4483690454780377,0.7585024317343496,0.0782789506988314,0.07617936956315166,0.2772263542989437,339.81611423536447
embedded_firmware,-3.7343289013996257,-3.4741459821739906,2.73203125,3.232967032967033,0.20233217486461524,0.32747238936231793,0.00078125,0.015384615384615385,3.59921875,4.043956043956044,1759.70390625,2208.3076923076924,1280,910,0.2601829192256351,0.5009357829670331,0.12514021449770268,0.014603365384615385,0.4447372939560439,448.60378605769233
customer_apps,-5.54981300190141,-4.829180976738419,0.7167182662538699,1.2144638403990025,0.2926326027783183,0.3543784273187818,0.0,0.029925187032418952,3.93343653250774,4.279301745635911,2908.9195046439627,3295.5386533665837,646,401,0.720632025162991,0.49774557414513254,0.061745824540463456,0.029925187032418952,0.34586521312817053,386.61914872262105
mobile,-1.65159304275021,-1.6976411742113098,3.9531615925058547,4.112903225806452,0.44348143975041826,0.47865681123182857,0.00234192037470726,0.05,3.798594847775176,4.0,1599.2833723653396,1961.9451612903226,427,620,-0.04604813146109987,0.1597416333005972,0.03517537148141031,0.04765807962529274,0.20140515222482414,362.66178892498306
research_academic,-2.0018247119839034,-2.2413130762622,3.329032258064516,3.2616822429906542,0.32809986451114526,0.4615653116088653,0.0064516129032258064,0.08411214953271028,4.083870967741936,5.196261682242991,1414.8451612903225,1840.6760124610591,155,321,-0.23948836427829656,-0.06735001507386196,0.13346544709772007,0.07766053662948447,1.1123907145010552,425.83085117073665
other,-0.7363858221498298,-1.9042168285207024,5.345554537121907,4.321769297484822,0.2297174221666732,0.33647176954430386,0.005041246562786435,0.09540329575021683,4.193400549954171,4.45793581960104,2048.0210815765354,2448.302688638335,2182,1153,-1.1678310063708726,-1.0237852396370846,0.10675434737763065,0.0903620491874304,0.2645352696468697,400.2816070617996
