tech,rate_2024,rate_2026,abs_rise_pp,multiplicative_rise,arshkon_rate,asaniczka_rate,within_2024_effect,cross_period_effect,snr
langgraph,0.0,0.017807783566938188,1.780778356693819,inf,0.0,0.0,0.0,0.017807783566938188,inf
prompt_engineering,0.0,0.0002446124116337663,0.02446124116337663,inf,0.0,0.0,0.0,0.0002446124116337663,inf
cursor_tool,4.3821209465381244e-05,0.01907976810743377,1.9035946897968388,435.4003082116387,0.0,5.516024049864857e-05,5.516024049864857e-05,0.01903594689796839,345.10268131326893
claude_tool,0.00013146362839614373,0.03365866784080624,3.3527204212410093,256.03026670906615,0.00021317416329140907,0.00011032048099729714,0.00010285368229411193,0.033527204212410094,325.9698968923491
agents_framework,0.006134969325153374,0.1269538416379247,12.08188723127713,20.693476186981727,0.00682157322532509,0.005957305973854046,0.0008642672514710438,0.12081887231277132,139.79341703290166
embedding,0.0015337423312883436,0.028203811061373252,2.6670068730084906,18.38888481201536,0.0017053933063312726,0.0014893264934635116,0.00021606681286776095,0.026670068730084907,123.43435984501586
codex_tool,4.3821209465381244e-05,0.005185783126635845,0.5141961917170464,118.33957094982999,0.0,5.516024049864857e-05,5.516024049864857e-05,0.005141961917170464,93.21862759638336
mcp,0.0008326029798422437,0.0198869890658252,1.9054386085982957,23.88532055169111,0.0006395224898742272,0.0008825638479783771,0.0002430413581041499,0.019054386085982956,78.399767984417
chatgpt,0.00030674846625766873,0.0061153102908441575,0.5808561824586489,19.935911548151953,0.00021317416329140907,0.00033096144299189144,0.00011778727970048237,0.005808561824586489,49.313999265089585
gemini_tool,4.3821209465381244e-05,0.010249260047454807,1.0205438837989425,233.8881142829187,0.00021317416329140907,0.0,0.00021317416329140907,0.010205438837989425,47.873713589008396
copilot,0.0006134969325153375,0.03771923387392676,3.710573694141142,61.48235121450062,0.0012790449797484545,0.00044128192398918857,0.000837763055759266,0.03710573694141142,44.291445757037394
langchain,0.0010517090271691498,0.030992392553998188,2.9940683526829037,29.46859992009328,0.0017053933063312726,0.0008825638479783771,0.0008228294583528954,0.029940683526829038,36.38747157492758
claude_api,0.00026292725679228745,0.012622000440302341,1.2359073183510054,48.005675007949904,0.0006395224898742272,0.00016548072149594572,0.0004740417683782815,0.012359073183510054,26.071696647725805
pinecone,0.00035056967572304995,0.007925442136934028,0.7574872461210979,22.607323695604315,0.0,0.00044128192398918857,0.00044128192398918857,0.007574872461210978,17.165607856161728
rag,0.0008764241893076249,0.0499253932144517,4.904896902514407,56.96487365768939,0.003197612449371136,0.0002758012024932429,0.002921811246877893,0.04904896902514407,16.7871792120574
llm,0.009027169149868536,0.11088280619358626,10.185563704371772,12.283231249211838,0.01385632061394159,0.007777593910309449,0.006078726703632142,0.10185563704371772,16.756081003420874
gpt,0.0011393514460999123,0.007142682419705976,0.6003330973606064,6.269077416065015,0.0008526966531656363,0.0012135252909702687,0.00036082863780463245,0.006003330973606063,16.63762336086116
scikit_learn,0.005127081507449605,0.012817690369609353,0.7690608862159748,2.4999973866195337,0.005542528245576636,0.00501958188537702,0.0005229463601996156,0.007690608862159748,14.706305364137423
openai_api,0.0015337423312883436,0.031237004965631955,2.970326263434361,20.366527237592035,0.003197612449371136,0.0011032048099729715,0.0020944076393981646,0.02970326263434361,14.182178328416978
transformer_arch,0.0008764241893076249,0.004745480785695066,0.3869056596387441,5.414593576478071,0.0006395224898742272,0.0009377240884770258,0.0002982015986027985,0.0038690565963874412,12.974633987596375
chromadb,4.3821209465381244e-05,0.002519507839827793,0.2475686630362412,57.49516890487024,0.00021317416329140907,0.0,0.00021317416329140907,0.002475686630362412,11.613445983030076
machine_learning,0.025766871165644172,0.10559917810229691,7.9832306936652735,4.0982538168272376,0.03176295033041995,0.024215345578906724,0.0075476047515132295,0.07983230693665273,10.577171111225326
fine_tuning,0.0033304119193689747,0.018517159560676108,1.5186747641307132,5.560020804929326,0.004689831592411,0.002978652986927023,0.0017111786054839766,0.015186747641307133,8.875021925026832
tensorflow,0.014154250657318143,0.03373205156429637,1.9577800906978229,2.3831746646973473,0.017267107226604135,0.013348778200672954,0.003918329025931181,0.019577800906978228,4.996466804450046
pytorch,0.013496932515337423,0.04383454416477092,3.0337611649433502,3.2477412267534818,0.01833297804306118,0.012245573390699984,0.006087404652361196,0.0303376116494335,4.983669294543461
huggingface,0.00043821209465381246,0.003033193904258702,0.259498180960489,6.921748489518358,0.0,0.0005516024049864857,0.0005516024049864857,0.0025949818096048897,4.7044425226327045
nlp,0.0075810692375109555,0.018248085907878967,1.0667016670368012,2.407059655594208,0.010019185674696228,0.006950190302829721,0.003068995371866507,0.010667016670368012,3.4757356652123357
xgboost,0.0005696757230499561,0.0016878256402729874,0.11181499172230312,2.9627831623868905,0.0008526966531656363,0.0004964421644878371,0.00035625448867779915,0.0011181499172230312,3.1386268882475736
deep_learning,0.00013146362839614373,0.0004892248232675326,0.03577611948713889,3.721370155655032,0.0,0.00016548072149594572,0.00016548072149594572,0.0003577611948713889,2.161950900607803
keras,0.001796669588080631,0.002568430322154546,0.07717607340739152,1.4295507305260182,0.0023449157962055,0.0016548072149594572,0.0006901085812460427,0.0007717607340739152,1.118317834391283
vector_db,0.00013146362839614373,0.0,-0.013146362839614373,0.0,0.0,0.00016548072149594572,0.00016548072149594572,0.00013146362839614373,0.7944347063978966
computer_vision,4.3821209465381244e-05,7.338372349012989e-05,0.0029562514024748647,1.6746165700447642,0.0,5.516024049864857e-05,5.516024049864857e-05,2.9562514024748648e-05,0.5359388167546683
