skill,count,share_of_uids
attention to detail,721,0.039803466931655075
sql server,718,0.03963784917743182
continuous integration,705,0.03892017224246439
networking,704,0.038864966324389974
software architecture,675,0.03726399470023187
c/c++,644,0.03555261123992492
design patterns,642,0.03544219940377608
github,641,0.035386993485701665
data structures,636,0.035110963895329576
confluence,636,0.035110963895329576
algorithms,634,0.03500055205918074
spark,620,0.0342276692061389
json,618,0.034117257369990064
postgresql,611,0.03373081594346914
rest,608,0.03356519818924589
distributed systems,605,0.033399580435022634
data engineering,603,0.0332891685988738
interpersonal skills,587,0.032405873909683115
c,584,0.03224025615545986
code reviews,581,0.032074638401236616
spring boot,581,0.032074638401236616
xml,579,0.03196422656508778
problemsolving skills,573,0.031632991056641274
bash,565,0.031191343712045932
mongodb,550,0.030363254940929667
computer engineering,538,0.029700783924036658
mechanical engineering,531,0.029314342497515734
technical writing,525,0.028983106989069227
data modeling,523,0.028872695152920392
u.s. citizenship,522,0.028817489234845974
system design,517,0.02854145964447389
integration,509,0.028099812299878547
scalability,506,0.027934194545655294
powershell,503,0.02776857679143204
objectoriented programming,498,0.027492547201059953
matlab,497,0.027437341282985535
quality assurance,497,0.027437341282985535
risk management,491,0.027106105774539032
jquery,488,0.02694048802031578
hadoop,477,0.026333222921497184
time management,468,0.025836369658827428
microsoft azure,463,0.02556034006845534
master's degree,463,0.02556034006845534
written communication,461,0.025449928232306504
unix,460,0.025394722314232086
html5,458,0.02528431047808325
relational databases,441,0.024345809870818153
gitlab,439,0.024235398034669318
configuration management,439,0.024235398034669318
data warehousing,439,0.024235398034669318
web development,438,0.0241801921165949
web services,438,0.0241801921165949
data analytics,432,0.023848956608148394
agile methodologies,432,0.023848956608148394
system integration,425,0.02346251518162747
maven,420,0.02318648559125538
embedded systems,417,0.02302086783703213
data science,417,0.02302086783703213
us citizenship,413,0.02280004416473446
integration testing,411,0.022689632328585625
azure devops,408,0.022524014574362372
snowflake,405,0.02235839682013912
artificial intelligence,404,0.0223031909020647
apis,403,0.022247984983990284
programming,399,0.022027161311692613
spring,398,0.021971955393618195
requirements analysis,397,0.021916749475543777
restful apis,396,0.02186154355746936
data pipelines,384,0.02119907254057635
devsecops,382,0.021088660704427515
development,382,0.021088660704427515
root cause analysis,378,0.020867837032129844
scripting,377,0.020812631114055426
soap,374,0.020647013359832173
technical documentation,373,0.020591807441757756
coding,373,0.020591807441757756
full stack development,373,0.020591807441757756
adaptability,372,0.020536601523683338
vmware,370,0.020426189687534502
data visualization,367,0.02026057193331125
agile methodology,366,0.020205366015236835
reliability,364,0.020094954179088
big data,361,0.019929336424864746
verbal communication,360,0.01987413050679033
etl,359,0.01981892458871591
bitbucket,358,0.019763718670641493
active directory,356,0.019653306834492658
innovation,355,0.01959810091641824
programming languages,355,0.01959810091641824
system engineering,354,0.019542894998343822
monitoring,353,0.019487689080269405
organizational skills,352,0.019432483162194987
databases,348,0.019211659489897316
agile practices,347,0.0191564535718229
requirements gathering,343,0.018935629899525228
multitasking,342,0.01888042398145081
s3,341,0.018825218063376396
critical thinking,341,0.018825218063376396
open source frameworks,340,0.018770012145301978
implementation,340,0.018770012145301978
selenium,335,0.01849398255492989
ruby,331,0.01827315888263222
containerization,329,0.018162747046483383
technical leadership,328,0.018107541128408965
rest apis,328,0.018107541128408965
deployment,326,0.01799712929226013
nosql databases,322,0.01777630561996246
coding standards,322,0.01777630561996246
architecture,322,0.01777630561996246
version control,321,0.01772109970188804
requirements management,318,0.017555481947664788
perl,316,0.017445070111515956
mathematics,316,0.017445070111515956
bachelor's degree in computer science,315,0.01738986419344154
php,313,0.017279452357292703
golang,311,0.017169040521143868
google cloud,311,0.017169040521143868
frontend development,311,0.017169040521143868
sdlc,310,0.01711383460306945
graphql,309,0.017058628684995032
operations,309,0.017058628684995032
cybersecurity,309,0.017058628684995032
security clearance,309,0.017058628684995032
virtualization,308,0.017003422766920614
analysis,308,0.017003422766920614
.net core,306,0.01689301093077178
ts/sci clearance,305,0.01683780501269736
kotlin,304,0.016782599094622944
nodejs,304,0.016782599094622944
system architecture,302,0.016672187258474108
team leadership,301,0.01661698134039969
junit,300,0.016561775422325273
product development,299,0.016506569504250855
kanban,298,0.016451363586176437
doors,297,0.01639615766810202
test automation,295,0.016285745831953184
ci/cd pipelines,295,0.016285745831953184
postgres,290,0.0160097162415811
asp.net,290,0.0160097162415811
automated testing,287,0.015844098487357846
redis,286,0.015788892569283428
rest api,284,0.015678480733134593
validation,284,0.015678480733134593
software development life cycle,283,0.015623274815060175
maintenance,283,0.015623274815060175
backend development,283,0.015623274815060175
lambda,283,0.015623274815060175
shell scripting,280,0.015457657060836922
tcp/ip,279,0.015402451142762504
html/css,278,0.015347245224688087
reactjs,278,0.015347245224688087
physics,276,0.015236833388539251
agile software development,274,0.015126421552390416
android,274,0.015126421552390416
cloud,273,0.015071215634315998
verification,273,0.015071215634315998
team collaboration,273,0.015071215634315998
data management,268,0.014795186043943911
tsql,268,0.014795186043943911
bootstrap,267,0.014739980125869493
rdbms,267,0.014739980125869493
dns,267,0.014739980125869493
puppet,266,0.014684774207795076
continuous delivery,265,0.014629568289720658
information technology,265,0.014629568289720658
cassandra,265,0.014629568289720658
presentation skills,261,0.014408744617422987
objectoriented design,261,0.014408744617422987
cloud technologies,259,0.014298332781274153
splunk,259,0.014298332781274153
artifactory,258,0.014243126863199736
customer service,258,0.014243126863199736
robotics,256,0.0141327150270509
elasticsearch,256,0.0141327150270509
mvc,255,0.014077509108976483
cloud services,254,0.014022303190902065
data integration,253,0.013967097272827647
visual studio,253,0.013967097272827647
systems integration,253,0.013967097272827647
ai,252,0.01391189135475323
microsoft office suite,251,0.013856685436678812
performance,250,0.013801479518604394
hive,247,0.01363586176438114
infrastructure as code,247,0.01363586176438114
software development lifecycle,245,0.013525449928232307
software maintenance,244,0.01347024401015789
dod secret clearance,244,0.01347024401015789
tensorflow,242,0.013359832174009054
chef,241,0.013304626255934636
secret clearance,241,0.013304626255934636
operating systems,240,0.013249420337860219
change management,239,0.0131942144197858
performance testing,238,0.013139008501711383
computer vision,237,0.013083802583636965
scripting languages,236,0.013028596665562548
tableau,236,0.013028596665562548
servicenow,235,0.01297339074748813
performance optimization,235,0.01297339074748813
sonarqube,234,0.012918184829413714
testdriven development,233,0.012862978911339296
data processing,232,0.012807772993264879
fullstack development,231,0.012752567075190461
redshift,230,0.012697361157116043
api,230,0.012697361157116043
css3,229,0.012642155239041625
crossfunctional collaboration,229,0.012642155239041625
equal opportunity employer,229,0.012642155239041625
continuous improvement,228,0.012586949320967208
source control management,228,0.012586949320967208
training,228,0.012586949320967208
j2ee,228,0.012586949320967208
cloudformation,227,0.01253174340289279
database design,225,0.012421331566743955
pytorch,225,0.012421331566743955
ec2,223,0.01231091973059512
build processes,223,0.01231091973059512
hibernate,222,0.012255713812520701
rust,221,0.012200507894446285
spring framework,219,0.01209009605829745
paid time off,219,0.01209009605829745
angularjs,218,0.012034890140223032
people management,217,0.011979684222148615
code review,216,0.011924478304074197
test plans,216,0.011924478304074197
api development,215,0.01186927238599978
application development,215,0.01186927238599978
software,214,0.011814066467925361
cameo,213,0.011758860549850944
microsoft office,213,0.011758860549850944
information systems,213,0.011758860549850944
analytics,212,0.011703654631776526
product management,211,0.011648448713702108
ajax,211,0.011648448713702108
hardware,210,0.01159324279562769
cloud infrastructure,210,0.01159324279562769
optimization,208,0.011482830959478857
team player,208,0.011482830959478857
salesforce,207,0.01142762504140444
software integration,206,0.011372419123330021
google cloud platform,205,0.011317213205255604
life insurance,203,0.011206801369106768
dynamodb,202,0.01115159545103235
reporting,202,0.01115159545103235
data quality,202,0.01115159545103235
best practices,201,0.011096389532957933
test planning,201,0.011096389532957933
node,199,0.010985977696809097
unix/linux,199,0.010985977696809097
data governance,198,0.01093077177873468
cloud platforms,198,0.01093077177873468
selfmotivation,197,0.010875565860660262
data security,197,0.010875565860660262
prioritization,197,0.010875565860660262
ios,197,0.010875565860660262
system testing,196,0.010820359942585846
grafana,196,0.010820359942585846
research,196,0.010820359942585846
analytical thinking,195,0.010765154024511428
react.js,194,0.01070994810643701
aerospace engineering,194,0.01070994810643701
data architecture,192,0.010599536270288175
planning,192,0.010599536270288175
functional testing,192,0.010599536270288175
performance tuning,191,0.010544330352213757
entity framework,191,0.010544330352213757
redux,191,0.010544330352213757
swift,190,0.01048912443413934
continuous deployment,190,0.01048912443413934
django,190,0.01048912443413934
verification and validation,187,0.010323506679916087
gradle,187,0.010323506679916087
pl/sql,187,0.010323506679916087
deep learning,186,0.010268300761841669
technical support,186,0.010268300761841669
systems analysis,186,0.010268300761841669
apache spark,186,0.010268300761841669
system administration,185,0.010213094843767251
sysml,185,0.010213094843767251
cucumber,183,0.010102683007618418
airflow,183,0.010102683007618418
travel,183,0.010102683007618418
databricks,183,0.010102683007618418
containers,183,0.010102683007618418
simulation,180,0.009937065253395164
multithreading,179,0.009881859335320747
r,177,0.009771447499171911
statistics,176,0.009716241581097494
prototyping,176,0.009716241581097494
react native,175,0.009661035663023076
creativity,174,0.009605829744948658
power bi,173,0.00955062382687424
distributed microservices,173,0.00955062382687424
windows server,172,0.009495417908799823
manufacturing,171,0.009440211990725405
regression testing,171,0.009440211990725405
web applications,170,0.009385006072650989
remote work,168,0.009274594236502154
db2,168,0.009274594236502154
sharepoint,167,0.009219388318427736
business intelligence,166,0.009164182400353318
http,166,0.009164182400353318
infrastructure,166,0.009164182400353318
springboot,166,0.009164182400353318
distributed computing,165,0.0091089764822789
rtos,165,0.0091089764822789
oop,164,0.009053770564204483
excel,164,0.009053770564204483
disaster recovery,164,0.009053770564204483
saas,163,0.008998564646130065
rds,163,0.008998564646130065
eclipse,163,0.008998564646130065
system analysis,161,0.00888815280998123
svn,161,0.00888815280998123
storage,161,0.00888815280998123
tdd,160,0.008832946891906812
tomcat,160,0.008832946891906812
openshift,159,0.008777740973832394
top secret clearance,159,0.008777740973832394
.net framework,157,0.00866732913768356
open source rdbms,157,0.00866732913768356
business requirements,156,0.008612123219609143
vue.js,156,0.008612123219609143
stored procedures,154,0.008501711383460307
data mining,154,0.008501711383460307
polygraph,153,0.00844650546538589
independent work,153,0.00844650546538589
flexibility,153,0.00844650546538589
emr,152,0.008391299547311472
compliance,151,0.008336093629237054
spi,149,0.008225681793088219
diversity,149,0.008225681793088219
initiative,148,0.008170475875013801
crossfunctional teams,148,0.008170475875013801
software documentation,147,0.008115269956939383
firewalls,147,0.008115269956939383
test procedures,147,0.008115269956939383
project planning,146,0.008060064038864966
prometheus,146,0.008060064038864966
ui/ux design,146,0.008060064038864966
leadership skills,145,0.00800485812079055
signal processing,145,0.00800485812079055
restful web services,144,0.007949652202716132
mentorship,143,0.007894446284641714
test driven development,143,0.007894446284641714
data storage,143,0.007894446284641714
natural language processing,142,0.007839240366567296
network security,142,0.007839240366567296
user experience,142,0.007839240366567296
api design,142,0.007839240366567296
dental insurance,142,0.007839240366567296
flask,141,0.007784034448492879
software deployment,141,0.007784034448492879
organization,141,0.007784034448492879
microsoft sql server,139,0.007673622612344043
pyspark,139,0.007673622612344043
decision making,139,0.007673622612344043
apex,138,0.0076184166942696255
microservices architecture,138,0.0076184166942696255
webpack,137,0.007563210776195208
github actions,137,0.007563210776195208
collaboration skills,136,0.00750800485812079
data transformation,136,0.00750800485812079
iam,136,0.00750800485812079
fastpaced environment,136,0.00750800485812079
uml,136,0.00750800485812079
statistical analysis,135,0.007452798940046373
bachelor's in computer science,135,0.007452798940046373
software implementation,135,0.007452798940046373
labview,134,0.0073975930219719556
program management,134,0.0073975930219719556
dhcp,133,0.007342387103897538
source control,133,0.007342387103897538
cloud architecture,133,0.007342387103897538
observability,133,0.007342387103897538
itil,132,0.00728718118582312
cloudbased solutions,132,0.00728718118582312
object oriented programming,132,0.00728718118582312
autocad,131,0.007231975267748702
vision insurance,130,0.007176769349674285
scheduling,130,0.007176769349674285
restful api,130,0.007176769349674285
functional analysis,130,0.007176769349674285
cobol,129,0.007121563431599868
software engineer,129,0.007121563431599868
design reviews,128,0.00706635751352545
oral communication,128,0.00706635751352545
embedded software development,128,0.00706635751352545
version control systems,127,0.007011151595451032
modeling,127,0.007011151595451032
i2c,127,0.007011151595451032
trade studies,126,0.006955945677376615
maintainability,126,0.006955945677376615
container orchestration,126,0.006955945677376615
stem,125,0.006900739759302197
full stack systems,125,0.006900739759302197
support,124,0.006845533841227779
yaml,124,0.006845533841227779
security+,123,0.006790327923153362
ethernet,123,0.006790327923153362
ecs,123,0.006790327923153362
test execution,123,0.006790327923153362
requirements development,122,0.006735122005078945
automation testing,122,0.006735122005078945
coaching,122,0.006735122005078945
database,121,0.006679916087004527
algorithm development,121,0.006679916087004527
process improvement,121,0.006679916087004527
requirements engineering,121,0.006679916087004527
simulink,121,0.006679916087004527
c programming,121,0.006679916087004527
continuous learning,121,0.006679916087004527
aws services,120,0.006624710168930109
emerging technologies,119,0.006569504250855692
high availability,119,0.006569504250855692
user interface design,119,0.006569504250855692
aerospace,119,0.006569504250855692
waterfall,119,0.006569504250855692
test,118,0.006514298332781274
requirements definition,118,0.006514298332781274
cyber security,118,0.006514298332781274
web api,118,0.006514298332781274
phd,118,0.006514298332781274
datadog,118,0.006514298332781274
software development life cycle (sdlc),117,0.006459092414706857
mobile development,116,0.006403886496632439
ssis,116,0.006403886496632439
business analysis,116,0.006403886496632439
postman,115,0.006348680578558022
health insurance,115,0.006348680578558022
modelbased systems engineering,114,0.006293474660483604
stem degree,114,0.006293474660483604
secret security clearance,113,0.006238268742409186
realtime systems,113,0.006238268742409186
sap,113,0.006238268742409186
vue,113,0.006238268742409186
agile/scrum,113,0.006238268742409186
vb.net,113,0.006238268742409186
bachelor's degree in engineering,112,0.0061830628243347684
authentication,112,0.0061830628243347684
bamboo,112,0.0061830628243347684
system requirements,111,0.006127856906260351
iis,110,0.006072650988185934
technical communication,110,0.006072650988185934
kibana,109,0.006017445070111516
database management,109,0.006017445070111516
embedded software,109,0.006017445070111516
technical solutions,109,0.006017445070111516
systems design,109,0.006017445070111516
performance analysis,109,0.006017445070111516
oauth,108,0.0059622391520370984
groovy,108,0.0059622391520370984
digital signal processing,108,0.0059622391520370984
software quality assurance,107,0.005907033233962681
jest,107,0.005907033233962681
technical expertise,106,0.005851827315888263
site reliability engineering,106,0.005851827315888263
api gateway,106,0.005851827315888263
apache kafka,106,0.005851827315888263
radar,106,0.005851827315888263
integrity,106,0.005851827315888263
can,106,0.005851827315888263
paid holidays,105,0.005796621397813845
pandas,104,0.0057414154797394285
regulatory compliance,104,0.0057414154797394285
software requirements,104,0.0057414154797394285
vxworks,104,0.0057414154797394285
jama,103,0.005686209561665011
control systems,103,0.005686209561665011
apache,103,0.005686209561665011
tfs,103,0.005686209561665011
sensors,103,0.005686209561665011
reliability engineering,102,0.005631003643590593
risk assessment,102,0.005631003643590593
inclusion,102,0.005631003643590593
react js,102,0.005631003643590593
sass,102,0.005631003643590593
oscilloscopes,102,0.005631003643590593
jcl,102,0.005631003643590593
autonomy,102,0.005631003643590593
test cases,102,0.005631003643590593
team management,102,0.005631003643590593
soa,101,0.005575797725516175
solidworks,101,0.005575797725516175
mbse,101,0.005575797725516175
software development methodologies,101,0.005575797725516175
systems architecture,100,0.005520591807441758
safe,100,0.005520591807441758
agile scrum,100,0.005520591807441758
rabbitmq,100,0.005520591807441758
cloudwatch,100,0.005520591807441758
ms office,99,0.00546538588936734
manual testing,99,0.00546538588936734
ruby on rails,99,0.00546538588936734
mapreduce,99,0.00546538588936734
standards,99,0.00546538588936734
quality control,99,0.00546538588936734
cloud security,98,0.005410179971292923
configuration,98,0.005410179971292923
401(k),98,0.005410179971292923
nexus,98,0.005410179971292923
subversion,98,0.005410179971292923
selfstarter,98,0.005410179971292923
npm,97,0.005354974053218505
computer science degree,97,0.005354974053218505
procedures,97,0.005354974053218505
team work,97,0.005354974053218505
web application development,96,0.005299768135144088
logging,96,0.005299768135144088
tuition reimbursement,96,0.005299768135144088
cuda,96,0.005299768135144088
aws cloud,96,0.005299768135144088
image processing,96,0.005299768135144088
test engineering,96,0.005299768135144088
cad,96,0.005299768135144088
cissp,96,0.005299768135144088
powerbi,96,0.005299768135144088
powerpoint,95,0.00524456221706967
jmeter,95,0.00524456221706967
kinesis,95,0.00524456221706967
microcontrollers,94,0.005189356298995252
amazon web services,94,0.005189356298995252
incident management,94,0.005189356298995252
technical specifications,94,0.005189356298995252
helm,94,0.005189356298995252
restful,94,0.005189356298995252
edi,94,0.005189356298995252
product design,94,0.005189356298995252
ai/ml,93,0.0051341503809208345
ts/sci security clearance,93,0.0051341503809208345
written communication skills,93,0.0051341503809208345
ownership,93,0.0051341503809208345
hardware design,93,0.0051341503809208345
strong communication skills,93,0.0051341503809208345
instrumentation,93,0.0051341503809208345
data collection,92,0.005078944462846417
data ingestion,92,0.005078944462846417
firmware,92,0.005078944462846417
iot,92,0.005078944462846417
numpy,92,0.005078944462846417
mongo,92,0.005078944462846417
mockito,92,0.005078944462846417
paas,92,0.005078944462846417
teamwork skills,91,0.005023738544772
performance monitoring,91,0.005023738544772
firmware development,91,0.005023738544772
equity,91,0.005023738544772
realtime operating systems,90,0.004968532626697582
jdbc,90,0.004968532626697582
grpc,90,0.004968532626697582
requirements allocation,90,0.004968532626697582
agile development methodologies,90,0.004968532626697582
spring mvc,90,0.004968532626697582
functional programming,89,0.0049133267086231645
orchestration,89,0.0049133267086231645
next.js,89,0.0049133267086231645
communication protocols,89,0.0049133267086231645
modelbased systems engineering (mbse),89,0.0049133267086231645
elastic search,89,0.0049133267086231645
api integration,89,0.0049133267086231645
data migration,89,0.0049133267086231645
concurrency,89,0.0049133267086231645
nlp,89,0.0049133267086231645
wpf,89,0.0049133267086231645
restful services,88,0.004858120790548747
problem resolution,88,0.004858120790548747
production support,88,0.004858120790548747
visualforce,88,0.004858120790548747
requirements,87,0.004802914872474329
frameworks,87,0.004802914872474329
aws tools and services,87,0.004802914872474329
tools,87,0.004802914872474329
data integrity,87,0.004802914872474329
ldap,87,0.004802914872474329
routing,87,0.004802914872474329
software debugging,87,0.004802914872474329
industry trends,87,0.004802914872474329
mvvm,87,0.004802914872474329
amazon web services (aws),86,0.004747708954399911
401k,86,0.004747708954399911
project leadership,86,0.004747708954399911
availability,86,0.004747708954399911
scikitlearn,86,0.004747708954399911
scrum master,86,0.004747708954399911
aws lambda,86,0.004747708954399911
hyperv,86,0.004747708954399911
hbase,86,0.004747708954399911
ms sql server,85,0.0046925030363254945
load balancing,85,0.0046925030363254945
device drivers,85,0.0046925030363254945
sqs,85,0.0046925030363254945
infrastructure as code (iac),85,0.0046925030363254945
bash scripting,85,0.0046925030363254945
android development,84,0.004637297118251077
generative ai,84,0.004637297118251077
vision,84,0.004637297118251077
software configuration management,84,0.004637297118251077
javascript frameworks,84,0.004637297118251077
wcf,84,0.004637297118251077
it,84,0.004637297118251077
rhapsody,84,0.004637297118251077
encryption,84,0.004637297118251077
functional requirements,83,0.004582091200176659
shell,83,0.004582091200176659
container orchestration services,83,0.004582091200176659
qt,83,0.004582091200176659
jpa,83,0.004582091200176659
azure data factory,83,0.004582091200176659
capacity planning,83,0.004582091200176659
glue,83,0.004582091200176659
technical design,83,0.004582091200176659
arm,83,0.004582091200176659
slack,83,0.004582091200176659
saml,83,0.004582091200176659
avionics,82,0.004526885282102241
decisionmaking,82,0.004526885282102241
diversity and inclusion,82,0.004526885282102241
embedded linux,82,0.004526885282102241
coordination,82,0.004526885282102241
udp,82,0.004526885282102241
stakeholder management,82,0.004526885282102241
six sigma,82,0.004526885282102241
data manipulation,82,0.004526885282102241
responsive design,81,0.004471679364027824
dental,81,0.004471679364027824
pair programming,81,0.004471679364027824
cypress,81,0.004471679364027824
medical insurance,81,0.004471679364027824
release management,81,0.004471679364027824
big data technologies,81,0.004471679364027824
ui design,80,0.004416473445953406
azure cloud,80,0.004416473445953406
team environment,80,0.004416473445953406
science,80,0.004416473445953406
bdd,80,0.004416473445953406
fortify,80,0.004416473445953406
math,80,0.004416473445953406
agile environment,80,0.004416473445953406
visio,80,0.004416473445953406
vpn,79,0.004361267527878989
customer support,79,0.004361267527878989
safety,79,0.004361267527878989
office 365,79,0.004361267527878989
jsp,79,0.004361267527878989
api testing,78,0.004306061609804571
schematics,78,0.004306061609804571
word,78,0.004306061609804571
asp.net mvc,78,0.004306061609804571
test and evaluation,78,0.004306061609804571
presentations,78,0.004306061609804571
fpga,78,0.004306061609804571
processes,78,0.004306061609804571
matlab/simulink,78,0.004306061609804571
linq,78,0.004306061609804571
user experience design,78,0.004306061609804571
scaling,77,0.004250855691730154
xslt,77,0.004250855691730154
eks,77,0.004250855691730154
security+ certification,77,0.004250855691730154
data models,77,0.004250855691730154
risk analysis,77,0.004250855691730154
disability insurance,76,0.004195649773655736
us citizen,76,0.004195649773655736
uart,76,0.004195649773655736
jms,76,0.004195649773655736
technical requirements,75,0.004140443855581318
technical skills,75,0.004140443855581318
wifi,75,0.004140443855581318
cisco,75,0.004140443855581318
learning,75,0.004140443855581318
sql db,75,0.004140443855581318
ui development,75,0.004140443855581318
digital engineering,75,0.004140443855581318
data extraction,74,0.0040852379375069005
opensource frameworks,74,0.0040852379375069005
microservice architecture,74,0.0040852379375069005
cics,74,0.0040852379375069005
data acquisition,74,0.0040852379375069005
problem solving skills,74,0.0040852379375069005
security testing,74,0.0040852379375069005
networking protocols,74,0.0040852379375069005
network engineering,74,0.0040852379375069005
electronics,74,0.0040852379375069005
plc programming,74,0.0040852379375069005
interface definition,74,0.0040852379375069005
software solutions,73,0.004030032019432483
assembly,73,0.004030032019432483
data lakes,73,0.004030032019432483
data warehouse,73,0.004030032019432483
installation,73,0.004030032019432483
automation tools,72,0.003974826101358066
group policy,72,0.003974826101358066
enterprise architecture,72,0.003974826101358066
swagger,72,0.003974826101358066
apache airflow,72,0.003974826101358066
cicd,72,0.003974826101358066
incident response,72,0.003974826101358066
angular js,72,0.003974826101358066
code quality,72,0.003974826101358066
iaas,72,0.003974826101358066
bachelor's degree in computer science or related field,72,0.003974826101358066
relational database,72,0.003974826101358066
pto,71,0.003919620183283648
triggers,71,0.003919620183283648
presentation,71,0.003919620183283648
detailoriented,71,0.003919620183283648
evaluation,71,0.003919620183283648
selfmotivated,71,0.003919620183283648
ssrs,71,0.003919620183283648
new relic,71,0.003919620183283648
technical presentations,71,0.003919620183283648
core java,71,0.003919620183283648
jasmine,71,0.003919620183283648
informatica,71,0.003919620183283648
dod,71,0.003919620183283648
user stories,71,0.003919620183283648
ms sql,71,0.003919620183283648
data lake,70,0.0038644142652092305
database administration,70,0.0038644142652092305
execution,70,0.0038644142652092305
refactoring,70,0.0038644142652092305
protocols,70,0.0038644142652092305
management,70,0.0038644142652092305
nifi,70,0.0038644142652092305
sql queries,70,0.0038644142652092305
technical guidance,70,0.0038644142652092305
accountability,69,0.0038092083471348128
usb,69,0.0038092083471348128
technology,69,0.0038092083471348128
verbal communication skills,69,0.0038092083471348128
customer focus,69,0.0038092083471348128
top secret security clearance,69,0.0038092083471348128
network design,69,0.0038092083471348128
visual basic,68,0.003754002429060395
vhdl,68,0.003754002429060395
specifications,68,0.003754002429060395
production,68,0.003754002429060395
bluetooth,68,0.003754002429060395
oracle database,68,0.003754002429060395
timeline analysis,68,0.003754002429060395
nginx,68,0.003754002429060395
quality,68,0.003754002429060395
communications,68,0.003754002429060395
estimation,68,0.003754002429060395
reports,67,0.0036987965109859778
rf,67,0.0036987965109859778
front end development,67,0.0036987965109859778
ci/cd pipeline,67,0.0036987965109859778
plc,67,0.0036987965109859778
software design patterns,67,0.0036987965109859778
exchange,67,0.0036987965109859778
2+ years of experience in agile practices,67,0.0036987965109859778
objectivec,67,0.0036987965109859778
network protocols,67,0.0036987965109859778
redhat openshift,67,0.0036987965109859778
electronic warfare,67,0.0036987965109859778
dod security clearance,67,0.0036987965109859778
agile project management,67,0.0036987965109859778
dod secret security clearance,67,0.0036987965109859778
modeling and simulation,66,0.00364359059291156
it infrastructure,66,0.00364359059291156
ecommerce,66,0.00364359059291156
network administration,66,0.00364359059291156
research and development,66,0.00364359059291156
bigquery,66,0.00364359059291156
circleci,65,0.0035883846748371423
c++ programming,65,0.0035883846748371423
testng,65,0.0035883846748371423
web technologies,65,0.0035883846748371423
dynatrace,65,0.0035883846748371423
network architecture,65,0.0035883846748371423
flink,65,0.0035883846748371423
security best practices,65,0.0035883846748371423
logic analyzers,65,0.0035883846748371423
ability to work independently,65,0.0035883846748371423
jboss,65,0.0035883846748371423
healthcare,65,0.0035883846748371423
data infrastructure,64,0.003533178756762725
defect tracking,64,0.003533178756762725
paid parental leave,64,0.003533178756762725
ui,64,0.003533178756762725
atlassian,64,0.003533178756762725
authorization,64,0.003533178756762725
time management skills,64,0.003533178756762725
senior software engineer,64,0.003533178756762725
caching,64,0.003533178756762725
data validation,64,0.003533178756762725
traceability,64,0.003533178756762725
ts/sci,64,0.003533178756762725
systems,64,0.003533178756762725
negotiation,64,0.003533178756762725
middleware,64,0.003533178756762725
medical,64,0.003533178756762725
azure functions,64,0.003533178756762725
centos,63,0.0034779728386883074
cmake,63,0.0034779728386883074
software programming,63,0.0034779728386883074
networks,63,0.0034779728386883074
information security,63,0.0034779728386883074
figma,63,0.0034779728386883074
high school diploma,62,0.0034227669206138896
data protection,62,0.0034227669206138896
qa,62,0.0034227669206138896
software applications,62,0.0034227669206138896
dbt,62,0.0034227669206138896
technical planning,62,0.0034227669206138896
mssql,62,0.0034227669206138896
mulesoft,62,0.0034227669206138896
system development,62,0.0034227669206138896
interpersonal communication,61,0.0033675610025394724
microsoft excel,61,0.0033675610025394724
azure sql,61,0.0033675610025394724
