uid,source,period,title,company_name,swe_confidence,swe_classification_tier,desc_excerpt,rn,review_family
asaniczka_0c1a049c0d4b4b6a,kaggle_asaniczka,2024-01,Senior Quality Assurance Engineer,Bechtel Corporation,0.9,title_lookup_llm,"Requisition ID: 272305
Relocation Authorized: National - Family
Grade: 26
Position to be Panel Interviewed? No
Telework Type: Part-Time Telework
Work Location: Richland, WA
Employee Referral Amount: $2,500.00
Salary Rang",7,boundary_family
asaniczka_0fa2eb28ec87b150,kaggle_asaniczka,2024-01,Sr. Automation Engineer II,BioSpace,0.9,title_lookup_llm,"By clicking the “Apply” button, I understand that my employment application process with Takeda will commence and that the information I provide in my application will be processed in line with Takeda’s Privacy Notice an",10,boundary_family
asaniczka_10fcd9e8c9dfeb0c,kaggle_asaniczka,2024-01,Automation Tester,Wise Skulls,0.9,title_lookup_llm,"Title: Automation Tester
Location: Charlotte, NC, or Dallas, TX (Hybrid)
Duration: 6+ months
Implementation Partner: Infosys
End Client: To be disclosed
Jd
Minimum Years of Experience: 6+ Years
SME in Commercial Lending ",6,other_llm_routed
asaniczka_2875aa1c187a92e3,kaggle_asaniczka,2024-01,Test Engineer II,Agiliti,0.9,title_lookup_llm,"The Test Engineer II will work in collaboration with all stakeholders, manage overall project scope, goals, and produce deliverables that support business objectives. This position will lead multiple parallel initiatives",9,boundary_family
asaniczka_2abfd1ed47df5fa7,kaggle_asaniczka,2024-01,Sr. Firmware Engineer,Advanced Energy,0.9,title_lookup_llm,"About
ABOUT ADVANCED ENERGY
Advanced Energy (Nasdaq: AEIS) is a global leader in the design and manufacturing of highly engineered, precision power conversion, measurement and control solutions for mission-critical appli",5,boundary_family
asaniczka_43476c9ccb3c70b6,kaggle_asaniczka,2024-01,SENIOR DEVELOPER,NYC Department of Social Services,0.9,title_lookup_llm,The Department of Social Services (DSS) is comprised of the administrative units of the New York City Human Resources Administration (HRA) and the Department of Homeless Services (DHS). HRA is dedicated to fighting pover,2,other_llm_routed
asaniczka_64132d4403357a5b,kaggle_asaniczka,2024-01,Sr Computer Scientist,SRI,0.9,title_lookup_llm,"SRI International's Computer Science Lab (CSL) is seeking a
Sr Computer Scientist
. The (CSL) builds, assesses and defends vital computer systems that affect all of our lives. We study the logical
foundations of scalable",11,other_llm_routed
asaniczka_7312fa9d00d756bc,kaggle_asaniczka,2024-01,Reliability Engineer,JLL,0.9,title_lookup_llm,"JLL is seeking a
Reliability Engineer
to join our team! In JLL Work Dynamics our most significant assets are our “People” and our “Clients”. We will act with Dignity and Respect, make Ethical Decisions, champion Corporat",8,other_llm_routed
asaniczka_79e755920ce9159f,kaggle_asaniczka,2024-01,Lead Programmer Analyst,The State University of New York,0.9,title_lookup_llm,"Job Details
SUNY New Paltz Vacancy
External Posting (Professional)
Applications are invited for consideration for appointment to the following position:
Department:
IT / Computer Services
Budget Title:
Lead Programmer An",12,other_llm_routed
asaniczka_954e119fef965217,kaggle_asaniczka,2024-01,API Architect,Apex Systems,0.9,title_lookup_llm,"Job#: 1361616
Job Description:
One of our clients is seeking a
contract to hire
Solution/Enterprise/API Architect who will be the go-to person for the APIGEE platform for enterprise-wide. This person will be responsible ",4,boundary_family
asaniczka_be660712b6b012d0,kaggle_asaniczka,2024-01,Reliability Engineer,First Quality,0.9,title_lookup_llm,"First Quality was founded in 1989 and, in nearly three decades, has grown to be a global privately held company with over 4,000 employees. Its corporate offices are located in Great Neck, New York, with manufacturing fac",3,other_llm_routed
asaniczka_d6bd981fca193a5d,kaggle_asaniczka,2024-01,Automation Tester with Security Clearance,ClearanceJobs,0.9,title_lookup_llm,Position Summary Odyssey Systems has an exciting new opportunity for a Automation Tester supporting the Space Systems Command (SSC) Defensive Cyber Operations (DCO) programs in the United States Space Force by developing,1,other_llm_routed
arshkon_3890893450,kaggle_arshkon,2024-04,Sr Dot net developer,Advanced Knowledge Tech LLC,0.9,title_lookup_llm,"Company Description
 Advanced Knowledge Tech LLC, headquartered in Lewisville, TX, is a recognized leader in providing high-quality Information Technology Professional Services across the Continental United States. With ",12,other_llm_routed
arshkon_3899522696,kaggle_arshkon,2024-04,AWS Engineer,HTC Global Services,0.9,title_lookup_llm,"HTC is is seeking highly skilled and experienced Senior Software Engineer with expertise in AWS to join our team working on the West Coast - 100% remote.
The ideal candidate will possess deep knowledge of AWS infrastruct",10,other_llm_routed
arshkon_3899540582,kaggle_arshkon,2024-04,System Test Engineer,Saicon,0.9,title_lookup_llm,"Job details are Shared below: Job Title: Test Engineer IILocation: Cupertino, CA or Austin, TX (hybrid) Job Duration: 12+m Contract

 Primary Skills: Experience in factory test and diagnostics development.Knowledge of Mo",3,boundary_family
arshkon_3900076996,kaggle_arshkon,2024-04,Developer,Tata Consultancy Services,0.9,title_lookup_llm,"Skill: IICS & Attunity (Qlick) - ETL Senior Developer

Primary : IICS , Attunity (Qlick), Mongo DB, AWS services - All should be hands-on.Additional : Snowflake, Control-M, CI /CD.Strong hands-on experience building ETL ",7,other_llm_routed
arshkon_3901976730,kaggle_arshkon,2024-04,Artificial Intelligence Engineer,Perfict,0.9,title_lookup_llm,About Us: Perfict Global is a leading IT consulting services provider focused on providing innovative and successful business workforce solutions to Fortune 500 companies. Our trained and experienced professionals consta,1,other_llm_routed
arshkon_3904363254,kaggle_arshkon,2024-04,Senior Test Engineer,Westinghouse Electric Company,0.9,title_lookup_llm,"Are you interested in being part of an innovative team that supports Westinghouse’s mission to provide clean energy solutions? At Westinghouse, we recognize that our employees are our most valuable asset and we seek to i",8,boundary_family
arshkon_3904951349,kaggle_arshkon,2024-04,Artificial Intelligence Engineer,Dice,0.9,title_lookup_llm,"Dice is the leading career destination for tech experts at every stage of their careers. Our client, Overture Partners, LLC, is seeking the following. Apply via Dice today!

Location: HYBRID Work Model/Greater Boston Are",11,other_llm_routed
arshkon_3904961514,kaggle_arshkon,2024-04,Cloud Developer,"Equiscript, LLC",0.9,title_lookup_llm,"Cloud Developer
General Description In response to its growing demand for exceptional talent, Equiscript is searching for a highly motivated professional to join its team in IT Integration and Architecture. 
The Cloud De",13,other_llm_routed
arshkon_3904961875,kaggle_arshkon,2024-04,Associate Quality Engineer,Hollingsworth & Vose,0.9,title_lookup_llm,"SUMMARY:This Associate opportunity is in the field of Quality Assurance. This is a 2-year rotational program where you will move from one function to another, as well as potentially move to other company locations in the",5,other_llm_routed
arshkon_3905329281,kaggle_arshkon,2024-04,Reliability Engineer,General Dynamics Mission Systems,0.9,title_lookup_llm,"Basic Qualifications

Requires a Bachelor’s degree in Reliability, Electrical, Mechanical, Materials Engineering, or a related Science, Engineering or Mathematics field.

CLEARANCE REQUIREMENTS: Department of Defense Sec",6,other_llm_routed
arshkon_3905820443,kaggle_arshkon,2024-04,QA Lead,Transfinder,0.9,title_lookup_llm,"Position: QA Lead  This will be a hands-on role requiring a high percentage of time dedicated to testing. 
How to Apply:
• Submit your resume in Word or PDF format.• Include your contact information. 
You can also send y",4,boundary_family
arshkon_3905875916,kaggle_arshkon,2024-04,Senior Developer,Dice,0.9,title_lookup_llm,"Dice is the leading career destination for tech experts at every stage of their careers. Our client, Acro Service Corp., is seeking the following. Apply via Dice today!

Job title: Senior Developer 

Duration: 12 Months ",9,other_llm_routed
arshkon_3906225359,kaggle_arshkon,2024-04,Test Engineer,Dice,0.9,title_lookup_llm,"Dice is the leading career destination for tech experts at every stage of their careers. Our client, Akkodis, is seeking the following. Apply via Dice today!

Akkodis is looking for a Server and Storage Manufacturing Tes",2,boundary_family
linkedin_li-4298415866,scraped,2026-03,AI Developer,Deloitte,0.9,title_lookup_llm,"Our Deloitte AI \& Engineering team to transform technology platforms, drive innovation, and help make a significant impact on our clients' success. You'll work alongside talented professionals reimagining and reengineer",2,other_llm_routed
linkedin_li-4326337052,scraped,2026-03,AWS Engineer,Koniag Government Services,0.9,title_lookup_llm,"**Kadiak LLC,** 
 a Koniag Government Services company, is seeking a dedicated and passionate AWS engineer with a Top-Secret Clearance to support
 **Kadiak** 
 and our government customer in Vienna, Virginia.
 **This is ",3,other_llm_routed
linkedin_li-4344140535,scraped,2026-03,UI Engineer,TENEX.AI,0.9,title_lookup_llm,"**Company Overview**
 TENEX is an AI-native, automation-first, built-for-scale Managed Detection and Response (MDR) provider. We are a force multiplier for defenders, helping organizations enhance their cybersecurity pos",7,other_llm_routed
linkedin_li-4369975504,scraped,2026-03,Test Automation Engineer,SciTec,0.9,title_lookup_llm,"SciTec, a wholly owned subsidiary of Firefly Aerospace, is a dynamic non-traditional defense contractor that delivers advanced technologies in support of U.S. National Security and Defense. For the past forty-five plus y",5,boundary_family
linkedin_li-4385091782,scraped,2026-03,Automation Test Engineer,CACI International Inc,0.9,title_lookup_llm,"Job Title: Automation Test Engineer
   

  

 Job Category: Engineering
   

  

 Time Type: Full time
   

  

 Minimum Clearance Required to Start: None
   

  

 Employee Type: Regular
   

  

 Percentage of Travel R",12,boundary_family
linkedin_li-4388558354,scraped,2026-03,Senior Developer,NexGen Public Safety Solutions,0.9,title_lookup_llm,"**Senior Software Developer** 

  

**NexGen PSS \| Guilford, CT** 

**About NexGen PSS** 

 At NexGen PSS, we build software that matters. Our CAD (Computer-Aided Dispatch) and RMS (Records Management System) solutions ",9,other_llm_routed
