uid,source,period,title,company_name,swe_confidence,swe_classification_tier,is_swe_adjacent,is_control,desc_excerpt,rn,review_family
asaniczka_091145ff9c15d57e,kaggle_asaniczka,2024-01,Senior Engineer,City of Kent Ohio,0.6487302780151367,unresolved,False,False,"Salary Range:
$87,458 - $109,723
The Senior Engineer must possess registration as a Professional Engineer by the State of Ohio Board of Registration for Professional Engineers.
Application
:
Applications and information ",7,mixed
asaniczka_0db60dc9131436fc,kaggle_asaniczka,2024-01,Principal Supplier Quality Engineer,Medtronic,0.5517789721488953,unresolved,False,False,"Careers that Change Lives
Our Employee Resource Groups (ERGs) are built on shared interests and affinities that create a support fabric to retain, develop, and engage employees locally. We support employee resource group",10,mixed
asaniczka_2826769772ed17ec,kaggle_asaniczka,2024-01,Grainger Engineering: Research Professor (Open Rank) - Aerospace Engineering,The Grainger College of Engineering,0.0,unresolved,False,False,"Research Professor Open Rank Search
The Grainger College of Engineering
Department of Aerospace Engineering
University of Illinois Urbana-Champaign
The Department of Aerospace Engineering at the University of Illinois Ur",2,mixed
asaniczka_92f9c61887c51c2d,kaggle_asaniczka,2024-01,Supervising Engineer - Electric Power Distribution,Ardmore Roderick,0.37357091903686523,unresolved,False,False,"Ardmore Roderick is seeking a Supervising Engineer to assist in the management and preparation of contract documents (plans, specifications and cost estimates) for various projects related to the electric power Industry ",11,mixed
asaniczka_956ec846726f5a65,kaggle_asaniczka,2024-01,Senior Landfill Engineer (Part-time) | Remote in CA,Montrose Environmental Group,0.32548320293426514,unresolved,False,False,"About You
Are you passionate about the environment and ready to join an inclusive workplace, committed to leading new ideas and pathways and delivering value? If the answer is “Yes!” then we have an exciting career oppor",5,mixed
asaniczka_981fd45b447f34e7,kaggle_asaniczka,2024-01,Advanced Lead Engineer – Preliminary Design Product Cost,GE Aerospace,0.3481994867324829,unresolved,False,False,"Job Description Summary
The Advanced Lead Engineer – Preliminary Design Product Cost leads manufacturing cost estimation efforts for GE’s next generation of engines. As part of the Preliminary Design organization the foc",6,mixed
asaniczka_9f673adb7d935d01,kaggle_asaniczka,2024-01,Senior Roadway Engineer,AtkinsRéalis,0.4379211366176605,unresolved,False,False,"Why join us?
We are hiring! AtkinsRéalis is seeking a
Senior Roadway Engineer
to join our
Fort Lauderdale, FL
office.
Under direction, applies full competency in conventional engineering work and broad knowledge of prece",8,mixed
asaniczka_ac56f4c704656fa3,kaggle_asaniczka,2024-01,Operating Engineer,JLL,0.5444390177726746,unresolved,False,False,"What This Job Involves –
The Operating Engineer will have a strong focus on operating, maintaining, troubleshooting and repairing facility equipment on all systems. Individuals are expected to demonstrate technical exper",1,mixed
asaniczka_b959096bad92cd23,kaggle_asaniczka,2024-01,Supply Chain Analyst- Engineering,Infotree Global Solutions,0.0,unresolved,False,False,"Solid understanding and experience of Supply Chain in a Warehouse setting
Responsibilities
Deployment and keep of
Lean Material Flow strategies
at the plant and supporting warehouse
Establish and maintain standard work i",4,clear_non_swe
asaniczka_c4d6e51aee5a7fff,kaggle_asaniczka,2024-01,"Supplier Industrialization Engineer, Automation Controls",Tesla,0.40198153257369995,unresolved,False,False,"What To Expect
We're looking for an experienced Automation Control Engineer to join Tesla's team that specializes in advanced automation for supply chains. This team focuses on automation during a product's development p",12,mixed
asaniczka_d85fa965418b99f2,kaggle_asaniczka,2024-01,Port Engineer,"Marquette Transportation Company, LLC",0.48655062913894653,unresolved,False,False,"Title: Port Engineer
Position: Full-time Salaried/Exempt
Reports to: Director – Engineering
Division: River
Location: Paducah, KY
About Marquette:
Headquartered in Paducah, Kentucky and founded in 1978, Marquette is a le",3,mixed
asaniczka_f8074d69c99970b3,kaggle_asaniczka,2024-01,Protection Engineer (10+ years),POWER Engineers,0.40836986899375916,unresolved,False,False,"Protection Engineer (10+ Years)
POWER Engineers, Inc. is seeking a Protection Engineer. This position is for the POWER Phoenix Office location with the ability to work remotely from a mutually acceptable location (please",9,mixed
arshkon_3886893118,kaggle_arshkon,2024-04,VR Game Developer - Unity Photon Playfab Multiplayer,Sava Studios,0.3970557451248169,unresolved,False,False,"Job Summary:Sava Studios is seeking a highly skilled VR Unity Game Developer who is very familiar with Playfab, Photon, and creating multiplayer games. After finding some success with our first game Penguin Paradise we a",11,mixed
arshkon_3887841256,kaggle_arshkon,2024-04,Manufacturing Process Engineer,SPECTRAFORCE,0.4494582414627075,unresolved,False,False,"Job Title: Manufacturing Process Engineer IIDuration: 18 MonthsLocation: Portland, OR
Summary:The main function of a manufacturing engineer is to apply engineering theory and principles to problems of industrial layout o",12,mixed
arshkon_3889710867,kaggle_arshkon,2024-04,Senior IT Specialist/Lead Developer,"MacroSys, LLC",0.7853249907493591,embedding_adjacent,True,False,"Job Description

MacroSys, LLC, is seeking a full-time Developer/IT Specialist to support the Office of Airline Information within the U.S. Department of Transportation.

Location: On-site in Washington, DC (not eligible",13,mixed
arshkon_3891072143,kaggle_arshkon,2024-04,Manager Data Engineering- AWS cloud,Publicis Sapient,0.5991153717041016,unresolved,False,False,"Publicis Sapient is a digital transformation partner helping established organizations get to their future, digitally-enabled state, both in the way they work and the way they serve their customers. We help unlock value ",2,boundary_family
arshkon_3895539073,kaggle_arshkon,2024-04,Sr Software Design Quality Engineer,Abiomed,0.6380513310432434,unresolved,False,False,"Apply Now

Share

This job posting is anticipated to close on May 12 2024. The Company may however extend this time-period, in which case the posting will remain available on www.careers.jnj.com to accept additional appl",5,mixed
arshkon_3898167036,kaggle_arshkon,2024-04,Senior Manufacturing Engineer (Robotics),techolution,0.4682624340057373,unresolved,False,False,Techolution is looking for a smart and dynamic  Sr Robotics Manufacturing Engineer to lead the prototyping and fabricating commercial-grade Robotics. The ideal candidate should have a track record of successfully buildin,1,mixed
arshkon_3901354047,kaggle_arshkon,2024-04,Process Automation Engineer,iConsultera,0.85,title_lookup_llm,True,False,Required:• 3+ years in process automation or equivalent in pharmaceutical/ biotechnology industry. • Familiarly with Computer system validation and regulatory GXP requirements. • Knowledgeable of S88 Batch Standard• Stro,6,boundary_family
arshkon_3901960128,kaggle_arshkon,2024-04,Manufacturing Engineering Technician,Collins Aerospace,0.0,unresolved,False,False,"Date Posted:

2024-04-08

Country:

United States of America

Location:

HAL02: Aerostructures-Foley 1300 West Fern Ave, Foley, AL, 36535 USA

Position Role Type:

Onsite

Collins Aerospace is looking for a Manufacturing",3,clear_non_swe
arshkon_3902355645,kaggle_arshkon,2024-04,Electrical Engineer,Akkodis,1.0,regex,False,True,"Akkodis is Seeking an Electrical Engineer contractor for the location of Phoenix AZ. It is a contract Position for 6+ months. Ideally Looking for a candidate with experience in Aerospace/Aviation Industry.
Pay Range: $50",8,clear_non_swe
arshkon_3902742257,kaggle_arshkon,2024-04,"Engineer, Electrical",Exyte,0.546096920967102,unresolved,False,False,"Your vision is ambitious. Just like ours. 

Our people are our success. As one of us, you will contribute to engineering excellence for the high-tech markets of the future, including semiconductors, batteries, pharmaceut",7,clear_non_swe
arshkon_3904393479,kaggle_arshkon,2024-04,"Manager, Solutions Engineer",Cisco,0.533998429775238,unresolved,False,False,"What You'll Do

We change the World, you will become passionate about your employer and the brand you represent. Everything is converging on the Internet, making networked connections more meaningful than ever before in ",9,mixed
arshkon_3905856648,kaggle_arshkon,2024-04,Citrix Engineer,Beacon Hill Staffing Group,0.5640764832496643,unresolved,False,False,"This opportunity is set up as a 12 month contract that is hybrid on-site 3 days per week (Tues/Weds/Thurs) in downtown Chicago. 
Required Qualifications:5+ years of Citrix Virtual Apps or Desktop experienceWindows Operat",10,mixed
arshkon_3906250761,kaggle_arshkon,2024-04,Assistant Electrical Engineer (Kansas City),Burns & McDonnell,0.473776251077652,unresolved,False,True,"Description

The Assistant Electrical Engineer will assist project teams to create world class designs for new projects, alterations and redevelopments on a variety of projects including power, process, corporate, health",4,clear_non_swe
linkedin_li-4291626595,scraped,2026-03,Sr Engineer I&C,Zachry Group,0.5249027013778687,unresolved,False,False,"**Job Description**
**Zachry Engineering Corporation** 
 is currently accepting applications for a
 **Senior Engineer I\&C** 
 to join our I\&C Department in Houston, Texas. This is a great opportunity to get involved in",4,mixed
linkedin_li-4371276659,scraped,2026-03,"EMIR Engineer II, Annapurna Labs - Cloud Scale Machine Learning",Amazon Web Services (AWS),0.6455100774765015,unresolved,False,False,"**Description**
 Our Machine Learning Acceleration (MLA) team develops the Inferentia and Trainium SoCs that are used to power today’s AI workloads in datacenters all around the world. As a Sr. SoC EMIR Engineer, you’ll ",12,mixed
linkedin_li-4378805574,scraped,2026-03,Senior Mechanical Engineer,"CMTA, Inc.",1.0,regex,False,True,"**CMTA, a Legence Company**
 CMTA is one of the fastest growing engineering firms in the U.S., with nationally recognized expertise in sustainable, high-performance building engineering. We are a collaborative, innovativ",7,clear_non_swe
linkedin_li-4387251729,scraped,2026-03,Electrical Engineer,Actalent,1.0,regex,False,True,"**Job Title: Electrical Engineer** 
**Job Description**
 We are seeking a skilled Electrical Engineer to diagnose and resolve issues with printed circuit boards (PCBs) that are not functioning as expected. The ideal cand",13,clear_non_swe
linkedin_li-4387787159,scraped,2026-03,System Safety Engineer II/III,Textron,0.6387811899185181,unresolved,False,False,"**Description**
***Who We Are***
 Textron Systems is part of Textron, a $14 billion, multi-industry company employing 35,000 talented makers, thinkers, creators and doers worldwide. We make things that fly, hover, zoom a",2,mixed
linkedin_li-4389257269,scraped,2026-03,Staff Information Security Engineer (Vulnerability Management),Zscaler,0.82,regex,True,False,"**About Zscaler**
 Zscaler accelerates digital transformation to ensure our customers can be more agile, efficient, resilient, and secure. As an
 **AI-forward enterprise** 
 , we are constantly pushing the envelope, leve",8,boundary_family
linkedin_li-4389572110,scraped,2026-03,GE Proficy Engineer,Gazelle Global,0.4789747893810272,unresolved,False,False,"**GE Proficy Engineer - Manufacturing IT / MES** 

 Plano, TX - Permanent
 

  

 Are you an expert in GE Proficy Suite ready to lead complex migration and upgrade projects? We’re looking for a seasoned GE Proficy Engine",11,mixed
linkedin_li-4389922346,scraped,2026-03,Lead Mechanical Engineer,Ecolab,1.0,regex,False,True,"**Mechanical Engineer – Cooling and Thermal Systems for Data Centers**
 Join our data center engineering team to design and develop next-generation cooling and thermal management systems tailored for high-performance dat",1,clear_non_swe
linkedin_li-4389935681,scraped,2026-03,Lead Instrumentation and Controls Engineer (LSNA-OH),Jacobs,0.39978864789009094,unresolved,False,False,"At Jacobs, we're challenging today to reinvent tomorrow by solving the world's most critical problems for thriving cities, resilient environments, mission-critical outcomes, operational advancement, scientific discovery ",5,mixed
linkedin_li-4390145063,scraped,2026-03,Entry Level Civil Engineer,VHB,1.0,regex,False,True,"**Overview**
**ABOUT THE POSITION**
 VHB’s Watertown, MA office is seeking an Entry-Level Civil Engineer to join our team to support our land development projects. This is an exciting opportunity to work within a dynamic",6,clear_non_swe
linkedin_li-4390680182,scraped,2026-03,Machinist Engineer,Employbridge,0.3594975471496582,unresolved,False,False,"We’re seeking a hands-on
 **Machinist Engineer** 
 to support the machining department that houses Swiss and Mill machines. The Engineer would support machining, programming, and continuous improvement initiatives within",3,mixed
linkedin_li-4390859411,scraped,2026-03,Project Engineer-IW (SG-364-25E) Whittier,Los Angeles County Sanitation Districts,0.5001692175865173,unresolved,False,False,"**THE SANITATION DISTRICTS**
**Invites Applications For The Position Of**
**Project Engineer/Engineering Associate**
**POSTING #SG-364-25E**
 The Sanitation Districts is currently recruiting to fill two (2\) Engineers/En",10,boundary_family
linkedin_li-4390949768,scraped,2026-03,Engineering Assistant/Field Engineer-Pitt 2025-2026 - copy,Turner Construction Company,0.3302558362483978,unresolved,False,False,"**Division:** 
 Pittsburgh Main
   

  

**Project Location(s):** 
 Pittsburgh, PA 15219 USA
   

  

**Minimum Years Experience:**
**Travel Involved:**
**Job Type:** 
 Regular
   

  

**Job Classification:** 
 Entry
  ",9,mixed
linkedin_li-4245990993,scraped,2026-04,"Senior Project Manager, Civil/Environmental Engineer",Haley & Aldrich,0.34916719794273376,unresolved,False,False,"Find your path and enjoy the journey at
 **Haley \& Aldrich** 
 . With us, you’ll tackle clients’ most meaningful challenges in the built and natural environments – and, in turn, build stronger communities. You’ll work w",7,clear_non_swe
linkedin_li-4376207945,scraped,2026-04,"Staff Engineer, Payments Team",Rover.com,0.5086846947669983,unresolved,False,False,"**Who we are:**
 Want to make an impact? Join our pack and come work (and play!) with us.
   

  

 We believe everyone deserves the unconditional love of a pet—and at Rover, our mission is to make it easier to experienc",11,mixed
linkedin_li-4376908999,scraped,2026-04,Substation Front-End Engineering & Design (FEED) Lead,HDR,0.5631642937660217,unresolved,False,False,"At HDR, our employee-owners are fully engaged in creating a welcoming environment where each of us is valued and respected, a place where everyone is empowered to bring their authentic selves and novel ideas to work ever",3,mixed
linkedin_li-4389829557,scraped,2026-04,Associate Civil Engineer - Flood Control,County of Riverside,1.0,regex,False,True,"**For questions regarding this position, please contact the Recruiter listed in the Supplemental Information section.**
**About The Position**
 The County of Riverside's Flood Control District has multiple opportunities ",6,clear_non_swe
linkedin_li-4393815137,scraped,2026-04,WiFi Network Engineer,Jobs via Dice,0.82,regex,True,False,"Dice is the leading career destination for tech experts at every stage of their careers. Our client, Kanshe Infotech, is seeking the following. Apply via Dice today!
   

  

**Title: WiFi Network Engineer**
**Location: ",8,mixed
linkedin_li-4393938088,scraped,2026-04,Civil Project Engineer II/III - Water & Wastewater,Timmons Group,0.32548654079437256,unresolved,False,False,"**Job Description**
 Timmons Group is currently seeking a motivated
 **Civil Project Engineer II/III** 
 to join our
 **Water \& Wastewater Group** 
 in
 **Charlotte, NC** 
 . This is a great opportunity to work on meani",2,boundary_family
linkedin_li-4394496464,scraped,2026-04,Network Engineer - Hospital experience required,Prosum,0.82,regex,True,False,"**Network Engineer II** 

 The Network Engineer II is expected to independently plans, installs, integrates and validates network software and hardware solutions. Serves as a resource to less experienced team members on ",10,mixed
linkedin_li-4394732124,scraped,2026-04,Field Service Engineer/Project Manager **,Siemens Energy,0.43964171409606934,unresolved,False,False,"**A Snapshot of Your Day**
 Join our dynamic Field Service organization, where you will travel to power plants across the U.S. and play a crucial role in maintaining and upgrading some of the largest and most powerful el",1,mixed
linkedin_li-4395385207,scraped,2026-04,Forward Deployed Engineer,ID.me,0.6318870186805725,unresolved,False,False,"**Company Overview**
 ID.me is the next-generation digital identity wallet that simplifies how individuals securely prove their identity online. Consumers can verify their identity with ID.me once and seamlessly login ac",12,mixed
linkedin_li-4396754108,scraped,2026-04,Senior Supplier Quality Engineer,Motional,0.5517789721488953,unresolved,False,False,"**Motional’s Pittsburgh office is located in the new Hazelwood Green development, a culmination of the city’s goal of restoring an economic driver to the neighborhood in a thoughtful, inclusive, and sustainable way. With",4,mixed
