pattern,period,uid,match_text,context_200,seniority_final,programmatic_y
orch,2024,asaniczka_15bccd89a9158447,pipelines,tail hear technologies excited technology technically scalability accuracy speed efficiency existing systems administer pipelines comfortable navigating following technology scala java golang python3 scripting bash/python hadoop sql etc improve scal,mid-senior,1
orch,2024,arshkon_3884836204,automation,ated needed.communicate suppliers stakeholders qualifications include b.s discipline relevant experiencetroubleshooting automation/controls environmenthave plc hmi deltav scada syncade sql,mid-senior,1
orch,2024,asaniczka_28c23c3e2424247c,workflows,cal offerings digital position technologies reconceptualize patients globally us digital integrates streamline automate workflows transform provide seeking experienced software expertise multiple technology stacks preferably c++ c# role designing de,mid-senior,1
orch,2024,asaniczka_f3c7ec800945b0ba,evaluate,ystems identifying devising reduce variation reduce/eliminate cause defects execute procedures ensure highest standards evaluate identify areas improvement recommend solutions ensure analyze reports identify trends recommend corrective actions coor,mid-senior,0
orch,2024,arshkon_3899522696,workflows,cost-effective solutions leveraging services like scaling cloudformation cloudwatch.twilio capabilities customizing ivr workflows twilio apis communication solutions.and proprietary codebases libraries apis ensuring interoperability compatibility ex,mid-senior,1
orch,2024,asaniczka_caef5d61684ac994,pipelines,seeking us bigquery-backed existing frameworks closely resident scientists analysts write pipelines aggregating various day-to-day role would etl pipelines warehouses marts aggregate tables must-haves etl pipelines aggr,mid-senior,1
orch,2024,asaniczka_9e62ae9280a2dc72,evaluate,odels simulations prototyping mitigate reduce cost courses workarounds fallback positions recommended course monitor re-evaluate risks appropriate milestones monitors risks earned management evm maintain evolving international standards applicable ,mid-senior,0
orch,2024,asaniczka_8a9097c957b1abed,evaluate,cumented complies requirements policies procedures evaluating coaching/mentoring done conjunction director stay abreast evaluate technology help determine submit waivers requests ecr necessary company initiatives maintain existing documentation on-,mid-senior,0
orch,2024,asaniczka_14c09ae1cd08bda7,evaluate,e related minimum absence degree relevant software software verification systems demonstrated ability identify problems evaluate solutions excellent interpersonal ability effectively teams management willingness domestic international qualification,mid-senior,0
orch,2024,asaniczka_630ceebbe3c68628,validate,rogram manager customer deployments requirements implementation details including sizing verification validation verify validate deployments ongoing use execute upgrade tasks deployments including providing answers customer inquiries participate on,mid-senior,0
orch,2024,asaniczka_c9702496cfb10cb1,pipelines,ementing ci/cd practices develops re-usable frameworks ingestion including stream azure implements practices end-to-end pipelines systems repositories ensuring consistency always maintained implements debugs including technologies terraform azure an,mid-senior,1
orch,2024,asaniczka_6a1a75ba21462992,guardrails,eal-time ease use governance developing application-specific customer llms fms enabling users capabilities implementing guardrails researchers qualifications bachelor degree related designing data-intensive solutions distributed cache optimization te,mid-senior,1
orch,2024,asaniczka_789566fcc1b6fdc3,workflows,l apis nimbly introduce ways high-quality standards help up-level junior standards think experiment prototypes lightest workflows ways help goals likely four+ ideally startups seen break including ability reason different approaches write reasonable,mid-senior,1
orch,2024,asaniczka_c7851d2fd0f5e29f,pipelines,able cloud-native architectures in-depth azure services containerization technologies kubernetes ci/cd gitlab devsecops pipelines troubleshooting ability analyze issues excellent communication interpersonal verbal written various teams qualification,mid-senior,1
orch,2024,asaniczka_2a6724834e439f2e,automation,position provide implementation responsibilities include designing implementing automation/robotics solutions productive operate economical purchase maintain participate determining particular application custo,mid-senior,1
