uid,cluster_id,cluster_name,mgmt_density_v1_rebuilt,mgmt_density_t11_original,orch_density,strat_density,mentor_binary,ai_binary,period,seniority_final
arshkon_3886458575,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3886460512,1,Tech-orchestration (non-AI),0.0,0.0,1.0526315789473684,0.0,0,0,2024,mid-senior
arshkon_3886476850,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3886483712,0,AI-oriented (low-orch),0.0,0.0,0.8936550491510277,0.0,0,1,2024,mid-senior
arshkon_3886484678,1,Tech-orchestration (non-AI),0.0,0.0,0.9057971014492753,0.0,0,0,2024,mid-senior
arshkon_3886485329,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3886488846,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3886807618,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3886810765,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3886811786,2,People-management (mentor-binary + mgmt density),1.392757660167131,1.392757660167131,0.0,0.0,1,0,2024,mid-senior
arshkon_3886812164,2,People-management (mentor-binary + mgmt density),1.3175230566534915,1.3175230566534915,0.0,0.0,1,0,2024,mid-senior
arshkon_3886815965,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3886819981,4,Strategic-language (stakeholder/roadmap),0.0,0.0,1.9588638589618024,1.9588638589618024,0,0,2024,mid-senior
arshkon_3886820179,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3886820908,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3886820920,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3886822572,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3886823264,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3886823508,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
