pattern,period,uid,match_text,context_200,seniority_final,programmatic_y
mgmt_strict_v1_rebuilt,2024,arshkon_3889412897,mentoring junior,maintain upgrade liferay jira instances implement software capabilities participate release sprint provide mentoring junior ensure timeliness bachelor degree related degree related software implementation java kubernetes linux ansible ability ,mid-senior,1
mgmt_strict_v1_rebuilt,2024,asaniczka_ef62a86af10a2729,mentoring others,r initiatives leveraging architectural high-power/hyper converged technologies evolving keeping up-to-date technologies mentoring others trends determining applicability sentinel solutions review ide sentinel application portfolioposition full-time systems,mid-senior,1
mgmt_strict_v1_rebuilt,2024,asaniczka_2dcda153e88934f2,mentors junior,nt repeatable basis develops software meets user requirements provides duties cause corrective preventative initiatives mentors junior provides effort loe estimates requests requestor management manager refine prioritize duties assigned,mid-senior,1
mgmt_strict_v1_rebuilt,2024,arshkon_3894547452,mentoring junior,print backlog grooming retrospectivesplan coordinate cross-team activities assignmentsadvise management strategyprovide mentoring junior b.s degree foreign mathematics course study required degree strongly preferred.a minimum progressively software experie,mid-senior,1
mgmt_strict_v1_rebuilt,2024,arshkon_3898155842,mentoring teams,oblem-solving ability troubleshoot issues.excellent communication ability effectively cross-functional teams.experience mentoring teams highly desirable.ability fast-paced delivering high-quality solutions,mid-senior,1
mgmt_strict_v1_rebuilt,2024,asaniczka_9411b83725c38e2c,coach junior,technologies trends optimization continuous conduct exploratory understand potential exhibited ownership tasks assigned coach junior share broader implementing practices handle sensitive bachelor degree four-year technology related phd warehousing rela,mid-senior,1
mgmt_strict_v1_rebuilt,2024,asaniczka_a955fa3bfe549d98,coach junior,ems architectural principles communication along analytical lwc triggers external rest soap apis role candidate ability coach junior position reports,mid-senior,1
mgmt_strict_v1_rebuilt,2024,asaniczka_61de67fa7ad54a98,coach junior,ement architect assume end-to-end ownership ml/ai implementations optimizing scalability ml/ai practices ml/ai problems coach junior qualifications proficiency languages java golang industry track record problems applying ml/ai techniques prior models ,mid-senior,1
mgmt_strict_v1_rebuilt,2024,asaniczka_79a847f0a5f72ef2,mentoring junior,seeking experienced software mentoring desires hands ongoing role role includes position participating reviews mentoring junior software-design implementation technology makes extensive use ruby redis cassandra postgresql responsibilities implemen,mid-senior,1
mgmt_strict_v1_rebuilt,2024,asaniczka_37cef1b2e0e9c9f7,mentors others,iduals position provide advice levels duties responsibilities codes multiple languages software software leads software mentors others software leads project-level sized teams including assigning answering questions helping software overcome challenges m,mid-senior,1
mgmt_strict_v1_rebuilt,2024,asaniczka_7e44df261c1ef160,coach junior,utions stay date services industry trends assess applicability documentation maintain documentation ensuring mentorship coach junior fostering continuous minimum qualifications bachelor systems software comparable study and/or minimum software/data rol,mid-senior,1
