metric,baseline_mean,alt_2024_mean,current_mean,within_2024_diff,cross_period_diff,within_2024_d,cross_period_d,signal_to_noise
tech_count,2.854980254497587,2.6487969607429296,3.181340341655716,-0.20618329375465727,0.32636008715812936,-0.07720931558870221,0.11492131173068672,1.4884384203439667
ai_count,0.10991663010092145,0.08281975517095821,0.4408672798948752,-0.02709687492996324,0.3309506497939537,-0.05575607417082664,0.38745301046607716,6.949072656711634
soft_skill_count,0.36792452830188677,0.3386238919375264,0.37385019710906703,-0.029300636364360366,0.005925668807180262,-0.04801826128472717,0.009581700936252775,0.1995428547368157
scope_count,0.2621763931548925,0.24668636555508652,0.5247481384143671,-0.015490027599805972,0.2625717452594746,-0.03133110689149551,0.43865718414972893,14.000692208828337
management_strong_count,0.1265906099166301,0.12283663993246095,0.12220762155059132,-0.003753969984169145,-0.004382988366038773,-0.010406516074533547,-0.012324139425919072,1.1842714062661437
management_broad_count,0.5616498464238702,0.5154917686787674,0.5692071835304424,-0.04615807774510272,0.007557337106572248,-0.06314183999427145,0.009969498650766942,0.1578905310911343
education_flag,0.08271171566476525,0.10882228788518362,0.07468243539202803,0.026110572220418377,-0.008029280272737221,0.08649618369955454,-0.029819863657312068,0.3447535183851775
yoe_flag,0.6202281702501097,0.7142254115660617,0.6747700394218134,0.093997241315952,0.05454186917170367,0.2037317330101576,0.11433998984125679,0.5612281805680024
requirement_breadth,4.4245283018867925,4.262811312790207,5.392466053438458,-0.16171698909658527,0.9679377515516654,-0.05342119807367459,0.2892920853985798,5.415305081694526
credential_stack_depth,2.203159280386134,2.220937104263402,2.6208935611038107,0.017777823877267895,0.4177342807176765,0.01609550182157741,0.3586855986230938,22.28483476931703
text_len,661.5849056603773,670.0879696074293,859.5591327201051,8.503063947051942,197.9742270597278,0.02127584159846907,0.468475474595664,22.01912777116059
tech_density,5.535707281592248,5.470493131745211,4.323228252750904,-0.0652141498470371,-1.2124790288413436,-0.009228705595163225,-0.20907499661470405,22.654856031411438
scope_density,0.37680308070858065,0.37560937664445343,0.6393804260937094,-0.0011937040641272212,0.2625773453851287,-0.0014027920130932736,0.29664413762905883,211.46694225534813
