title_key,definition,side,definition_label,arshkon_n,arshkon_denominator,arshkon_share,scraped_2026_n,scraped_2026_denominator,scraped_2026_share,delta_scraped_minus_arshkon,title_display
senior software engineer,J1,junior,seniority_final = entry,0,164,0.0,0,1223,0.0,0.0,Senior Software Engineer
senior software engineer,J2,junior,seniority_final in entry/associate,0,164,0.0,0,1223,0.0,0.0,Senior Software Engineer
senior software engineer,J3,junior,yoe_extracted <= 2,8,101,0.07920792079207921,83,958,0.08663883089770355,0.0074309101056243415,Senior Software Engineer
senior software engineer,J4,junior,yoe_extracted <= 3,19,101,0.18811881188118812,193,958,0.20146137787056367,0.013342565989375554,Senior Software Engineer
senior software engineer,S1,senior,seniority_final in mid-senior/director,164,164,1.0,1223,1223,1.0,0.0,Senior Software Engineer
senior software engineer,S2,senior,seniority_final = director,0,164,0.0,0,1223,0.0,0.0,Senior Software Engineer
senior software engineer,S3,senior,raw title senior regex,164,164,1.0,1223,1223,1.0,0.0,Senior Software Engineer
senior software engineer,S4,senior,yoe_extracted >= 5,71,101,0.7029702970297029,575,958,0.6002087682672234,-0.10276152876247957,Senior Software Engineer
software engineer,J1,junior,seniority_final = entry,11,20,0.55,21,69,0.30434782608695654,-0.2456521739130435,Software Engineer
software engineer,J2,junior,seniority_final in entry/associate,11,20,0.55,21,69,0.30434782608695654,-0.2456521739130435,Software Engineer
software engineer,J3,junior,yoe_extracted <= 2,32,98,0.32653061224489793,284,888,0.31981981981981983,-0.006710792425078105,Software Engineer
software engineer,J4,junior,yoe_extracted <= 3,60,98,0.6122448979591837,455,888,0.5123873873873874,-0.09985751057179626,Software Engineer
software engineer,S1,senior,seniority_final in mid-senior/director,9,20,0.45,48,69,0.6956521739130435,0.24565217391304345,Software Engineer
software engineer,S2,senior,seniority_final = director,0,20,0.0,1,69,0.014492753623188406,0.014492753623188406,Software Engineer
software engineer,S3,senior,raw title senior regex,0,154,0.0,0,1404,0.0,0.0,Software Engineer
