period,seniority_final,n,share_yoe_le2,share_yoe_le3,share_phd_or_equiv
2024-01,associate,8,0.5,0.5,0.0
2024-01,director,85,0.058823529411764705,0.11764705882352941,0.15294117647058825
2024-01,entry,158,0.310126582278481,0.3924050632911392,0.056962025316455694
2024-01,mid-senior,10930,0.05132662397072278,0.12790484903934127,0.08472095150960658
2024-04,associate,15,0.4666666666666667,0.5333333333333333,0.13333333333333333
2024-04,director,13,0.15384615384615385,0.15384615384615385,0.07692307692307693
2024-04,entry,175,0.2914285714285714,0.32,0.02857142857142857
2024-04,mid-senior,2064,0.04263565891472868,0.10562015503875968,0.04505813953488372
2026-03,associate,15,0.2,0.4666666666666667,0.0
2026-03,director,143,0.03496503496503497,0.06993006993006994,0.07692307692307693
2026-03,entry,664,0.16716867469879518,0.1852409638554217,0.08734939759036145
2026-03,mid-senior,8298,0.05688117618703302,0.13870812243914196,0.09411906483489997
2026-04,associate,13,0.23076923076923078,0.5384615384615384,0.0
2026-04,director,122,0.03278688524590164,0.07377049180327869,0.040983606557377046
2026-04,entry,378,0.17195767195767195,0.19576719576719576,0.06878306878306878
2026-04,mid-senior,7236,0.0595632946379215,0.1388888888888889,0.09494195688225539
