uid,title,company,period,seniority,yoe,tech_count,org_scope_count,kitchen_sink,aspiration_ratio,ghost_composite,is_aggregator,text_snippet
linkedin_li-4393289215,"Full Stack Developer II, Data & Analytics Software Solutions | Forensic and Litigation Consulting",FTI Consulting,2026-03,entry,2.0,17,4,68,3.0,15.95042150525786,False,"At FTI Consulting, you'll work side-by side with leaders who have shaped history, helping solve the biggest challenges making headlines today. From day one, you'll be an integral part of a focused team where you can make a real impact. You'll be surrounded by an open, collaborative culture that embraces diversity, recognition, professional development and, most importantly, you.

 Are you ready to make your impact?

**About The Role**
 FTI Consulting is an independent global business advisory firm dedicated to helping organizations manage change, mitigate risk and resolve disputes. Individually, each practice is a leader in its specific field, staffed with experts recognized for the depth of their knowledge and a track record of making an impact. Collectively, FTI Consulting offers a comprehensive suite of services designed to assist clients across the business cycle - from proactive risk management to the ability to respond rapidly to unexpected events and dynamic environments.

 The Software Solutions team is a high-velocity team that works across both corporate engagements and litigation matters to deliver data-driven solutions to our clients. As experts in bespoke web application development, the Software Solutions team is involved in engagements spanning corporate strategy, litigation, investigations, disputes, compliance, regulatory support, financial crime, fraud, and performance improvement. The team employs a range of evolving open source and cloud technologies to de"
linkedin_li-4382215981,AI Engineer (Intern),Juniper Square,2026-03,entry,,13,3,39,4.0,12.496470021370103,False,"Juniper Square offers employees a variety of ways to work, ranging from a fully remote experience to working full-time in one of our physical offices. We invest heavily in digital-first operations, allowing our teams to collaborate effectively across 27 U.S. states, 2 Canadian Provinces, India, Luxembourg, and England. We also have physical offices in San Francisco, New York City, Mumbai and Bangalore for employees who prefer to work in an office some or all of the time.

**About Your Role**
 We're looking for an AI Engineer Intern to join our team who is excited to help transform the private markets. In this role, you’ll work alongside a talented and collaborative team focused on one of our top strategic initiatives - bringing cutting-edge AI innovation to a key product feature that will drive real change in the industry.

 As an intern, you’ll have a hands-on role in designing, building, and testing new AI-driven product features. This isn’t a side project - it's a core company priority with executive visibility and high impact. You’ll work in close partnership with engineers, product leaders, and mentors who are invested in your growth and success.

 You’ll also gain valuable exposure to company leadership, access to world-class mentorship, and the opportunity to contribute meaningfully to a product that’s reshaping how the private markets operate. For the right person, this internship can be a launchpad into a full-time role post-graduation.

 This opportunity is perfect "
linkedin_li-4382226558,AI Engineer (Intern),Juniper Square,2026-03,entry,,13,3,39,4.0,12.496470021370103,False,"Juniper Square offers employees a variety of ways to work, ranging from a fully remote experience to working full-time in one of our physical offices. We invest heavily in digital-first operations, allowing our teams to collaborate effectively across 27 U.S. states, 2 Canadian Provinces, India, Luxembourg, and England. We also have physical offices in San Francisco, New York City, Mumbai and Bangalore for employees who prefer to work in an office some or all of the time.

**About Your Role**
 We're looking for an AI Engineer Intern to join our team who is excited to help transform the private markets. In this role, you’ll work alongside a talented and collaborative team focused on one of our top strategic initiatives - bringing cutting-edge AI innovation to a key product feature that will drive real change in the industry.

 As an intern, you’ll have a hands-on role in designing, building, and testing new AI-driven product features. This isn’t a side project - it's a core company priority with executive visibility and high impact. You’ll work in close partnership with engineers, product leaders, and mentors who are invested in your growth and success.

 You’ll also gain valuable exposure to company leadership, access to world-class mentorship, and the opportunity to contribute meaningfully to a product that’s reshaping how the private markets operate. For the right person, this internship can be a launchpad into a full-time role post-graduation.

 This opportunity is perfect "
linkedin_li-4387536827,Application Developer Intern 2026- Azure Cloud Migration,IBM,2026-03,entry,,13,4,52,0.6666666666666666,10.163379018593163,False,"**Introduction**
 A career in IBM Consulting is rooted in long-term relationships and close collaboration with clients across the globe.

 You'll work with visionaries across multiple industries to improve the hybrid cloud and AI journey for the most innovative and valuable companies in the world. Your ability to accelerate impact and make meaningful change for your clients is enabled by our strategic partner ecosystem and our robust technology platforms across the IBM portfolio, including Software and Red Hat.

 Curiosity and a constant quest for knowledge serve as the foundation for success in IBM Consulting. In your role, you'll be encouraged to challenge the norm, investigate ideas outside of your role, and come up with creative solutions that result in ground-breaking impact for a wide network of clients. Our culture of evolution and empathy centers on long-term career growth and development opportunities in an environment that embraces your unique skills and experience.

**Your Role And Responsibilities**
 During your internship, you can enhance your knowledge and gain professional experience by working on client projects. This role provides an exceptional opportunity to build a compelling portfolio, acquire new skills, gain insights into diverse industries, and embrace novel challenges for your future career.

 At IBM, we prioritize continuous learning, skill development, and personal growth within a culture of coaching and mentorship. As an intern, you'll experience t"
linkedin_li-4387538823,Application Developer Intern 2026- Azure Cloud Migration,IBM,2026-03,entry,,13,4,52,0.6666666666666666,10.163379018593163,False,"**Introduction**
 A career in IBM Consulting is rooted in long-term relationships and close collaboration with clients across the globe.

 You'll work with visionaries across multiple industries to improve the hybrid cloud and AI journey for the most innovative and valuable companies in the world. Your ability to accelerate impact and make meaningful change for your clients is enabled by our strategic partner ecosystem and our robust technology platforms across the IBM portfolio, including Software and Red Hat.

 Curiosity and a constant quest for knowledge serve as the foundation for success in IBM Consulting. In your role, you'll be encouraged to challenge the norm, investigate ideas outside of your role, and come up with creative solutions that result in ground-breaking impact for a wide network of clients. Our culture of evolution and empathy centers on long-term career growth and development opportunities in an environment that embraces your unique skills and experience.

**Your Role And Responsibilities**
 During your internship, you can enhance your knowledge and gain professional experience by working on client projects. This role provides an exceptional opportunity to build a compelling portfolio, acquire new skills, gain insights into diverse industries, and embrace novel challenges for your future career.

 At IBM, we prioritize continuous learning, skill development, and personal growth within a culture of coaching and mentorship. As an intern, you'll experience t"
linkedin_li-4391055323,Application Developer Intern 2026- Azure Cloud Migration,IBM,2026-03,entry,,13,4,52,0.6666666666666666,10.163379018593163,False,"**Introduction**
 A career in IBM Consulting is rooted in long-term relationships and close collaboration with clients across the globe.

 You'll work with visionaries across multiple industries to improve the hybrid cloud and AI journey for the most innovative and valuable companies in the world. Your ability to accelerate impact and make meaningful change for your clients is enabled by our strategic partner ecosystem and our robust technology platforms across the IBM portfolio, including Software and Red Hat.

 Curiosity and a constant quest for knowledge serve as the foundation for success in IBM Consulting. In your role, you'll be encouraged to challenge the norm, investigate ideas outside of your role, and come up with creative solutions that result in ground-breaking impact for a wide network of clients. Our culture of evolution and empathy centers on long-term career growth and development opportunities in an environment that embraces your unique skills and experience.

**Your Role And Responsibilities**
 During your internship, you can enhance your knowledge and gain professional experience by working on client projects. This role provides an exceptional opportunity to build a compelling portfolio, acquire new skills, gain insights into diverse industries, and embrace novel challenges for your future career.

 At IBM, we prioritize continuous learning, skill development, and personal growth within a culture of coaching and mentorship. As an intern, you'll experience t"
linkedin_li-4389427050,Full Stack Engineer- Front End Development,Fidelity Investments,2026-03,entry,2.0,10,3,30,3.0,9.661680715640653,False,"**Job Description**
**Note: Fidelity will not provide immigration sponsorship for this position**
**Full Stack Engineer**
 Are you passionate about building scalable, high-performance applications that make a real impact? As a Full Stack Engineer, you will be developing, optimizing, and maintaining large-scale web applications supporting Fidelity managed accounts. You will be collaborating with cross-functional teams, implementing cloud-based solutions, and driving automation to enhance efficiency and user experience. Join us in delivering innovative technology solutions that empower advisors and clients to manage portfolios seamlessly!

**The Expertise You Have**
* A solid and strong foundation in software engineering and design principles.
* 2\+ years of full stack software development experience, building enterprise web and middle tier applications using Angular, Typescript, and NestJS.
* Experience with REST API Design \& Development and Microservices Architecture (Java, REST, Swagger)
* Proficiency with AWS services for deploying and managing applications in the cloud.
* Familiarity with database frameworks like DynamoDB, Oracle is preferred.
* Experience using source control and pull requests for collaborative development in code repository tools such as GitHub.
* Hands-on experience creating and maintaining CI/CD pipelines with tools like Jenkins.
* Proven problem-solving abilities and application of software engineering best practices (e.g., design patterns, process i"
linkedin_li-4393299877,DevOps Engineer,Delta Dental Ins.,2026-03,entry,2.0,11,3,33,2.5,9.485484902831956,False,"We are seeking a passionate DevOps Engineer to join our team and play a key role in automating and optimizing our software delivery lifecycles. You will leverage your expertise in Azure DevOps, Terraform and Jenkins to manage infrastructure and application deployments across cloud and on-premise environments.

 This role combines hands-on technical work with a focus on continuous improvement. You'll not only troubleshoot and resolve daily issues, but also identify opportunities to empower developers and automation engineers through self-service capabilities and training. By collaborating with the DevOps Tools and Automation team, you'll help us elevate our overall DevOps maturity.

**Responsibilities**
* Design, develop, and maintain GitHub Actions pipelines using YAML configuration, triggers, build agents, release management, and deployment strategies; leverage AI-assisted tools like GitHub Copilot to accelerate pipeline development and reduce errors.
* Architect and manage Azure cloud services including AKS, App Service, ACE, APIM, AFD, ADF, Power Apps, and App Gateway; utilize Azure OpenAI and Azure AI Foundry to enhance application intelligence and automate workflows.
* Write and maintain Infrastructure as Code (IaC) using Terraform for efficient provisioning and management of Azure cloud resources; use AI code generation tools to speed up module creation and configuration validation.
* Automate tasks and interact with on-premise systems through shell and Python scripting"
arshkon_3905292405,Java Software Engineer,Beacon Hill Staffing Group,2024-04,entry,,9,5,45,1.0,9.453377000428276,False,"This position requires someone to have solid core Java development skills and experience with Spring Boot, microservices, NoSQL databases, Agile, and Kafka or similar tool.
The role is a blend of all new development/project work with 50% production support/maintenance/bug fix.
This person will be involved in heavy middle and back end development for a technology that integrates with all the key company systems and their inventory management platform, a critical revenue generating function of the organization.
This person will participate in code reviews, work with business analysts, PMs, Scrum Masters, and other business partners to develop requirements as well as help ensure the application meets the customer needs.
The technology stack is Java/J2EE, NoSQL, microservices, Spring Boot, cloud native all done using an Agile methodology.
This company has great benefits, bonus opportunity, culture and unlimited paid time off coupled with working on a team/platform that makes up 60% of their corporate IT budget and is a strategic focus for executive leadership.At least 5 years experience doing software development using Java/J2EE backend programming including full stack developmentExperience with Spring Boot framework Heavy experience developing microservices and integrations from scratchRESTful web services, APIs, JSON, XMLExperience with messaging technologies such as MQ, JMS, RabbitMQ, ActiveMQ or Kafka Foundation/Bootstrap, LESS/SASS and JSTL tag librariesNoSQL databases exper"
arshkon_3904431300,Site Reliability Engineer,"Global Technical Talent, an Inc. 5000 Company",2024-04,entry,7.0,7,4,28,3.0,9.33069435829238,False,"The Data Solutions Architecture Team at our client is responsible for driving long-term, enterprise-wide data solutions, target state architecture, and overall excellence with the application of data, analytics, and information to critical business challenges and opportunities.This team is chartered to develop the strategy, roadmap, and accompanying standards that will enable better use of data and information and to develop analytics maturity at our client.
The Digital Utility runs on data and information.Our client believes that one of the most critical drivers of our future success depends on our ability to extract insights and information from the data we manage.The Principal Solution Architect is critical in our client's success in building the Digital Utility.The Principal Solution Architect will contribute to the Enterprise Data & Analytics Strategy and Roadmap and will develop innovative, cost-effective approaches to solve business problems through the use of technology and best practices.
In this role, you will help to socialize the strategy with business and technology stakeholders to ensure that it continues to meet enterprise needs.You will develop architectural guidance documents, mentor and train other architects and project team members, and institute and operate practices that will ensure that the strategy is fully understood and provide direction to business and IT activities.We strive for a team that will make a difference in the new client.As an Enterprise "
