uid,title,company,seniority,yoe,mgmt_terms,is_aggregator,text_snippet
linkedin_li-4393228395,Software Engineer,Cara,entry,3.0,"['roadmap', 'cross-functional']",False,"**About Cara** 

 Cara is a domain-specific AI platform purpose-built for insurance—a modular system that enables agencies, brokerages, and wholesalers to automate servicing, accelerate sales, and scale operations with a 24/7 digital workforce.

 We’re one of the fastest-growing AI companies in the insurance industry, attracting agencies and brokerages of all sizes with an expanding customer base. We’re a team of experts in engineering and insurance from Stripe, Blend, Strategy\&, and Travelers, with backing from top-tier VCs, and are scaling our product and team quickly to meet market demand.

**About the Role** 

 As a Software Engineer at Cara, you’ll work across the stack to design and build the systems that power our AI platform—from intuitive user interfaces to backend services and AI infrastructure. You’ll develop product features, build tailored solutions for mid-market and enterprise clients, and strengthen our platform to ensure performance, reliability, and security. This is a hands-on role with broad ownership, where you’ll collaborate closely with product, AI, and go-to-market teams to turn complex insurance workflows into simple, automated experiences. You’ll be working directly with the founders and customers to shape the roadmap, product, and technology.

**What You’ll Do** 

* AI Agents \& Workflows: Develop and refine autonomous digital workers that automate insurance workflows end-to-end.
* Full-Stack Product Engineering: Ideate, design, implement, and ship"
linkedin_li-4369692051,Software Development Engineer (Backend Heavy): 25-06782,"Akraya, Inc.",entry,,['leadership'],False,"Primary Skills: .Net(Expert), C#(Expert), Angular(Advanced), JavaScript(Advanced), HTML(Proficient)

 Contract Type: W2 and C2C

 Location: Fremont, CA(5 days )

 Duration: 6\+ months (Possible extension)

 Pay Range: $45 - $50 per hour on W2 or C2C

 #LP

**JOB SUMMARY:** 

 We are seeking a seasoned Full Stack Developer with expertise in both front and backend development, especially focused on .Net, C#, Angular, JavaScript, and HTML, for the design and development of next-generation Service Center Applications. The successful candidate will join our Software Engineering team in Fremont, CA, to work on creating sophisticated solutions that enhance our service center functionalities. This role demands a deep understanding of both the technical and user aspects of software development to deliver solutions that are not only powerful but also intuitive.

**JOB RESPONSIBILITIES:** 

* Design, implement, and deliver comprehensive, fully functional software solutions.
* Generate and maintain precise, clear documentation to augment organizational knowledge sharing.
* Champion best software development and lifecycle practices across the team.
* Ensure software design prioritizes user experience and accessibility.
* Foster continuous improvement through feedback and iterative development.

**Must Have Skills:** 

* Profound experience with Web Frontend Development (HTML, JavaScript, Angular).
* Proficiency in RESTful API design and implementation using .Net Core, ASP.net.
* Solid und"
linkedin_li-4348462478,Electromechanical Systems Engineer,MORSE Corp,entry,,['cross-functional'],False,"MORSE Corp is an employee owned, small business based in Cambridge, MA, Arlington, VA, and Seattle, WA with a history of fielding

 cutting-edge

 technology. MORSE boasts a specially selected team of scientists, engineers, and software developers to deliver best-in-class technical solutions that solve difficult multidisciplinary problems faced by the US National Security Ecosystem.

 We're looking for an Electromechanical Systems Engineer who loves designing, building and flying aerial vehicles to join our team at MORSE Corp. This role will span aircraft design, autonomous vehicle integration and testing, sensor technology, and real-time embedded software. In this position, you will be involved in every aspect of integrating fixed wing aircraft—from mechanical build and electronics packaging to system integration and complete mechanical and electrical checkout. You will play an integral part in flight testing, building up and configuring novel autonomous UAVs, and supporting flight test events from start to finish. The ideal candidate will be comfortable loading and configuring autopilot software and excited to work hands-on across the entire development lifecycle, from initial assembly through operational flight testing.

* Design, build, and flight test prototypes of unmanned aerial vehicles (UAV)
* Build up and integrate both hardware and electronic systems
* Apply problem-solving skills to rapidly prototype and test novel ideas
* Collaborate with cross-functional teams t"
linkedin_li-4390174592,Software Engineer,MACRO,entry,,['roadmap'],False,"**About Macro** 

 We're building the workspace of the future for developers and their teams. If you've worked at startups, SaaS companies, or on open-source — front-end, DevOps, anything in between — we want to hear from you.

 You'll work with a super-talented team and have a direct impact on Macro's product, brand, and dev tools stack. We're horizontal; every engineer answers to the CTO, with equal responsibility over projects, and equal opportunity for collaboration. You own your feature roadmap from ideation to testing to QA to deployment. Whatever you build at Macro, is wholly yours.

 This is for developers who are used to moving fast, exploring, and willing to leverage new tools and processes — AI or otherwise. We don't sit around debating. We ship.

**What you'll do:** 

* Scope features and timelines directly with the CTO, in-office, in NYC;
* Synthesize customer feedback from analytics to understand what's working and what sucks;
* Apply Creative Selection to the dev lifecycle — iterate and present directly to CEO;
* Collaborate with other devs to streamline cross-feature stuff, especially AI tooling;
* Develop agentic workflows to automate, enhance, and simplify the DevOps experience;
* Grow as a developer. Explore weird tools. Try new things. Get better

**Requirements:** 

**\+5 years** 
 of software dev experience at minimum. But if you think you're better than your years suggest, prove it — send us something crazy.

 You need at least one of 
 **Rust, Typescri"
linkedin_li-4362234435,"Software Engineer II (Backend, Business Systems)",WHOOP,entry,2.0,['mentor'],False,"At WHOOP, we're on a mission to unlock human performance and healthspan. WHOOP empowers members to perform at a higher level through a deeper understanding of their bodies and daily lives.

 WHOOP is hiring a Software Engineer II to join the Business Systems team. In this role, you will design and implement the backend systems that power WHOOP’s internal operations, enabling scale and efficiency across the organization. You’ll architect and maintain critical services and integrations that support Finance, Operations, Member Services, and other business functions. By building reliable, secure, and performant systems, you’ll directly shape how WHOOP delivers value to its members and scales globally.

 This posting is for an immediate new hire to our team. For those graduating in the fall of 2026 seeking entry level roles, we kindly ask that you check out this New Grad Opportunities job posting instead to be considered for roles opening at that time. Thank you.

**Responsibilities**
* Design, implement, and maintain scalable backend services and APIs that power business-critical systems and integrations.
* Contribute in design and implementation of scalable data pipelines, automation, and workflows that improve operational efficiency.
* Collaborate with product managers, data engineers, and internal business teams to gather requirements and build effective technical solutions.
* Contribute to the team’s codebase with high-quality, testable, and well-documented code.
* Identify s"
linkedin_li-4375121537,Software Engineer,Leidos,entry,2.0,['mentor'],False,"**Description**
**Software Engineer**
**UK NASR PDT Evolution Program**
 Leidos is seeking a
 **Software Engineer** 
 to be based in
 **Gaithersburg, MD; Eagan, MN; or Egg Harbor, NJ.** 
 This position will support the United Kingdom National Airspace System Replacement Product Delivery Team - UK NASR PDT. This effort delivers enhanced capabilities to replace and modernize the current operational system supporting UK air traffic services.

 You will join a dynamic engineering team responsible for building and sustaining
 **real-time, high-availability, safety-critical systems** 
 that directly support national airspace operations.

 This is a U.S.-based position that offers a balanced hybrid schedule between 2-3 days in the office per week.

**What You’ll Do**
* Design, develop, test, and maintain software for real-time, high-availability systems
* Lead software development activities independently and as part of a collaborative engineering team
* Analyze complex system requirements and translate them into efficient, maintainable software designs
* Apply sound software engineering principles to ensure code is reliable, fault tolerant, reusable, and maintainable
* Lead and mentor junior developers, influencing technical direction and development processes
* Participate in Agile ceremonies including daily stand-ups, release planning, and sprint reviews
* Develop, tune, document, and deploy automation scripts across development, test, and production environments
* Promote code r"
linkedin_li-4392142735,Data Engineer / AI Consultant,Connexion Systems and Engineering,entry,,"['leading', 'leading', 'strategic']",True,"Dice is the leading career destination for tech experts at every stage of their careers. Our client, Connexion Systems and Engineering, Inc., is seeking the following. Apply via Dice today!

**Project Overview**
 We''re seeking an experienced
 **Data Engineer / AI Consultant** 
 to design and implement advanced reliability (“life”) models using historical service labor, parts usage, and maintenance event data.

 This engagement will enable improved reliability insights, optimized service strategy, more accurate parts planning, and enhanced product quality through data-driven analysis. The project focuses on developing statistically grounded reliability estimates, identifying early-life failure behavior, and generating usage-based performance insights across critical systems and components.

**Objectives**
 The consultant will create a scalable data and modeling framework that allows the organization to:

* Quantify usage-based life characteristics (e.g., operating time, cycles, or utilization signals) for major assemblies and components.
* Detect early-life failure trends using operational metrics, maintenance records, and service history.
* Build reliability models that reflect real-world field performance across multiple product lines.
* Establish a repeatable analytical approach that internal technical teams can maintain and expand after project completion.

**Scope of Work**
 Data Engineering \& Preparation

* Aggregate, cleanse, and transform historical operational and m"
linkedin_li-4361915757,Front-End Engineer (Software Engineer II),Alation,entry,2.0,"['leading', 'leading']",False,"Alation is pioneering the next era of
 **data intelligence — powered by AI agents and trusted data** 
 . Organizations around the world rely on
 **Alation** 
 to drive self-service analytics, cloud transformation, data governance, and AI innovation. Our technology helps enterprises connect people and data to make faster, smarter, and more confident decisions. With more than $340M in funding – valued at over $1\.7 billion and more than 650 customers, including 40% of the Fortune 100\.

 As data becomes the foundation of every business, Alation is leading the way in helping organizations unlock their full potential. By bringing intelligence, automation, and trust to every interaction, we empower customers to scale data-driven innovation with confidence and speed.

 Joining Alation means being part of a
 **winning team shaping the future of AI-powered data intelligence** 
 . We move fast, think big, and deliver results together.

**Job Description**
 We're looking for a
 **Front-End Engineer** 
 (Software Engineer II) who's excited to grow their craft, deliver real results, and contribute to a mission-driven product.

 In this role, you’ll be part of a small, dynamic team designing and building agentic AI applications powered by Alation's industry-leading data intelligence platform. You'll work directly with AI experts, working in short iterations, making applications available across multiple departments, and seeing your work make a real impact.

 This is a unique opportunity t"
linkedin_li-4378394799,Jr Software Engineer,Spot & Tango,entry,,"['leading', 'cross-functional']",False,"**Who We Are**
 Spot \& Tango is an innovative pet health \& wellness brand that delivers personalized meal plans on a subscription basis. Our recipes are developed by leading animal nutritionists, and are made with only real, human-grade ingredients... and nothing artificial! We have lofty goals (to make every dog in the US and Canada healthier, and every pet parent happier!) and we are looking for the right people to help us get there. This is an exciting opportunity to join a VC-backed, high-growth, e-commerce startup and have an outsized impact in an extremely fast-paced environment. Plus, you get to think about dogs all day!

**Who You Are**
 We are seeking a talented and experienced Jr Software Engineer to join our growing team. We are seeking candidates with expertise primarily in React and Python. As a Jr Software Engineer at Spot \& Tango, you will play a pivotal role in building scalable web applications for our customers and for internal company use.

**Responsibilities:**
* Play a role in designing and building new features for our core products, primarily using TypeScript, React, React Native, and NextJS
* QA efforts by writing integration tests and thoroughly testing code before merging
* Collaborate with cross-functional stakeholders to ensure web applications achieve their business goals
* Optimize applications for maximum performance and responsiveness, especially on mobile devices
* Troubleshoot, debug, and resolve software defects and issues
* Implement sec"
linkedin_li-4369879280,Security Software Engineer Project Intern (Product Security) - 2026 Start (BS/MS),TikTok,entry,,"['cross-functional', 'leading']",False,"**Responsibilities**

The team is missioned to build infrastructures, platforms and technologies, as well as to support cross-functional teams to protect our users, products and infrastructures. In this team you'll have a unique opportunity to have first-hand exposure to the strategy of the company in key security initiatives, especially in building scalable and secure-by-design systems and solutions. Our challenges are not your regular day-to-day technical problems; you'll be part of a team that's developing new solutions to new challenges of a kind not previously addressed by big tech. It's working fast, at scale, and we're making a difference.

 As a project intern, you will have the opportunity to engage in impactful short-term projects that provide you with a glimpse of professional real-world experience. You will gain practical skills through on-the-job learning in a fast-paced work environment and develop a deeper understanding of your career interests.

 Applications will be reviewed on a rolling basis - we encourage you to apply early.

 Successful candidates must be able to commit to at least 3 months long internship period.

**Responsibilities:**
* Participate in security assessments such as pentests on Web or mobile applications.
* Take part in tooling development projects with a security focus, such as code review and API testing. Tools developed will benefit LLM integration.
* Assess the security of MCP servers and LLM features explosed to the public.

**Qualifi"
