source,company_industry,n,denominator_industry_known,share_of_industry_known
arshkon,IT Services and IT Consulting,1202,4653,0.25832796045562
arshkon,Software Development,611,4653,0.13131313131313133
arshkon,Financial Services,391,4653,0.08403180743606276
arshkon,Staffing and Recruiting,271,4653,0.058241994412207176
arshkon,Information Services,150,4653,0.032237266279819474
arshkon,Information Technology & Services,126,4653,0.027079303675048357
arshkon,Defense and Space Manufacturing,122,4653,0.026219643240919837
arshkon,"Technology, Information and Internet",106,4653,0.02278100150440576
arshkon,Banking,92,4653,0.019772189984955942
arshkon,"Technology, Information and Media",84,4653,0.018052869116698903
arshkon,Hospitals and Health Care,80,4653,0.017193208682570384
arshkon,Retail,69,4653,0.014829142488716958
arshkon,Business Consulting and Services,63,4653,0.013539651837524178
arshkon,Insurance,63,4653,0.013539651837524178
arshkon,Motor Vehicle Manufacturing,63,4653,0.013539651837524178
arshkon,Computer and Network Security,54,4653,0.01160541586073501
arshkon,"Appliances, Electrical, and Electronics Manufacturing",53,4653,0.01139050075220288
arshkon,Entertainment Providers,50,4653,0.01074575542660649
arshkon,Telecommunications,47,4653,0.010101010101010102
arshkon,Manufacturing,46,4653,0.009886094992477971
arshkon,Medical Equipment Manufacturing,41,4653,0.008811519449817323
arshkon,Semiconductor Manufacturing,39,4653,0.008381689232753063
arshkon,Accounting,34,4653,0.007307113690092413
arshkon,Pharmaceutical Manufacturing,34,4653,0.007307113690092413
arshkon,Advertising Services,29,4653,0.006232538147431765
arshkon,Airlines and Aviation,26,4653,0.005587792821835375
arshkon,Aviation and Aerospace Component Manufacturing,25,4653,0.005372877713303245
arshkon,Computer Hardware Manufacturing,25,4653,0.005372877713303245
arshkon,Industrial Machinery Manufacturing,24,4653,0.0051579626047711154
arshkon,Biotechnology Research,23,4653,0.0049430474962389856
arshkon,Engineering Services,22,4653,0.004728132387706856
arshkon,Government Administration,22,4653,0.004728132387706856
arshkon,Higher Education,22,4653,0.004728132387706856
arshkon,Human Resources Services,19,4653,0.004083387062110466
arshkon,Utilities,19,4653,0.004083387062110466
arshkon,Consumer Services,17,4653,0.0036535568450462067
arshkon,Oil and Gas,15,4653,0.003223726627981947
arshkon,Automation Machinery Manufacturing,14,4653,0.0030088115194498175
arshkon,Broadcast Media Production and Distribution,13,4653,0.0027938964109176876
arshkon,Investment Banking,13,4653,0.0027938964109176876
arshkon,Computer Games,12,4653,0.0025789813023855577
arshkon,IT System Custom Software Development,12,4653,0.0025789813023855577
arshkon,Computers and Electronics Manufacturing,11,4653,0.002364066193853428
arshkon,Machinery Manufacturing,11,4653,0.002364066193853428
arshkon,Real Estate,11,4653,0.002364066193853428
arshkon,"Transportation, Logistics, Supply Chain and Storage",11,4653,0.002364066193853428
arshkon,Health and Human Services,10,4653,0.002149151085321298
arshkon,Internet Marketplace Platforms,10,4653,0.002149151085321298
arshkon,Wellness and Fitness Services,10,4653,0.002149151085321298
arshkon,Construction,9,4653,0.0019342359767891683
arshkon,Education Administration Programs,9,4653,0.0019342359767891683
arshkon,Environmental Services,9,4653,0.0019342359767891683
arshkon,Chemical Manufacturing,8,4653,0.0017193208682570384
arshkon,Food and Beverage Services,8,4653,0.0017193208682570384
arshkon,Gambling Facilities and Casinos,8,4653,0.0017193208682570384
arshkon,Investment Management,8,4653,0.0017193208682570384
arshkon,Wireless Services,8,4653,0.0017193208682570384
arshkon,Law Practice,7,4653,0.0015044057597249087
arshkon,Services for Renewable Energy,7,4653,0.0015044057597249087
arshkon,Capital Markets,6,4653,0.0012894906511927789
arshkon,Government Relations Services,6,4653,0.0012894906511927789
arshkon,Marketing Services,6,4653,0.0012894906511927789
arshkon,Research Services,6,4653,0.0012894906511927789
arshkon,Truck Transportation,6,4653,0.0012894906511927789
arshkon,Automotive,5,4653,0.001074575542660649
arshkon,Defense & Space,5,4653,0.001074575542660649
arshkon,Design Services,5,4653,0.001074575542660649
arshkon,"Electric Power Transmission, Control, and Distribution",5,4653,0.001074575542660649
arshkon,Hospitality,5,4653,0.001074575542660649
arshkon,Mining,5,4653,0.001074575542660649
arshkon,Non-profit Organizations,5,4653,0.001074575542660649
arshkon,Public Safety,5,4653,0.001074575542660649
arshkon,Retail Apparel and Fashion,5,4653,0.001074575542660649
arshkon,Wholesale Building Materials,5,4653,0.001074575542660649
arshkon,"Agriculture, Construction, Mining Machinery Manufacturing",4,4653,0.0008596604341285192
arshkon,Civil Engineering,4,4653,0.0008596604341285192
arshkon,Computer Networking Products,4,4653,0.0008596604341285192
arshkon,Data Infrastructure and Analytics,4,4653,0.0008596604341285192
arshkon,Data Security Software Products,4,4653,0.0008596604341285192
arshkon,E-Learning Providers,4,4653,0.0008596604341285192
arshkon,Food and Beverage Manufacturing,4,4653,0.0008596604341285192
arshkon,Renewable Energy Semiconductor Manufacturing,4,4653,0.0008596604341285192
arshkon,Space Research and Technology,4,4653,0.0008596604341285192
arshkon,Book and Periodical Publishing,3,4653,0.0006447453255963894
arshkon,Civic and Social Organizations,3,4653,0.0006447453255963894
arshkon,Computer Networking,3,4653,0.0006447453255963894
arshkon,Consumer Electronics,3,4653,0.0006447453255963894
arshkon,Education,3,4653,0.0006447453255963894
arshkon,Executive Search Services,3,4653,0.0006447453255963894
arshkon,IT System Data Services,3,4653,0.0006447453255963894
arshkon,Internet News,3,4653,0.0006447453255963894
arshkon,Legal Services,3,4653,0.0006447453255963894
arshkon,Maritime Transportation,3,4653,0.0006447453255963894
arshkon,Market Research,3,4653,0.0006447453255963894
arshkon,Media Production,3,4653,0.0006447453255963894
arshkon,Outsourcing and Offshoring Consulting,3,4653,0.0006447453255963894
arshkon,Spectator Sports,3,4653,0.0006447453255963894
arshkon,Agricultural Chemical Manufacturing,2,4653,0.0004298302170642596
arshkon,Business Content,2,4653,0.0004298302170642596
arshkon,Business Intelligence Platforms,2,4653,0.0004298302170642596
arshkon,Electric Power Generation,2,4653,0.0004298302170642596
arshkon,Electrical Equipment Manufacturing,2,4653,0.0004298302170642596
arshkon,Engines and Power Transmission Equipment Manufacturing,2,4653,0.0004298302170642596
arshkon,Events Services,2,4653,0.0004298302170642596
arshkon,IT System Testing and Evaluation,2,4653,0.0004298302170642596
arshkon,Insurance Agencies and Brokerages,2,4653,0.0004298302170642596
arshkon,Internet Publishing,2,4653,0.0004298302170642596
arshkon,Medical Device,2,4653,0.0004298302170642596
arshkon,Mental Health Care,2,4653,0.0004298302170642596
arshkon,Military and International Affairs,2,4653,0.0004298302170642596
arshkon,Nanotechnology Research,2,4653,0.0004298302170642596
arshkon,Paper and Forest Product Manufacturing,2,4653,0.0004298302170642596
arshkon,Personal Care Product Manufacturing,2,4653,0.0004298302170642596
arshkon,Plastics Manufacturing,2,4653,0.0004298302170642596
arshkon,Professional Services,2,4653,0.0004298302170642596
arshkon,Renewable Energy Equipment Manufacturing,2,4653,0.0004298302170642596
arshkon,Renewable Energy Power Generation,2,4653,0.0004298302170642596
arshkon,Restaurants,2,4653,0.0004298302170642596
arshkon,Robotics Engineering,2,4653,0.0004298302170642596
arshkon,Security and Investigations,2,4653,0.0004298302170642596
arshkon,Semiconductors,2,4653,0.0004298302170642596
arshkon,Social Networking Platforms,2,4653,0.0004298302170642596
arshkon,Strategic Management Services,2,4653,0.0004298302170642596
arshkon,Transportation Programs,2,4653,0.0004298302170642596
arshkon,Travel Arrangements,2,4653,0.0004298302170642596
arshkon,Venture Capital and Private Equity Principals,2,4653,0.0004298302170642596
arshkon,Veterinary Services,2,4653,0.0004298302170642596
arshkon,Writing and Editing,2,4653,0.0004298302170642596
arshkon,Architecture and Planning,1,4653,0.0002149151085321298
arshkon,Armed Forces,1,4653,0.0002149151085321298
arshkon,Biotechnology,1,4653,0.0002149151085321298
arshkon,Building Construction,1,4653,0.0002149151085321298
arshkon,Facilities Services,1,4653,0.0002149151085321298
arshkon,Farming,1,4653,0.0002149151085321298
arshkon,Food and Beverage Retail,1,4653,0.0002149151085321298
arshkon,Furniture and Home Furnishings Manufacturing,1,4653,0.0002149151085321298
arshkon,"Glass, Ceramics and Concrete Manufacturing",1,4653,0.0002149151085321298
arshkon,HVAC and Refrigeration Equipment Manufacturing,1,4653,0.0002149151085321298
arshkon,Human Resources,1,4653,0.0002149151085321298
arshkon,IT System Operations and Maintenance,1,4653,0.0002149151085321298
arshkon,Individual and Family Services,1,4653,0.0002149151085321298
arshkon,Industrial Automation,1,4653,0.0002149151085321298
arshkon,Law Enforcement,1,4653,0.0002149151085321298
arshkon,Loan Brokers,1,4653,0.0002149151085321298
arshkon,Mechanical Or Industrial Engineering,1,4653,0.0002149151085321298
arshkon,Metalworking Machinery Manufacturing,1,4653,0.0002149151085321298
arshkon,Musicians,1,4653,0.0002149151085321298
arshkon,Natural Gas Distribution,1,4653,0.0002149151085321298
arshkon,Operations Consulting,1,4653,0.0002149151085321298
arshkon,Public Health,1,4653,0.0002149151085321298
arshkon,Public Relations and Communications Services,1,4653,0.0002149151085321298
arshkon,Rail Transportation,1,4653,0.0002149151085321298
arshkon,Real Estate and Equipment Rental Services,1,4653,0.0002149151085321298
arshkon,Religious Institutions,1,4653,0.0002149151085321298
arshkon,Research,1,4653,0.0002149151085321298
arshkon,Retail Groceries,1,4653,0.0002149151085321298
arshkon,Retail Office Equipment,1,4653,0.0002149151085321298
arshkon,Retail Pharmacies,1,4653,0.0002149151085321298
arshkon,Securities and Commodity Exchanges,1,4653,0.0002149151085321298
arshkon,Solar Electric Power Generation,1,4653,0.0002149151085321298
arshkon,Think Tanks,1,4653,0.0002149151085321298
arshkon,Wholesale Machinery,1,4653,0.0002149151085321298
arshkon,Wood Product Manufacturing,1,4653,0.0002149151085321298
arshkon,Accessible Hardware Manufacturing,0,4653,0.0
arshkon,Accounting and Business Consulting and Services,0,4653,0.0
arshkon,Accounting and Financial Services,0,4653,0.0
arshkon,"Accounting, Computer and Network Security, and IT Services and IT Consulting",0,4653,0.0
arshkon,"Accounting, Financial Services, and Business Consulting and Services",0,4653,0.0
arshkon,"Accounting, Financial Services, and IT Services and IT Consulting",0,4653,0.0
arshkon,"Accounting, IT Services and IT Consulting, and Business Consulting and Services",0,4653,0.0
arshkon,Administrative and Support Services,0,4653,0.0
arshkon,Advertising Services and Data Infrastructure and Analytics,0,4653,0.0
arshkon,Advertising Services and Financial Services,0,4653,0.0
